teamId,key,abbreviation,location,nickname
17,LA,LA,Los Angeles,Rams
22,NE,NE,New England,Patriots
30,TB,TB,Tampa Bay,Buccaneers
25,NYJ,NYJ,New York,Jets
28,SEA,SEA,Seattle,Seahawks
1,ARZ,ARZ,Arizona,Cardinals
9,DAL,DAL,Dallas,Cowboys
12,GB,GB,Green Bay,Packers
2,ATL,ATL,Atlanta,Falcons
20,MIA,MIA,Miami,Dolphins
4,BUF,BUF,Buffalo,Bills
23,NO,NO,New Orleans,Saints
15,JAX,JAX,Jacksonville,Jaguars
29,SF,SF,San Francisco,49ers
