name,pos,team,adp,merged_rank,market_pctl,value_pctl,proj_pctl,ceiling_pctl,spike_pctl,adv_pctl,coachspeak_pctl,route_eff_pctl,coverage_proof_pctl,run_eff_pctl,rec_eff_pctl,separation_pctl,yac_pctl,rush_eff_pctl,explosive_pctl,protection_pctl,oline_pctl,matchup_pctl,sis_value_pctl,boom_pctl,consensus,divergence,n_votes,flags
Malik Washington,WR,MIA,161.16527,163.0,59.29,58.01,53.53,51.06,59.51,53.53,50.0,5.28,51.65,,9.35,92.57,76.35,,62.6,,24.5,20.53,5.45,12.87,43.5,25.97,16,POLARIZING; EFFICIENCY EDGE; MAN-BEATER
T.J. Hockenson,TE,MIN,163.00934,164.0,65.87,65.87,76.98,56.6,25.47,76.98,50.0,25.96,22.12,,37.5,79.17,23.61,,,,26.67,35.83,46.74,42.39,47.18,20.59,15,MARKET FADE; MAN-BEATER
Dalton Schultz,TE,HOU,171.18283,165.0,64.29,64.29,65.87,54.72,40.57,65.87,50.0,66.35,33.65,,74.04,83.33,40.28,,,,10.0,74.17,96.74,65.22,59.96,20.74,15,
Alvin Kamara,RB,NO,164.28871,166.0,52.4,52.4,56.25,50.58,59.2,56.25,50.0,,,50.0,,,19.64,1.04,25.0,,20.71,69.7,16.27,16.27,38.98,20.6,14,
Antonio Williams,WR,WAS,166.6295,167.0,57.37,57.37,57.37,55.63,60.92,57.37,50.0,50.0,50.0,,50.0,50.0,50.0,,50.0,,38.41,52.32,50.0,50.0,54.59,6.51,8,
Deebo Samuel Sr.,WR,FA,176.30827,168.0,56.09,56.73,44.55,50.0,50.0,44.55,50.0,53.25,66.53,,50.0,87.16,83.11,,38.62,,50.0,50.0,60.89,37.13,56.55,15.28,12,MAN-BEATER
Jacoby Brissett,QB,ARI,167.76947,169.0,50.89,50.89,47.32,50.0,50.0,47.32,50.0,,,,,,,,,27.55,43.75,47.32,45.92,51.02,45.78,6.86,9,
Jonah Coleman,RB,DEN,167.99606,170.0,51.44,51.44,27.4,28.16,66.09,27.4,50.0,,,50.0,,,50.0,50.0,50.0,,91.41,34.85,50.0,50.0,47.27,21.35,8,
Fernando Mendoza,QB,LV,168.871,171.0,49.11,49.11,45.54,23.44,70.31,45.54,50.0,,,,,,,,,50.0,33.93,21.43,50.0,50.0,42.3,14.83,8,
Isaac TeSlaa,WR,DET,169.77013,172.0,56.73,56.09,43.91,51.94,88.38,43.91,50.0,9.35,45.04,,31.3,50.0,50.0,,6.1,,7.62,55.63,50.0,50.0,41.33,23.3,12,POLARIZING
Greg Dulcich,TE,MIA,174.76662,173.0,62.7,62.7,57.14,45.76,33.02,57.14,50.0,95.19,24.04,,95.19,50.0,50.0,,,,26.67,22.5,64.13,75.0,55.48,23.57,13,POLARIZING; EFFICIENCY EDGE
