pos,name,team,proj_posrank,adj_posrank,spots_moved(+=fell),proj_pg,adj_pg,avail,flags_total,flags_playoff
WR,Brandon Aiyuk,SF,111,150,39,3.1,0.0,0.0,2,2
RB,Zach Charbonnet,SEA,25,42,17,12.0,8.2,0.68,1,0
WR,Tank Dell,HOU,69,77,8,6.3,5.4,0.85,2,1
WR,Malik Nabers,NYG,12,20,8,14.7,12.9,0.88,1,0
TE,Tucker Kraft,GB,13,15,2,9.5,9.2,0.97,1,0
TE,George Kittle,SF,3,5,2,12.7,11.2,0.88,2,1
