name,bestball_note,n_clips
Quentin Johnston,“Brown (26.6 ADP) - Jaylen Waddle (49.8 ADP) - Chris Godwin (88.9 ADP) - Quentin Johnston (94.4 ADP) TE: - Tucker Kraft (80.9 ADP) - Harold Fannin Jr.” (@smitchell17),1
Adam Randall,"“Of the 14 running backs I charted, Adam Randall was my favorite watch of this draft cycle.” (@jamesdkoh) | “Adam Randall is free in drafts right now.” (@jamesdkoh)",2
Tua Tagovailoa,“Tua Tagovailoa comping Rookie Zachariah Branch to Jaylen Waddle and it is like NONE of you care (but think Waddle is worth a pick in the T-50 ADP)” (@smitchell17),1
Keenan Allen,“The Keenan Allen to Chargers addition seems more likely than his ADP suggests - makes Chargers weapons more muddy but still a team to invest in” (@dhananizain),1
Courtland Sutton,"“Courtland Sutton has been facing zero target comp the last 2 years in a much better offense, and he still managed to fade out for parts of 2025.” (@ffdataroma)",1
Travis Etienne Jr.,“RT @SleeperJaguars: Catch rate for the #Jaguars in 2025 (min 25 targets) 🥇 Brenton Strange - 78.0% 🥈 Travis Etienne - 76.6% 🥉 Jakobi Meyer…” (@fantasyptsdata),1
Brenton Strange,“RT @SleeperJaguars: Catch rate for the #Jaguars in 2025 (min 25 targets) 🥇 Brenton Strange - 78.0% 🥈 Travis Etienne - 76.6% 🥉 Jakobi Meyer…” (@fantasyptsdata),1
Jalen Coker,"“RT @ZKantzFF: Jalen Coker is a case study in how late-round and UDFA prospects can stick if they execute as promised in rookie camps, preci…” (@32beatwriters)",1
DeVonta Smith,“@MattOkada says yes Meanwhile: 📈 Chase Brown 📈 DeVonta Smith 📈 Ty Simpson Are among the biggest post-draft winners: https://t.co/8ohI5eWEaH” (@4for4football),1
Ty Simpson,“@MattOkada says yes Meanwhile: 📈 Chase Brown 📈 DeVonta Smith 📈 Ty Simpson Are among the biggest post-draft winners: https://t.co/8ohI5eWEaH” (@4for4football),1
Jaylen Warren,“Stroud (141.5 ADP) RB: - Cam Skattebo (44.8 ADP) - Jadarian Price (58.1 ADP) - Jaylen Warren (79.7 ADP) - Aaron Jones (120.0 ADP) WR: - A.J.” (@smitchell17),1
DJ Moore,“Y2 with Ben Johnson as a full-time start + 82 vacated DJ Moore targets + Y3 Caleb Round 4 + WR22 on Underdog with room to have a big payoff” (@dhananizain),1
Jayden Higgins,“RT @KyleM_FF: Jayden Higgins has been a player I've enjoyed selecting at his affordable Best Ball ADP all offseason (WR53 currently) He w…” (@dhananizain),1
Derrick Henry,"“Omarion Hampton's role is going to be similar to Derrick Henry's, and he's being drafted just ahead of Henry, but he's not Derrick Henry” (@sigmundbloom)",1
Ryan Flournoy,“Ryan Flournoy continually building chemistry with Dak Prescott” (@dhananizain) | “RT @DynastyAngleFF: Ryan Flournoy is a deep sleeper.” (@dhananizain),2
Olamide Zaccheaus,"“Falcons signed both vet WRs Olamide Zaccheaus & Jahan Dotson, while drafting shifty slot-style WR in Zachariah Branch out of Georgia.” (@smitchell17)",1
Chuba Hubbard,“7 early Fantasy Football takes/questions after firing off some best ball drafts: - Who is taking Chuba Hubbard in the 6th round?!” (@connorallennfl),1
Darius Slayton,“My therapist says it's actually a really good sign of progress that I've barely thought about drafting Darius Slayton this offseason” (@ihartitz),1
Dyami Brown,“RT @SleeperJaguars: Average depth of target for the #Jaguars in 2025 (min 25 targets) 🐆 Dyami Brown - 14.4 🐆 Brian Thomas Jr.” (@fantasyptsdata),1
Christian Watson,“RT @TSeel14: The Packers are really banking on health here....but Christian Watson is a value in startups regardless.” (@fantasyptsdata),1
Bhayshul Tuten,"“Member when Bhayshul Tuten entered his first playoff game and ripped off gains of 20, 14, and 13 on three-straight runs?” (@jagibbs_23)",1
Jameson Williams,"“All ""Mid's"" Best Ball Picks List Starting in Rd 3: Rd 3: Jameson Williams Rd 4: Bucky Irving Rd 5: Marvin Harrison Jr.” (@smitchell17)",1
Marvin Harrison Jr.,"“All ""Mid's"" Best Ball Picks List Starting in Rd 3: Rd 3: Jameson Williams Rd 4: Bucky Irving Rd 5: Marvin Harrison Jr.” (@smitchell17)",1
TreVeyon Henderson,“TreVeyon Henderson going nearly 2.5 rounds earlier than his team's starting running back in fantasy drafts is kinda wild” (@ihartitz),1
J.K. Dobbins,"“RT @KyleM_FF: No, seriously, why is JK Dobbins dropping 10+ spots in nearly every Best Ball draft I am in lately?” (@fantasyptsdata)",1
Mason Taylor,"“Possible F-TE only with Mason Taylor there for a while, and poor prospect relative to where he got drafted too.” (@ffdataroma)",1
Jordan Love,“My Current MOST Overpriced Best Ball Non-Clicks: QB: - Jalen Hurts (69.9 ADP) - Jordan Love (108.8 ADP) - C.J.” (@smitchell17),1
Josh Jacobs,“I would rather have Breece Hall &gt; Josh Jacobs at cost and still not sure why Jacobs goes earlier in ADP” (@smitchell17),1
Drake London,“Isn't that the case for Drake London + Nico Collins as top-10 WRs and Round 2 picks despite the QB questions?” (@ihartitz),1
Nico Collins,“Isn't that the case for Drake London + Nico Collins as top-10 WRs and Round 2 picks despite the QB questions?” (@ihartitz),1
Woody Marks,“Houston has an excellent receiving back in Woody Marks that was basically drafted FOR that reason.” (@smitchell17),1
Kayshon Boutte,“Is Kayshon Boutte going to be the absolute stone nuts value at an ADP of 207.1 when/if A.J.” (@smitchell17),1
Tyjae Spears,“Do not think I have clicked Tyjae Spears name ONE single time during this drafting season” (@smitchell17),1
Xavier Worthy,“RT @SportsRadio810: #Chiefs WR Xavier Worthy says that he's still building up to 100%.” (@32beatwriters),1
Dalton Kincaid,“Dalton Kincaid was the TE9 in PPR points per game last season if you include the playoffs” (@ihartitz),1
D'Andre Swift,"“-Death, taxes, D'Andre Swift beating ADP -Luther Burden ⚡️🔌 -Round 4 Colston Loveland?!?” (@ihartitz)",1
Puka Nacua,“My targets in drafts this year 🔥🎯 Jahmyr Gibbs Ja’Marr Chase Puka Nacua Sub for more” (@chessliam),1
Terry McLaurin,“I'm going to have Terry McLaurin way ahead of where he's being drafted and ranked.” (@joshnorris),1
Bijan Robinson,“Didn't understand why Bijan Robinson opened as the 1.1 in ADP over Jahmyr Gibbs.” (@adamlevitan),1
Michael Pittman Jr.,“There a more triple condom pick on the best ball board than Michael Pittman Jr?” (@smitchell17),1
Mike Washington Jr.,"“""Even after Las Vegas drafted former Arkansas running back Mike Washington Jr.” (@smitchell17)",1
Rashod Bateman,“Can’t stop drafting Rashod Bateman in Round 18 best ball https://t.co/LniKKtb5aI” (@ihartitz),1
Blake Corum,“Blake Corum will be a very important handcuff with standalone value in 2026.” (@superrnova38),1
Malachi Fields,“They also took a stance drafting Notre Dame standout Malachi Fields.” (@smitchell17),1
Kyler Murray,“-Kyler Murray might be THE late-round QB -Aaron Jones goes Round 11!” (@ihartitz),1
Cam Ward,“This A tier arm strength by Cam Ward https://t.co/JAVAj6zJi2” (@haydenwinks),1
Ollie Gordon II,“Anyone still drafting Ollie Gordon or he just a mirage now?” (@smitchell17),1
James Cook III,“James Cook gets to play the Dolphins week 17 Just saying” (@chessliam),1
Alec Pierce,“Alec Pierce being the WR34 in ADP seems very off.” (@haydenwinks),1
Omar Cooper Jr.,“I don't think I'll be drafting much Omar Cooper.” (@haydenwinks),1
Isiah Pacheco,“Can’t stop drafting Isiah Pacheco in best ball.” (@ihartitz),1
Tyler Warren,“relentlessly drafting Tyler Warren right now” (@joshnorris),1
Patrick Mahomes,“And some men have Patrick Mahomes past ADP.” (@patkerrane),1
George Kittle,“George Kittle (at cost) is worth the risk” (@dhananizain),1
