name,pos,team,adp,proj_pg,p95,cv,spike,bye,w15_opp,w16_opp,w17_game,w17_blowup_rank,adv_pct,ceil_pct,merged_rank
Fernando Mendoza,QB,LV,168.871,11.92470588235294,23.34227790325219,0.5110228386914708,0.149,13.0,DEN,TEN,ARI@LV,14,0.2564102564102564,0.0967741935483871,167.0
Aaron Rodgers,QB,PIT,163.24841,13.85058823529412,28.032285423737736,0.5378394497362312,0.1534166666666666,9.0,BAL,CAR,PIT@TEN,13,0.3076923076923077,0.2903225806451613,158.0
Tre Tucker,WR,LV,159.7671,8.082352941176472,22.62788164379157,1.2083587807222602,0.1894166666666666,13.0,DEN,TEN,ARI@LV,14,0.5827338129496403,0.5869565217391305,156.0
Dalton Schultz,TE,HOU,171.18283,7.858823529411764,21.78405623189702,1.1559450506244722,0.1986666666666666,8.0,JAX,PHI,GB@HOU,10,0.5961538461538461,0.5961538461538461,168.0
Alvin Kamara,RB,NO,164.28871,7.311764705882354,18.825611806223165,0.91893890347607,0.202,8.0,TB,ARI,ATL@NO,11,0.4883720930232558,0.4823529411764706,169.0
Geno Smith,QB,NYJ,180.22816,14.501176470588234,24.51716615990057,0.3660572793032425,0.0924166666666666,13.0,ARI,NE,MIN@NYJ,7,0.3333333333333333,0.1290322580645161,171.0
Brian Robinson Jr.,RB,ATL,174.80045,5.582352941176471,15.587766700954834,1.0328400018486614,0.21025,11.0,WAS,TB,ATL@NO,11,0.4534883720930232,0.4470588235294118,179.0
Dylan Sampson,RB,CLE,171.68782,5.023529411764706,14.4673517974369,1.1037431110560807,0.21725,11.0,NYG,BAL,CLE@IND,15,0.4186046511627907,0.4117647058823529,178.0
Denzel Boston,WR,CLE,165.44034,7.876470588235295,21.61799504199185,1.1451172916568757,0.1945,11.0,NYG,BAL,CLE@IND,15,0.5755395683453237,0.5652173913043478,166.0
De'Zhaun Stribling,WR,SF,182.39212,3.711764705882353,12.939337903230037,1.809190236469585,0.2423333333333333,8.0,LAC,KC,PHI@SF,8,0.2985611510791366,0.3115942028985507,181.0
AJ Barner,TE,SEA,185.2544,6.705882352941177,19.07864992928812,1.1457050791507062,0.2005,11.0,PHI,LAR,CAR@SEA,5,0.5096153846153846,0.5,180.0
Cade Otton,TE,TB,187.53273,6.352941176470588,18.47741354101244,1.1758343474854651,0.2069166666666666,10.0,NO,ATL,LAR@TB,1,0.4615384615384615,0.4615384615384615,191.0
David Njoku,TE,LAC,197.87935,4.982352941176471,15.689734461405724,1.3092393449693382,0.225,7.0,SF,MIA,KC@LAC,9,0.4230769230769231,0.4230769230769231,196.0
