rank,pos,posrank,name,team,adp,edge_vs_adp,proj_pg,ceiling_pct,consensus,flags_total,flags_playoff,avail,adj_proj_pg,model_flags,upside
171,RB,52,Brian Robinson Jr.,ATL,174.8,3,5.6,19,52,0,0,1.0,5.6,,
172,RB,53,Jonah Coleman,DEN,168.0,-4,1.7,17,48,1,1,1.0,1.7,,
173,RB,54,Dylan Sampson,CLE,171.7,-1,5.0,19,49,1,1,1.0,5.0,EFFICIENCY EDGE; RB-ZONE-SCHEME,
174,QB,29,Fernando Mendoza,LV,168.9,-5,11.9,5,42,0,0,1.0,11.9,,
175,WR,69,Deebo Samuel Sr.,FA,176.3,1,4.2,22,57,,,,,MAN-BEATER,volume route
176,TE,24,Greg Dulcich,MIA,174.8,-3,6.7,2,56,0,0,1.0,6.7,POLARIZING; EFFICIENCY EDGE,route volume
177,WR,70,Adonai Mitchell,NYJ,177.1,1,6.7,6,40,0,0,1.0,6.7,POLARIZING; ZONE-BEATER,volume route
178,WR,71,Tre' Harris,LAC,176.9,-1,5.2,2,50,0,0,1.0,5.2,MAN-BEATER,
179,RB,55,Sean Tucker,TB,183.8,3,1.6,16,48,0,0,1.0,1.6,POLARIZING; BOOM MERCHANT,
180,TE,25,Gunnar Helm,TEN,181.3,0,7.4,3,49,0,0,1.0,7.4,POLARIZING,man
181,WR,72,Jerry Jeudy,CLE,185.0,2,8.2,13,41,0,0,1.0,8.2,MARKET FADE; POLARIZING,volume
182,QB,30,Geno Smith,NYJ,180.2,-3,14.5,11,29,0,0,1.0,14.5,,
183,TE,26,AJ Barner,SEA,185.3,1,6.7,9,60,0,0,1.0,6.7,EFFICIENCY EDGE,man route
184,WR,73,De'Zhaun Stribling,SF,182.4,-3,3.7,4,52,1,1,1.0,3.7,,
185,TE,27,Cade Otton,TB,187.5,0,6.4,18,49,0,0,1.0,6.4,,volume slot
186,WR,74,Tyreek Hill,FA,188.2,1,3.5,20,42,,,,,EFFICIENCY EDGE,volume route
187,WR,75,Calvin Ridley,TEN,191.3,2,8.6,14,55,0,0,1.0,8.6,MARKET FADE; ZONE-BEATER,route volume
188,WR,76,Tank Dell,HOU,187.9,-2,6.3,12,54,2,1,0.85,5.4,,man route
189,WR,77,Brandon Aiyuk,SF,194.6,4,3.1,16,43,2,2,0.0,0.0,,route volume
190,WR,78,Zachariah Branch,ATL,188.8,-2,3.1,3,53,0,0,1.0,3.1,,
191,RB,56,Braelon Allen,NYJ,191.3,-1,5.2,19,44,0,0,1.0,5.2,,
192,WR,79,Dontayvion Wicks,PHI,196.4,3,3.5,10,53,0,0,1.0,3.5,ZONE-BEATER,volume man
193,WR,80,Germie Bernard,PIT,192.6,-2,7.4,6,59,0,0,1.0,7.4,MARKET FADE,
194,TE,28,David Njoku,LAC,197.9,3,5.0,27,41,0,0,1.0,5.0,POLARIZING,volume
195,TE,29,Pat Freiermuth,PIT,198.6,3,8.1,14,63,0,0,1.0,8.1,MARKET FADE; ZONE-BEATER,slot route
196,WR,81,Cooper Kupp,SEA,199.8,3,6.1,19,54,0,0,1.0,6.1,,volume slot
197,QB,31,Tua Tagovailoa,ATL,194.6,-3,7.2,7,54,0,0,1.0,7.2,POLARIZING; QB-MAN-BEATER,man
