rank,pos,posrank,name,team,adp,edge_vs_adp,proj_pg,ceiling_pct,consensus,flags_total,flags_playoff,avail,adj_proj_pg,model_flags,upside
361,TE,55,Noah Fant,NO,231.5,-1,2.6,5,34,0,0,1.0,2.6,POLARIZING; SEPARATION KING,route slot
362,TE,56,Erick All Jr.,CIN,231.6,-1,2.3,4,35,0,0,1.0,2.3,POLARIZING,volume route
363,QB,53,Mac Jones,SF,231.8,0,0.6,8,43,1,1,1.0,0.6,BOOM MERCHANT,
364,WR,153,Treylon Burks,WAS,231.8,0,2.6,4,30,2,1,1.0,2.6,,
365,RB,103,Isaac Guerendo,SF,232.1,2,0.0,19,25,0,0,1.0,0.0,,
366,WR,154,Nick Westbrook-Ikhine,IND,232.2,2,5.6,14,32,0,0,1.0,5.6,POLARIZING,
367,TE,57,Tanner Koziol,JAX,232.0,-2,1.2,17,24,0,0,1.0,1.2,,
368,TE,58,Elijah Arroyo,SEA,232.3,1,3.7,2,41,0,0,1.0,3.7,POLARIZING,
369,QB,54,Riley Leonard,IND,232.0,-3,0.6,8,23,0,0,1.0,0.6,QB-MAN-BEATER,
370,WR,155,Konata Mumpfield,LAR,232.5,1,1.7,3,38,0,0,1.0,1.7,POLARIZING,
371,TE,59,Max Klare,LAR,232.4,-1,0.5,2,22,0,0,1.0,0.5,POLARIZING,
372,TE,60,Justin Joly,DEN,232.9,1,0.5,17,20,0,0,1.0,0.5,,
373,RB,104,Tahj Brooks,CIN,232.7,-1,1.1,15,29,0,0,1.0,1.1,POLARIZING,
374,WR,156,Ashton Dulin,IND,233.0,0,2.7,1,36,0,0,1.0,2.7,POLARIZING,
375,WR,157,Xavier Hutchinson,HOU,233.2,0,2.9,1,37,1,1,1.0,2.9,POLARIZING; MAN-BEATER,
376,QB,55,Trey Lance,LAC,233.4,0,0.6,8,12,0,0,1.0,0.6,QB-ZONE-BEATER,
377,QB,56,Gardner Minshew II,ARI,234.6,0,0.6,4,18,0,0,1.0,0.6,QB-MAN-BEATER,
378,,1,,,,,,,,,,,,,
379,,2,,,,,,,,,,,,,
380,,3,,,,,,,,,,,,,
381,WR,158,Van Jefferson,WAS,,,,,,,,,,,
382,,4,,,,,,,,,,,,,
383,TE,61,Marlin Klein,HOU,,,,,,,,,,,
384,TE,62,Matt Hibner,BAL,228.3,-6,1.9,,49,0,0,1.0,1.9,,
385,RB,105,Kyle Juszczyk,SF,,,,,,,,,,,
386,,5,,,,,,,,,,,,,
387,TE,63,Austin Hooper,ATL,,,,,,,,,,,
388,TE,64,Jack Endries,CIN,,,,18,,0,0,1.0,,,
389,TE,65,Elijah Higgins,ARI,,,,,,,,,,,
390,TE,66,Josh Oliver,MIN,,,,,,,,,,,
391,TE,67,Tyler Conklin,DET,230.0,-12,1.2,,26,0,0,1.0,1.2,,
392,TE,68,Drew Sample,CIN,,,,,,,,,,,
393,RB,106,Damien Martinez,GB,,,,,,0,0,1.0,,,
394,TE,69,Jackson Hawes,BUF,,,,,,,,,,,
395,,6,,,,,,,,,,,,,
396,TE,70,Will Kacmarek,MIA,,,,,,,,,,,
397,TE,71,Jonnu Smith,FA,234.2,-17,0.5,,19,,,,,SEPARATION KING,
398,TE,72,John Bates,WAS,,,,,,,,,,,
399,TE,73,Cade Stover,HOU,,,,,,,,,,,
400,TE,74,Mitchell Evans,CAR,,,,,,,,,,,
401,TE,75,Tanner Hudson,CIN,,,,,,,,,,,
402,RB,107,Tyler Badie,DEN,,,,,,,,,,,
403,TE,76,Mo Alie-Cox,IND,,,,,,,,,,,
404,TE,77,Adam Trautman,DEN,,,,,,,,,,,
405,TE,78,Luke Schoonmaker,DAL,,,,,,,,,,,
406,TE,79,Durham Smythe,BAL,,,,,,,,,,,
407,TE,80,Nate Boerkircher,JAX,,,,,,,,,,,
408,WR,159,Xavier Smith,LAR,,,,,,,,,,,
409,,7,,,,,,,,,,,,,
410,TE,81,Jeremy Ruckert,NYJ,,,,,,,,,,,
411,TE,82,Davis Allen,LAR,,,,,,,,,,,
412,,8,,,,,,,,,,,,,
413,RB,108,Hunter Luepke,DAL,,,,,,,,,,,
414,TE,83,Daniel Bellinger,TEN,,,,,,,,,,,
415,TE,84,Foster Moreau,HOU,,,,,,,,,,,
416,WR,160,Tyrell Shavers,BUF,,,,,,,,,,,
417,TE,85,Brock Wright,DET,,,,,,,,,,,
418,TE,86,Nate Adkins,DEN,,,,,,,,,,,
419,WR,161,Anthony Gould,IND,,,,,,,,,,,
420,RB,109,Alec Ingold,LAC,,,,,,,,,,,
421,TE,87,Payne Durham,TB,,,,,,,,,,,
422,,9,,,,,,,,,,,,,
423,TE,88,Ben Sims,MIA,,,,,,,,,,,
424,WR,162,Ben Skowronek,PIT,,,,,,,,,,,
425,RB,110,Jaydn Ott,KC,,,,,,1,1,1.0,,,
426,RB,111,Adam Prentice,DEN,,,,,,,,,,,
427,RB,112,Max Bredeson,MIN,,,,,,,,,,,
428,WR,163,Mason Tipton,NO,,,,,,,,,,,
429,WR,164,Isaiah Williams,NYJ,,,,,,,,,,,
430,TE,89,Connor Heyward,LV,,,,,,,,,,,
431,TE,90,Blake Whiteheart,CLE,,,,,,,,,,,
432,WR,165,Tai Felton,MIN,,,,,,,,,,,
433,WR,166,Derius Davis,LAC,,,,,,,,,,,
434,RB,113,Reggie Gilliam,NE,,,,,,,,,,,
435,WR,167,David Moore,CAR,,,,,,,,,,,
436,TE,91,Luke Farrell,SF,,,,,,,,,,,
437,RB,114,Michael Burton,CLE,,,,,,,,,,,
438,TE,92,Brevyn Spann-Ford,DAL,,,,,,,,,,,
439,TE,93,Riley Nowakowski,PIT,,,,,,,,,,,
440,TE,94,CJ Dippre,NE,,,,,,,,,,,
441,WR,168,Jonathan Mingo,DAL,,,,,,,,,,,
442,WR,169,Darius Cooper,PHI,,,,,,,,,,,
443,RB,115,Andrew Beck,NYJ,,,,,,,,,,,
444,WR,170,Reggie Virgil,ARI,,,,,,,,,,,
445,WR,171,Justin Watson,HOU,,,,,,,,,,,
446,RB,116,Patrick Ricard,NYG,,,,,,,,,,,
447,RB,117,Kendre Miller,NO,,,,,,,,,,,
448,WR,172,Kaden Wetjen,PIT,,,,,,,,,,,
449,RB,118,Jawhar Jordan,HOU,,,,,,,,,,,
450,WR,173,Malachi Corley,CLE,,,,,,,,,,,
451,WR,174,Jimmy Horn Jr.,CAR,,,,,,,,,,,
452,WR,175,Arian Smith,NYJ,,,,,,,,,,,
453,RB,119,British Brooks,HOU,,,,,,,,,,,
454,WR,176,Kameron Johnson,TB,,,,,,,,,,,
455,,10,,,,,,,,,,,,,
456,WR,177,Barion Brown,NO,,,,,,,,,,,
457,WR,178,Braxton Berrios,NYG,,,,,,,,,,,
458,WR,179,Britain Covey,PHI,,,,,,,,,,,
459,WR,180,Brycen Tremayne,CAR,,,,,,,,,,,
460,WR,181,Charlie Jones,CIN,,,,,,,,,,,
461,WR,182,Dareke Young,LV,,,,,,,,,,,
462,RB,120,DeeJay Dallas,JAX,,,,,,,,,,,
463,WR,183,Devin Duvernay,ARI,,,,,,,,,,,
464,RB,121,Dylan Laube,LV,,,,,,,,,,,
465,WR,184,Efton Chism III,NE,,,,,,,,,,,
466,WR,185,Gage Larvadain,CLE,,,,,,,,,,,
467,WR,186,Jacob Cowing,SF,,,,,,,,,,,
468,RB,122,Jacob Saylors,DET,,,,,,,,,,,
469,WR,187,Jalen Brooks,ARI,,,,,,,,,,,
470,WR,188,Jeshaun Jones,MIN,,,,,,,,,,,
471,WR,189,Josh Cameron,JAX,,,,,,,,,,,
472,RB,123,Josh Williams,TB,,,,,,,,,,,
473,RB,124,Kene Nwangwu,NYJ,,,,,,,,,,,
474,WR,190,Ke'Shawn Williams,CIN,,,,,,,,,,,
475,WR,191,LaJohntay Wester,BAL,,,,,,,,,,,
476,WR,192,Mason Kinsey,TEN,,,,,,,,,,,
477,WR,193,Michael Bandy,DEN,,,,,,,,,,,
478,WR,194,Myles Price,MIN,,,,,,,,,,,
479,WR,195,Nikko Remigio,KC,,,,,,,,,,,
480,RB,125,Rasheen Ali,BAL,,,,,,,,,,,
481,WR,196,Skyy Moore,GB,,,,,,,,,,,
