game,p99,entries_of_900,pct
LAR+TB,174.93666654242355,77,8.6
CIN+BAL,174.6161227901273,77,8.6
DAL+NYG,171.66611597300948,77,8.6
DET+CHI,166.30127686017929,77,8.6
SEA+CAR,157.74503328593434,55,6.1
NE+DEN,152.50342919648605,55,6.1
MIN+NYJ,151.93342725721368,55,6.1
SF+PHI,150.68925247673383,55,6.1
KC+LAC,147.0021938024886,55,6.1
GB+HOU,144.23549982195144,55,6.1
ATL+NO,139.0979028227368,43,4.8
JAX+WAS,138.57060299988447,43,4.8
PIT+TEN,138.3653767528887,43,4.8
LV+ARI,132.14537588355182,43,4.8
IND+CLE,131.82354457825068,43,4.8
BUF+MIA,127.5738411083186,43,4.8
