name,pos,team,env,opp,eff,matchup,role,consensus,divergence,p_w15,p_w16,p_w17,profile
Puka Nacua,WR,LAR,95.7,97.2,99.6,95.7,93.9,96.4,1.9,0.4978,0.4031,0.4561,all 5 sources agree: elite across the board
Jahmyr Gibbs,RB,DET,85.4,89.6,70.0,73.3,77.1,79.1,7.4,0.4777,0.5658,0.4911,all 5 sources agree: elite across the board
Jaxon Smith-Njigba,WR,SEA,68.2,95.6,97.2,17.2,80.9,71.8,29.3,0.324,0.3846,0.3649,"volume+efficiency+role elite, matchup cool (sources DIVERGE)"
Ja'Marr Chase,WR,CIN,89.4,98.8,71.1,27.2,35.4,64.4,28.6,0.3723,0.3977,0.3893,"Vegas+volume+efficiency elite, matchup cool (sources DIVERGE)"
Bijan Robinson,RB,ATL,35.4,97.6,77.1,90.8,79.4,76.1,21.7,0.3789,0.3923,0.3923,volume+efficiency+matchup+role elite
Jonathan Taylor,RB,IND,56.1,94.5,67.6,59.7,44.1,64.4,16.8,0.3472,0.3716,0.3099,volume elite
Amon-Ra St. Brown,WR,DET,86.8,96.4,85.0,7.9,42.7,63.8,33.5,0.366,0.4331,0.3759,"Vegas+volume+efficiency elite, matchup cool (sources DIVERGE)"
James Cook III,RB,BUF,91.4,86.0,71.2,88.8,46.5,76.8,16.7,0.3752,0.2856,0.3968,Vegas+volume+efficiency+matchup elite
CeeDee Lamb,WR,DAL,98.7,87.7,79.3,19.9,45.1,66.1,29.3,0.318,0.3746,0.3928,"Vegas+volume+efficiency elite, matchup cool (sources DIVERGE)"
Christian McCaffrey,RB,SF,49.5,99.4,15.9,86.9,57.1,61.8,29.4,0.4096,0.4096,0.4522,"volume+matchup elite, efficiency cool (sources DIVERGE)"
Drake London,WR,ATL,41.1,92.5,67.1,98.7,58.1,71.5,21.5,0.2372,0.2463,0.2463,volume+matchup elite
De'Von Achane,RB,MIA,1.5,93.3,91.2,36.4,93.5,63.2,37.8,0.1944,0.2059,0.2292,"volume+efficiency+role elite, Vegas cool (sources DIVERGE)"
Justin Jefferson,WR,MIN,56.0,90.9,29.7,22.2,43.5,48.5,24.2,0.2881,0.3348,0.269,"volume elite, efficiency+matchup cool (sources DIVERGE)"
Ashton Jeanty,RB,LV,16.7,90.9,4.1,38.3,7.6,31.5,32.0,0.1676,0.2471,0.2703,"volume elite, Vegas+efficiency+role cool (sources DIVERGE)"
Derrick Henry,RB,BAL,79.3,78.7,55.9,67.5,65.3,69.3,8.8,0.2864,0.3373,0.307,Vegas+volume elite
Saquon Barkley,RB,PHI,37.9,88.4,44.1,55.8,67.6,58.8,18.0,0.2677,0.2677,0.2563,volume elite
