teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 4,17,264,No,Yes,No,1172,155,No,18,No,110,0.7097,10,0.1323,89,8,2,0.5742,1001,488,149,1302,6,5,12,16,0.1798,0.2903,0.129,0.2581,0.3226,54,0.3484,3,0.0194,8.4,79,0.8541,6.4581,-1.3164,0.0774,11.2472,5.4831,1.6742,49,19,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Open,Cover 4,17,228,No,Yes,No,991,123,No,13,No,90,0.7317,10,0.1241,73,3,1,0.5935,927,392,107,1156,5,4,4,7,0.0959,0.187,0.1626,0.2764,0.374,57,0.4634,6,0.0488,9.3984,86.3,0.9354,7.5366,-0.3971,0.0325,12.6986,5.3699,1.4658,42,17,
22,New England,Patriots,MIA,AFC,AFC East,Open,Open,Cover 6,17,234,No,Yes,Yes,1028,147,No,27,No,102,0.6939,10,0.143,86,17,5,0.585,1039,373,112,1499,6,3,9,5,0.0581,0.1565,0.1088,0.3129,0.4082,60,0.4082,4,0.0272,10.1973,85.4,1.0107,7.068,-1.2576,0.0612,12.0814,4.3372,1.3023,49,18,1
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Open,Cover 2,17,258,No,Yes,Yes,1129,158,No,19,Yes,111,0.7025,12,0.1399,99,12,1,0.6266,1311,552,144,1637,10,3,6,19,0.1919,0.1772,0.1203,0.2658,0.4367,77,0.4873,3,0.019,10.3608,91.5,1.1612,8.2975,0.1453,0.038,13.2424,5.5758,1.4545,67,16,1
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Red Zone,17,253,No,Yes,No,1167,155,No,24,No,109,0.7032,11,0.1328,90,10,5,0.5806,1176,462,172,1574,6,4,5,13,0.1444,0.2,0.1548,0.271,0.3677,72,0.4645,2,0.0129,10.1548,68.1,1.0077,7.5871,-0.5644,0.0323,13.0667,5.1333,1.9111,54,22,1
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 1,17,246,Yes,Yes,No,1092,152,No,25,Yes,101,0.6645,16,0.1392,80,12,2,0.5263,1175,444,138,1801,5,4,7,7,0.0875,0.1974,0.1447,0.3224,0.3355,65,0.4276,,,11.8487,83.6,1.076,7.7303,-0.7601,0.0461,14.6875,5.55,1.725,43,21,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Red Zone,17,301,No,Yes,No,1345,157,No,27,No,108,0.6879,9,0.1167,83,15,1,0.5287,1049,391,96,1630,4,2,12,6,0.0723,0.172,0.1274,0.2611,0.4395,77,0.4904,5,0.0318,10.3822,61.2,0.7799,6.6815,-1.5112,0.0764,12.6386,4.7108,1.1566,46,21,1
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,245,No,Yes,Yes,1074,136,Yes,12,Yes,96,0.7059,13,0.1266,87,9,1,0.6397,1021,399,176,1212,8,5,8,15,0.1724,0.1618,0.1397,0.2647,0.4338,60,0.4412,2,0.0147,8.9118,94,0.9507,7.5074,-0.2651,0.0588,11.7356,4.5862,2.023,48,19,1
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 2 Man,17,233,No,Yes,No,1015,134,No,18,No,95,0.709,8,0.132,79,10,5,0.5896,1034,397,121,1334,6,3,10,9,0.1139,0.1642,0.1269,0.3134,0.3955,65,0.4851,3,0.0224,9.9552,82.7,1.0187,7.7164,-0.3274,0.0746,13.0886,5.0253,1.5316,43,17,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 4,17,187,No,Yes,No,858,119,No,13,No,83,0.6975,7,0.1387,69,6,1,0.5798,847,316,100,1205,7,3,6,14,0.2029,0.1765,0.1765,0.2689,0.3782,54,0.4538,2,0.0168,10.1261,92.7,0.9872,7.1176,-1.187,0.0504,12.2754,4.5797,1.4493,36,12,1
