Name,Team,POS,ATT,YDS,YAC,MTF,TD
Ty Chandler,MIN,RB,3,3,4,,
Dylan Sampson,CLV,RB,8,16,17,2,
Jawhar Jordan,HST,RB,11,39,33,2,
Adam Prentice,DEN,FB,2,4,2,,
Aaron Jones,MIN,RB,36,124,48,2,1
Woody Marks,HST,RB,73,277,148,5,
Chase Brown,CIN,RB,74,339,185,10,3
Najee Harris,LAC,RB,2,7,6,,
Jacob Saylors,DET,RB,1,2,,,
Miles Sanders,DAL,RB,1,,,,
Rasheen Ali,BLT,RB,1,,-1,,
Saquon Barkley,PHI,RB,43,235,72,8,2
D'Ernest Johnson,NE,RB,4,6,17,1,
Rhamondre Stevenson,NE,RB,49,272,165,11,3
Kendall Milton,CIN,RB,1,,1,,
Kaleb Johnson,PIT,RB,4,8,11,,
Samaje Perine,CIN,RB,35,169,72,5,1
Travis Etienne,JAX,RB,65,241,140,10,2
Bam Knight,ARZ,RB,10,39,23,3,
Jaret Patterson,LAC,RB,5,39,20,1,
Jaydon Blue,DAL,RB,1,2,1,,
J.K. Dobbins,DEN,RB,47,202,87,10,1
Emari Demercado,ARZ,RB,1,4,2,1,
Ashton Jeanty,LV,RB,51,144,97,2,1
Kyle Monangai,CHI,RB,32,140,75,6,
Dare Ogunbowale,HST,RB,1,2,1,,
Myles Gaskin,SEA,RB,1,,1,,
Kimani Vidal,LAC,RB,12,34,17,,
RJ Harvey,DEN,RB,44,112,57,6,1
Ronnie Rivers,LA,RB,6,33,15,,
Hunter Luepke,DAL,FB,1,3,4,1,
George Holani,SEA,RB,4,20,14,2,
Nate Carter,ATL,RB,2,16,6,,
Breece Hall,NYJ,RB,42,195,81,8,2
Roschon Johnson,CHI,RB,1,6,3,,
Dameon Pierce,KC,RB,5,9,7,,
Blake Corum,LA,RB,54,284,127,9,4
James Cook,BUF,RB,119,614,230,18,6
Raheem Mostert,LV,RB,2,2,4,,
Evan Hull,NO,RB,1,,,,
Chris Brooks,GB,RB,7,26,18,,
Devin Neal,NO,RB,3,4,,,
James Conner,ARZ,RB,12,34,19,1,
TreVeyon Henderson,NE,RB,64,284,124,6,3
Kene Nwangwu,NYJ,RB,5,12,13,1,
Kendre Miller,NO,RB,7,26,8,3,1
Justice Hill,BLT,RB,4,18,11,,1
Tony Pollard,TEN,RB,46,167,89,4,
Ray Davis,BUF,RB,18,79,38,1,
Trevor Etienne,CAR,RB,7,23,11,1,
Cam Skattebo,NYG,RB,17,47,30,3,3
D'Andre Swift,CHI,RB,31,158,71,9,1
Brian Robinson,SF,RB,12,32,15,1,
Alvin Kamara,NO,RB,21,53,26,2,
Malik Davis,DAL,RB,5,15,11,,
Dylan Laube,LV,RB,3,6,4,,
Will Shipley,PHI,RB,2,,2,,
Kyren Williams,LA,RB,109,464,207,9,3
Sione Vaki,DET,RB,1,4,2,,
Tahj Brooks,CIN,RB,4,9,6,,
Trayveon Williams,CLV,RB,2,5,2,,
Devin Singletary,NYG,RB,23,79,43,4,2
Jacardia Wright,SEA,RB,1,10,5,1,
Zamir White,LV,RB,1,-5,-1,,
Christian McCaffrey,SF,RB,31,154,68,7,
Ameer Abdullah,IND,RB,1,3,2,,
Jahmyr Gibbs,DET,RB,55,393,140,14,4
Zavier Scott,MIN,RB,10,56,34,3,
C.J. Ham,MIN,FB,1,3,1,,
Corey Kiner,ARZ,RB,4,23,14,,
Brittain Brown,CHI,RB,1,3,2,,
Khalil Herbert,NYJ,RB,1,1,1,,
AJ Dillon,PHI,RB,1,1,1,,
Emanuel Wilson,GB,RB,34,112,67,1,3
Quinshon Judkins,CLV,RB,60,258,146,15,1
Tyler Allgeier,ATL,RB,29,88,47,3,2
Phil Mafah,DAL,RB,1,5,3,,
Isaiah Davis,NYJ,RB,7,20,11,,
Jordan Mason,MIN,RB,51,232,134,9,2
Tyler Goodson,IND,RB,3,6,6,,
Raheim Sanders,CLV,RB,6,10,9,,
Braelon Allen,NYJ,RB,2,5,3,,
Jonathan Taylor,IND,RB,65,393,179,14,4
Jacory Croskey-Merritt,WAS,RB,45,205,130,6,
British Brooks,HST,FB,7,31,26,1,
Antonio Gibson,NE,RB,7,30,15,,1
Audric Estime,NO,RB,4,9,-6,,
Omarion Hampton,LAC,RB,10,43,37,4,
Bucky Irving,TB,RB,33,81,63,2,
DJ Giddens,IND,RB,7,13,14,,
Nick Chubb,HST,RB,57,266,176,8,1
Chris Rodriguez,WAS,RB,35,137,78,5,4
Javonte Williams,DAL,RB,21,71,59,4,
Michael Carter,ARZ,RB,16,36,16,,
Cam Akers,SEA,RB,3,5,6,,
Tyjae Spears,TEN,RB,10,31,13,,
Terrell Jennings,NE,RB,14,47,22,,1
De'Von Achane,MIA,RB,28,188,142,7,2
Julius Chestnut,TEN,RB,3,4,3,,
Kenneth Walker,SEA,RB,37,173,76,17,
Trey Benson,ARZ,RB,7,39,37,4,
LeQuint Allen,JAX,RB,5,18,7,2,
Bijan Robinson,ATL,RB,32,127,64,9,1
Tank Bigsby,PHI,RB,13,85,51,5,
Jaleel McLaughlin,DEN,RB,7,42,15,,
Tyler Badie,DEN,RB,1,,,,
Sean Tucker,TB,RB,21,68,39,3,2
Kenneth Gainwell,PIT,RB,13,55,20,4,
Isiah Pacheco,KC,RB,5,29,6,,
Brashard Smith,KC,RB,2,11,4,,
Bhayshul Tuten,JAX,RB,14,38,33,3,
Josh Jacobs,GB,RB,63,284,141,15,7
Zach Charbonnet,SEA,RB,26,116,63,2,
Chuba Hubbard,CAR,RB,29,111,59,1,
David Montgomery,DET,RB,34,225,136,7,4
Ollie Gordon,MIA,RB,24,81,59,2,2
Jaylen Warren,PIT,RB,33,101,60,5,1
Tyrone Tracy,NYG,RB,29,149,45,3,2
Hassan Haskins,LAC,RB,3,8,5,,
Rachaad White,TB,RB,26,117,43,3,2
Rico Dowdle,CAR,RB,65,246,112,6,2
Ty Johnson,BUF,RB,9,27,14,3,1
Jaylen Wright,MIA,RB,13,88,44,3,1
Jeremy McNichols,WAS,RB,10,37,20,,
Derrick Henry,BLT,RB,28,110,52,2,2
Kareem Hunt,KC,RB,20,52,31,1,1
Jerome Ford,CLV,RB,6,25,21,1,
