Name,Team,POS,ATT,YDS,YAC,MTF,TD
Raheim Sanders,CLV,RB,11,51,39,3,
Braelon Allen,NYJ,RB,8,35,14,,1
Jordan Mason,MIN,RB,32,153,96,4,2
Isaiah Davis,NYJ,RB,16,57,33,2,
Velus Jones,SEA,RB,1,1,1,,
Tyler Goodson,IND,RB,1,2,1,,
Jacory Croskey-Merritt,WAS,RB,44,148,74,7,2
British Brooks,HST,FB,4,26,26,1,
Jonathan Taylor,IND,RB,75,291,130,8,2
Omarion Hampton,LAC,RB,27,67,41,1,
Bucky Irving,TB,RB,41,116,61,6,
Ulysses Bentley,IND,RB,1,,1,,
Antonio Gibson,NE,RB,4,3,4,,
Audric Estime,NO,RB,21,76,35,1,
Keaton Mitchell,BLT,RB,11,63,12,1,
Tyjae Spears,TEN,RB,14,58,28,1,
Javonte Williams,DAL,RB,72,326,173,8,4
DJ Giddens,IND,RB,7,35,19,1,
Nick Chubb,HST,RB,30,142,58,2,1
Chris Rodriguez,WAS,RB,27,121,88,5,1
Michael Carter,ARZ,RB,20,91,39,,
Terrell Jennings,NE,RB,1,6,1,,
Devin Singletary,NYG,RB,39,151,83,2,
Jacardia Wright,SEA,RB,4,10,4,,
Trayveon Williams,CLV,RB,5,33,17,,
Jahmyr Gibbs,DET,RB,46,183,62,5,1
Zavier Scott,MIN,RB,8,24,19,,
Zamir White,LV,RB,6,21,10,,
Christian McCaffrey,SF,RB,66,261,103,7,3
Ameer Abdullah,IND,RB,3,17,13,1,1
AJ Dillon,PHI,RB,3,14,9,1,
Emanuel Wilson,GB,RB,33,136,77,3,
Quinshon Judkins,CLV,RB,56,179,113,3,
Khalil Herbert,NYJ,RB,10,35,13,2,
Corey Kiner,ARZ,RB,5,24,12,2,
Phil Mafah,DAL,RB,2,9,5,,
Tyler Allgeier,ATL,RB,13,35,20,3,
Chuba Hubbard,CAR,RB,46,161,72,2,1
Zach Charbonnet,SEA,RB,69,238,144,15,8
Ollie Gordon,MIA,RB,17,35,22,2,1
David Montgomery,DET,RB,37,139,84,4,3
Josh Jacobs,GB,RB,55,253,123,9,5
Hassan Haskins,LAC,RB,5,6,5,,
Rachaad White,TB,RB,18,96,45,3,
Jaylen Warren,PIT,RB,61,198,105,11,
Tyrone Tracy,NYG,RB,52,253,136,3,
Rico Dowdle,CAR,RB,71,316,170,12,1
Jaylen Wright,MIA,RB,14,64,32,,1
Ty Johnson,BUF,RB,8,37,18,,
Kareem Hunt,KC,RB,59,243,131,4,2
Ty Chandler,MIN,RB,7,23,10,,
Jerome Ford,CLV,RB,8,20,13,,
Jeremy McNichols,WAS,RB,19,116,100,6,1
Derrick Henry,BLT,RB,55,256,116,9,
Kenneth Walker,SEA,RB,42,227,68,10,1
De'Von Achane,MIA,RB,29,139,50,3,
Julius Chestnut,TEN,RB,2,27,7,,
Trey Benson,ARZ,RB,6,14,8,,
Bijan Robinson,ATL,RB,43,195,105,12,
LeQuint Allen,JAX,RB,12,62,23,1,
Jaleel McLaughlin,DEN,RB,3,35,7,2,
Tyler Badie,DEN,RB,3,7,8,,
Tank Bigsby,PHI,RB,20,60,38,1,
Clyde Edwards-Helaire,KC,RB,2,9,6,,
Bhayshul Tuten,JAX,RB,21,82,55,3,2
Sean Tucker,TB,RB,9,36,22,,
Isiah Pacheco,KC,RB,42,161,98,5,1
Kenneth Gainwell,PIT,RB,31,174,87,7,
Brashard Smith,KC,RB,13,39,23,,
Samaje Perine,CIN,RB,35,141,92,4,1
Bam Knight,ARZ,RB,12,51,16,,
Jaret Patterson,LAC,RB,13,50,22,1,
Rhamondre Stevenson,NE,RB,26,119,65,9,1
Kaleb Johnson,PIT,RB,7,17,11,,
Emari Demercado,ARZ,RB,10,98,64,3,
Travis Etienne,JAX,RB,52,228,141,5,
J.K. Dobbins,DEN,RB,23,105,58,4,1
Ashton Jeanty,LV,RB,65,290,182,11,2
Kyle Monangai,CHI,RB,36,129,64,2,1
Kendall Milton,CIN,RB,1,2,1,,
Jaydon Blue,DAL,RB,10,45,15,1,
Dare Ogunbowale,HST,RB,6,18,16,1,1
RJ Harvey,DEN,RB,23,92,60,3,2
Kimani Vidal,LAC,RB,51,219,108,9,
Hunter Luepke,DAL,FB,8,42,23,,
Ronnie Rivers,LA,RB,2,11,6,,
Adam Prentice,DEN,FB,1,3,1,,
Aaron Jones,MIN,RB,30,129,65,2,
Dylan Sampson,CLV,RB,12,34,28,,
Jawhar Jordan,HST,RB,15,60,43,3,
Chase Brown,CIN,RB,62,251,148,9,2
Najee Harris,LAC,RB,7,25,18,,
Woody Marks,HST,RB,37,135,74,3,
Miles Sanders,DAL,RB,7,22,16,,
Austin Ekeler,WAS,RB,6,17,8,1,
Rasheen Ali,BLT,RB,4,17,4,,
Jacob Saylors,DET,RB,1,9,6,1,
Craig Reynolds,DET,RB,2,3,1,,
D'Ernest Johnson,NE,RB,5,13,9,,
Saquon Barkley,PHI,RB,86,317,142,7,1
Trevor Etienne,CAR,RB,5,43,22,1,
D'Andre Swift,CHI,RB,30,195,86,8,2
Cam Skattebo,NYG,RB,33,119,89,7,1
Tony Pollard,TEN,RB,40,213,78,,1
Ray Davis,BUF,RB,7,4,6,,
DeeJay Dallas,JAX,RB,1,,,,
Alvin Kamara,NO,RB,47,156,83,6,1
Brian Robinson,SF,RB,17,51,38,2,2
Malik Davis,DAL,RB,22,109,41,1,2
Kyren Williams,LA,RB,62,282,139,9,4
Dylan Laube,LV,RB,3,2,2,,
Will Shipley,PHI,RB,3,9,7,,
Tahj Brooks,CIN,RB,5,16,15,,
Breece Hall,NYJ,RB,85,365,157,14,1
Evan Hull,NO,RB,7,10,7,,
George Holani,SEA,RB,6,25,14,1,
Nate Carter,ATL,RB,2,18,6,,
Chris Brooks,GB,RB,2,10,8,1,
Blake Corum,LA,RB,30,109,53,8,1
Dameon Pierce,KC,RB,2,4,4,,
James Cook,BUF,RB,73,370,186,11,2
Raheem Mostert,LV,RB,10,45,20,,
Kendre Miller,NO,RB,15,72,43,2,
James Conner,ARZ,RB,3,10,6,,
Devin Neal,NO,RB,33,111,62,2,1
Kene Nwangwu,NYJ,RB,6,27,12,1,
TreVeyon Henderson,NE,RB,23,59,39,4,
Justice Hill,BLT,RB,5,10,9,,
Josh Williams,TB,RB,1,4,1,,
