Name,Team,POS,ATT,YDS,YAC,MTF,TD
Tyler Allgeier,ATL,RB,4,8,6,,
Quinshon Judkins,CLV,RB,7,31,15,,
Christian McCaffrey,SF,RB,3,22,8,,
Zavier Scott,MIN,RB,1,7,4,,
Jahmyr Gibbs,DET,RB,7,92,37,6,
Devin Singletary,NYG,RB,1,3,-1,,
Nick Chubb,HST,RB,2,7,1,,
Chris Rodriguez,WAS,RB,1,-3,,,
Michael Carter,ARZ,RB,3,15,6,,
Javonte Williams,DAL,RB,12,139,98,4,
Tyjae Spears,TEN,RB,1,7,2,,
Keaton Mitchell,BLT,RB,1,9,1,,
Antonio Gibson,NE,RB,1,15,3,,
Omarion Hampton,LAC,RB,8,38,21,2,1
Bucky Irving,TB,RB,10,35,15,1,
Jonathan Taylor,IND,RB,27,195,117,8,2
Jacory Croskey-Merritt,WAS,RB,4,18,12,1,1
Isaiah Davis,NYJ,RB,3,25,15,2,
Isiah Pacheco,KC,RB,1,3,,,
Kenneth Gainwell,PIT,RB,3,5,5,,
Brashard Smith,KC,RB,1,3,,,
Sean Tucker,TB,RB,2,18,5,1,
Bhayshul Tuten,JAX,RB,1,1,1,,
Tank Bigsby,PHI,RB,2,9,2,1,
Bijan Robinson,ATL,RB,1,16,9,,
Trey Benson,ARZ,RB,2,4,3,1,
De'Von Achane,MIA,RB,1,4,3,,
Kenneth Walker,SEA,RB,5,26,11,1,
Derrick Henry,BLT,RB,16,136,101,3,
Jeremy McNichols,WAS,RB,1,16,15,2,
Jerome Ford,CLV,RB,2,4,3,,
Kareem Hunt,KC,RB,2,6,3,,
Rico Dowdle,CAR,RB,1,3,2,,
Jaylen Wright,MIA,RB,2,10,4,1,
Jaylen Warren,PIT,RB,1,3,1,,
Rachaad White,TB,RB,5,24,8,4,
Ollie Gordon,MIA,RB,1,-2,,,
Chuba Hubbard,CAR,RB,1,-2,,,
Zach Charbonnet,SEA,RB,1,6,2,1,
Saquon Barkley,PHI,RB,1,-4,-1,1,
Austin Ekeler,WAS,RB,2,4,3,,
Miles Sanders,DAL,RB,1,7,5,,
Woody Marks,HST,RB,2,19,4,,
Chase Brown,CIN,RB,3,16,7,1,
Aaron Jones,MIN,RB,1,6,2,1,
Hunter Luepke,DAL,FB,1,3,3,,
RJ Harvey,DEN,RB,3,6,4,,
Kimani Vidal,LAC,RB,9,18,11,,
Jaydon Blue,DAL,RB,2,14,1,,1
Ashton Jeanty,LV,RB,8,25,15,1,
Emari Demercado,ARZ,RB,3,26,8,,
J.K. Dobbins,DEN,RB,2,5,3,,
Kaleb Johnson,PIT,RB,1,5,1,,
Travis Etienne,JAX,RB,7,40,14,2,
Rhamondre Stevenson,NE,RB,5,14,7,,
Kyle Monangai,CHI,RB,3,22,10,,
Bam Knight,ARZ,RB,2,22,15,3,
Samaje Perine,CIN,RB,1,13,4,,
Jaret Patterson,LAC,RB,4,20,15,,
Amar Johnson,LAC,RB,1,6,3,,
TreVeyon Henderson,NE,RB,4,18,5,,
James Conner,ARZ,RB,2,15,5,1,
James Cook,BUF,RB,2,8,5,,
Breece Hall,NYJ,RB,6,24,7,,
Will Shipley,PHI,RB,1,4,2,,
Kyren Williams,LA,RB,1,2,2,,
Malik Davis,DAL,RB,2,4,4,,
Alvin Kamara,NO,RB,2,4,1,,
DeeJay Dallas,JAX,RB,1,17,2,,
Tony Pollard,TEN,RB,6,33,15,,1
D'Andre Swift,CHI,RB,4,15,4,,1
