Name,Team,POS,ATT,YDS,YAC,MTF
Jordan Mason,MIN,RB,2,7,3,1
Isaiah Davis,NYJ,RB,1,7,5,
Braelon Allen,NYJ,RB,2,11,6,
Jonathan Taylor,IND,RB,3,12,5,
Antonio Gibson,NE,RB,1,3,2,
Keaton Mitchell,BLT,RB,1,6,1,
Omarion Hampton,LAC,RB,4,19,11,
Bucky Irving,TB,RB,5,27,10,1
Nick Chubb,HST,RB,3,20,8,
Michael Carter,ARZ,RB,1,7,1,1
Tyjae Spears,TEN,RB,1,1,1,
Javonte Williams,DAL,RB,4,54,46,
Devin Singletary,NYG,RB,1,5,1,
Christian McCaffrey,SF,RB,7,55,15,1
Quinshon Judkins,CLV,RB,1,,1,
AJ Dillon,PHI,RB,1,8,3,
Khalil Herbert,NYJ,RB,1,4,2,
Chuba Hubbard,CAR,RB,2,17,4,
Zach Charbonnet,SEA,RB,1,8,2,
Jaylen Warren,PIT,RB,1,1,1,
Tyrone Tracy,NYG,RB,2,9,2,
Rico Dowdle,CAR,RB,1,-1,,
Jeremy McNichols,WAS,RB,1,6,2,
Derrick Henry,BLT,RB,1,2,2,
Kareem Hunt,KC,RB,1,5,2,
Jerome Ford,CLV,RB,2,6,3,
Kenneth Walker,SEA,RB,4,23,9,1
Tank Bigsby,PHI,RB,3,15,9,1
Jaleel McLaughlin,DEN,RB,1,4,1,
Brashard Smith,KC,RB,2,8,6,
Isiah Pacheco,KC,RB,5,30,26,1
Rhamondre Stevenson,NE,RB,4,4,6,
Samaje Perine,CIN,RB,1,4,2,
Travis Etienne,JAX,RB,6,45,15,
Jaret Patterson,LAC,RB,1,2,1,
Jaydon Blue,DAL,RB,2,-3,,
Amar Johnson,LAC,RB,1,2,1,
J.K. Dobbins,DEN,RB,2,5,2,
Kyle Monangai,CHI,RB,2,19,6,
Ashton Jeanty,LV,RB,6,41,19,3
Dare Ogunbowale,HST,RB,1,9,1,
RJ Harvey,DEN,RB,3,15,10,1
Hunter Luepke,DAL,FB,2,14,3,
Dylan Sampson,CLV,RB,1,,3,
Jawhar Jordan,HST,RB,1,11,2,
Woody Marks,HST,RB,5,25,12,
Chase Brown,CIN,RB,8,17,22,2
Miles Sanders,DAL,RB,1,3,3,
Austin Ekeler,WAS,RB,1,5,2,
Saquon Barkley,PHI,RB,4,23,12,1
Tony Pollard,TEN,RB,2,6,3,
Ray Davis,BUF,RB,1,6,2,
D'Andre Swift,CHI,RB,2,1,1,
Alvin Kamara,NO,RB,1,3,1,
Brian Robinson,SF,RB,2,14,4,
Malik Davis,DAL,RB,1,16,4,1
Kyren Williams,LA,RB,5,55,20,3
Breece Hall,NYJ,RB,3,13,5,1
Blake Corum,LA,RB,2,15,6,
Raheem Mostert,LV,RB,2,4,7,1
TreVeyon Henderson,NE,RB,7,41,14,1
Justice Hill,BLT,RB,2,5,5,
