Name,Team,POS,ATT,YDS,TD,YAC,MTF
Javonte Williams,DAL,RB,26,104,6,72,1
Tyjae Spears,TEN,RB,9,30,,20,2
DJ Giddens,IND,RB,3,24,,13,
Nick Chubb,HST,RB,6,27,,14,
Chris Rodriguez,WAS,RB,10,37,1,27,2
Michael Carter,ARZ,RB,9,23,1,16,2
Omarion Hampton,LAC,RB,19,75,2,38,3
Bucky Irving,TB,RB,10,21,,15,
Antonio Gibson,NE,RB,2,5,,1,
Terrell Jennings,NE,RB,3,16,,12,1
Audric Estime,NO,RB,2,5,,3,
Keaton Mitchell,BLT,RB,12,44,,27,3
Jacory Croskey-Merritt,WAS,RB,8,36,,22,1
Jonathan Taylor,IND,RB,35,116,4,72,5
Raheim Sanders,CLV,RB,2,3,,2,
Jordan Mason,MIN,RB,9,51,,24,2
Velus Jones,SEA,RB,2,29,,2,
Tyler Goodson,IND,RB,1,4,,1,
Phil Mafah,DAL,RB,2,4,1,1,
Tyler Allgeier,ATL,RB,1,1,,2,
AJ Dillon,PHI,RB,1,3,,2,
Emanuel Wilson,GB,RB,3,7,,5,
Quinshon Judkins,CLV,RB,22,96,3,74,2
Jahmyr Gibbs,DET,RB,12,43,2,9,1
Zavier Scott,MIN,RB,1,,,1,
Christian McCaffrey,SF,RB,24,106,4,55,3
Ameer Abdullah,IND,RB,1,5,,2,
Devin Singletary,NYG,RB,11,37,,16,2
Corey Kiner,ARZ,RB,1,4,,2,
Trayveon Williams,CLV,RB,1,,,,
Kareem Hunt,KC,RB,19,85,2,48,4
Ty Chandler,MIN,RB,1,,,1,
Jerome Ford,CLV,RB,1,,,2,
Jeremy McNichols,WAS,RB,2,9,,4,
Derrick Henry,BLT,RB,47,234,7,81,8
Rico Dowdle,CAR,RB,18,101,1,46,2
Jaylen Wright,MIA,RB,1,3,,1,
Ty Johnson,BUF,RB,2,1,,1,
Hassan Haskins,LAC,RB,3,19,,6,
Rachaad White,TB,RB,10,32,,20,1
Jaylen Warren,PIT,RB,13,61,,37,1
Tyrone Tracy,NYG,RB,17,47,,35,1
Chuba Hubbard,CAR,RB,1,5,,4,2
Zach Charbonnet,SEA,RB,14,47,1,36,3
Ollie Gordon,MIA,RB,9,24,,12,
David Montgomery,DET,RB,10,19,1,15,
Josh Jacobs,GB,RB,13,62,,30,1
Bhayshul Tuten,JAX,RB,7,26,2,15,2
Sean Tucker,TB,RB,10,31,1,14,1
Isiah Pacheco,KC,RB,8,29,,16,
Kenneth Gainwell,PIT,RB,9,53,1,21,1
Tank Bigsby,PHI,RB,1,,,1,
Clyde Edwards-Helaire,KC,RB,1,-1,,,
Bijan Robinson,ATL,RB,2,34,,24,1
LeQuint Allen,JAX,RB,1,,,,
Jaleel McLaughlin,DEN,RB,2,10,1,5,
Kalel Mullings,TEN,RB,2,7,,5,1
Kenneth Walker,SEA,RB,22,45,1,37,4
De'Von Achane,MIA,RB,14,62,,32,2
Julius Chestnut,TEN,RB,5,8,,4,1
RJ Harvey,DEN,RB,13,96,1,26,2
Kimani Vidal,LAC,RB,31,134,,83,1
Emari Demercado,ARZ,RB,4,79,,4,
J.K. Dobbins,DEN,RB,24,101,1,53,4
Kyle Monangai,CHI,RB,7,39,1,14,
Ashton Jeanty,LV,RB,15,16,1,13,3
Jaydon Blue,DAL,RB,3,13,,4,
Samaje Perine,CIN,RB,4,11,1,6,1
Bam Knight,ARZ,RB,7,8,1,5,
Jaret Patterson,LAC,RB,6,18,,15,1
Rhamondre Stevenson,NE,RB,10,49,,41,3
Travis Etienne,JAX,RB,17,58,1,24,3
D'Ernest Johnson,NE,RB,1,1,,1,
Saquon Barkley,PHI,RB,2,4,,,1
Miles Sanders,DAL,RB,1,4,1,,
Chase Brown,CIN,RB,12,48,,27,1
Najee Harris,LAC,RB,5,22,,19,
Woody Marks,HST,RB,12,52,,36,1
Aaron Jones,MIN,RB,10,42,,12,1
Nyheim Hines,NO,RB,1,-3,,,
Dylan Sampson,CLV,RB,1,2,,1,
Jawhar Jordan,HST,RB,1,,,,
Kyren Williams,LA,RB,1,4,,3,
Will Shipley,PHI,RB,1,,,1,
Alvin Kamara,NO,RB,8,22,,16,3
Brian Robinson,SF,RB,10,45,,25,2
Malik Davis,DAL,RB,5,34,,13,1
Trevor Etienne,CAR,RB,1,2,,2,
D'Andre Swift,CHI,RB,5,21,,5,
Cam Skattebo,NYG,RB,16,64,1,35,3
Tony Pollard,TEN,RB,34,125,2,68,6
Ray Davis,BUF,RB,5,18,,13,
Justice Hill,BLT,RB,1,2,,1,
Josh Williams,TB,RB,1,4,,1,
Kendre Miller,NO,RB,3,14,,9,2
James Conner,ARZ,RB,4,9,1,7,2
Devin Neal,NO,RB,1,2,,1,
TreVeyon Henderson,NE,RB,12,87,3,12,2
Blake Corum,LA,RB,1,1,,2,
Dameon Pierce,KC,RB,1,2,,1,
James Cook,BUF,RB,22,74,1,29,
Breece Hall,NYJ,RB,8,45,1,18,3
Evan Hull,NO,RB,1,2,,1,
George Holani,SEA,RB,4,6,,4,
