Name,Team,POS,ATT,YDS,YAC,MTF,TD
Breece Hall,NYJ,RB,5,13,10,,
DJ Giddens,IND,RB,2,5,2,,
Nick Chubb,HST,RB,3,-3,2,,
Chris Rodriguez,WAS,RB,7,76,53,2,
Michael Carter,ARZ,RB,13,55,18,2,
Javonte Williams,DAL,RB,30,121,73,3,
Tyjae Spears,TEN,RB,3,2,5,,
Keaton Mitchell,BLT,RB,6,44,4,1,
Omarion Hampton,LAC,RB,7,66,11,1,1
Bucky Irving,TB,RB,24,83,43,2,1
Jonathan Taylor,IND,RB,18,31,24,2,2
Audric Estime,NO,RB,2,6,6,1,
Jacory Croskey-Merritt,WAS,RB,23,76,37,2,1
Jordan Mason,MIN,RB,4,29,5,,
Isaiah Davis,NYJ,RB,2,11,6,,
Braelon Allen,NYJ,RB,1,15,5,,
Raheim Sanders,CLV,RB,1,5,3,,
Tyler Allgeier,ATL,RB,3,11,5,,
AJ Dillon,PHI,RB,4,23,12,,
Emanuel Wilson,GB,RB,7,27,23,,
Quinshon Judkins,CLV,RB,14,54,36,3,2
Christian McCaffrey,SF,RB,11,26,11,1,
Jahmyr Gibbs,DET,RB,7,15,26,3,1
Corey Kiner,ARZ,RB,2,7,2,,
Devin Singletary,NYG,RB,9,34,12,,
Derrick Henry,BLT,RB,12,48,17,1,1
Jeremy McNichols,WAS,RB,5,20,13,2,
Kareem Hunt,KC,RB,11,28,16,2,3
Rico Dowdle,CAR,RB,10,10,14,1,
Jaylen Wright,MIA,RB,3,23,24,3,
Tyrone Tracy,NYG,RB,10,37,19,1,
Jaylen Warren,PIT,RB,7,49,31,3,
Rachaad White,TB,RB,29,136,64,9,
Josh Jacobs,GB,RB,20,78,58,4,
Ollie Gordon,MIA,RB,2,3,3,,
Chuba Hubbard,CAR,RB,11,52,24,,
Zach Charbonnet,SEA,RB,7,16,15,1,
David Montgomery,DET,RB,7,27,18,2,
Isiah Pacheco,KC,RB,7,27,9,,
Brashard Smith,KC,RB,2,9,4,,
Sean Tucker,TB,RB,13,90,19,3,4
Kenneth Gainwell,PIT,RB,1,5,3,,
Bhayshul Tuten,JAX,RB,2,10,12,1,
Clyde Edwards-Helaire,KC,RB,3,7,5,,
Tank Bigsby,PHI,RB,10,66,39,5,
Bijan Robinson,ATL,RB,5,20,9,,
Jaleel McLaughlin,DEN,RB,1,,1,,
Trey Benson,ARZ,RB,6,28,9,1,
De'Von Achane,MIA,RB,12,46,24,1,
Kalel Mullings,TEN,RB,1,,,,
Kenneth Walker,SEA,RB,7,15,14,,
Hunter Luepke,DAL,FB,1,2,1,,
RJ Harvey,DEN,RB,3,16,12,1,
Kimani Vidal,LAC,RB,8,54,23,2,
Dare Ogunbowale,HST,RB,1,,1,,
Jaydon Blue,DAL,RB,3,36,10,1,
Ashton Jeanty,LV,RB,1,-5,,,
Emari Demercado,ARZ,RB,11,34,24,2,
J.K. Dobbins,DEN,RB,4,8,7,1,
Travis Etienne,JAX,RB,13,12,13,1,1
Rhamondre Stevenson,NE,RB,6,49,18,1,1
Kyle Monangai,CHI,RB,6,30,10,,1
Bam Knight,ARZ,RB,10,27,21,2,
Samaje Perine,CIN,RB,1,5,2,,
Jaret Patterson,LAC,RB,2,3,,,
Saquon Barkley,PHI,RB,30,71,63,5,
Austin Ekeler,WAS,RB,4,13,9,,
Miles Sanders,DAL,RB,5,22,14,2,
Woody Marks,HST,RB,4,,1,,
Dylan Sampson,CLV,RB,7,1,9,1,
Jawhar Jordan,HST,RB,2,2,1,,
Nyheim Hines,NO,RB,1,1,1,,
Aaron Jones,MIN,RB,4,16,7,,
Kyren Williams,LA,RB,6,26,19,,
Malik Davis,DAL,RB,2,13,4,,
Alvin Kamara,NO,RB,9,46,15,1,
Brian Robinson,SF,RB,4,9,14,2,
Ray Davis,BUF,RB,5,18,7,,
Tony Pollard,TEN,RB,7,22,21,2,
D'Andre Swift,CHI,RB,16,48,19,1,
Cam Skattebo,NYG,RB,3,39,17,1,
Trevor Etienne,CAR,RB,1,2,1,,
TreVeyon Henderson,NE,RB,10,33,22,2,
James Conner,ARZ,RB,8,21,16,2,
Devin Neal,NO,RB,2,15,6,1,
Kendre Miller,NO,RB,4,18,8,2,
Raheem Mostert,LV,RB,1,-3,,,
Blake Corum,LA,RB,13,49,20,1,
Dameon Pierce,KC,RB,1,2,2,,
James Cook,BUF,RB,7,73,41,2,1
Chris Brooks,GB,RB,1,,2,,
Evan Hull,NO,RB,3,12,1,,
