teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingTowThrowPercentage,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTouchdownsTotal,opponentStatsPassingAttemptsInEndzoneTotal
15,Jacksonville,Jaguars,True,TEN,AFC,AFC South,Open,Open,Cover 2,17,55,55,0.8181818181818182,40,0.7272727272727273,0.8301886792452831,-0.060539454981132,4,0.07272727272727272,203,3.690909090909091,1.103448275862069,2.8727272727272726,-14,1,3,No,Yes,23,0.41818181818181815,-0.007959090909090931,No,0.16363636363636364,1,0.6181818181818182,3.0454545454545454,2.643478260869565,-0.45454545454545453,70.5,No,Yes,8,,,,,,
18,Los Angeles,Chargers,,DEN,AFC,AFC West,Closed,Open,Cover 2,16,36,36,0.75,23,0.6388888888888888,0.7142857142857143,-0.17073949797142862,-13,0.05555555555555555,166,4.611111111111111,1.1385542168674698,4.611111111111111,-24,,3,No,Yes,21,0.5833333333333334,0.14011666666666667,No,0.25,1,0.5555555555555556,3.1444444444444444,2.4476190476190474,-0.6666666666666666,74.5,No,No,7,0.027777777777777776,,,,,
25,New York,Jets,,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,40,40,0.95,33,0.825,0.9230769230769231,0.024401902025641076,-2,0.075,242,6.05,1.1363636363636365,6.05,-36,,,No,Yes,11,0.275,-0.15019999999999997,Yes,0.025,1,0.8,3.04,2.618181818181818,-0.825,91.9,No,No,9,0.025,,,,,
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Open,Cover 6,17,61,61,0.9344262295081968,54,0.8852459016393442,0.9180327868852459,0.021049325885245884,,0.03278688524590164,418,6.852459016393443,1.145933014354067,6.852459016393443,-57,,1,Yes,No,18,0.29508196721311475,-0.12745983606557376,No,0.06557377049180328,1,0.7540983606557377,3.0245901639344264,2.783333333333333,-0.9344262295081968,95.2,No,Yes,14,,,,,,
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,52,52,0.9038461538461539,42,0.8076923076923077,0.8846153846153846,-0.00937824053846159,-2,0.07692307692307693,267,5.134615384615385,1.149812734082397,5.134615384615385,-32,,1,Yes,No,21,0.40384615384615385,-0.0008528846153846431,Yes,0.09615384615384616,1,0.7307692307692307,2.9211538461538464,2.5619047619047617,-0.6153846153846154,88.1,No,Yes,9,,,,,,
20,Miami,Dolphins,,NE,AFC,AFC East,Open,Closed,Cover 3,17,54,54,0.9814814814814815,48,0.8888888888888888,0.9629629629629629,0.07903603859259256,4,0.07407407407407407,301,5.574074074074074,1.0498338870431894,5.574074074074074,-1,,,No,No,21,0.3888888888888889,-0.037077777777777814,Yes,0.018518518518518517,1,0.7777777777777778,3.0444444444444447,2.719047619047619,-0.018518518518518517,89.9,No,Yes,12,,,,,,
19,Las Vegas,Raiders,True,KC,AFC,AFC West,Closed,Open,Cover 2,16,49,49,0.9387755102040817,40,0.8163265306122449,0.9183673469387755,0.012931873367347024,-8,0.10204081632653061,187,3.816326530612245,1.1336898395721926,3.816326530612245,-49,,1,Yes,No,18,0.3673469387755102,-0.07594795918367349,No,0.061224489795918366,1,0.7142857142857143,3.144897959183673,2.5166666666666666,-1,82.6,No,Yes,4,,0.02040816326530612,,,,
9,Dallas,Cowboys,,NYG,NFC,NFC East,Open,Open,Bracket,17,55,55,0.9636363636363636,49,0.8909090909090909,0.9454545454545454,0.06178186163636368,2,0.05454545454545454,357,6.490909090909091,1.0252100840336134,6.490909090909091,-3,,1,No,Yes,29,0.5272727272727272,0.10144545454545453,Yes,0.03636363636363636,1,0.7818181818181819,3.043636363636364,2.5827586206896553,-0.05454545454545454,93.7,No,Yes,12,,,1,0.01818181818181818,,
21,Minnesota,Vikings,True,GB,NFC,NFC North,Closed,Closed,Cover 3,17,44,44,0.8863636363636364,37,0.8409090909090909,0.8863636363636364,-0.01764006452272726,-1,0.045454545454545456,223,5.068181818181818,1.188340807174888,5.5227272727272725,-42,,1,Yes,No,21,0.4772727272727273,0.05309204545454546,Yes,0.11363636363636363,1,0.7272727272727273,3.034090909090909,2.5619047619047617,-0.9545454545454546,95.4,No,Yes,8,,,,,1,
23,New Orleans,Saints,,ATL,NFC,NFC South,Open,Open,Cover 4,17,41,41,0.9512195121951219,36,0.8780487804878049,0.926829268292683,0.05250582887804889,-15,0.04878048780487805,203,4.951219512195122,1.2118226600985222,4.951219512195122,-50,,5,No,No,22,0.5365853658536586,0.0282487804878049,No,0.024390243902439025,1,0.8048780487804879,3.521951219512195,3.0545454545454547,-1.2195121951219512,87.3,No,Yes,7,,,,,,
