Player,Team,Week 15 Opponent,Games,Expected Attempts/G vs Opp,Expected Rush FD/G vs Opp,Expected MTF/G vs Opp,Expected Targets/G vs Opp,EXPECTED VOLUME COMBINED PG vs Week 15 Opp,Total Attempts (Last 6 Games),Attempts/Game (Last 6 Games),Total TDs (Last 6 Games),Total Fumbles (Last 6 Games),Total Rush First Downs (Last 6 Games),"Rush FD/ATT (0-1, Weighted Avg)",Total MTF (Last 6 Games),"MTF/ATT (0-1, Weighted Avg)",Total Rush Yards (Last 6 Games),Rush Yards/Game (Last 6 Games),"YPC (Weighted Avg, Separate)","Success Rate (0-100, Weighted Avg)",FP/ATT (Weighted Avg),"YACO % (0-100, Weighted Avg)",Total Targets (Last 6 Games),Targets/Game (Last 6 Games),Total Target First Downs (Last 6 Games),"Target FD/TGT (0-1, Weighted Avg)","Attempt Share (0-100, Weighted Avg)","Target Share (0-100, Weighted Avg)",EFFICIENCY COMBINED (YPC + Success Rate)
Rhamondre Stevenson,NE,Seattle Seahawks,6,11.12,3.29,2.78,2.49,19.69,58,9.67,3,0,17,0.29,14,0.24,376,62.67,6.48,60.35,0.96,58.34,21.0,3.5,6.0,0.29,56.06,85.26,66.84
Kenneth Walker,SEA,New England Patriots,5,9.7,2.8,3.38,2.4,18.27,63,12.6,5,0,18,0.29,22,0.35,381,76.2,6.05,58.74,1.08,38.39,13.0,2.6,7.0,0.54,61.94,69.57,64.79
Zach Charbonnet,SEA,New England Patriots,4,8.95,2.65,2.19,0.0,13.79,43,10.75,4,0,13,0.3,12,,188,47.0,4.37,48.85,1.0,46.73,0.0,0.0,0.0,0.0,40.71,0.0,53.22
TreVeyon Henderson,NE,Seattle Seahawks,6,9.17,1.56,0.69,0.0,11.43,42,7.0,2,0,7,0.17,3,,145,24.17,3.45,52.4,0.63,74.62,0.0,0.0,0.0,0.0,44.72,0.0,55.85
