Name,Team,POS,ATT,YPA,YDS,CMP,TD
Riley Leonard,IND,QB,53,4.57,242,35,1
Kedon Slovis,ARZ,QB,2,-1,-2,1,
Malik Willis,GB,QB,27,7.11,192,23,1
Davis Mills,HST,QB,129,5.56,717,84,5
Jalen Hurts,PHI,QB,358,6.48,2321,269,16
Cooper Rush,BLT,QB,47,5.26,247,33,
Trey Lance,LAC,QB,38,5.21,198,26,
Tyler Shough,NO,QB,266,7.49,1993,209,6
Jameis Winston,NYG,QB,51,7.59,387,31,
Clayton Tune,GB,QB,13,3.23,42,7,
Tyrod Taylor,NYJ,QB,104,6.65,692,78,4
Michael Penix,ATL,QB,228,7.58,1728,158,9
Shedeur Sanders,CLV,QB,163,6.48,1056,111,5
Max Brosmer,MIN,QB,62,4.48,278,45,
Josh Allen,BUF,QB,383,7.91,3028,297,20
Sam Darnold,SEA,QB,383,8.07,3089,295,17
Andy Dalton,CAR,QB,33,7.88,260,24,1
Drew Lock,SEA,QB,3,5,15,2,
Jayden Daniels,WAS,QB,149,6.6,983,105,6
Bo Nix,DEN,QB,497,6.3,3133,363,17
Brandon Allen,TEN,QB,28,2.57,72,17,
Trevor Lawrence,JAX,QB,444,7.17,3185,312,25
Joe Burrow,CIN,QB,213,6.92,1473,162,13
Anthony Richardson,IND,QB,1,9,9,1,
Russell Wilson,NYG,QB,83,6.52,541,61,
Joshua Dobbs,NE,QB,8,8.12,65,7,
Mac Jones,SF,QB,251,8.02,2012,196,12
Kirk Cousins,ATL,QB,222,7.06,1568,161,8
Philip Rivers,IND,QB,77,6.6,508,56,2
Kenny Pickett,LV,QB,39,3.51,137,26,
Lamar Jackson,BLT,QB,235,8.42,1978,174,15
Chris Oladokun,KC,QB,45,5.22,235,35,1
Caleb Williams,CHI,QB,440,7.15,3144,303,17
Gardner Minshew,KC,QB,8,4.62,37,6,
Tua Tagovailoa,MIA,QB,327,7.02,2295,248,16
Dillon Gabriel,CLV,QB,161,5.41,871,107,6
Justin Fields,NYJ,QB,166,6.7,1112,122,5
Brock Purdy,SF,QB,232,7.03,1631,178,17
Teddy Bridgewater,TB,QB,12,5.17,62,8,
Nick Mullens,JAX,QB,3,6.33,19,3,
Zach Wilson,MIA,QB,9,3.56,32,6,
C.J. Stroud,HST,QB,347,7.13,2475,257,14
Joe Flacco,CIN,QB,337,6.13,2067,237,11
Daniel Jones,IND,QB,324,7.85,2544,245,16
Kyle Allen,DET,QB,2,,,,
Jacoby Brissett,ARZ,QB,399,7.19,2868,297,19
Josh Johnson,WAS,QB,45,8.27,372,34,1
Jake Browning,CIN,QB,100,5.67,567,75,3
Jared Goff,DET,QB,488,8.44,4119,376,28
Kyler Murray,ARZ,QB,135,5.84,789,104,5
Cam Ward,TEN,QB,430,5.89,2531,303,13
Joe Milton,DAL,QB,18,8.22,148,14,
Dak Prescott,DAL,QB,492,6.98,3433,372,22
Spencer Rattler,NO,QB,210,5.8,1218,164,5
Carson Wentz,MIN,QB,137,6.94,951,102,5
Mason Rudolph,PIT,QB,43,7.21,310,38,2
Quinn Ewers,MIA,QB,72,6.9,497,52,2
Tanner McKee,PHI,QB,32,7.72,247,23,1
Aaron Rodgers,PIT,QB,415,6.65,2760,310,18
Baker Mayfield,TB,QB,457,6.58,3007,324,18
Bryce Young,CAR,QB,382,6.4,2445,285,15
Jordan Love,GB,QB,342,7.58,2593,266,18
Mitchell Trubisky,BUF,QB,33,8.82,291,24,4
Shane Buechele,KC,QB,8,4.62,37,6,
Brady Cook,NYJ,QB,134,5.18,694,86,2
Jaxson Dart,NYG,QB,273,7.07,1929,205,12
Matthew Stafford,LA,QB,487,7.16,3486,350,35
Tyson Bagent,CHI,QB,3,15.67,47,3,
Patrick Mahomes,KC,QB,402,7.08,2847,294,21
J.J. McCarthy,MIN,QB,192,6.68,1283,130,9
Aidan O'Connell,LV,QB,18,5.67,102,10,
Justin Herbert,LAC,QB,416,7.0,2911,313,18
Drake Maye,NE,QB,401,8.45,3389,322,23
Geno Smith,LV,QB,374,6.78,2535,288,16
Tyler Huntley,BLT,QB,60,6.5,390,51,2
Marcus Mariota,WAS,QB,176,7.32,1289,128,8
