Name,Team,POS,ATT,YPA,YDS,CMP,TD
Dillon Gabriel,CLV,QB,9,7.33,66,3,1
Kenny Pickett,LV,QB,3,17,51,2,1
Chris Oladokun,KC,QB,5,,,,
Lamar Jackson,BLT,QB,42,13.6,571,18,6
Trevor Lawrence,JAX,QB,76,10.82,822,29,4
Bo Nix,DEN,QB,72,11.08,798,25,8
Jayden Daniels,WAS,QB,20,13.95,279,9,2
Brandon Allen,TEN,QB,1,,,,
Andy Dalton,CAR,QB,2,16.5,33,1,
Sam Darnold,SEA,QB,48,19.98,959,28,8
Mac Jones,SF,QB,18,7.72,139,5,1
Kirk Cousins,ATL,QB,26,5.88,153,5,2
Russell Wilson,NYG,QB,17,17.06,290,8,3
Anthony Richardson,IND,QB,1,,,,
Joshua Dobbs,NE,QB,2,,,,
Joe Burrow,CIN,QB,29,11.59,336,11,4
Philip Rivers,IND,QB,10,3.6,36,2,2
Jameis Winston,NYG,QB,9,20,180,6,2
Josh Allen,BUF,QB,51,12.55,640,22,5
Max Brosmer,MIN,QB,5,10,50,2,
Michael Penix,ATL,QB,26,9.77,254,8,
Tyrod Taylor,NYJ,QB,17,5.12,87,2,1
Shedeur Sanders,CLV,QB,25,13.76,344,9,2
Jalen Hurts,PHI,QB,62,14.56,903,25,9
Cooper Rush,BLT,QB,2,28,56,1,
Davis Mills,HST,QB,20,9.9,198,7,
Malik Willis,GB,QB,8,28.75,230,7,2
Riley Leonard,IND,QB,8,21.62,173,4,1
Tyler Shough,NO,QB,42,9.31,391,12,4
Trey Lance,LAC,QB,10,2.8,28,1,
Drake Maye,NE,QB,61,16.48,1005,32,8
Geno Smith,LV,QB,43,11.4,490,14,3
Justin Herbert,LAC,QB,62,13.16,816,27,8
J.J. McCarthy,MIN,QB,31,11.26,349,10,2
Patrick Mahomes,KC,QB,58,12.76,740,21,1
Aidan O'Connell,LV,QB,2,,,,
Matthew Stafford,LA,QB,81,15.07,1221,38,11
Tyson Bagent,CHI,QB,1,,,,
Marcus Mariota,WAS,QB,32,12.69,406,11,2
Tyler Huntley,BLT,QB,4,9,36,1,
Aaron Rodgers,PIT,QB,47,11.96,562,17,6
Baker Mayfield,TB,QB,59,11.63,686,19,8
Mason Rudolph,PIT,QB,4,,,,
Carson Wentz,MIN,QB,20,13.25,265,8,1
Quinn Ewers,MIA,QB,9,13.89,125,3,1
Dak Prescott,DAL,QB,72,15.54,1119,32,8
Jaxson Dart,NYG,QB,43,7.98,343,11,3
Spencer Rattler,NO,QB,31,11.87,368,10,3
Joe Milton,DAL,QB,3,11.67,35,1,1
Brady Cook,NYJ,QB,9,5,45,2,
Shane Buechele,KC,QB,3,17,51,1,
Bryce Young,CAR,QB,40,14.15,566,19,8
Jordan Love,GB,QB,60,13.13,788,25,5
Mitchell Trubisky,BUF,QB,1,22,22,1,
Joe Flacco,CIN,QB,37,11.14,412,14,4
Daniel Jones,IND,QB,37,15.05,557,16,3
Jacoby Brissett,ARZ,QB,49,10.16,498,18,4
C.J. Stroud,HST,QB,45,12.58,566,16,5
Kyler Murray,ARZ,QB,13,13.31,173,6,1
Jared Goff,DET,QB,38,11.71,445,17,6
Cam Ward,TEN,QB,52,12.27,638,20,2
Jake Browning,CIN,QB,17,12,204,6,3
Tanner McKee,PHI,QB,4,6.75,27,1,
Josh Johnson,WAS,QB,2,,,,
Tua Tagovailoa,MIA,QB,33,11.06,365,12,4
Gardner Minshew,KC,QB,1,,,,
Caleb Williams,CHI,QB,65,12.28,798,27,10
Teddy Bridgewater,TB,QB,1,,,,
Brock Purdy,SF,QB,30,17.87,536,19,3
Justin Fields,NYJ,QB,16,9.19,147,6,2
