Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsContested,TargetedReadDesignTotal,TargetedReadDesignPercentage
CeeDee Lamb,DAL,WR,23,No,Yes,No,22,1,No,No,1,1,0.0455,1,1,17,4,3,13,1,1,0.0909,0.5455,0.3636,13,118.8,0.7727,17,8.0855,17,4,3,1,3.3017,3.3017,0.0833,1.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,2.7,2.2,2.7,2.7,16,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,9,No,Yes,Yes,7,2,No,No,2,1,0.2857,1,0.5,24,17,10,27,,,1,,,13.5,93.8,3.4286,12,3.187,24,17,10,,6.8049,6.8049,0.4,2.4,3.4,2.9,3.9,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,13,1,1,1,0.5,1,,,,,,,,,
Colby Parkinson,LA,TE,10,Yes,Yes,No,8,,No,No,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.75,,,,,,,,
Brenden Bates,CLV,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,1,,,,,,,,
Rome Odunze,CHI,WR,67,No,Yes,No,66,8,No,No,6,0.75,0.1212,6,0.75,109,25,7,113,,,,0.3485,0.6515,14.125,116.7,1.6515,13.625,3.9785,18.1667,4.1667,1.1667,5,16.1155,16.1155,0.3333,10.9,16.9,13.9,16.9,16.9,19.9,16.9,16.9,16.9,16.9,13.9,16.9,16.9,17,1,,,,1,,2,,,,,,,
Bucky Irving,TB,RB,17,No,Yes,Yes,15,1,No,No,1,1,0.0667,1,1,15,6,3,9,,,0.8,0.1333,0.0667,9,118.8,1,15,7.6056,15,6,3,1,1.6291,1.6291,0.125,1.5,2.5,2,3,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,17,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,72,No,Yes,No,71,3,No,No,2,0.6667,0.0423,2,0.6667,28,16,7,18,2,1,,0.2535,0.7465,6,96.5,0.3944,9.3333,2.5412,14,8,3.5,2,5.7993,5.7993,0.125,2.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,4.8,3.8,4.8,4.8,17,,,,,,,,1,,,,,,
Keaton Mitchell,BLT,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,8,Yes,Yes,Yes,7,,No,No,,,,,,,,,,,,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,0.1429,,,,,,,,
Laviska Shenault,LAC,WR,2,No,Yes,Yes,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,12,No,Yes,No,10,,No,No,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,0.8,,,,,,,,
Nick Chubb,CLV,RB,6,No,Yes,No,3,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,5,No,Yes,No,3,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
