Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,TouchdownsInEndzone,ReceptionsContested,TargetedReadDesignTotal,TargetedReadDesignPercentage
Devin Singletary,NYG,RB,22,No,Yes,No,15,,No,Yes,,,,,,,,,,,,0.9333,,0.0667,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,3,No,Yes,Yes,3,,No,No,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Zamir White,LV,RB,6,No,Yes,No,3,2,No,No,2,1,0.6667,,,,,,-6,,,1,,,-3,39.6,,,-5.4582,,,,,2.9526,2.9526,0.6667,,,,,,,,,,,,,,8,,1,,0.5,,,,,1,,,,,
Ameer Abdullah,LV,RB,33,No,Yes,No,24,2,No,No,2,1,0.0833,2,1,6,1,,7,,,0.9167,0.0417,0.0417,3.5,118.8,0.25,3,-4.1658,3,0.5,,1,5.5122,5.5122,0.125,6.6,8.6,7.6,9.6,8.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,16,1,,,,2,,,,,1,1,,,
Devaughn Vele,DEN,WR,31,Yes,No,No,30,5,No,No,4,0.8,0.1667,4,0.8,79,28,10,67,,,0.0333,0.6333,0.3,13.4,118.8,2.6333,15.8,6.5208,19.75,7,2.5,4,12.3285,12.3285,0.3846,7.9,11.9,9.9,11.9,11.9,11.9,9.9,11.9,11.9,11.9,9.9,11.9,11.9,13,1,,,,2,0.0333,2,,,,,,,
Khalil Herbert,CIN,RB,4,No,Yes,No,4,,No,No,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Trey Sermon,IND,RB,8,No,Yes,No,3,1,No,Yes,1,1,0.3333,,,,,,4,,,1,,,4,39.6,,,-6.6619,,,,,1.7418,1.7418,0.2,,,,,,,,,,,,,,17,,1,,1,1,,,,,,,,,
Josh Downs,IND,WR,28,No,Yes,No,27,2,No,Yes,1,0.5,0.0741,1,0.5,15,4,2,21,,,,0.7407,0.2593,10.5,75,0.5556,7.5,-0.4076,15,4,2,1,6.6286,6.6286,0.1538,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,14,1,,,,1,,,1,,,,,,
Foster Moreau,NO,TE,26,No,Yes,Yes,20,,No,No,,,,,,,,,,,,,0.4,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.45,,,,,,,,
Tyler Allgeier,ATL,RB,1,No,Yes,No,1,,Yes,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,39,No,Yes,Yes,35,1,No,No,1,1,0.0286,1,1,16,,,19,,,,0.5429,0.1143,19,158.3,0.4571,16,5.4045,16,,,1,5.0158,5.0158,0.0588,7.6,8.6,8.1,8.6,9.1,8.6,8.1,8.6,8.6,8.6,8.1,9.1,8.6,17,1,,,,1,0.3429,1,,,1,1,,,
David Montgomery,DET,RB,5,No,Yes,No,5,1,No,No,1,1,0.2,1,1,2,-1,,3,,,1,,,3,79.2,0.4,2,-4.5094,2,-1,,,1.5724,1.5724,0.5,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,14,,,,,,,,,,,,,,
Mack Hollins,BUF,WR,51,No,Yes,No,50,4,No,No,3,0.75,0.08,2,0.5,56,9,,81,,,,0.26,0.74,20.25,95.8,1.12,14,3.4454,28,4.5,,2,8.0586,8.0586,0.1667,5.6,7.6,6.6,7.6,7.6,7.6,6.6,7.6,7.6,7.6,6.6,7.6,7.6,17,1,,2,,1,,,,1,,,,,
Tyler Boyd,TEN,WR,21,Yes,Yes,Yes,20,,No,No,,,,,,,,,,,,,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Hassan Haskins,LAC,RB,6,No,No,No,6,,Yes,Yes,,,,,,,,,,,,0.8333,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Andrew Ogletree,IND,TE,9,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,5,1,1,4,,,,0.1429,0.1429,4,87.5,0.7143,5,-1.0667,5,1,1,,1.3129,1.3129,0.125,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,,,,,,0.7143,,,,,,,,
Jaylen Warren,PIT,RB,27,No,Yes,No,22,4,No,No,2,0.5,0.1818,1,0.25,11,11,1,21,,,0.9091,0.0455,,5.25,39.6,0.5,2.75,-4.7554,11,11,1,1,8.5369,8.5369,0.3333,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,15,1,1,,0.25,2,0.0455,,,,,,,,
Kendrick Bourne,NE,WR,37,No,Yes,No,36,1,No,No,1,1,0.0278,1,1,10,1,,9,,,,0.0833,0.9167,9,108.3,0.2778,10,2.5461,10,1,,1,4.7193,4.7193,0.0769,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,12,,,,,,,,,,,,,,
Ashton Dulin,IND,WR,3,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,27,No,Yes,No,27,2,No,No,2,1,0.0741,2,1,9,,,17,,,,0.5556,0.4444,8.5,125,0.3333,4.5,-3.2045,4.5,,,1,4.4208,4.4208,0.2857,6.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,8.9,7.9,8.9,8.9,15,1,,,,1,,,,,1,1,,,
Ja'Tavion Sanders,CAR,TE,28,No,Yes,No,28,2,Yes,No,,,0.0714,,,,,,35,,,,0.6071,0.1429,17.5,39.6,,,-10.3932,,,,,4.0726,4.0726,0.2,,,,,,,,,,,,,,16,,,,,,0.25,,,1,,,,,
Quintin Morris,BUF,TE,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.5,,,,,,,,
Marquise Brown,KC,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Jalen Nailor,MIN,WR,31,No,Yes,No,30,1,No,No,1,1,0.0333,1,1,27,4,,23,,,,0.3667,0.6333,23,118.8,0.9,27,16.7826,27,4,,1,1.3955,1.3955,0.1429,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,17,,,1,,,,,,,,,,,
John Metchie,HST,WR,31,No,Yes,Yes,30,4,No,No,4,1,0.1333,4,1,58,11,3,47,,,,0.5,0.5,11.75,118.8,1.9333,14.5,5.9335,14.5,2.75,0.75,1,5.7482,5.7482,0.2667,5.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,9.8,7.8,9.8,9.8,13,,,1,,1,,1,,1,,,1,,
Jamison Crowder,WAS,WR,13,No,Yes,Yes,12,1,No,No,,,0.0833,,,,,,16,,,,1,,16,39.6,,,-10.0952,,,,,1.2743,1.2743,0.3333,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,12,No,Yes,Yes,12,1,No,No,,,0.0833,,,,,,43,,,0.0833,0.75,0.1667,43,39.6,,,-15,,,,,5.3942,5.3942,0.1429,,,,,,,,,,,,,,17,,,1,,,,,,,,,,,
Tyler Badie,DEN,RB,1,No,Yes,No,1,,No,No,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,13,No,Yes,Yes,13,2,No,No,1,0.5,0.1538,1,0.5,17,,,50,,,,0.2308,0.7692,25,118.8,1.3077,8.5,-2.9887,17,,,1,4.5673,4.5673,0.2222,7.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,8.7,8.2,8.7,8.7,14,1,,2,,1,,,,,1,1,,,
Jordan Mims,NO,RB,7,No,Yes,Yes,6,1,No,No,1,1,0.1667,1,1,4,11,7,-7,1,1,0.8333,,0.1667,-7,83.3,0.6667,4,-0.5287,4,11,7,,2.0105,2.0105,0.3333,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,9,,,,,1,,,,,,,,,
Kevin Austin,NO,WR,18,No,Yes,Yes,17,3,No,No,1,0.3333,0.1765,,,,,,85,,,,0.1176,0.8824,28.3333,39.6,,,-11.5846,,,,,9.6464,9.6464,0.4286,,,,,,,,,,,,,,8,,,2,,,,,,1,,,,,
Kenneth Gainwell,PHI,RB,27,No,Yes,No,20,,No,Yes,,,,,,,,,,,,0.75,0.05,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Samaje Perine,KC,RB,39,Yes,No,No,37,4,No,No,3,0.75,0.1081,3,0.75,63,31,11,42,1,0.3333,0.8919,0.0541,0.027,10.5,156.3,1.7027,15.75,8.0233,21,10.3333,3.6667,3,7.5324,7.5324,0.2105,12.3,15.3,13.8,16.8,15.3,15.3,13.8,15.3,15.3,15.3,13.8,15.3,15.3,17,1,,,,1,0.027,,,,1,1,,,
Jordan Whittington,LA,WR,2,Yes,Yes,No,2,,No,No,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,12,No,Yes,Yes,11,2,No,No,1,0.5,0.1818,1,0.5,3,1,1,41,,,,0.3636,0.0909,20.5,56.3,0.2727,1.5,-8.085,3,1,1,,3.2411,3.2411,0.4,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,17,,,1,,,0.5455,,,,,,,,
Travis Etienne,JAX,RB,15,No,Yes,No,14,2,No,Yes,1,0.5,0.1429,,,,,,13,,,1,,,6.5,39.6,,,-8.3929,,,,,4.3702,4.3702,0.2857,,,,,,,,,,,,,,15,1,,,,1,,,,,,,,,
J.K. Dobbins,LAC,RB,26,No,No,No,17,1,Yes,Yes,1,1,0.0588,1,1,10,3,,7,,,0.8824,0.0588,,7,108.3,0.5882,10,2.6359,10,3,,,1.8931,1.8931,0.1,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,13,,,,,,0.0588,,,,,,,,
Emari Demercado,ARZ,RB,5,No,No,No,4,,No,Yes,,,,,,,,,,,,0.75,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
Equanimeous St. Brown,NO,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Jake Ferguson,DAL,TE,22,No,Yes,Yes,19,2,No,No,2,1,0.1053,2,1,17,15,,2,,,,0.5789,0.1053,1,102.1,0.8947,8.5,2.8884,8.5,7.5,,1,2.5853,2.5853,0.1667,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,14,,,,,,0.3158,,1,,,,,,
Davante Adams,NYJ,WR,45,No,Yes,Yes,45,7,No,No,4,0.5714,0.1556,3,0.4286,48,37,3,85,,,,0.6444,0.3556,12.1429,106,1.0667,6.8571,-1.0674,16,12.3333,1,2,14.8871,14.8871,0.2692,10.8,13.8,12.3,13.8,13.8,13.8,12.3,13.8,13.8,13.8,12.3,13.8,13.8,14,2,,1,,2,,,,1,1,1,,,
Dare Ogunbowale,HST,RB,40,No,Yes,Yes,28,5,No,No,2,0.4,0.1786,2,0.4,12,4,,4,,,0.9286,0.0357,0.0357,0.8,47.9,0.4286,2.4,-4.03,6,2,,,12.5528,12.5528,0.2174,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,17,,,,,2,,,,,,,,,
Nico Collins,HST,WR,50,No,Yes,Yes,48,9,No,No,7,0.7778,0.1875,7,0.7778,134,22,13,178,1,0.1429,,0.2708,0.7292,19.7778,118.8,2.7917,14.8889,3.7962,19.1429,3.1429,1.8571,7,18.6771,18.6771,0.375,13.4,20.4,16.9,20.4,20.4,23.4,19.9,20.4,20.4,20.4,16.9,20.4,20.4,12,,,2,,,,1,1,,,,,,
Jerry Jeudy,CLV,WR,57,No,No,No,56,10,No,Yes,9,0.9,0.1786,5,0.5,77,5,2,138,,,,0.3571,0.6429,13.8,75.8,1.375,7.7,-1.7013,15.4,1,0.4,4,17.8438,17.8438,0.4167,7.7,12.7,10.2,12.7,12.7,12.7,10.2,12.7,12.7,12.7,10.2,12.7,12.7,17,2,2,3,0.2,2,,1,,2,,,1,,
Amari Cooper,BUF,WR,46,Yes,Yes,No,45,2,No,Yes,1,0.5,0.0444,1,0.5,13,6,3,18,,,,0.3333,0.6667,9,70.8,0.2889,6.5,-1.1898,13,6,3,,3.5605,3.5605,0.08,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,14,,,,,,,,1,,,,,,
Darius Slayton,NYG,WR,55,No,Yes,No,53,4,No,Yes,2,0.5,0.0755,2,0.5,19,4,1,53,,,,0.2264,0.7736,13.25,63.5,0.3585,4.75,-3.8984,9.5,2,0.5,2,5.518,5.518,0.2353,1.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,16,1,,1,,,,,,1,,,1,,
Jake Bobo,SEA,WR,13,Yes,Yes,No,12,,No,No,,,,,,,,,,,,,0.1667,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,3,No,Yes,Yes,3,1,No,No,1,1,0.3333,,,,,,15,,,,,,15,39.6,,,-10.6391,,,,,1.2477,1.2477,0.5,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,
Tyler Higbee,LA,TE,1,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,
Connor Heyward,PIT,TE,4,No,Yes,No,4,1,No,No,1,1,0.25,1,1,3,1,1,2,,,,0.25,0.5,2,79.2,0.75,3,-3.3701,3,1,1,1,1.3786,1.3786,0.5,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,16,,,,,,0.25,,,,,,,,
Parris Campbell,PHI,WR,3,No,Yes,No,3,,No,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Adonai Mitchell,IND,WR,12,No,Yes,No,11,,No,Yes,,,,,,,,,,,,,0.0909,0.9091,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,18,No,Yes,Yes,17,1,No,No,1,1,0.0588,1,1,4,,,8,,,,0.3529,0.6471,8,122.9,0.2353,4,-3.5106,4,,,1,2.3831,2.3831,0.2,6.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,7.4,6.9,7.4,7.4,17,1,,,,1,,,,,1,1,,,
Marquez Valdes-Scantling,NO,WR,32,No,Yes,Yes,30,4,No,No,,,0.1333,,,,,,65,,,,0.2333,0.7667,16.25,39.6,,,-9.9819,,,,,7.0116,7.0116,0.2667,,,,,,,,,,,,,,14,,,1,,,,,,,,,,,
Miles Sanders,CAR,RB,8,No,Yes,No,6,1,Yes,No,1,1,0.1667,1,1,27,4,,23,,,0.8333,,0.1667,23,118.8,4.5,27,14.8148,27,4,,1,1.3375,1.3375,0.3333,2.7,3.7,3.2,4.2,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,11,,,1,,,,,,,,,,,
Charlie Jones,CIN,WR,2,Yes,Yes,No,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Rasheen Ali,BLT,RB,2,No,No,No,2,1,No,Yes,1,1,0.5,,,,,,,,,0.5,0.5,,,39.6,,,-5.8271,,,,,1.5315,1.5315,1,,,,,,,,,,,,,,5,,1,,1,,,,,,,,,,
Will Dissly,LAC,TE,24,No,No,No,22,2,Yes,Yes,1,0.5,0.0909,,,,,,34,,,,0.3182,0.2273,17,39.6,,,-9.6205,,,,,4.0595,4.0595,0.25,,,,,,,,,,,,,,15,,,1,,,0.4545,,,,,,,,
KhaDarel Hodge,ATL,WR,3,No,Yes,No,3,,Yes,No,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,7,No,No,No,6,1,No,Yes,,,0.1667,,,,,,7,,,,0.6667,0.3333,7,39.6,,,-7.0645,,,,,1.4683,1.4683,0.3333,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Saquon Barkley,PHI,RB,38,No,Yes,No,25,4,No,No,3,0.75,0.16,3,0.75,20,12,1,43,,,0.72,0.16,0.12,10.75,85.4,0.8,5,-8.9928,6.6667,4,0.3333,1,7.7296,7.7296,0.2667,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,16,,,1,,1,,,,,,,,,
Evan Engram,JAX,TE,12,Yes,Yes,No,11,3,No,No,2,0.6667,0.2727,2,0.6667,18,1,1,20,,,,0.4545,0.0909,6.6667,82.6,1.6364,6,-1.777,9,0.5,0.5,1,4.0369,4.0369,0.6,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,9,,,,,,0.4545,,,,,,,,
Adam Trautman,DEN,TE,28,Yes,No,No,9,1,No,No,1,1,0.1111,1,1,5,3,1,2,,,,,0.1111,2,87.5,0.5556,5,-1.3701,5,3,1,,1.3168,1.3168,0.0909,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,17,,,,,,0.8889,,,,,,,,
D'Andre Swift,CHI,RB,44,No,Yes,No,31,4,No,No,3,0.75,0.129,3,0.75,43,16,5,27,,,0.7742,0.0323,0.1935,6.75,109.4,1.3871,10.75,3.0804,14.3333,5.3333,1.6667,2,5.5961,5.5961,0.2667,4.3,7.3,5.8,8.8,7.3,7.3,5.8,7.3,7.3,7.3,5.8,7.3,7.3,17,,,1,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,62,No,Yes,No,62,8,No,No,6,0.75,0.129,5,0.625,128,58,18,129,1,0.2,0.0161,0.3387,0.6452,16.125,66.7,2.0645,16,5.8311,25.6,11.6,3.6,5,12.4642,12.4642,0.2222,12.8,17.8,15.3,17.8,17.8,20.8,18.3,17.8,17.8,17.8,15.3,17.8,17.8,17,,,2,,,,,2,1,,,,,
Steven Sims,BLT,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,
Tommy Tremble,CAR,TE,24,No,Yes,No,20,1,Yes,No,1,1,0.05,1,1,38,19,5,19,,,,0.25,0.3,19,118.8,1.9,38,27.4045,38,19,5,1,1.65,1.65,0.1429,3.8,4.8,4.3,4.8,5.3,4.8,4.3,4.8,4.8,4.8,4.3,5.3,4.8,12,,,,,,0.45,,,,,,,,
Jonathan Mingo,DAL,WR,13,No,Yes,Yes,13,1,No,No,,,0.0769,,,,,,16,,,0.0769,0.3077,0.6154,16,39.6,,,-10.0952,,,,,1.9113,1.9113,0.1667,,,,,,,,,,,,,,17,,,,,,,,,,,,,,
Cooper Kupp,LA,WR,9,Yes,Yes,No,9,1,No,No,1,1,0.1111,,,,,,4,,,,0.6667,0.3333,4,39.6,,,-6.0498,,,,,1.3768,1.3768,0.1667,,,,,,,,,,,,,,12,,,,,,,,,1,,,,,
Hunter Long,LA,TE,2,Yes,Yes,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,1,,,,,,,,
Kayshon Boutte,NE,WR,54,No,Yes,No,53,5,No,No,3,0.6,0.0943,3,0.6,91,25,4,97,,,,0.1321,0.8679,19.4,143.8,1.717,18.2,7.108,30.3333,8.3333,1.3333,3,13.7702,13.7702,0.2941,15.1,18.1,16.6,18.1,18.1,18.1,16.6,18.1,18.1,18.1,16.6,18.1,18.1,15,1,,2,,1,,,1,,1,,,,
Robbie Chosen,MIA,WR,1,No,Yes,No,1,,Yes,Yes,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Ben Sims,GB,TE,6,No,Yes,No,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,1,,,,,,,,
DeAndre Carter,CHI,WR,4,No,Yes,No,3,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,
