Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal,ReceptionsContested,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
River Cracraft,MIA,WR,1,Yes,No,Yes,1,No,No,,,,8,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,9,Yes,No,No,9,Yes,Yes,,,,16,,,,,,,,,,,0.4444,0.5556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ian Thomas,CAR,TE,2,Yes,Yes,Yes,2,No,No,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,5,No,No,No,5,No,No,,5.9851,5.9851,17,4,3,0.75,0.8,3,0.75,48,41,9,9,0.4,0.6,4,2.25,114.6,9.6,12,6.1707,16,13.6667,3,3,0.8,4.8,7.8,6.3,7.8,7.8,7.8,6.3,7.8,7.8,7.8,6.3,7.8,7.8,,,,3,1,,,,,,,,,,
DJ Chark,LAC,WR,1,No,No,No,1,No,No,,1.6305,1.6305,7,1,,,1,,,,,,16,,1,1,16,39.6,,,-10.0952,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,4,Yes,No,No,4,No,Yes,1,1.4576,1.4576,10,1,1,1,0.25,1,1,10,9,3,1,,,1,1,108.3,2.5,10,4.2246,10,9,3,1,0.25,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,,,,1,1,,,,,,,,,,
Xavier Hutchinson,HST,WR,9,Yes,No,No,8,No,No,,4.3427,4.3427,16,1,,,0.125,,,,,,9,0.375,0.625,1,9,39.6,,,-7.4539,,,,,0.1111,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Brian Thomas,JAX,WR,6,No,No,No,6,No,No,,3.618,3.618,17,2,1,0.5,0.3333,1,0.5,2,6,,31,0.3333,0.6667,2,15.5,56.3,0.3333,1,-8.0928,2,6,,,0.3333,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,1,,,,,,,,,
DeAndre Hopkins,KC,WR,6,Yes,No,No,6,No,Yes,,4.2257,4.2257,16,1,1,1,0.1667,1,1,12,,,12,0.1667,0.8333,1,12,116.7,2,12,2.9539,12,,,1,0.1667,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,,,,,,,,,,
Josh Reynolds,JAX,WR,1,No,No,No,1,No,No,,,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Gray,KC,TE,8,Yes,No,No,3,No,Yes,0.6667,1.6203,1.6203,17,1,1,1,0.3333,1,1,14,8,1,6,0.3333,,1,6,118.8,4.6667,14,6.907,14,8,1,1,0.1429,1.4,2.4,1.9,2.4,2.9,2.4,1.9,2.4,2.4,2.4,1.9,2.9,2.4,,,,,,,,,,,,,,,
Tim Patrick,DET,WR,6,Yes,No,No,6,No,Yes,,,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,4,No,No,No,3,No,Yes,,3.2587,3.2587,17,2,2,1,0.6667,2,1,5,4,3,1,,,1,0.5,79.2,1.6667,2.5,-3.2782,2.5,2,1.5,,0.6667,0.5,2.5,1.5,3.5,2.5,2.5,1.5,2.5,2.5,2.5,1.5,2.5,2.5,,,,,,,1,1,,,,,,,
Michael Mayer,LV,TE,2,No,No,No,1,No,No,,,,11,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,10,No,No,No,10,No,No,,4.8553,4.8553,17,2,2,1,0.2,2,1,33,2,1,38,0.2,0.8,2,19,158.3,3.3,16.5,5.0477,16.5,1,0.5,2,0.2222,9.3,11.3,10.3,11.3,11.3,11.3,10.3,11.3,11.3,11.3,10.3,11.3,11.3,1,1,1,,,1,1,,,,1,1,,,
Bryce Oliver,TEN,WR,1,Yes,No,No,1,No,No,,1.5078,1.5078,10,1,1,1,1,1,1,16,8,3,8,1,,1,8,118.8,16,16,8.4894,16,8,3,1,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,4,No,No,No,1,No,No,1,1.1731,1.1731,17,1,1,1,1,1,1,5,4,2,1,,,1,1,87.5,5,5,-0.7754,5,4,2,,0.3333,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,5,Yes,Yes,No,5,No,Yes,1,4.4871,4.4871,17,2,2,1,0.4,2,1,10,7,4,3,,,2,1.5,127.1,2,5,-1.0727,5,3.5,2,1,0.6667,6,8,7,8,9,8,6,7,7,7,6,9,7,,1,,1,0.5,,1,,,,,,,,
Justin Watson,KC,WR,8,Yes,No,No,7,No,Yes,,,,17,,,,,,,,,,,0.1429,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Lockett,SEA,WR,3,Yes,No,No,2,No,Yes,,1.4006,1.4006,17,1,1,1,0.5,1,1,6,1,,5,0.5,0.5,1,5,91.7,3,6,-0.3628,6,1,,,0.3333,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,10,Yes,No,No,9,No,Yes,,3.0693,3.0693,15,2,1,0.5,0.2222,,,,,,25,,1,1,12.5,39.6,,,-8.9548,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.5,
Lil'Jordan Humphrey,DEN,WR,10,Yes,No,No,9,No,Yes,,6.874,6.874,17,3,2,0.6667,0.3333,2,0.6667,49,34,2,26,0.3333,0.6667,2,8.6667,149.3,5.4444,16.3333,8.7733,24.5,17,1,1,0.3,10.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,12.9,11.9,12.9,12.9,1,1,,,,,1,,,,,,,,
Keon Coleman,BUF,WR,1,Yes,Yes,No,1,No,Yes,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Smith,LA,WR,2,Yes,No,No,2,No,Yes,,,,15,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenneth Walker,SEA,RB,2,Yes,No,No,1,No,Yes,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
De'Von Achane,MIA,RB,12,Yes,No,Yes,6,No,No,,1.4554,1.4554,17,1,1,1,0.1667,1,1,5,9,3,-4,,,1,-4,87.5,0.8333,5,-0.5699,5,9,3,,0.0833,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,1,,,,,,,
Mike Evans,TB,WR,2,Yes,No,Yes,2,No,No,,,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joseph Fortson,KC,TE,1,No,No,No,1,No,Yes,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Pascal,ARZ,WR,1,No,No,No,1,No,No,,,,14,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Gipson,NYJ,WR,1,Yes,No,Yes,1,No,No,,,,17,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cedrick Wilson,NO,WR,7,Yes,No,Yes,6,No,No,,3.3617,3.3617,15,2,1,0.5,0.3333,1,0.5,18,13,5,18,0.3333,0.6667,1,9,81.3,3,9,1.3613,18,13,5,1,0.4,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,,,,,,,,,,,,,,
Tank Bigsby,JAX,RB,3,No,No,No,1,No,No,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Mike Woods,CLV,WR,6,Yes,No,No,4,No,No,,,,5,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,7,Yes,No,No,5,No,Yes,1,5.1169,5.1169,17,2,2,1,0.4,2,1,11,7,2,6,,,2,3,129.2,2.2,5.5,-0.6277,5.5,3.5,1,1,0.2857,7.1,9.1,8.1,9.1,10.1,9.1,8.1,9.1,9.1,9.1,8.1,10.1,9.1,1,1,1,,,,1,,,,,,,,
Luke Schoonmaker,DAL,TE,4,No,No,No,3,No,No,1,2.7906,2.7906,17,1,,,0.3333,,,,,,2,,,,2,39.6,,,-6.3701,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,1,Yes,No,No,1,No,Yes,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecole Hardman,KC,WR,2,No,Yes,No,2,No,No,,,,12,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Conley,SF,WR,1,No,No,No,1,No,No,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Homer,CHI,RB,1,Yes,No,No,1,No,No,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Joe Mixon,HST,RB,15,Yes,No,No,5,No,No,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Puka Nacua,LA,WR,7,Yes,No,No,7,Yes,Yes,,4.7868,4.7868,11,3,3,1,0.4286,2,0.6667,8,11,5,10,0.2857,0.5714,3,3.3333,70.1,1.1429,2.6667,-4.1945,4,5.5,2.5,,0.4286,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,,,,,,,0.1429,,,,,1,0.3333,
Luke Musgrave,GB,TE,1,No,No,No,1,No,No,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,JAX,WR,2,No,No,No,2,No,No,,9.5402,9.5402,8,2,1,0.5,1,1,0.5,-1,,,46,1,,2,23,56.3,-0.5,-0.5,-11.0849,-1,,,,1,-0.1,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,,,,,,1,,,,,,,,,1
Aaron Jones,MIN,RB,11,Yes,No,No,10,No,Yes,,4.5637,4.5637,17,2,2,1,0.2,2,1,-1,6,4,-7,,,2,-3.5,79.2,-0.1,-0.5,-5.6779,-0.5,3,2,,0.1818,-0.1,1.9,0.9,2.9,1.9,1.9,0.9,1.9,1.9,1.9,0.9,1.9,1.9,,,,1,0.5,,1,1,1,0.5,,,,,
Luke Farrell,JAX,TE,3,No,No,No,2,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,5,No,No,No,5,No,Yes,,,,17,,,,,,,,,,,0.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeVonta Smith,PHI,WR,7,Yes,No,No,7,No,No,,1.4517,1.4517,13,1,1,1,0.1429,1,1,9,4,1,5,0.7143,0.2857,1,5,104.2,1.2857,9,2.6372,9,4,1,,0.25,0.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,,,,,,,,,,,,,,,
D'Ernest Johnson,JAX,RB,1,No,No,No,1,No,No,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Theo Johnson,NYG,TE,4,Yes,Yes,No,2,No,Yes,1,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan,TB,WR,1,Yes,No,Yes,1,No,No,,,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Jenkins,PHI,TE,1,No,No,No,1,No,Yes,1,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,6,Yes,No,No,6,No,Yes,,,,15,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Gray,NYG,RB,2,No,No,No,2,No,Yes,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Tucker Fisk,LAC,TE,1,No,No,No,1,No,No,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,WAS,RB,3,No,No,No,1,No,No,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Alvin Kamara,NO,RB,9,Yes,Yes,No,5,No,No,,1.5188,1.5188,14,1,1,1,0.2,1,1,8,9,1,-1,0.2,,1,-1,100,1.6,8,2.181,8,9,1,,0.1429,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,,,0.8,,,,,,,
Eric Saubert,SF,TE,4,No,No,No,3,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,ATL,WR,2,Yes,No,No,2,No,Yes,,1.6798,1.6798,17,1,1,1,0.5,,,,,,15,,1,1,15,39.6,,,-10.4097,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,
Malik Nabers,NYG,WR,8,No,No,No,8,No,Yes,,3.805,3.805,15,2,1,0.5,0.25,1,0.5,8,2,,40,0.5,0.5,2,20,20.8,1,4,-6.4746,8,2,,,0.2857,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,,,,,1,,,,,,,,,
Alexander Mattison,LV,RB,7,No,No,No,2,No,No,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Cade Otton,TB,TE,2,No,No,No,2,No,No,1,1.16,1.16,14,1,,,0.5,,,,,,2,,,1,2,39.6,,,-6.3701,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demario Douglas,NE,WR,5,Yes,Yes,No,5,No,Yes,,7.8852,7.8852,17,2,2,1,0.4,1,0.5,15,2,,15,0.8,0.2,2,7.5,75,3,7.5,0.3755,15,2,,1,0.4,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,1,,,,,,1,,,,1,,1,0.5,
Tank Dell,HST,WR,8,Yes,No,No,8,No,No,,11.1001,11.1001,14,5,4,0.8,0.625,4,0.8,86,4,,131,,1,5,26.2,118.8,10.75,17.2,6.0421,21.5,1,,4,0.625,8.6,12.6,10.6,12.6,12.6,12.6,10.6,12.6,12.6,12.6,10.6,12.6,12.6,1,,,,,2,,,,,,,,,
Taysom Hill,NO,TE,5,Yes,No,No,4,No,Yes,0.5,1.3418,1.3418,8,1,1,1,0.25,1,1,34,30,,4,,0.25,1,4,118.8,8.5,34,27.9333,34,30,,1,0.25,3.4,4.4,3.9,4.4,4.9,4.4,3.9,4.4,4.4,4.4,3.9,4.9,4.4,,,,,,,,0.25,,,,,,,
Kadarius Toney,CLV,WR,1,No,No,No,1,No,Yes,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian Hill,MIA,TE,9,Yes,No,Yes,8,No,No,0.75,6.4708,6.4708,16,4,4,1,0.5,4,1,16,14,2,2,0.125,,2,0.5,83.3,2,4,-1.9344,4,3.5,0.5,,0.4444,1.6,5.6,3.6,5.6,7.6,5.6,3.6,5.6,5.6,5.6,3.6,7.6,5.6,,,,,,,1,0.125,1,0.25,,,,,
Pierre Strong,CLV,RB,1,Yes,No,No,1,No,No,1,1.706,1.706,13,1,1,1,1,1,1,3,4,,-1,,,1,-1,79.2,3,3,-2.819,3,4,,,1,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,,,,,,1,1,,,,,
Blake Corum,LA,RB,2,Yes,No,No,1,No,Yes,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Breece Hall,NYJ,RB,8,Yes,No,Yes,2,No,No,,1.3995,1.3995,16,1,,,0.5,,,,,,2,,,1,2,39.6,,,-6.3947,,,,,0.125,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Trent Sherfield,MIN,WR,1,Yes,No,No,1,No,Yes,,,,17,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MyCole Pruitt,PIT,TE,7,No,No,No,6,No,No,0.3333,2.9979,2.9979,12,1,1,1,0.1667,1,1,9,1,-1,8,0.5,0.1667,1,8,104.2,1.5,9,1.2795,9,1,-1,,0.1667,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,,,,,,,,,,,,,,,
DK Metcalf,SEA,WR,7,Yes,No,No,7,No,Yes,,1.4803,1.4803,15,,,,,,,,,,,0.2857,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Andrews,BLT,TE,4,No,No,No,2,No,No,0.5,,,17,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington,JAX,WR,3,No,No,No,3,No,No,,1.5816,1.5816,17,1,1,1,0.3333,1,1,5,1,1,4,0.3333,0.6667,,4,87.5,1.6667,5,-1.0498,5,1,1,,0.5,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,1,,,,,,,,
Allen Robinson,DET,WR,2,Yes,No,No,2,No,Yes,,,,12,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diontae Johnson,HST,WR,6,Yes,No,No,6,No,No,,1.6325,1.6325,12,1,,,0.1667,,,,,,11,,1,1,11,39.6,,,-8.3152,,,,,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendre Miller,NO,RB,2,Yes,No,Yes,2,No,Yes,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Erick All,CIN,TE,3,Yes,No,No,3,No,Yes,0.6667,2.9489,2.9489,9,2,2,1,0.6667,2,1,8,8,4,,0.3333,,1,,83.3,2.6667,4,-1.289,4,4,2,,0.6667,0.8,2.8,1.8,2.8,3.8,2.8,1.8,2.8,2.8,2.8,1.8,3.8,2.8,,,,,,,,,,,,,,,
Braxton Berrios,MIA,WR,2,No,No,No,2,No,No,,,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,MIA,TE,11,Yes,No,Yes,10,No,No,0.9,12.0915,12.0915,17,6,4,0.6667,0.6,3,0.5,21,13,6,18,0.1,,6,3,58.3,2.1,3.5,-2.5899,7,4.3333,2,,0.5455,2.1,5.1,3.6,5.1,6.6,5.1,3.6,5.1,5.1,5.1,3.6,6.6,5.1,,,,,,,1,,,,,,1,0.1667,
Harrison Bryant,LV,TE,3,No,No,No,2,No,No,0.5,1.3434,1.3434,13,1,1,1,0.5,1,1,7,6,2,1,0.5,,1,1,95.8,3.5,7,1.2246,7,6,2,1,0.3333,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,3,Yes,No,Yes,2,No,No,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Adam Thielen,CAR,WR,4,Yes,No,No,4,No,Yes,,,,10,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,6,No,No,No,6,No,No,1,7.1662,7.1662,17,3,3,1,0.5,3,1,20,17,4,12,,,2,4,134,3.3333,6.6667,-0.0039,6.6667,5.6667,1.3333,3,0.6,8,11,9.5,11,12.5,11,9.5,11,11,11,9.5,12.5,11,1,1,1,,,,1,,,,,,,,
Tutu Atwell,LA,WR,8,Yes,No,No,8,No,Yes,,3.2812,3.2812,17,2,2,1,0.25,2,1,24,6,-1,18,0.375,0.625,2,9,116.7,3,12,3.6068,12,3,-0.5,2,0.3333,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,,,,,,,,,,,1,1,,,
Justin Shorter,LV,TE,1,Yes,No,Yes,1,No,Yes,1,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,8,Yes,No,No,8,No,Yes,,6.5062,6.5062,17,3,3,1,0.375,3,1,30,10,1,20,0.375,0.625,2,6.6667,108.3,3.75,10,2.576,10,3.3333,0.3333,1,0.4286,3,6,4.5,6,6,6,4.5,6,6,6,4.5,6,6,,,,,,,1,,,,,,,,
David Moore,CAR,WR,5,Yes,No,No,3,No,Yes,,,,17,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Williams,CIN,WR,1,No,No,No,1,No,No,,1.4748,1.4748,8,1,,,1,,,,,,8,1,,1,8,39.6,,,-7.5106,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,2,Yes,No,No,1,No,Yes,1,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,1,Yes,No,No,1,No,No,,,,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,4,Yes,Yes,No,1,No,Yes,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Dyami Brown,WAS,WR,1,No,No,No,1,No,No,,,,16,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,11,Yes,No,Yes,11,No,No,,3.5673,3.5673,17,2,2,1,0.1818,2,1,42,10,1,32,0.0909,0.9091,2,16,118.8,3.8182,21,9.9625,21,5,0.5,2,0.1818,4.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,6.2,5.2,6.2,6.2,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,5,No,No,No,1,No,Yes,1,1.5099,1.5099,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,7,No,No,No,6,No,No,1,7.7413,7.7413,11,3,3,1,0.5,3,1,37,6,1,36,,,3,12,157.6,6.1667,12.3333,4.6238,12.3333,2,0.3333,2,0.5,9.7,12.7,11.2,12.7,14.2,12.7,11.2,12.7,12.7,12.7,11.2,14.2,12.7,1,1,1,,,1,2,,,,1,1,,,1
Erik Ezukanma,MIA,WR,1,Yes,No,No,1,No,No,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emanuel Wilson,GB,RB,2,No,No,No,1,No,No,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
Johnny Wilson,PHI,WR,5,No,No,No,3,No,Yes,,,,16,,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,
Elijah Moore,CLV,WR,10,No,No,No,10,No,No,,7.3014,7.3014,17,3,,,0.3,,,,,,13,0.3,0.7,3,4.3333,39.6,,,-6.6622,,,,,0.4286,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,
Xavier Worthy,KC,WR,9,Yes,No,No,8,No,Yes,,7.2444,7.2444,17,2,2,1,0.25,1,0.5,9,6,,6,0.5,0.5,2,3,102.1,1.125,4.5,-0.9499,9,6,,1,0.3333,6.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,,1,,,,,1,,,,,,1,0.5,
Chuba Hubbard,CAR,RB,8,No,No,No,2,No,No,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
AJ Barner,SEA,TE,5,Yes,No,No,5,No,Yes,1,4.2263,4.2263,17,3,3,1,0.6,3,1,29,26,8,3,,,1,1,146.5,5.8,9.6667,4.0005,9.6667,8.6667,2.6667,3,0.75,8.9,11.9,10.4,11.9,13.4,11.9,10.4,11.9,11.9,11.9,10.4,13.4,11.9,,1,,,,,1,,,,,,,,
Brandon Powell,MIN,WR,3,Yes,No,No,3,No,Yes,,,,17,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,10,Yes,No,No,5,No,Yes,,4.1559,4.1559,13,2,1,0.5,0.4,1,0.5,11,11,6,6,,,,3,66.7,2.2,5.5,-1.2679,11,11,6,1,0.25,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,,,2,2,,1,1,,,,,,,
