Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterContactTotal,DropsTotal,TargetedReadFirstTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterContact,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
CeeDee Lamb,DAL,WR,12,No,No,No,12,No,No,0.4167,0.5833,1.8868,1.8868,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,3,No,Yes,No,3,No,No,,0.6667,1.6618,1.6618,13,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colby Parkinson,LA,TE,8,No,Yes,No,7,No,No,0.1429,0.4286,,,17,,0.4286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,44,No,Yes,Yes,42,No,No,0.5714,0.4286,9.1254,9.1254,17,,,3,1,0.3333,0.0714,1,0.3333,19,1,66,22,1,56.3,0.4524,6.3333,-4.9254,19,1,1,0.25,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,,,,,,,,,,,,
Bucky Irving,TB,RB,11,No,Yes,No,11,No,No,,0.0909,,,17,0.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,46,No,Yes,Yes,46,No,No,0.3261,0.6739,11.2656,11.2656,17,,,3,2,0.6667,0.0652,1,0.3333,7,1,40,13.3333,1,42.4,0.1522,2.3333,-6.2972,7,1,1,0.25,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,1,1,0.3333,1,,,,,,,,,
Keaton Mitchell,BLT,RB,2,No,Yes,No,2,No,No,0.5,0.5,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyjae Spears,TEN,RB,12,No,Yes,No,10,No,No,0.1,0.1,,,12,0.7,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,15,Yes,Yes,No,12,No,No,0.25,,,,15,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,CLV,RB,7,No,Yes,No,6,No,No,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,4,No,Yes,No,3,No,No,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,10,No,No,No,6,No,No,0.1667,,,,15,0.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamir White,LV,RB,3,No,No,Yes,1,No,Yes,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,LV,RB,14,No,Yes,No,11,No,No,0.1818,0.0909,1.3779,1.3779,16,0.7273,,1,1,1,0.0909,1,1,12,,12,12,,116.7,1.0909,12,2.6226,12,,1,0.1429,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,27,No,Yes,No,26,No,No,0.7692,0.2308,6.3438,6.3438,13,,,4,3,0.75,0.1538,3,0.75,47,6,54,13.5,1,113.5,1.8077,11.75,2.5744,15.6667,2,3,0.4,4.7,7.7,6.2,7.7,7.7,7.7,6.2,7.7,7.7,7.7,6.2,7.7,7.7,2,,,,0.6667,,,,,,,,,
Khalil Herbert,CIN,RB,5,No,Yes,No,4,No,No,,,,,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey Sermon,IND,RB,13,No,Yes,Yes,7,No,No,0.1429,,2.954,2.954,17,0.8571,,2,2,1,0.2857,2,1,12,11,1,0.5,,91.7,1.7143,6,0.2218,6,5.5,,0.3333,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,,,,,,,,,,,,
Josh Downs,IND,WR,15,No,Yes,Yes,14,No,No,0.7857,0.1429,,,14,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foster Moreau,NO,TE,9,No,Yes,No,6,No,No,0.5,,,,17,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier,ATL,RB,1,No,Yes,No,1,No,Yes,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
