Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentInlineRoutesPercentage,AlignmentBackfieldRoutesPercentage,TargetsContestedTotal,ReceptionsContested,TouchdownsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Tyler Higbee,LA,TE,5,No,No,Yes,5,3,No,No,2,0.6667,0.6,2,0.6667,17,12,4,14,0.2,,3,4.6667,,120.8,3.4,5.6667,-0.6762,8.5,6,2,2,10.5723,10.5723,0.75,13.7,15.7,14.7,15.7,16.7,15.7,14.7,15.7,15.7,15.7,14.7,16.7,15.7,3,0.8,,,,2,,,,,3,1,,,,
Parris Campbell,PHI,WR,6,Yes,No,No,5,1,No,Yes,1,1,0.2,1,1,1,,,9,0.2,0.8,,9,,118.8,0.2,1,-6.4539,1,,,1,4.3427,4.3427,0.3333,6.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,7.1,6.6,7.1,7.1,5,,,,,1,,,,,1,1,1,,,
Jake Bobo,SEA,WR,8,No,No,Yes,7,2,No,No,2,1,0.2857,1,0.5,10,1,,22,,1,,11,,64.6,1.4286,5,-3.1842,10,1,,1,5.5028,5.5028,0.2857,1,2,1.5,2,2,2,1.5,2,2,2,1.5,2,2,17,,,,,,,,,,1,,,1,0.5,
Saquon Barkley,PHI,RB,22,Yes,Yes,No,11,3,No,Yes,3,1,0.2727,2,0.6667,31,25,17,6,,0.0909,2,2,,100.7,2.8182,10.3333,4.0388,15.5,12.5,8.5,2,6.8493,6.8493,0.1765,3.1,5.1,4.1,6.1,5.1,5.1,4.1,5.1,5.1,5.1,4.1,5.1,5.1,16,,0.9091,,,,1,0.5,,,2,,,1,0.3333,
Evan Engram,JAX,TE,7,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,9,,,9,0.25,,1,9,,104.2,2.25,9,1.7404,9,,,,5.208,5.208,0.25,0.9,1.9,1.4,1.9,2.4,1.9,1.4,1.9,1.9,1.9,1.4,2.4,1.9,9,0.75,,,,,,,,,,,,,,
Jamari Thrash,CLV,WR,2,No,No,Yes,1,1,No,Yes,1,1,1,1,1,11,8,2,3,,1,1,3,,112.5,11,11,5.5501,11,8,2,1,1.2325,1.2325,1,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,9,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,12,Yes,No,No,10,3,No,Yes,3,1,0.3,3,1,17,13,6,4,,,2,1.3333,,90.3,1.7,5.6667,0.1184,5.6667,4.3333,2,1,4.3606,4.3606,0.3333,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,15,1,,,,,1,0.3333,,,1,,,,,
Miles Sanders,CAR,RB,6,Yes,Yes,No,4,1,No,No,,,0.25,,,,,,-10,,,1,-10,,,,,-4.5287,,,,,1.6536,1.6536,0.1667,,,,,,,,,,,,,,11,,1,,,,,,1,1,,,,,,
Jonathan Mingo,DAL,WR,19,Yes,No,No,18,2,No,Yes,,,0.1111,,,,,,9,0.5,0.5,1,4.5,,39.6,,,-6.1995,,,,,4.9202,4.9202,0.1333,,,,,,,,,,,,,,17,,,,,,,,,,1,,,,,
Cooper Kupp,LA,WR,21,Yes,No,No,19,7,No,No,6,0.8571,0.3684,6,0.8571,34,15,4,37,0.6842,0.3158,7,5.2857,,86.9,1.7895,4.8571,-2.3488,5.6667,2.5,0.6667,1,11.9961,11.9961,0.35,3.4,9.4,6.4,9.4,9.4,9.4,6.4,9.4,9.4,9.4,6.4,9.4,9.4,12,,,,,,1,0.1667,,,1,,,,,
