Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsHero,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsInEndzone,TouchdownsInEndzone,AlignmentInlineRoutesPercentage
Feleipe Franks,CAR,TE,4,No,Yes,No,2,1,No,,Yes,1,1,0.5,1,,,1,12,1,,11,,,,,,,,11,,116.7,6,12,3.2598,,12,1,,1,1.5093,1.5093,0.3333,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,,15,0.5,,,,,0.5
Tre Tucker,LV,WR,78,No,No,No,78,9,Yes,2,Yes,5,0.5556,0.1154,5,1,,0.5556,77,39,6,86,1,,,,0.2821,0.7179,4,9.5556,,121.1,0.9872,8.5556,0.6636,,15.4,7.8,1.2,5,19.3168,19.3168,0.1607,13.7,18.7,16.2,18.7,18.7,18.7,16.2,18.7,18.7,18.7,16.2,18.7,18.7,2,17,,,,1,1,
Tim Jones,JAX,WR,6,No,Yes,No,5,,No,,Yes,,,,,,,,,,,,,,,,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,0.2
Cam Akers,MIN,RB,19,No,Yes,No,8,3,No,1,No,3,1,0.375,3,1,,1,8,14,,-6,1,,,,,,2,-2,,118.8,1,2.6667,-3.1983,,2.6667,4.6667,,2,6.4772,6.4772,0.2308,6.8,9.8,8.3,11.3,9.8,9.8,8.3,9.8,9.8,9.8,8.3,9.8,9.8,1,16,1,,,,,
JaMycal Hasty,NE,RB,4,Yes,No,No,2,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.5,,,,,0.5
Javonte Williams,DEN,RB,68,Yes,No,No,42,11,No,1,Yes,8,0.7273,0.2619,6,1,1,0.5455,63,48,8,51,,1,1,0.1667,,,1,4.6364,,71.4,1.5,5.7273,-0.5313,0.0909,10.5,8,1.3333,1,21.2707,21.2707,0.1964,6.3,12.3,9.3,15.3,12.3,12.3,9.3,12.3,12.3,12.3,9.3,12.3,12.3,2,17,0.9524,,,,,0.0476
Terrell Jennings,NE,RB,6,No,Yes,No,5,1,No,,No,,,0.2,,,,,,,,28,,,,,,,,28,1,39.6,,,-8,,,,,,2.9678,2.9678,0.25,,,,,,,,,,,,,,,2,1,,,,,
Tip Reiman,ARZ,TE,43,No,Yes,No,19,1,No,,No,,,0.0526,,,,,,,,4,,,,,0.0526,0.2105,,4,,39.6,,,-6.0667,,,,,,1.3418,1.3418,0.027,,,,,,,,,,,,,,,17,,,,,,0.7368
Greg Dortch,ARZ,WR,26,No,Yes,No,26,6,No,1,No,3,0.5,0.2308,2,,,0.3333,20,7,,71,,1,,,0.6154,0.3462,2,11.8333,2,43.8,0.7692,3.3333,-4.9881,0.1667,10,3.5,,2,8.9681,8.9681,0.2727,2,4,3,4,4,4,3,4,4,4,3,4,4,,17,0.0385,,,,,
Courtland Sutton,DEN,WR,92,Yes,No,No,85,20,No,3,Yes,15,0.75,0.2353,13,2,1,0.65,159,47,10,222,1,1,,,0.1529,0.8471,11,11.1,2,85.2,1.8706,7.95,-0.4973,0.05,12.2308,3.6154,0.7692,8,36.0766,36.0766,0.2532,27.1,40.1,33.6,40.1,40.1,43.1,36.6,40.1,40.1,40.1,33.6,40.4,40.4,2,17,,1,0.05,2,1,
