Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAirTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadFirstTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,YardsAfterCatchTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,YardsAfterContactTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AveragesPerReceptionYardsAfterContact,AlignmentInlineRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Xavier Legette,CAR,WR,52,Yes,No,Yes,52,No,Yes,,15,0.4231,0.5769,9,1,6,0.6667,0.1731,4,1,0.4444,26,88,9.7778,49.1,0.5,2.8889,-5.0377,6.5,15.1842,15.1842,0.2368,8.6,12.6,10.6,12.6,12.6,12.6,10.6,12.6,12.6,12.6,10.6,12.6,12.6,3,1,1,3,1,1,,1,,0.75,2,,,,,,,,
Johnny Mundt,JAX,TE,27,No,Yes,No,19,No,No,,16,0.1053,0.0526,5,,4,0.8,0.2632,3,,0.6,51,30,6,94.6,2.6842,10.2,3.0799,17,7.497,7.497,0.1852,5.1,8.1,6.6,8.1,9.6,8.1,6.6,8.1,8.1,8.1,6.6,9.6,8.1,1,,,40,,,1,,0.2,13.3333,3,30,,,10,0.8421,2,0.6667,
Durham Smythe,CHI,TE,32,No,Yes,No,20,No,No,0.1,17,0.2,,2,,2,1,0.1,2,,1,6,2,1,79.2,0.3,3,-2.4589,3,2.9499,2.9499,0.069,0.6,2.6,1.6,2.6,3.6,2.6,1.6,2.6,2.6,2.6,1.6,3.6,2.6,,,,4,,,,,,2,,,,,,0.7,,,
Greg Dulcich,MIA,TE,26,Yes,No,Yes,25,No,Yes,0.04,10,0.12,0.04,12,1,12,1,0.48,12,1,1,146,34,2.8333,117.4,5.84,12.1667,6.032,12.1667,19.2725,19.2725,0.5217,14.6,26.6,20.6,26.6,32.6,29.6,23.6,26.6,26.6,26.6,20.6,32.6,26.6,10,1,,112,,,,,,9.3333,6,20,,,1.6667,0.8,1,0.0833,
Rashid Shaheed,SEA,WR,53,No,Yes,No,53,No,Yes,,18,0.4528,0.5472,8,1,5,0.625,0.1509,5,1,0.625,60,128,16,85.4,1.1321,7.5,-2.4007,12,17.7903,17.7903,0.1778,12,17,14.5,17,17,17,14.5,17,17,17,14.5,17,17,3,3,1,8,1,,,1,,1.6,5,2,,,0.4,,,,
Gunnar Helm,TEN,TE,58,No,Yes,No,46,No,Yes,,16,0.1522,0.0652,9,1,9,1,0.1957,9,1,1,93,37,4.1111,146.8,2.0217,10.3333,3.2121,10.3333,15.7677,15.7677,0.1957,15.3,24.3,19.8,24.3,28.8,24.3,19.8,24.3,24.3,24.3,19.8,28.8,24.3,3,2,1,58,1,1,,,,6.4444,6,3,,,0.3333,0.7826,1,0.1111,
Justin Jefferson,MIN,WR,58,Yes,Yes,Yes,58,No,No,0.0172,17,0.2069,0.7759,10,1,5,0.5,0.1724,4,,0.4,45,94,9.4,54.2,0.7759,4.5,-3.5233,11.25,19.8234,19.8234,0.2174,4.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,8.5,6.5,8.5,8.5,3,2,2,8,,,1,,0.1,2,2,1,1,0.1,0.25,,,,
Brenton Strange,JAX,TE,36,No,Yes,No,30,No,No,,12,0.3333,,6,1,6,1,0.2,5,1,0.8333,75,44,7.3333,118.8,2.5,12.5,5.5117,15,10.9343,10.9343,0.2,7.5,12.5,10,12.5,15,12.5,10,12.5,12.5,12.5,10,15,12.5,4,,,34,,,1,1,0.1667,6.8,4,4,,,0.8,0.6667,,,
Kaleb Johnson,PIT,RB,5,No,Yes,Yes,1,No,Yes,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhamondre Stevenson,NE,RB,35,Yes,No,Yes,19,No,Yes,1,14,,,5,,4,0.8,0.2632,4,,0.8,51,15,3,109.2,2.6842,10.2,3.3307,12.75,7.2739,7.2739,0.1786,5.1,9.1,7.1,11.1,9.1,9.1,7.1,9.1,9.1,9.1,7.1,9.1,9.1,2,1,,52,,,,,,13,1,4,1,0.2,1,,,,
