teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingHeroThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTargetedReadCheckdownPercentage
2,Atlanta,Falcons,True,NO,NFC,NFC South,Open,Open,Cover 4,17,68,68,0.4264705882352941,16,23,0.3382352941176471,0.38235294117647056,0.0064563052794117115,95,0.04411764705882353,734,10.794117647058824,0.12670299727520437,9.470588235294118,2046,9,6,No,Yes,16,0.23529411764705882,-0.19340661764705883,No,0.5441176470588235,68,1,0.08823529411764706,0.20588235294117646,0.8970588235294118,0.35294117647058826,3.0602941176470586,2.525,30.08823529411765,78.1,No,Yes,22,,,
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 4,17,53,53,0.5471698113207547,9,22,0.41509433962264153,0.41509433962264153,0.03377926075471699,,,795,15,0.23018867924528302,16.41509433962264,1631,6,1,No,Yes,21,0.39622641509433965,-0.05820094339622641,No,0.4339622641509434,53,1,0.09433962264150944,0.2641509433962264,0.7547169811320755,0.39622641509433965,3.209433962264151,2.6619047619047618,30.77358490566038,118.6,No,No,22,,,
7,Cincinnati,Bengals,True,CLV,AFC,AFC North,Open,Open,Cover 0,17,49,49,0.5918367346938775,5,17,0.3469387755102041,0.42857142857142855,0.031027671816326485,147,0.08163265306122448,512,10.448979591836734,0.17578125,8.918367346938776,1383,3,3,No,No,21,0.42857142857142855,-0.09182040816326534,Yes,0.40816326530612246,49,1,0.061224489795918366,0.24489795918367346,0.673469387755102,0.4489795918367347,3.5918367346938775,2.8714285714285714,28.224489795918366,69.4,No,No,17,4,,
8,Cleveland,Browns,,CIN,AFC,AFC North,Open,Open,Cover 0,17,58,58,0.5,11,17,0.29310344827586204,0.38596491228070173,-0.00786282689473683,143,0.08620689655172414,502,8.655172413793103,0.11155378486055777,8.39655172413793,1609,6,3,No,No,20,0.3448275862068966,-0.062170689655172445,Yes,0.4482758620689655,58,1,0.08620689655172414,0.29310344827586204,0.8620689655172413,0.3448275862068966,2.9344827586206894,2.5949999999999998,28.43103448275862,76.1,No,No,17,2,,
26,Philadelphia,Eagles,True,WAS,NFC,NFC East,Open,Open,Cover 4,17,66,66,0.5454545454545454,6,20,0.30303030303030304,0.4090909090909091,0.031384696393939426,197,0.10606060606060606,775,11.742424242424242,0.17806451612903226,12.575757575757576,2076,5,1,No,Yes,26,0.3939393939393939,-0.11792878787878783,No,0.42424242424242425,66,1,0.015151515151515152,0.2878787878787879,0.696969696969697,0.2727272727272727,3.5424242424242425,2.930769230769231,31.454545454545453,95.2,No,No,20,2,,
27,Pittsburgh,Steelers,True,BLT,AFC,AFC North,Closed,Closed,Cover 3,17,44,44,0.6590909090909091,9,23,0.5227272727272727,0.5681818181818182,0.16457313802272727,46,0.045454545454545456,760,17.272727272727273,0.2355263157894737,20.34090909090909,1190,9,1,No,Yes,16,0.36363636363636365,-0.05270340909090911,Yes,0.29545454545454547,44,1,0.045454545454545456,0.22727272727272727,0.75,0.5,2.9886363636363638,2.4875,27.045454545454547,127.8,Yes,Yes,23,2,,
29,San Francisco,49ers,True,SEA,NFC,NFC West,Closed,Closed,Cover 1,17,63,63,0.6666666666666666,12,29,0.4603174603174603,0.5555555555555556,0.16443232011111114,151,0.09523809523809523,913,14.492063492063492,0.12705366922234393,16.555555555555557,1826,11,2,No,No,19,0.30158730158730157,-0.1649031746031746,Yes,0.3333333333333333,63,1,0.06349206349206349,0.3492063492063492,0.7301587301587301,0.4603174603174603,3.2793650793650793,2.931578947368421,28.984126984126984,118.9,Yes,Yes,29,2,,
16,Kansas City,Chiefs,,LV,AFC,AFC West,Closed,Open,Cover 4,17,52,52,0.5576923076923077,7,23,0.4423076923076923,0.5098039215686274,0.10597384219607836,84,0.057692307692307696,690,13.26923076923077,0.1391304347826087,11.826923076923077,1431,3,3,Yes,No,21,0.40384615384615385,-0.03170384615384619,No,0.36538461538461536,52,1,0.057692307692307696,0.34615384615384615,0.7692307692307693,0.3076923076923077,3.0999999999999996,2.6666666666666665,27.942307692307693,86.2,Yes,Yes,23,2,,
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Open,Cover 2,17,45,45,0.4888888888888889,7,15,0.3333333333333333,0.37777777777777777,-0.006646759400000035,55,0.044444444444444446,575,12.777777777777779,0.25043478260869567,5.666666666666667,1338,2,8,No,Yes,11,0.24444444444444444,-0.22445555555555557,Yes,0.4888888888888889,45,1,0.24444444444444444,0.24444444444444444,0.8,0.3111111111111111,3.293333333333333,2.7454545454545456,29.733333333333334,57.2,No,Yes,15,3,,
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,49,49,0.6122448979591837,9,19,0.3877551020408163,0.4489795918367347,0.04715630102040819,86,0.061224489795918366,533,10.877551020408163,0.11632270168855535,8.83673469387755,1405,4,4,Yes,Yes,17,0.3469387755102041,-0.09459591836734696,Yes,0.3673469387755102,49,1,0.08163265306122448,0.2653061224489796,0.7755102040816326,0.4489795918367347,3.1346938775510202,2.5588235294117645,28.6734693877551,72.9,No,Yes,19,2,,
