Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,YardsAdjustedNetPercentage,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToSack,AverageTimeToPressure,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Mac Jones,SF,QB,16,16,16,-6.75,16,3,1,-108,1,No,No,16,1,1,No,3.4312,2.5438,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,11,
Kirk Cousins,ATL,QB,13,13,13,-6.0769,13,3,1.0833,-79,1,Yes,Yes,12,0.9231,0.9231,No,3.0077,2.3833,No,No,,,,,,,,,,,,,,10,
Philip Rivers,IND,QB,5,5,5,-7.4,5,3,1,-37,1,No,Yes,5,1,1,No,3.76,2.54,No,No,,,,,,,,,,,,,,3,
Joe Burrow,CIN,QB,17,17,17,-6.6471,17,5,1.0625,-113,1,No,Yes,16,0.9412,0.9412,No,3.4824,2.3875,No,No,,,,,,,,,,,,,,8,
Russell Wilson,NYG,QB,10,10,10,-6.6,10,3,1,-66,1,No,Yes,10,1,1,Yes,3.17,2.52,No,No,,,,,,,,,,,,,,6,
Bo Nix,DEN,QB,23,22,22,-5.4091,22,10,1,-119,1,No,Yes,22,1,1,No,4.1273,2.8136,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,
Trevor Lawrence,JAX,QB,41,41,41,-6.0244,41,11,1,-247,1,No,Yes,41,1,1,Yes,3.6439,2.6073,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,17,
Andy Dalton,CAR,QB,8,8,8,-6.75,8,3,1,-54,1,No,Yes,8,1,1,No,3.325,2.475,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,4,
Sam Darnold,SEA,QB,27,27,27,-6.8889,27,6,1.0385,-186,1,No,Yes,26,0.963,0.963,No,2.9037,2.2462,No,No,-5,-5,-5,-5,-5,-5,-10,-10,-10,-10,-10,-5,-10,17,
Jayden Daniels,WAS,QB,18,18,18,-4.3889,18,6,1,-79,1,Yes,Yes,18,1,1,Yes,3.9722,2.2,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,7,0.0556
Brandon Allen,TEN,QB,1,1,1,-7,1,,1,-7,1,No,Yes,1,1,1,No,3.6,2.7,No,No,,,,,,,,,,,,,,1,
Chris Oladokun,KC,QB,8,8,8,-11.625,8,5,1,-93,1,No,Yes,8,1,1,No,4.3875,2.375,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,3,
Lamar Jackson,BLT,QB,36,36,36,-6.6389,36,12,1.0286,-239,1,No,Yes,35,0.9722,0.9722,No,4.0722,2.8057,No,No,-3,-3,-3,-3,-3,-3,-6,-6,-6,-6,-6,-3,-6,13,
Kenny Pickett,LV,QB,8,8,8,-6.75,8,4,1.1429,-54,1,Yes,No,7,0.875,0.875,Yes,3.725,2.7571,No,No,,,,,,,,,,,,,,6,
Trey Lance,LAC,QB,6,6,6,-7.3333,6,1,1.2,-44,1,No,Yes,5,0.8333,0.8333,No,3.35,2.18,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,4,
Tyler Shough,NO,QB,31,31,31,-6.2903,31,13,1,-195,1,No,Yes,31,1,1,No,3.6258,2.6129,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,11,
Jalen Hurts,PHI,QB,32,32,32,-5.6562,32,8,1,-181,1,No,Yes,32,1,1,Yes,4.2438,2.4625,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,16,0.0312
Cooper Rush,BLT,QB,1,1,1,-16,1,,1,-16,1,No,No,1,1,1,No,5.7,2.3,No,No,,,,,,,,,,,,,,4,
Malik Willis,GB,QB,3,3,3,-5,3,,1,-15,1,No,Yes,3,1,1,No,4.4,2.5667,No,No,,,,,,,,,,,,,,4,
Riley Leonard,IND,QB,2,2,2,-8.5,2,,1,-17,1,Yes,Yes,2,1,1,No,3.95,3.2,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,5,
Davis Mills,HST,QB,8,8,8,-7.5,8,2,1,-60,1,No,No,8,1,1,No,3.4875,2.3375,No,No,,,,,,,,,,,,,,6,
Josh Allen,BUF,QB,40,40,40,-7.45,40,12,1,-298,1,No,No,40,1,1,No,4.02,2.4975,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,17,
Max Brosmer,MIN,QB,14,14,14,-7.1429,14,1,1.0769,-100,1,No,Yes,13,0.9286,0.9286,No,3.0643,2.3231,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,7,0.0714
Michael Penix,ATL,QB,13,13,13,-7.7692,13,1,1,-101,1,No,No,13,1,1,No,3.6923,2.4692,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,9,
Tyrod Taylor,NYJ,QB,14,14,14,-5.8571,14,2,1,-82,1,No,No,14,1,1,No,3.8714,2.4786,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,6,
Shedeur Sanders,CLV,QB,23,23,23,-7.1304,23,9,1,-164,1,No,Yes,23,1,1,No,4.1478,2.7478,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,8,
Clayton Tune,GB,QB,5,5,5,-8.8,5,2,1.25,-44,1,No,Yes,4,0.8,0.8,Yes,3.04,2.075,No,No,,,,,,,,,,,,,,2,0.2
Jameis Winston,NYG,QB,3,3,3,-3.6667,3,,1,-11,1,No,No,3,1,1,No,4.9,3.2333,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,3,
Jaxson Dart,NYG,QB,35,35,35,-4.3429,35,17,1.0294,-152,1,Yes,Yes,34,0.9714,0.9714,No,4.5857,2.7824,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,14,0.0286
Brady Cook,NYJ,QB,19,19,19,-6.5789,19,2,1,-125,1,No,Yes,19,1,1,No,3.7842,2.5263,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,5,
Bryce Young,CAR,QB,27,27,27,-7.4815,27,10,1.125,-202,1,No,No,24,0.8889,0.8889,No,3.1926,2.4,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,16,
Jordan Love,GB,QB,21,21,21,-8.0476,21,7,1,-169,1,Yes,Yes,21,1,1,Yes,3.7095,2.6714,No,No,-2,-2,-2,-2,-2,-2,-4,-4,-4,-4,-4,-2,-4,15,
Mason Rudolph,PIT,QB,2,2,2,-6,2,1,1,-12,1,No,No,2,1,1,No,3.8,3.35,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,5,
Aaron Rodgers,PIT,QB,29,29,29,-6.2069,29,5,1,-180,1,No,Yes,29,1,1,No,3.8207,2.7448,No,No,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,16,
