Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,ScramblesTotal,ScramblesYards,ScramblesTouchdowns,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToScramble,AverageTimeToPressure,AttemptsTotal,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage
Brady Cook,NYJ,QB,7,7,7,7,44,,Yes,Yes,7,1,1,No,5.6571,3,7,No,No,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5,
Jaxson Dart,NYG,QB,38,38,38,38,290,2,Yes,Yes,38,1,1,No,5.4289,2.9263,38,No,No,41,41,41,41,41,44,44,41,41,41,41,41,41,14,
Mitchell Trubisky,BUF,QB,2,2,2,2,13,,Yes,Yes,2,1,1,No,5.3,3.15,2,No,No,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,4,
Bryce Young,CAR,QB,33,33,33,33,220,2,No,No,33,1,1,No,5.2061,2.9242,33,No,No,33,33,33,33,33,36,35,32,32,32,32,33,32,16,
Jordan Love,GB,QB,24,24,24,24,183,,No,Yes,23,0.9583,0.9583,No,5.3125,2.9043,24,No,No,18.3,18.3,18.3,18.3,18.3,21.3,21.3,18.3,18.3,18.3,18.3,18.3,18.3,15,
Shane Buechele,KC,QB,1,1,1,1,4,,No,Yes,1,1,1,No,5.2,2.4,1,No,No,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,
Joe Flacco,CIN,QB,4,4,4,4,30,,No,No,4,1,1,No,5,2.75,4,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,13,
Daniel Jones,IND,QB,22,22,22,22,148,1,Yes,Yes,20,0.9091,0.9091,No,5.4955,3.07,22,No,No,20.8,20.8,20.8,20.8,20.8,23.8,23.8,20.8,20.8,20.8,20.8,20.8,20.8,13,0.0455
C.J. Stroud,HST,QB,25,25,25,25,194,,Yes,Yes,25,1,1,No,4.984,2.84,25,No,No,19.4,19.4,19.4,19.4,19.4,22.4,22.4,19.4,19.4,19.4,19.4,19.4,19.4,14,0.04
Jacoby Brissett,ARZ,QB,22,22,22,22,149,,No,Yes,20,0.9091,0.9091,No,5.0727,2.77,22,No,No,14.9,14.9,14.9,14.9,14.9,17.9,17.9,14.9,14.9,14.9,14.9,14.9,14.9,14,
Jared Goff,DET,QB,5,5,5,5,48,,No,No,5,1,1,No,5.18,2.96,5,No,No,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,17,
Kyler Murray,ARZ,QB,16,16,16,16,142,1,No,Yes,16,1,1,No,5.9,2.4937,16,No,No,20.2,20.2,20.2,20.2,20.2,23.2,23.2,20.2,20.2,20.2,20.2,20.2,20.2,5,
Cam Ward,TEN,QB,23,23,23,23,151,,Yes,Yes,23,1,1,No,5.5826,3,23,No,No,15.1,15.1,15.1,15.1,15.1,18.1,18.1,15.1,15.1,15.1,15.1,15.1,15.1,17,0.0435
Tanner McKee,PHI,QB,3,3,3,3,12,,Yes,Yes,3,1,1,No,5.2,3.3,3,No,No,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,4,
Josh Johnson,WAS,QB,8,8,8,8,54,1,Yes,Yes,8,1,1,Yes,4.6875,2.725,8,No,No,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,5,
Jake Browning,CIN,QB,4,4,4,4,31,,No,No,4,1,1,No,6.3,2.75,4,No,No,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5,
Gardner Minshew,KC,QB,1,1,1,1,8,,No,Yes,1,1,1,No,5.1,3.6,1,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,4,
Tua Tagovailoa,MIA,QB,11,11,11,11,44,,No,Yes,10,0.9091,0.9091,No,4.8364,2.36,11,No,No,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,14,
Caleb Williams,CHI,QB,43,43,43,43,363,2,Yes,Yes,43,1,1,No,5.6163,2.9372,43,No,No,48.3,48.3,48.3,48.3,48.3,51.3,51.3,48.3,48.3,48.3,48.3,48.3,48.3,17,
Teddy Bridgewater,TB,QB,1,1,1,1,6,,No,Yes,1,1,1,No,6,2.3,1,No,No,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,4,
Zach Wilson,MIA,QB,1,1,1,1,3,,No,No,,,,No,5.2,,1,No,No,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,4,
Justin Fields,NYJ,QB,28,28,28,28,242,1,No,Yes,28,1,1,No,5.225,2.8393,28,No,No,29.2,29.2,29.2,29.2,29.2,32.2,31.2,28.2,28.2,28.2,28.2,29.2,28.2,9,
Dillon Gabriel,CLV,QB,12,11,11,11,89,,No,No,11,1,1,No,5.4909,2.9364,11,No,No,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,10,
