Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,TowThrowPercentage
Mac Jones,SF,QB,201,201,201,1,7,201,1,1,0.2239,201,2151,10.7015,0.464,11.995,1167,13,No,No,38,0.1891,62.8263,-0.1235,No,5,0.0249,0.0398,0.6965,0.1144,0.8308,2.3871,2.4816,5.806,132.8,No,No,107,138.04,138.04,138.04,138.04,138.04,141.04,141.04,138.04,138.04,138.04,138.04,159.55,159.55,11,,
Joshua Dobbs,NE,QB,7,7,7,1,,7,1,1,0.1566,7,65,9.2857,0.7385,9.2857,17,,Yes,No,1,0.1429,2.6694,-0.2385,Yes,,,,0.7143,0.1429,0.7143,2.7857,2.4,2.4286,105.4,No,Yes,3,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,3.25,3.25,4,,
Kirk Cousins,ATL,QB,166,166,166,1,5,166,1,1,0.2022,166,1721,10.3675,0.5828,11.5723,739,10,Yes,No,36,0.2169,54.2405,-0.1099,Yes,5,0.0301,0.0241,0.6265,0.1566,0.8072,2.4693,2.4667,4.4518,129.9,No,Yes,86,108.84,108.84,108.84,108.84,108.84,111.84,111.84,108.84,108.84,108.84,108.84,126.05,126.05,10,0.0181,
Philip Rivers,IND,QB,58,58,58,1,3,58,1,1,0.2076,58,544,9.3793,0.4945,10.7586,289,4,No,No,7,0.1207,16.2229,-0.159,No,2,0.0345,0.0517,0.7759,0.1379,0.8448,2.1966,2.2429,4.9828,128.7,No,Yes,30,37.76,37.76,37.76,37.76,37.76,40.76,40.76,37.76,37.76,37.76,37.76,43.2,43.2,3,0.0517,
Joe Burrow,CIN,QB,173,173,173,1,10,173,1,1,0.2253,173,1809,10.4566,0.4715,12.422,1001,17,No,No,36,0.2081,57.7897,-0.126,No,11,0.0636,0.0809,0.6821,0.1734,0.8324,2.5116,2.5111,5.7861,143,Yes,Yes,100,140.36,140.36,140.36,140.36,140.36,143.36,143.36,140.36,140.36,140.36,140.36,158.45,158.45,8,0.0231,
Russell Wilson,NYG,QB,69,69,69,1,3,69,1,1,0.2295,69,831,12.0435,0.4621,12.913,465,3,No,Yes,16,0.2319,20.8932,-0.0709,Yes,8,0.1159,0.1014,0.7101,0.1449,0.7826,2.3304,2.2938,6.7391,131.3,No,Yes,32,45.24,45.24,45.24,45.24,45.24,48.24,48.24,45.24,45.24,45.24,45.24,53.55,53.55,6,0.0435,
Anthony Richardson,IND,QB,1,1,1,1,,1,1,1,0.1261,1,9,9,0.7778,9,2,,Yes,No,,,0.125,-0.125,No,,,,,1,1,1.3,,2,104.2,No,Yes,1,1.26,2.26,1.76,2.26,2.26,2.26,1.76,2.26,2.26,2.26,1.76,2.35,2.35,2,1,
Bo Nix,DEN,QB,388,388,388,1,13,388,1,1,0.2052,388,3931,10.1314,0.5329,11.4201,1892,25,No,No,87,0.2242,129.0079,-0.1083,No,25,0.0644,0.049,0.6804,0.1237,0.817,2.5026,2.4586,4.8763,130.4,No,Yes,196,257.24,257.24,257.24,257.24,257.24,260.24,260.24,257.24,257.24,257.24,257.24,296.55,296.55,17,0.0876,
Trevor Lawrence,JAX,QB,341,341,341,1,17,341,1,1,0.2511,341,4007,11.7507,0.4213,13.4516,2388,29,No,No,75,0.2199,114.2597,-0.1151,No,29,0.085,0.0645,0.7537,0.0762,0.7947,2.5173,2.588,7.0029,144,No,Yes,194,276.28,276.28,276.28,276.28,276.28,279.28,279.28,276.28,276.28,276.28,276.28,316.35,316.35,17,0.0059,
Andy Dalton,CAR,QB,25,25,25,1,1,25,1,1,0.2708,25,293,11.72,0.314,12.52,207,1,No,No,5,0.2,7.318,-0.0927,No,1,0.04,0.04,0.84,,0.76,2.272,2.52,8.28,128.8,No,Yes,17,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,15.72,18.65,18.65,4,,
