Rank,Season,Player,Team,Pos.,Pass Snaps,Pass Rushes,Points Saved,PS Per Rush,Points Above Avg,PAA Per Rush,Positive%,PAR,WAR
127,2024,Derek Barnett,Texans,DE,206,205,15.893451,0.077529,9.282426,0.04528,46,11.408382,0.356483
128,2024,T'Vondre Sweat,Titans,DT,341,328,13.038679,0.039752,1.923158,0.005863,47,6.093719,0.190403
129,2024,Karl Brooks,Packers,DT,284,277,13.332488,0.048131,3.998612,0.014435,48,7.721226,0.241267
130,2024,Dondrea Tillman,Broncos,LB,152,141,9.329978,0.06617,4.887932,0.034666,43,6.358243,0.198679
131,2024,Michael Hall Jr.,Browns,DT,158,152,4.4679,0.029394,-0.547136,-0.003599,44,1.470764,0.045963
132,2024,Keeanu Benton,Steelers,DT,346,344,12.553873,0.036493,1.205368,0.003503,51,5.999224,0.187469
133,2024,Sam Okuayinonu,49ers,DT,237,233,5.831359,0.025027,-1.96861,-0.008448,45,0.820422,0.025636
134,2024,Kenny Clark,Packers,DT,399,394,6.355884,0.016131,-6.570501,-0.016676,48,-1.353704,-0.0423
135,2024,Matthew Judon,Falcons,LB,390,303,7.065867,0.023319,-2.488973,-0.008214,38,0.549697,0.017173
136,2024,Lavonte David,Buccaneers,LB,681,135,4.364016,0.032326,-0.169842,-0.001258,8,1.182404,0.03695
137,2024,A'Shawn Robinson,Panthers,DT,338,336,9.741168,0.028991,-0.367377,-0.001093,51,4.213039,0.131644
138,2024,Preston Smith,2 teams,DE,267,244,5.894084,0.024156,-2.11552,-0.00867,46,0.510824,0.01596
139,2024,Poona Ford,Chargers,DT,328,326,10.548988,0.032358,-0.185109,-0.000567,48,4.361491,0.136282
140,2024,Haason Reddick,Jets,LB,241,222,-0.972064,-0.004378,-7.806087,-0.035162,43,-5.625974,-0.175802
141,2024,D.J. Wonnum,Panthers,LB,247,213,3.096361,0.014536,-3.046613,-0.014303,41,-0.926585,-0.02895
142,2024,Malcolm Roach,Broncos,DT,259,253,5.901043,0.023324,-2.062864,-0.008153,41,1.359725,0.042489
143,2024,Yetur Gross-Matos,49ers,LB,200,198,6.676237,0.033718,0.060904,0.000307,53,2.09833,0.065563
144,2024,L.J. Collier,Cardinals,DT,307,307,7.623374,0.024831,-2.480016,-0.008078,56,1.285391,0.040171
145,2024,Bobby Wagner,Commanders,LB,567,93,1.794077,0.019291,-1.392168,-0.014969,7,-0.432881,-0.013526
146,2024,Dante Stills,Cardinals,DT,297,296,7.632579,0.025785,-2.070718,-0.006995,51,1.893568,0.059174
147,2024,Isaiah McGuire,Browns,DE,225,215,7.51931,0.034973,0.374672,0.001742,49,2.706071,0.084558
148,2024,Felix Anudike-Uzomah,Chiefs,DE,178,170,7.498141,0.044106,1.736898,0.010217,48,3.472861,0.108515
149,2024,Tavius Robinson,Ravens,DE,252,236,3.49619,0.014814,-4.087277,-0.017318,42,-1.11462,-0.034835
150,2024,Lukas Van Ness,Packers,DE,246,233,8.785564,0.037706,0.947224,0.004065,47,2.921207,0.091282
151,2024,Chris Braswell,Buccaneers,LB,194,158,6.732139,0.042608,1.698657,0.01075,39,3.233394,0.101038
152,2024,DeMarvion Overshown,Cowboys,LB,391,73,6.824577,0.093487,4.510729,0.06179,7,5.195863,0.162359
153,2024,Jonah Elliss,Broncos,LB,268,214,5.719663,0.026727,-1.049716,-0.004905,36,1.15211,0.036003
154,2024,DaQuan Jones,Bills,DT,303,303,7.396998,0.024412,-2.465921,-0.008138,50,1.747987,0.054621
155,2024,Derwin James Jr.,Chargers,S,583,68,12.679888,0.186468,10.418325,0.15321,4,10.239067,0.31995
156,2024,Jacob Martin,Bears,DE,126,116,5.907786,0.050929,2.09741,0.018081,41,3.382442,0.105696
157,2024,Benito Jones,Dolphins,DT,234,226,4.21674,0.018658,-3.29771,-0.014591,48,-0.271557,-0.008481
158,2024,Jordyn Brooks,Dolphins,LB,607,67,6.319055,0.094314,4.004427,0.059767,5,4.71074,0.147196
159,2024,Mike Danna,Chiefs,DE,303,281,9.453715,0.033643,0.125452,0.000446,44,3.0946,0.096689
160,2024,Sam Hubbard,Bengals,DE,262,234,2.282962,0.009756,-5.012839,-0.021422,48,-2.902752,-0.090706
161,2024,David Onyemata,Falcons,DT,296,292,5.154721,0.017653,-4.223834,-0.014465,48,-0.201002,-0.006282
162,2024,Jer'Zhan Newton,Commanders,DT,241,241,4.952909,0.020551,-3.063048,-0.012709,45,0.041362,0.001285
163,2024,Jeremiah Pharms Jr.,Patriots,DT,246,246,2.609038,0.010605,-5.215815,-0.021202,51,-1.849951,-0.057818
164,2024,Michael Pierce,Ravens,DT,140,134,5.579383,0.041637,1.20881,0.00902,42,3.317225,0.103656
165,2024,Shelby Harris,Browns,DT,255,251,7.547818,0.03007,-0.682875,-0.00272,43,2.684792,0.083892
166,2024,Denico Autry,Texans,DE,210,206,7.019551,0.034075,0.567869,0.002756,38,2.813962,0.08793
167,2024,Zaire Franklin,Colts,LB,612,47,3.483877,0.074125,2.023028,0.043043,2,2.508161,0.07837
168,2024,Charles Harris,2 teams,LB,249,217,0.620073,0.002857,-6.085644,-0.028044,44,-3.90439,-0.122007
169,2024,Teair Tart,Chargers,DT,188,186,9.794353,0.052657,3.641827,0.019579,47,6.243228,0.195092
170,2024,Zack Baun,Eagles,LB,562,85,5.487055,0.064553,2.636026,0.031012,6,3.516921,0.1099
171,2024,Clelin Ferrell,Commanders,DE,175,165,2.688468,0.016293,-2.833474,-0.017172,37,-1.181742,-0.036929
172,2024,T.J. Edwards,Bears,LB,554,61,2.788043,0.045705,0.756072,0.012394,5,1.378687,0.043081
173,2024,Jerry Tillery,Vikings,DT,236,234,3.189133,0.013628,-4.360234,-0.018633,44,-1.17525,-0.036724
174,2024,Drue Tranquill,Chiefs,LB,450,93,2.691511,0.02894,-0.468607,-0.005038,9,0.427218,0.013353
175,2024,DaVon Hamilton,Jaguars,DT,325,323,2.797359,0.00866,-7.092808,-0.021959,53,-2.735135,-0.08546
176,2024,Josh Metellus,Vikings,S,647,84,2.423644,0.028852,-0.272877,-0.003248,6,-0.540121,-0.016882
177,2024,Roy Lopez,Cardinals,DT,222,222,11.453942,0.051594,4.022559,0.018119,54,7.115976,0.222357
178,2024,Larry Ogunjobi,Steelers,DT,276,276,2.541423,0.009208,-7.032048,-0.025478,48,-3.2488,-0.101521
179,2024,Harrison Phillips,Vikings,DT,340,337,8.782917,0.026062,-1.936107,-0.005745,48,2.66781,0.083374
180,2024,D.J. Reader,Lions,DT,280,278,4.770879,0.017161,-4.489197,-0.016148,48,-1.05658,-0.033015
181,2024,Brenton Cox Jr.,Packers,DE,96,94,7.40952,0.078824,4.302639,0.045772,47,5.191123,0.162214
182,2024,Trevor Nowaske,Lions,LB,211,137,1.233526,0.009003,-3.429932,-0.025036,27,-2.103404,-0.065724
183,2024,Javon Solomon,Bills,DE,83,81,9.054546,0.111784,6.424833,0.079318,49,7.312524,0.2285
184,2024,Ivan Pace Jr.,Vikings,LB,220,67,5.367559,0.080112,3.08935,0.046109,14,3.790607,0.11845
185,2024,David Ojabo,Ravens,LB,186,168,0.37017,0.002203,-5.062916,-0.030136,41,-3.262574,-0.101947
186,2024,Brandon Graham,Eagles,DE,169,154,8.923623,0.057945,3.548644,0.023043,35,5.222312,0.163184
187,2024,Nathan Shepherd,Saints,DT,288,282,5.433769,0.019268,-3.276045,-0.011617,47,0.421968,0.01318
188,2024,Uchenna Nwosu,Seahawks,LB,122,106,3.867732,0.036488,0.427625,0.004034,43,1.514087,0.047312
189,2024,Grover Stewart,Colts,DT,315,314,8.051321,0.025641,-1.704921,-0.005429,49,2.563751,0.080114
190,2024,Tyquan Lewis,Colts,DE,180,176,-0.807643,-0.004588,-5.992136,-0.034046,53,-4.151314,-0.129716
191,2024,Chris Williams,Bears,DT,195,192,1.186734,0.00618,-5.214369,-0.027158,49,-2.614689,-0.0817
192,2024,Nick Bolton,Chiefs,LB,572,93,-1.594258,-0.017142,-4.804919,-0.051665,7,-3.8776,-0.121161
193,2024,Divine Deablo,Raiders,LB,353,52,3.252943,0.062556,1.530248,0.029427,6,2.085828,0.065174
194,2024,Charles Snowden,Raiders,DE,194,124,3.609077,0.029105,-0.424217,-0.003421,33,0.909567,0.028421
195,2024,Logan Hall,Buccaneers,DT,313,308,3.997956,0.01298,-5.964821,-0.019366,48,-1.775876,-0.055494
196,2024,Patrick Queen,Steelers,LB,634,53,4.954164,0.093474,3.237862,0.061091,2,3.792454,0.118507
197,2024,Donovan Wilson,Cowboys,S,549,42,7.885961,0.18776,6.562808,0.156257,2,6.434279,0.201054
198,2024,Christian Wilkins,Raiders,DT,149,142,1.002379,0.007059,-3.722728,-0.026216,46,-1.768064,-0.05525
199,2024,Kenneth Murray Jr.,Titans,LB,436,65,3.100487,0.047699,0.919462,0.014145,5,1.591529,0.049733
200,2024,Josh Uche,2 teams,DE,163,121,4.343141,0.035893,0.414324,0.003424,32,1.75979,0.05499
