"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Austin Ekeler","Commanders","6","1.15","0.191","0.96","0.160","2.11","0.35","83.3%","1.2","0.0","16.7%","0.0%"
"[object Object]","2025","Jayden Daniels","Commanders","13","1.06","0.082","0.62","0.048","-2.06","-0.16","46.2%","1.1","0.0","7.7%","15.4%"
"[object Object]","2025","Nathan Carter","Falcons","7","0.64","0.091","0.41","0.058","0.15","0.02","71.4%","0.6","0.0","0.0%","14.3%"
"[object Object]","2025","Raheim Sanders","Browns","16","0.50","0.032","-0.08","-0.005","-0.30","-0.02","43.8%","0.4","0.0","12.5%","6.3%"
"[object Object]","2025","Trevor Lawrence","Jaguars","10","0.39","0.039","0.06","0.006","-0.75","-0.08","50.0%","0.4","0.0","10.0%","30.0%"
"[object Object]","2025","Nick Chubb","Texans","70","0.21","0.003","-2.09","-0.030","-8.34","-0.12","38.6%","0.2","0.0","5.7%","5.7%"
"[object Object]","2025","Bam Knight","Cardinals","21","0.09","0.004","-0.54","-0.026","3.28","0.16","42.9%","0.1","0.0","9.5%","4.8%"
"[object Object]","2025","Trey Lance","Chargers","5","0.05","0.010","-0.13","-0.026","-1.75","-0.35","20.0%","0.0","0.0","0.0%","0.0%"
"[object Object]","2025","Ronnie Rivers","Rams","9","0.03","0.004","-0.25","-0.027","-1.33","-0.15","44.4%","0.0","0.0","11.1%","33.3%"
"[object Object]","2025","Tyler Huntley","Ravens","7","-0.14","-0.019","-0.37","-0.052","2.05","0.29","42.9%","-0.1","-0.0","14.3%","14.3%"
"[object Object]","2025","Josh Jacobs","Packers","134","-0.21","-0.002","-4.83","-0.036","-19.63","-0.15","41.8%","-0.5","-0.0","6.7%","11.9%"
"[object Object]","2025","Kene Nwangwu","Jets","10","-0.23","-0.023","-0.62","-0.062","-0.20","-0.02","50.0%","-0.3","-0.0","30.0%","30.0%"
"[object Object]","2025","D'Ernest Johnson","Patriots","5","-0.27","-0.055","-0.45","-0.089","-0.01","-0.00","60.0%","-0.3","-0.0","0.0%","0.0%"
"[object Object]","2025","Dameon Pierce","2 teams","8","-0.36","-0.045","-0.61","-0.076","-2.52","-0.31","12.5%","-0.4","-0.0","0.0%","0.0%"
"[object Object]","2025","Rasheen Ali","Ravens","6","-0.40","-0.067","-0.62","-0.103","-0.74","-0.12","33.3%","-0.4","-0.0","16.7%","0.0%"
"[object Object]","2025","Ty Chandler","Vikings","8","-0.42","-0.053","-0.70","-0.088","-0.42","-0.05","37.5%","-0.4","-0.0","0.0%","0.0%"
"[object Object]","2025","Jeremy McNichols","Commanders","30","-0.47","-0.016","-1.51","-0.050","-6.02","-0.20","46.7%","-0.5","-0.0","23.3%","26.7%"
"[object Object]","2025","Trayveon Williams","2 teams","8","-0.59","-0.074","-0.91","-0.113","0.68","0.09","37.5%","-0.6","-0.0","37.5%","25.0%"
"[object Object]","2025","Brian Robinson Jr.","49ers","49","-0.71","-0.014","-2.25","-0.046","-7.46","-0.15","40.8%","-0.7","-0.0","6.1%","16.3%"
"[object Object]","2025","Justin Herbert","Chargers","7","-1.08","-0.154","-1.30","-0.186","2.10","0.30","57.1%","-1.1","-0.0","42.9%","14.3%"
"[object Object]","2025","Hassan Haskins","Chargers","6","-1.16","-0.194","-1.35","-0.226","-2.28","-0.38","16.7%","-1.2","-0.0","16.7%","16.7%"
"[object Object]","2025","Raheem Mostert","Raiders","13","-1.29","-0.099","-1.77","-0.136","-0.37","-0.03","53.8%","-1.4","-0.0","15.4%","15.4%"
"[object Object]","2025","Quinshon Judkins","Browns","115","-1.43","-0.012","-5.31","-0.046","-13.65","-0.12","36.5%","-1.6","-0.0","11.3%","7.8%"
"[object Object]","2025","Tyler Shough","Saints","11","-1.72","-0.156","-2.12","-0.192","-0.89","-0.08","45.5%","-1.7","-0.1","18.2%","9.1%"
"[object Object]","2025","Will Shipley","Eagles","8","-1.75","-0.219","-2.03","-0.253","-3.69","-0.46","37.5%","-1.8","-0.1","0.0%","25.0%"
"[object Object]","2025","De'Von Achane","Dolphins","87","-1.76","-0.020","-4.97","-0.057","-9.67","-0.11","36.8%","-2.2","-0.1","12.6%","13.8%"
"[object Object]","2025","Marcus Mariota","Commanders","22","-1.76","-0.080","-2.53","-0.115","-1.53","-0.07","45.5%","-1.7","-0.1","22.7%","13.6%"
"[object Object]","2025","Jordan Love","Packers","5","-1.79","-0.358","-1.96","-0.393","0.77","0.15","40.0%","-1.8","-0.1","20.0%","0.0%"
"[object Object]","2025","Michael Carter","Cardinals","30","-1.91","-0.064","-2.88","-0.096","1.74","0.06","53.3%","-1.9","-0.1","16.7%","13.3%"
"[object Object]","2025","Kyle Monangai","Bears","85","-1.92","-0.023","-4.48","-0.053","3.94","0.05","51.8%","-1.7","-0.1","15.3%","12.9%"
"[object Object]","2025","Dylan Sampson","Browns","36","-1.97","-0.055","-3.27","-0.091","1.74","0.05","52.8%","-2.1","-0.1","8.3%","11.1%"
"[object Object]","2025","Jaxson Dart","Giants","27","-2.10","-0.078","-2.95","-0.109","6.47","0.24","48.1%","-2.0","-0.1","29.6%","11.1%"
"[object Object]","2025","Woody Marks","Texans","104","-2.15","-0.021","-5.44","-0.052","-10.87","-0.10","44.2%","-2.1","-0.1","11.5%","13.5%"
"[object Object]","2025","Taysom Hill","Saints","24","-2.15","-0.090","-2.92","-0.122","0.47","0.02","41.7%","-2.2","-0.1","20.8%","12.5%"
"[object Object]","2025","Dare Ogunbowale","Texans","5","-2.34","-0.468","-2.51","-0.501","-5.45","-1.09","0.0%","-2.3","-0.1","0.0%","60.0%"
"[object Object]","2025","Evan Hull","Saints","10","-2.43","-0.243","-2.74","-0.274","-3.70","-0.37","40.0%","-2.4","-0.1","0.0%","10.0%"
"[object Object]","2025","Rico Dowdle","Panthers","112","-2.44","-0.022","-6.36","-0.057","-2.65","-0.02","35.7%","-2.8","-0.1","12.5%","8.0%"
"[object Object]","2025","Rachaad White","Buccaneers","58","-2.45","-0.042","-4.34","-0.075","1.14","0.02","44.8%","-2.5","-0.1","6.9%","6.9%"
"[object Object]","2025","Isiah Pacheco","Chiefs","76","-2.46","-0.032","-5.06","-0.067","-5.56","-0.07","47.4%","-2.6","-0.1","5.3%","9.2%"
"[object Object]","2025","Tahj Brooks","Bengals","9","-2.58","-0.287","-2.90","-0.322","-3.14","-0.35","22.2%","-2.6","-0.1","0.0%","11.1%"
"[object Object]","2025","Keaton Mitchell","Ravens","19","-2.82","-0.148","-3.49","-0.184","-1.04","-0.05","36.8%","-2.9","-0.1","0.0%","5.3%"
"[object Object]","2025","Khalil Herbert","Jets","10","-3.12","-0.312","-3.53","-0.353","-1.97","-0.20","30.0%","-3.2","-0.1","0.0%","10.0%"
"[object Object]","2025","Malik Davis","Cowboys","32","-3.22","-0.101","-4.16","-0.130","-3.85","-0.12","37.5%","-3.1","-0.1","9.4%","9.4%"
"[object Object]","2025","Kaleb Johnson","Steelers","11","-3.37","-0.306","-3.80","-0.345","-4.79","-0.44","36.4%","-3.5","-0.1","0.0%","18.2%"
"[object Object]","2025","LeQuint Allen Jr.","Jaguars","13","-3.63","-0.279","-4.03","-0.310","-2.18","-0.17","53.8%","-3.6","-0.1","23.1%","30.8%"
"[object Object]","2025","Derrick Henry","Ravens","155","-3.78","-0.024","-9.17","-0.059","-17.35","-0.11","38.1%","-4.2","-0.1","7.7%","10.3%"
"[object Object]","2025","Jalen Hurts","Eagles","17","-3.85","-0.226","-4.44","-0.261","-4.26","-0.25","23.5%","-3.8","-0.1","11.8%","17.6%"
"[object Object]","2025","Sean Tucker","Buccaneers","38","-3.86","-0.102","-5.09","-0.134","-4.95","-0.13","36.8%","-3.9","-0.1","15.8%","13.2%"
"[object Object]","2025","Caleb Williams","Bears","10","-3.96","-0.396","-4.30","-0.430","0.08","0.01","40.0%","-3.9","-0.1","20.0%","20.0%"
"[object Object]","2025","Dylan Laube","Raiders","5","-4.22","-0.844","-4.46","-0.891","-5.69","-1.14","20.0%","-4.3","-0.1","0.0%","60.0%"
"[object Object]","2025","Miles Sanders","Cowboys","8","-4.60","-0.575","-4.84","-0.605","-5.24","-0.66","37.5%","-4.6","-0.1","0.0%","12.5%"
"[object Object]","2025","David Montgomery","Lions","96","-4.98","-0.052","-8.14","-0.085","-9.87","-0.10","42.7%","-5.1","-0.2","9.4%","11.5%"
"[object Object]","2025","Devin Neal","Saints","42","-5.00","-0.119","-6.43","-0.153","-2.82","-0.07","45.2%","-5.1","-0.2","4.8%","2.4%"
"[object Object]","2025","Isaiah Davis","Jets","24","-5.12","-0.213","-5.93","-0.247","-5.68","-0.24","29.2%","-5.2","-0.2","8.3%","16.7%"
"[object Object]","2025","Jerome Ford","Browns","13","-5.19","-0.399","-5.60","-0.431","-2.52","-0.19","46.2%","-5.2","-0.2","23.1%","23.1%"
"[object Object]","2025","Christian McCaffrey","49ers","156","-5.24","-0.034","-10.16","-0.065","-9.36","-0.06","46.8%","-5.1","-0.2","10.3%","9.6%"
"[object Object]","2025","Bucky Irving","Buccaneers","86","-5.70","-0.066","-8.49","-0.099","-2.64","-0.03","47.7%","-5.7","-0.2","8.1%","8.1%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","84","-6.09","-0.073","-8.82","-0.105","-10.97","-0.13","32.1%","-6.1","-0.2","6.0%","8.3%"
"[object Object]","2025","Kimani Vidal","Chargers","70","-6.16","-0.088","-8.29","-0.118","-16.75","-0.24","37.1%","-6.0","-0.2","8.6%","18.6%"
"[object Object]","2025","Zamir White","Raiders","8","-6.27","-0.784","-6.54","-0.817","-5.47","-0.68","25.0%","-6.3","-0.2","0.0%","25.0%"
"[object Object]","2025","RJ Harvey","Broncos","57","-6.28","-0.110","-8.07","-0.142","-11.01","-0.19","36.8%","-6.2","-0.2","5.3%","15.8%"
"[object Object]","2025","James Conner","Cardinals","11","-6.31","-0.574","-6.71","-0.610","-6.67","-0.61","27.3%","-6.4","-0.2","0.0%","36.4%"
"[object Object]","2025","Antonio Gibson","Patriots","11","-6.45","-0.586","-6.83","-0.621","-7.57","-0.69","27.3%","-6.5","-0.2","0.0%","18.2%"
"[object Object]","2025","Aaron Jones Sr.","Vikings","62","-6.62","-0.107","-9.02","-0.145","-5.80","-0.09","45.2%","-7.0","-0.2","3.2%","14.5%"
"[object Object]","2025","Braelon Allen","Jets","12","-6.85","-0.571","-7.25","-0.604","-9.98","-0.83","33.3%","-6.9","-0.2","0.0%","33.3%"
"[object Object]","2025","Brashard Smith","Chiefs","25","-6.97","-0.279","-7.71","-0.308","-11.78","-0.47","28.0%","-6.9","-0.2","0.0%","16.0%"
"[object Object]","2025","Jaydon Blue","Cowboys","21","-7.08","-0.337","-7.82","-0.372","-6.23","-0.30","33.3%","-7.1","-0.2","0.0%","9.5%"
"[object Object]","2025","Alvin Kamara","Saints","91","-7.19","-0.079","-10.16","-0.112","-15.23","-0.17","42.9%","-7.2","-0.2","4.4%","11.0%"
"[object Object]","2025","Bo Nix","Broncos","16","-7.19","-0.450","-7.71","-0.482","-8.20","-0.51","31.3%","-7.1","-0.2","6.3%","18.8%"
"[object Object]","2025","Jonathan Taylor","Colts","126","-7.33","-0.058","-11.64","-0.092","-22.06","-0.18","37.3%","-7.6","-0.2","7.9%","11.9%"
"[object Object]","2025","Zavier Scott","Vikings","17","-7.43","-0.437","-8.03","-0.472","-9.13","-0.54","35.3%","-7.5","-0.2","0.0%","11.8%"
"[object Object]","2025","Travis Etienne","Jaguars","138","-8.05","-0.058","-12.50","-0.091","-8.25","-0.06","41.3%","-8.1","-0.2","9.4%","13.8%"
"[object Object]","2025","Devin Singletary","Giants","62","-9.87","-0.159","-11.90","-0.192","-11.02","-0.18","43.5%","-9.9","-0.3","8.1%","11.3%"
"[object Object]","2025","Chuba Hubbard","Panthers","83","-10.08","-0.121","-12.93","-0.156","-7.38","-0.09","45.8%","-10.3","-0.3","6.0%","10.8%"
"[object Object]","2025","Tyler Allgeier","Falcons","113","-11.61","-0.103","-15.35","-0.136","-12.04","-0.11","47.8%","-11.7","-0.4","12.4%","14.2%"
