"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Terrell Jennings","Patriots","23","-0.85","-0.037","-1.57","-0.068","3.89","0.17","47.8%","-0.8","-0.0","13.0%","0.0%"
"[object Object]","2025","Mac Jones","49ers","36","-1.06","-0.029","-2.49","-0.069","-0.81","-0.02","38.9%","-1.7","-0.1","16.7%","25.0%"
"[object Object]","2025","Bo Melton","Packers","5","-1.10","-0.220","-1.27","-0.255","1.64","0.33","60.0%","-1.2","-0.0","40.0%","0.0%"
"[object Object]","2025","Trayveon Williams","2 teams","10","-1.16","-0.116","-1.56","-0.156","0.21","0.02","40.0%","-1.2","-0.0","30.0%","20.0%"
"[object Object]","2025","Caleb Williams","Bears","77","-1.21","-0.016","-6.79","-0.088","8.93","0.12","46.8%","-4.4","-0.1","24.7%","16.9%"
"[object Object]","2025","Chris Brooks","Packers","27","-1.30","-0.048","-2.28","-0.084","-1.99","-0.07","44.4%","-1.4","-0.0","11.1%","7.4%"
"[object Object]","2025","George Holani","Seahawks","22","-1.39","-0.063","-2.20","-0.100","-8.21","-0.37","36.4%","-1.5","-0.0","9.1%","27.3%"
"[object Object]","2025","Raheim Sanders","Browns","27","-1.41","-0.052","-2.38","-0.088","-0.74","-0.03","40.7%","-1.5","-0.0","14.8%","11.1%"
"[object Object]","2025","Aaron Rodgers","Steelers","21","-1.43","-0.068","-3.01","-0.143","3.79","0.18","42.9%","-2.5","-0.1","19.0%","4.8%"
"[object Object]","2025","KaVontae Turpin","Cowboys","17","-1.63","-0.096","-2.17","-0.128","-1.42","-0.08","52.9%","-1.7","-0.1","11.8%","5.9%"
"[object Object]","2025","RJ Harvey","Broncos","146","-1.67","-0.011","-6.13","-0.042","-15.93","-0.11","36.3%","-1.4","-0.0","8.9%","14.4%"
"[object Object]","2025","Isaiah Davis","Jets","43","-1.68","-0.039","-3.05","-0.071","-2.21","-0.05","44.2%","-1.7","-0.1","11.6%","14.0%"
"[object Object]","2025","Dameon Pierce","2 teams","14","-1.71","-0.122","-2.17","-0.155","-3.77","-0.27","21.4%","-1.7","-0.1","0.0%","0.0%"
"[object Object]","2025","D'Ernest Johnson","2 teams","14","-1.97","-0.141","-2.46","-0.175","-1.45","-0.10","42.9%","-2.0","-0.1","0.0%","0.0%"
"[object Object]","2025","Josh Jacobs","Packers","234","-1.98","-0.008","-9.97","-0.043","-19.38","-0.08","44.4%","-2.4","-0.1","9.0%","10.7%"
"[object Object]","2025","Savion Williams","Packers","11","-2.04","-0.186","-2.37","-0.215","-5.47","-0.50","27.3%","-2.1","-0.1","18.2%","18.2%"
"[object Object]","2025","Aaron Jones Sr.","Vikings","132","-2.05","-0.016","-7.12","-0.054","4.69","0.04","45.5%","-2.9","-0.1","8.3%","9.1%"
"[object Object]","2025","Dyami Brown","Jaguars","6","-2.05","-0.342","-2.24","-0.373","0.55","0.09","66.7%","-2.1","-0.1","33.3%","16.7%"
"[object Object]","2025","Davis Mills","Texans","13","-2.14","-0.165","-3.02","-0.232","-0.79","-0.06","30.8%","-2.7","-0.1","15.4%","23.1%"
"[object Object]","2025","Joe Burrow","Bengals","14","-2.17","-0.155","-3.27","-0.234","2.12","0.15","50.0%","-2.8","-0.1","14.3%","7.1%"
"[object Object]","2025","Dillon Gabriel","Browns","14","-2.33","-0.166","-3.76","-0.268","1.96","0.14","42.9%","-3.3","-0.1","21.4%","7.1%"
"[object Object]","2025","Geno Smith","Raiders","41","-2.48","-0.060","-5.51","-0.134","-5.01","-0.12","39.0%","-4.3","-0.1","22.0%","24.4%"
"[object Object]","2025","Adam Prentice","Broncos","10","-2.64","-0.264","-2.95","-0.295","-5.27","-0.53","20.0%","-2.6","-0.1","10.0%","30.0%"
"[object Object]","2025","Hassan Haskins","Chargers","17","-2.66","-0.157","-3.21","-0.189","-4.38","-0.26","23.5%","-2.7","-0.1","11.8%","5.9%"
"[object Object]","2025","Bo Nix","Broncos","83","-2.69","-0.032","-7.85","-0.095","7.62","0.09","44.6%","-5.5","-0.2","20.5%","10.8%"
"[object Object]","2025","Tez Johnson","Buccaneers","7","-2.69","-0.384","-2.86","-0.409","-1.75","-0.25","42.9%","-2.7","-0.1","0.0%","28.6%"
"[object Object]","2025","Brashard Smith","Chiefs","44","-2.70","-0.061","-4.03","-0.092","-9.62","-0.22","36.4%","-2.6","-0.1","6.8%","9.1%"
"[object Object]","2025","Ty Chandler","Vikings","17","-2.81","-0.165","-3.42","-0.201","-2.73","-0.16","29.4%","-2.9","-0.1","5.9%","5.9%"
