"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Zamir White","Raiders","12","-6.55","-0.546","-6.95","-0.579","-7.22","-0.60","16.7%","-6.6","-0.2","0.0%","16.7%"
"[object Object]","2025","Woody Marks","Texans","196","-6.81","-0.035","-13.00","-0.066","-19.27","-0.10","42.9%","-6.7","-0.2","11.2%","10.7%"
"[object Object]","2025","Jaydon Blue","Cowboys","38","-6.85","-0.180","-8.19","-0.216","-8.92","-0.23","34.2%","-7.0","-0.2","10.5%","18.4%"
"[object Object]","2025","Zavier Scott","Vikings","32","-7.28","-0.227","-8.35","-0.261","-12.09","-0.38","34.4%","-7.3","-0.2","3.1%","15.6%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","20","-7.46","-0.373","-9.14","-0.457","-6.75","-0.34","40.0%","-8.6","-0.3","5.0%","20.0%"
"[object Object]","2025","Brady Cook","Jets","13","-7.70","-0.592","-8.76","-0.674","-1.70","-0.13","38.5%","-8.3","-0.3","7.7%","23.1%"
"[object Object]","2025","Devin Neal","Saints","57","-8.63","-0.151","-10.54","-0.185","-8.51","-0.15","42.1%","-8.7","-0.3","3.5%","5.3%"
"[object Object]","2025","Kimani Vidal","Chargers","155","-9.15","-0.059","-13.96","-0.090","-16.17","-0.10","43.2%","-9.0","-0.3","10.3%","14.2%"
"[object Object]","2025","Braelon Allen","Jets","18","-9.18","-0.510","-9.80","-0.545","-11.59","-0.64","33.3%","-9.2","-0.3","5.6%","33.3%"
"[object Object]","2025","Taysom Hill","Saints","52","-9.69","-0.186","-11.33","-0.218","-7.18","-0.14","40.4%","-9.7","-0.3","15.4%","21.2%"
"[object Object]","2025","Chuba Hubbard","Panthers","134","-11.36","-0.085","-15.97","-0.119","-4.41","-0.03","50.0%","-11.7","-0.4","9.7%","9.0%"
"[object Object]","2025","Devin Singletary","Giants","119","-14.02","-0.118","-17.90","-0.150","-16.13","-0.14","42.0%","-14.1","-0.4","8.4%","13.4%"
"[object Object]","2025","Quinshon Judkins","Browns","230","-14.94","-0.065","-22.82","-0.099","-21.84","-0.09","37.4%","-15.4","-0.5","11.3%","10.0%"
"[object Object]","2025","Christian McCaffrey","49ers","311","-16.72","-0.054","-26.50","-0.085","-19.70","-0.06","44.1%","-16.5","-0.5","8.7%","9.6%"
