"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Puka Nacua","Rams","WR","98","41.91","0.152","35.41","0.128","75.85","0.77","69.4%","39.0","1.2","55.1%","9.2%"
"[object Object]","2025","Trey McBride","Cardinals","TE","108","34.11","0.074","23.15","0.050","54.32","0.50","64.8%","29.5","0.9","34.3%","8.3%"
"[object Object]","2025","Jaxon Smith-Njigba","Seahawks","WR","108","33.89","0.107","25.94","0.082","63.17","0.58","63.9%","30.0","0.9","43.5%","9.3%"
"[object Object]","2025","Ja'Marr Chase","Bengals","WR","105","25.10","0.067","16.10","0.043","28.42","0.27","54.3%","20.9","0.6","27.6%","11.4%"
"[object Object]","2025","Colston Loveland","Bears","TE","60","21.01","0.087","15.31","0.064","35.79","0.60","65.0%","18.6","0.6","40.0%","10.0%"
"[object Object]","2025","Alec Pierce","Colts","WR","57","20.60","0.071","13.28","0.045","45.42","0.80","63.2%","17.0","0.5","49.1%","8.8%"
"[object Object]","2025","Stefon Diggs","Patriots","WR","61","20.54","0.086","14.70","0.062","41.73","0.68","77.0%","17.8","0.5","45.9%","9.8%"
"[object Object]","2025","Keenan Allen","Chargers","WR","69","19.58","0.080","13.72","0.056","27.96","0.41","69.6%","16.9","0.5","34.8%","15.9%"
"[object Object]","2025","Drake London","Falcons","WR","68","19.47","0.087","14.02","0.063","28.38","0.42","64.7%","16.9","0.5","39.7%","11.8%"
"[object Object]","2025","DeVonta Smith","Eagles","WR","62","19.42","0.063","11.56","0.038","48.32","0.78","64.5%","15.5","0.5","43.5%","11.3%"
"[object Object]","2025","Nico Collins","Texans","WR","79","19.34","0.066","12.36","0.042","24.64","0.31","50.6%","16.1","0.5","34.2%","19.0%"
"[object Object]","2025","Terry McLaurin","Commanders","WR","37","18.92","0.125","14.87","0.098","42.10","1.14","78.4%","16.8","0.5","48.6%","0.0%"
"[object Object]","2025","Justin Jefferson","Vikings","WR","81","18.76","0.059","10.26","0.032","10.63","0.13","50.6%","14.3","0.4","35.8%","21.0%"
"[object Object]","2025","Amon-Ra St. Brown","Lions","WR","101","18.22","0.056","10.35","0.032","44.31","0.44","61.4%","14.5","0.4","37.6%","11.9%"
"[object Object]","2025","Emeka Egbuka","Buccaneers","WR","68","17.98","0.063","11.12","0.039","24.73","0.36","48.5%","14.8","0.5","29.4%","13.2%"
"[object Object]","2025","Rome Odunze","Bears","WR","55","17.77","0.076","12.33","0.052","8.51","0.15","41.8%","15.3","0.5","34.5%","18.2%"
"[object Object]","2025","Tetairoa McMillan","Panthers","WR","67","17.70","0.055","9.52","0.030","31.32","0.47","59.7%","13.6","0.4","43.3%","11.9%"
"[object Object]","2025","Michael Wilson","Cardinals","WR","82","17.49","0.041","7.50","0.018","20.22","0.25","56.1%","12.9","0.4","30.5%","17.1%"
"[object Object]","2025","Sam LaPorta","Lions","TE","35","16.78","0.115","13.19","0.090","27.68","0.79","77.1%","15.2","0.5","42.9%","8.6%"
"[object Object]","2025","DK Metcalf","Steelers","WR","55","16.63","0.072","10.49","0.045","20.29","0.37","52.7%","13.4","0.4","29.1%","9.1%"
"[object Object]","2025","Darnell Washington","Steelers","TE","31","16.51","0.145","13.45","0.118","18.08","0.58","67.7%","15.0","0.5","51.6%","6.5%"
"[object Object]","2025","George Pickens","Cowboys","WR","85","16.31","0.047","8.34","0.024","36.68","0.43","63.5%","12.8","0.4","38.8%","9.4%"
"[object Object]","2025","Wan'Dale Robinson","Giants","WR","81","15.95","0.051","8.45","0.027","15.77","0.19","53.1%","12.4","0.4","28.4%","24.7%"
"[object Object]","2025","Hunter Henry","Patriots","TE","49","15.72","0.057","8.99","0.033","27.75","0.57","63.3%","12.8","0.4","46.9%","8.2%"
"[object Object]","2025","AJ Barner","Seahawks","TE","44","15.30","0.066","9.48","0.041","17.71","0.40","63.6%","12.7","0.4","25.0%","6.8%"
"[object Object]","2025","Parker Washington","Jaguars","WR","59","15.20","0.062","9.55","0.039","17.79","0.30","52.5%","12.7","0.4","28.8%","16.9%"
"[object Object]","2025","Harold Fannin Jr.","Browns","TE","66","13.93","0.059","8.15","0.035","4.91","0.07","54.5%","11.4","0.4","27.3%","19.7%"
"[object Object]","2025","Zay Flowers","Ravens","WR","60","13.72","0.049","6.47","0.023","28.98","0.48","60.0%","10.0","0.3","46.7%","15.0%"
"[object Object]","2025","Cooper Kupp","Seahawks","WR","43","12.91","0.050","6.42","0.025","13.02","0.30","58.1%","9.7","0.3","32.6%","16.3%"
"[object Object]","2025","Brenton Strange","Jaguars","TE","44","12.89","0.066","8.20","0.042","30.79","0.70","68.2%","10.9","0.3","38.6%","11.4%"
"[object Object]","2025","Josh Downs","Colts","WR","52","12.80","0.056","7.01","0.030","22.55","0.43","53.8%","9.9","0.3","28.8%","9.6%"
"[object Object]","2025","Brock Bowers","Raiders","TE","47","12.13","0.053","6.09","0.027","20.50","0.44","70.2%","9.2","0.3","36.2%","6.4%"
"[object Object]","2025","Davante Adams","Rams","WR","63","11.99","0.053","6.40","0.028","24.84","0.39","58.7%","9.3","0.3","36.5%","14.3%"
"[object Object]","2025","Chigoziem Okonkwo","Titans","TE","42","11.96","0.051","5.96","0.026","17.53","0.42","54.8%","9.2","0.3","38.1%","9.5%"
"[object Object]","2025","Bijan Robinson","Falcons","RB","56","11.75","0.050","5.96","0.025","7.16","0.13","58.9%","8.7","0.3","21.4%","14.3%"
"[object Object]","2025","George Kittle","49ers","TE","38","11.75","0.068","7.25","0.042","25.99","0.68","73.7%","9.6","0.3","39.5%","5.3%"
"[object Object]","2025","Jordan Addison","Vikings","WR","58","11.57","0.045","4.74","0.018","15.47","0.27","55.2%","8.0","0.2","22.4%","13.8%"
"[object Object]","2025","Ladd McConkey","Chargers","WR","52","11.40","0.037","4.21","0.014","13.61","0.26","53.8%","8.1","0.2","34.6%","11.5%"
"[object Object]","2025","Dalton Schultz","Texans","TE","73","10.87","0.037","4.03","0.014","41.50","0.57","71.2%","8.0","0.2","34.2%","5.5%"
"[object Object]","2025","Pat Freiermuth","Steelers","TE","30","10.86","0.071","7.02","0.046","22.67","0.76","63.3%","9.1","0.3","36.7%","10.0%"
"[object Object]","2025","A.J. Brown","Eagles","WR","70","10.58","0.037","3.20","0.011","33.07","0.47","57.1%","6.9","0.2","34.3%","11.4%"
"[object Object]","2025","Greg Dulcich","Dolphins","TE","26","10.44","0.111","7.91","0.084","15.84","0.61","69.2%","9.2","0.3","34.6%","15.4%"
"[object Object]","2025","Jameson Williams","Lions","WR","58","10.37","0.030","1.91","0.005","37.63","0.65","56.9%","6.3","0.2","41.4%","6.9%"
"[object Object]","2025","CeeDee Lamb","Cowboys","WR","61","10.31","0.038","4.21","0.015","22.69","0.37","55.7%","7.7","0.2","27.9%","14.8%"
"[object Object]","2025","Christian Watson","Packers","WR","31","10.28","0.071","6.64","0.046","26.55","0.86","71.0%","8.5","0.3","45.2%","6.5%"
"[object Object]","2025","Bucky Irving","Buccaneers","RB","20","10.02","0.109","7.86","0.085","7.64","0.38","50.0%","8.9","0.3","20.0%","10.0%"
"[object Object]","2025","Malik Nabers","Giants","WR","23","10.01","0.119","8.01","0.095","13.15","0.57","60.9%","9.1","0.3","21.7%","4.3%"
"[object Object]","2025","Jahmyr Gibbs","Lions","RB","49","9.95","0.050","5.12","0.026","11.78","0.24","53.1%","7.5","0.2","24.5%","10.2%"
"[object Object]","2025","Jeremy McNichols","Commanders","RB","21","9.84","0.088","6.87","0.061","5.19","0.25","57.1%","8.2","0.3","28.6%","9.5%"
"[object Object]","2025","Ricky Pearsall","49ers","WR","36","9.49","0.053","5.36","0.030","17.33","0.48","63.9%","7.6","0.2","52.8%","16.7%"
"[object Object]","2025","JuJu Smith-Schuster","Chiefs","WR","23","9.18","0.059","5.18","0.033","16.45","0.72","78.3%","7.2","0.2","47.8%","4.3%"
"[object Object]","2025","Isaiah Davis","Jets","RB","20","8.85","0.077","6.03","0.052","7.74","0.39","60.0%","7.4","0.2","20.0%","5.0%"
"[object Object]","2025","Tyjae Spears","Titans","RB","29","8.58","0.071","5.45","0.045","-3.48","-0.12","37.9%","6.9","0.2","20.7%","20.7%"
"[object Object]","2025","Kenneth Gainwell","Steelers","RB","32","8.51","0.058","4.81","0.033","7.93","0.25","68.8%","6.5","0.2","25.0%","12.5%"
"[object Object]","2025","Kayshon Boutte","Patriots","WR","30","7.79","0.036","2.49","0.011","24.40","0.81","76.7%","5.2","0.2","46.7%","10.0%"
"[object Object]","2025","Daniel Bellinger","Giants","TE","19","7.55","0.060","4.63","0.037","17.39","0.92","73.7%","6.4","0.2","52.6%","5.3%"
"[object Object]","2025","Tee Higgins","Bengals","WR","50","7.51","0.024","-0.33","-0.001","5.07","0.10","54.0%","3.7","0.1","38.0%","18.0%"
"[object Object]","2025","Jauan Jennings","49ers","WR","52","7.50","0.026","0.44","0.002","9.59","0.18","53.8%","4.1","0.1","36.5%","19.2%"
"[object Object]","2025","Dontayvion Wicks","Packers","WR","24","7.35","0.056","4.19","0.032","13.53","0.56","66.7%","5.9","0.2","33.3%","8.3%"
"[object Object]","2025","Jake Ferguson","Cowboys","TE","59","7.24","0.027","1.13","0.004","17.39","0.29","52.5%","4.7","0.1","28.8%","11.9%"
"[object Object]","2025","Dawson Knox","Bills","TE","30","7.19","0.043","3.24","0.019","25.35","0.84","73.3%","5.5","0.2","50.0%","6.7%"
"[object Object]","2025","Jaylen Waddle","Dolphins","WR","69","7.16","0.028","0.11","0.000","30.06","0.44","56.5%","3.4","0.1","42.0%","8.7%"
"[object Object]","2025","Dalton Kincaid","Bills","TE","23","7.14","0.073","4.86","0.050","21.59","0.94","65.2%","6.2","0.2","47.8%","0.0%"
"[object Object]","2025","Rico Dowdle","Panthers","RB","33","7.13","0.052","3.56","0.026","4.66","0.14","51.5%","5.2","0.2","18.2%","9.1%"
"[object Object]","2025","Quentin Johnston","Chargers","WR","41","7.05","0.026","0.57","0.002","16.78","0.41","56.1%","4.0","0.1","29.3%","9.8%"
"[object Object]","2025","KaVontae Turpin","Cowboys","WR","19","7.05","0.055","4.14","0.032","15.41","0.81","57.9%","5.8","0.2","42.1%","15.8%"
"[object Object]","2025","Tyler Warren","Colts","TE","69","7.03","0.022","-1.20","-0.004","4.24","0.06","52.2%","3.3","0.1","21.7%","14.5%"
"[object Object]","2025","Tyreek Hill","Dolphins","WR","20","7.03","0.106","5.13","0.078","9.78","0.49","55.0%","6.0","0.2","45.0%","10.0%"
"[object Object]","2025","Jakobi Meyers","2 teams","WR","65","6.90","0.022","-0.65","-0.002","9.23","0.14","60.0%","3.3","0.1","32.3%","13.8%"
"[object Object]","2025","Travis Kelce","Chiefs","TE","55","6.51","0.024","-0.24","-0.001","23.90","0.43","58.2%","3.5","0.1","32.7%","10.9%"
"[object Object]","2025","Khalil Shakir","Bills","WR","40","6.49","0.032","1.77","0.009","11.35","0.28","57.5%","4.3","0.1","30.0%","17.5%"
"[object Object]","2025","Chris Godwin","Buccaneers","WR","28","6.47","0.048","3.24","0.024","10.28","0.37","57.1%","4.9","0.2","39.3%","17.9%"
"[object Object]","2025","David Montgomery","Lions","RB","18","6.40","0.062","3.89","0.037","6.64","0.37","66.7%","5.1","0.2","22.2%","16.7%"
"[object Object]","2025","Marvin Harrison Jr.","Cardinals","WR","46","6.24","0.025","0.26","0.001","18.59","0.40","47.8%","3.4","0.1","39.1%","6.5%"
"[object Object]","2025","Mack Hollins","Patriots","WR","44","6.14","0.030","1.16","0.006","28.90","0.66","65.9%","3.8","0.1","31.8%","4.5%"
"[object Object]","2025","Tre Tucker","Raiders","WR","51","6.10","0.019","-2.61","-0.008","21.48","0.42","52.9%","1.5","0.0","37.3%","5.9%"
"[object Object]","2025","Mike Gesicki","Bengals","TE","27","6.09","0.037","2.05","0.012","6.23","0.23","70.4%","4.3","0.1","37.0%","18.5%"
"[object Object]","2025","Dallas Goedert","Eagles","TE","52","6.02","0.023","-0.59","-0.002","28.60","0.55","67.3%","3.0","0.1","34.6%","7.7%"
"[object Object]","2025","Luther Burden III","Bears","WR","33","5.75","0.039","2.23","0.015","18.70","0.57","63.6%","4.1","0.1","39.4%","12.1%"
"[object Object]","2025","Kendrick Bourne","49ers","WR","41","5.72","0.025","0.25","0.001","23.68","0.58","73.2%","3.1","0.1","53.7%","12.2%"
"[object Object]","2025","Josh Jacobs","Packers","RB","26","5.71","0.046","2.65","0.021","11.12","0.43","61.5%","4.1","0.1","23.1%","7.7%"
"[object Object]","2025","T.J. Hockenson","Vikings","TE","45","5.70","0.025","-0.52","-0.002","5.08","0.11","55.6%","2.6","0.1","24.4%","15.6%"
"[object Object]","2025","Breece Hall","Jets","RB","28","5.68","0.036","1.74","0.011","9.40","0.34","67.9%","3.6","0.1","21.4%","7.1%"
"[object Object]","2025","Zach Ertz","Commanders","TE","44","5.51","0.028","0.64","0.003","15.62","0.35","65.9%","3.3","0.1","31.8%","15.9%"
"[object Object]","2025","RJ Harvey","Broncos","RB","31","5.48","0.040","2.32","0.017","10.16","0.33","58.1%","3.9","0.1","25.8%","3.2%"
"[object Object]","2025","Elic Ayomanor","Titans","WR","58","5.43","0.019","-2.21","-0.008","-16.02","-0.28","39.7%","1.5","0.0","24.1%","29.3%"
"[object Object]","2025","Pat Bryant","Broncos","WR","36","5.14","0.028","0.79","0.004","4.62","0.13","47.2%","3.1","0.1","27.8%","13.9%"
"[object Object]","2025","Michael Pittman Jr.","Colts","WR","70","5.12","0.015","-3.26","-0.010","28.53","0.41","64.3%","1.0","0.0","32.9%","10.0%"
"[object Object]","2025","Jalen Coker","Panthers","WR","19","4.96","0.030","0.33","0.002","15.33","0.81","84.2%","2.4","0.1","31.6%","0.0%"
"[object Object]","2025","Chase Brown","Bengals","RB","56","4.78","0.020","-0.83","-0.004","0.99","0.02","55.4%","1.9","0.1","17.9%","8.9%"
"[object Object]","2025","DeAndre Hopkins","Ravens","WR","18","4.66","0.047","2.05","0.021","10.76","0.60","55.6%","3.3","0.1","33.3%","5.6%"
"[object Object]","2025","Christian McCaffrey","49ers","RB","77","4.65","0.015","-2.73","-0.009","15.81","0.21","51.9%","0.9","0.0","23.4%","6.5%"
"[object Object]","2025","Isaiah Likely","Ravens","TE","25","4.63","0.032","0.98","0.007","13.37","0.53","64.0%","3.0","0.1","24.0%","12.0%"
"[object Object]","2025","Dylan Sampson","Browns","RB","19","4.59","0.057","2.58","0.032","4.73","0.25","57.9%","3.5","0.1","15.8%","5.3%"
