"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","EPA/A","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Javonte Williams","Cowboys","99","19.30","0.195","16.20","0.164","13.30","0.13","51.5%","19.4","0.6","10.1%","5.1%"
"[object Object]","2025","Jonathan Taylor","Colts","125","19.21","0.154","14.87","0.119","10.06","0.08","50.4%","18.9","0.6","11.2%","12.0%"
"[object Object]","2025","Tank Bigsby","2 teams","25","9.91","0.396","9.08","0.363","3.14","0.13","48.0%","9.9","0.3","20.0%","16.0%"
"[object Object]","2025","Chase Brown","Bengals","69","9.76","0.141","7.45","0.108","-0.38","-0.01","53.6%","9.7","0.3","4.3%","5.8%"
"[object Object]","2025","Saquon Barkley","Eagles","57","6.45","0.113","4.53","0.079","-0.88","-0.02","35.1%","6.4","0.2","15.8%","14.0%"
"[object Object]","2025","Travis Etienne","Jaguars","70","6.39","0.091","4.19","0.060","-9.56","-0.14","38.6%","6.4","0.2","10.0%","11.4%"
"[object Object]","2025","Tyler Allgeier","Falcons","21","6.31","0.300","5.61","0.267","2.96","0.14","57.1%","6.3","0.2","23.8%","14.3%"
"[object Object]","2025","Kareem Hunt","Chiefs","44","6.23","0.142","4.75","0.108","15.09","0.34","61.4%","6.2","0.2","25.0%","9.1%"
"[object Object]","2025","Rachaad White","Buccaneers","55","6.09","0.111","4.21","0.077","4.90","0.09","50.9%","6.0","0.2","14.5%","5.5%"
"[object Object]","2025","Nick Chubb","Texans","43","5.92","0.138","4.53","0.105","0.52","0.01","53.5%","5.9","0.2","14.0%","7.0%"
"[object Object]","2025","Brian Robinson Jr.","49ers","19","5.83","0.307","5.18","0.273","0.34","0.02","52.6%","5.8","0.2","5.3%","0.0%"
"[object Object]","2025","De'Von Achane","Dolphins","56","5.62","0.100","3.54","0.063","0.78","0.01","44.6%","5.3","0.2","10.7%","7.1%"
"[object Object]","2025","Chuba Hubbard","Panthers","33","5.16","0.156","4.03","0.122","3.29","0.10","57.6%","5.1","0.2","9.1%","3.0%"
"[object Object]","2025","Audric Estime","Saints","13","4.98","0.383","4.55","0.350","5.31","0.41","61.5%","5.0","0.2","38.5%","0.0%"
"[object Object]","2025","James Conner","Cardinals","15","4.95","0.330","4.40","0.293","3.31","0.22","53.3%","4.9","0.2","6.7%","0.0%"
"[object Object]","2025","Blake Corum","Rams","56","4.88","0.087","3.17","0.057","2.36","0.04","50.0%","5.0","0.2","12.5%","8.9%"
"[object Object]","2025","Kyle Monangai","Bears","43","4.86","0.113","3.54","0.082","7.41","0.17","60.5%","4.9","0.2","11.6%","4.7%"
"[object Object]","2025","Kenneth Walker III","Seahawks","80","4.75","0.059","2.11","0.026","-9.77","-0.12","33.8%","4.7","0.1","8.8%","11.3%"
"[object Object]","2025","Chris Rodriguez Jr.","Commanders","34","4.58","0.135","3.40","0.100","0.63","0.02","47.1%","4.5","0.1","17.6%","11.8%"
"[object Object]","2025","David Montgomery","Lions","48","4.31","0.090","2.75","0.057","6.02","0.13","33.3%","4.3","0.1","14.6%","8.3%"
"[object Object]","2025","Omarion Hampton","Chargers","39","4.26","0.109","3.02","0.077","2.11","0.05","46.2%","4.3","0.1","12.8%","12.8%"
"[object Object]","2025","Jaylen Warren","Steelers","56","4.04","0.072","2.16","0.039","1.87","0.03","50.0%","4.0","0.1","3.6%","5.4%"
"[object Object]","2025","J.K. Dobbins","Broncos","62","4.03","0.065","2.00","0.032","-7.88","-0.13","41.9%","4.0","0.1","8.1%","14.5%"
"[object Object]","2025","Kyler Murray","Cardinals","9","4.01","0.446","3.69","0.410","1.95","0.22","44.4%","4.0","0.1","33.3%","22.2%"
"[object Object]","2025","Tyrone Tracy Jr.","Giants","63","3.73","0.059","1.73","0.028","-2.39","-0.04","50.8%","3.8","0.1","3.2%","1.6%"
"[object Object]","2025","Bhayshul Tuten","Jaguars","18","3.62","0.201","3.04","0.169","3.74","0.21","72.2%","3.6","0.1","11.1%","5.6%"
"[object Object]","2025","Jaydon Blue","Cowboys","8","3.41","0.427","3.12","0.390","2.90","0.36","62.5%","3.4","0.1","37.5%","25.0%"
"[object Object]","2025","James Cook III","Bills","95","3.05","0.032","-0.06","-0.001","-0.43","-0.00","52.6%","3.0","0.1","11.6%","11.6%"
"[object Object]","2025","Jaret Patterson","Chargers","19","3.05","0.161","2.47","0.130","4.15","0.22","47.4%","3.1","0.1","15.8%","0.0%"
"[object Object]","2025","Josh Allen","Bills","17","2.92","0.172","2.37","0.139","6.25","0.37","58.8%","3.0","0.1","23.5%","0.0%"
