"Rank","Season","Player","Team","Pos.","Snaps","Rush Snaps","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","Positive%","PAR","WAR"
"[object Object]","2025","Maxx Crosby","Raiders","DE","889","399","34.64","0.087","21.97","0.055","45.4%","26.3","0.8"
"[object Object]","2025","Jack Campbell","Lions","LB","1043","410","31.95","0.078","18.74","0.046","47.6%","21.8","0.7"
"[object Object]","2025","Jordyn Brooks","Dolphins","LB","941","405","29.79","0.074","16.30","0.040","43.0%","19.4","0.6"
"[object Object]","2025","Cedric Gray","Titans","LB","880","377","27.28","0.072","14.98","0.040","41.9%","17.8","0.6"
"[object Object]","2025","Carson Schwesinger","Browns","LB","918","408","26.86","0.066","13.13","0.032","41.9%","16.2","0.5"
"[object Object]","2025","Tyson Campbell","2 teams","CB","932","362","24.79","0.068","12.95","0.036","43.9%","12.5","0.4"
"[object Object]","2025","Byron Young","Rams","LB","813","309","24.56","0.079","14.71","0.048","43.0%","17.1","0.5"
"[object Object]","2025","Kevin Byard III","Bears","S","1023","428","24.15","0.056","9.69","0.023","46.7%","8.9","0.3"
"[object Object]","2025","Talanoa Hufanga","Broncos","S","1023","354","24.13","0.068","12.66","0.036","42.7%","12.0","0.4"
"[object Object]","2025","Jordan Battle","Bengals","S","1006","423","23.45","0.055","9.96","0.024","49.6%","9.2","0.3"
"[object Object]","2025","Jeffery Simmons","Titans","DT","727","283","23.33","0.082","13.89","0.049","42.0%","16.7","0.5"
"[object Object]","2025","Nahshon Wright","Bears","CB","996","416","22.80","0.055","8.79","0.021","46.9%","8.2","0.3"
"[object Object]","2025","Blake Cashman","Vikings","LB","758","366","22.62","0.062","10.45","0.029","44.8%","13.2","0.4"
"[object Object]","2025","Cameron Heyward","Steelers","DT","785","307","22.38","0.073","12.78","0.042","45.0%","15.8","0.5"
"[object Object]","2025","Bobby Wagner","Commanders","LB","1080","462","22.27","0.048","7.89","0.017","48.9%","11.4","0.4"
"[object Object]","2025","Devin Bush","Browns","LB","842","422","21.75","0.052","7.84","0.019","43.6%","10.9","0.3"
"[object Object]","2025","Brandon Stephens","Jets","CB","1001","455","21.24","0.047","7.20","0.016","44.0%","6.6","0.2"
"[object Object]","2025","Reed Blankenship","Eagles","S","971","391","20.89","0.053","8.63","0.022","48.3%","7.9","0.2"
"[object Object]","2025","Jamien Sherwood","Jets","LB","1061","493","20.56","0.042","5.59","0.011","44.6%","9.2","0.3"
"[object Object]","2025","Demario Davis","Saints","LB","1036","478","20.56","0.043","5.34","0.011","41.0%","8.9","0.3"
"[object Object]","2025","Dane Belton","Giants","S","666","241","20.44","0.085","12.49","0.052","48.1%","12.1","0.4"
"[object Object]","2025","Tremaine Edmunds","Bears","LB","776","323","20.30","0.063","9.49","0.029","46.1%","12.0","0.4"
"[object Object]","2025","Tommy Togiai","Texans","DT","442","206","20.30","0.099","13.02","0.063","38.8%","15.1","0.5"
"[object Object]","2025","Derrick Brown","Panthers","DT","782","346","19.98","0.058","8.62","0.025","43.9%","12.0","0.4"
"[object Object]","2025","Jeremy Chinn","Raiders","S","946","429","19.67","0.046","6.23","0.015","45.0%","5.4","0.2"
"[object Object]","2025","Byron Murphy Jr.","Vikings","CB","1002","484","19.53","0.040","3.30","0.007","46.1%","2.7","0.1"
"[object Object]","2025","Kamari Lassiter","Texans","CB","905","332","19.38","0.058","7.80","0.024","41.6%","7.4","0.2"
"[object Object]","2025","Malachi Moore","Jets","S","906","414","19.23","0.046","6.89","0.017","43.7%","6.2","0.2"
"[object Object]","2025","Jordan Davis","Eagles","DT","661","306","18.95","0.062","9.33","0.031","50.0%","12.4","0.4"
"[object Object]","2025","Kam Curl","Rams","S","1063","403","18.70","0.046","5.83","0.014","43.9%","5.1","0.2"
"[object Object]","2025","Jack Jones","Dolphins","CB","937","394","18.57","0.047","5.50","0.014","43.9%","5.0","0.2"
"[object Object]","2025","Germaine Pratt","2 teams","LB","876","383","18.36","0.048","6.62","0.017","42.0%","9.5","0.3"
"[object Object]","2025","A.J. Terrell","Falcons","CB","916","368","18.01","0.049","6.41","0.017","44.8%","5.9","0.2"
"[object Object]","2025","Xavier McKinney","Packers","S","997","417","17.69","0.042","4.24","0.010","46.3%","3.5","0.1"
"[object Object]","2025","Bobby Okereke","Giants","LB","1043","428","17.59","0.041","4.15","0.010","46.0%","7.3","0.2"
"[object Object]","2025","Nate Landman","Rams","LB","967","395","17.54","0.044","4.96","0.013","42.8%","7.9","0.2"
"[object Object]","2025","Jonathan Allen","Vikings","DT","778","382","17.31","0.045","4.55","0.012","46.3%","8.3","0.3"
"[object Object]","2025","David Onyemata","Falcons","DT","610","304","17.31","0.057","7.54","0.025","45.1%","10.5","0.3"
"[object Object]","2025","Minkah Fitzpatrick","Dolphins","S","804","348","17.15","0.049","5.63","0.016","41.1%","5.0","0.2"
"[object Object]","2025","Ronnie Hickman","Browns","S","999","445","17.13","0.038","2.45","0.005","43.6%","1.6","0.1"
"[object Object]","2025","Nick Bolton","Chiefs","LB","965","401","16.95","0.042","3.69","0.009","42.4%","6.7","0.2"
"[object Object]","2025","Foyesade Oluokun","Jaguars","LB","981","321","16.93","0.053","6.30","0.020","41.4%","8.7","0.3"
