Rank,Season,Player,Team,Pos.,Cov. Snaps,Tgts,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,EPA,EPA/Tgt,Positive%,PAR,WAR,Boom%,Bust%
62,2024,Beanie Bishop Jr.,Steelers,CB,339,45,10.751631,0.031715,-0.62092,-0.001831,2.957575,0.065723,48.88889,1.709108,0.053403,0.4,0.24444444
63,2024,Eric Stokes,Packers,CB,382,45,10.145978,0.02677,-2.502695,-0.006603,1.968358,0.043741,42.22222,0.033566,0.001047,0.22222222,0.13333334
64,2024,DaRon Bland,Cowboys,CB,265,44,3.707528,0.014097,-5.049619,-0.0192,11.091269,0.252074,52.272728,-3.375772,-0.105487,0.25,0.11363637
65,2024,Kool-Aid McKinstry,Saints,CB,408,44,7.453269,0.018586,-4.584612,-0.011432,9.247222,0.210164,43.18182,-0.975153,-0.030473,0.29545453,0.18181819
66,2024,Jordyn Brooks,Dolphins,LB,540,43,10.675074,0.020489,-6.812586,-0.013075,-3.594945,-0.083603,44.186047,-1.538749,-0.048079,0.1627907,0.25581396
67,2024,Justin Reid,Chiefs,S,564,43,22.871033,0.041134,4.013836,0.007219,5.710354,0.132798,48.837208,6.330467,0.197811,0.27906978,0.18604651
68,2024,Jonathan Jones,Patriots,CB,397,43,0.440069,0.001114,-12.301659,-0.031143,27.379055,0.636722,55.813953,-9.585295,-0.299518,0.37209302,0.13953489
69,2024,DeShon Elliott,Steelers,S,451,43,21.100716,0.04689,5.879279,0.013065,8.114623,0.188712,48.837208,7.740607,0.241887,0.3488372,0.18604651
70,2024,Rasul Douglas,Bills,CB,466,42,0.655947,0.00141,-14.955352,-0.032162,17.36363,0.413419,59.52381,-11.799756,-0.368721,0.4047619,0.16666667
71,2024,Germaine Pratt,Bengals,LB,544,42,15.780966,0.030524,-0.335285,-0.000648,6.246354,0.148722,54.761906,4.905547,0.153304,0.21428572,0.04761905
72,2024,Eric Murray,Texans,S,490,42,18.252184,0.037946,2.509062,0.005216,7.662,0.182428,42.857143,4.459292,0.139345,0.33333334,0.16666667
73,2024,Tyson Campbell,Jaguars,CB,410,42,4.879388,0.012018,-7.539256,-0.018569,15.88158,0.378132,57.142857,-4.153065,-0.129773,0.4047619,0.14285715
74,2024,Daiyan Henley,Chargers,LB,530,42,23.454742,0.046353,6.814244,0.013466,-9.919,-0.236166,33.333332,12.058916,0.376799,0.16666667,0.1904762
75,2024,Tykee Smith,Buccaneers,S,394,42,16.734041,0.042907,4.427303,0.011352,-5.873849,-0.139853,42.857143,6.008244,0.18775,0.1904762,0.14285715
76,2024,Kader Kohou,Dolphins,CB,443,42,23.333977,0.052911,8.624125,0.019555,7.56857,0.180204,50,11.551141,0.360938,0.33333334,0.23809524
77,2024,Sauce Gardner,Jets,CB,442,42,9.043377,0.020599,-5.109569,-0.011639,16.568033,0.394477,47.61905,-2.057818,-0.064304,0.2857143,0.14285715
78,2024,Quentin Lake,Rams,S,572,42,13.030581,0.0229,-5.336679,-0.009379,-1.246118,-0.029669,47.61905,-3.042106,-0.095069,0.2857143,0.23809524
79,2024,Alex Anzalone,Lions,LB,336,41,4.33965,0.01323,-5.946916,-0.01813,0.945517,0.023061,46.341465,-2.570948,-0.080339,0.17073171,0.14634146
80,2024,Kyle Hamilton,Ravens,S,605,41,25.837803,0.043497,6.580957,0.011079,3.819206,0.093151,53.658535,9.01222,0.2816,0.29268292,0.14634146
81,2024,Charvarius Ward,49ers,CB,370,41,2.331651,0.006318,-10.46037,-0.028347,16.648758,0.406067,56.09756,-8.074868,-0.252313,0.3902439,0.19512194
82,2024,Greg Newsome II,Browns,CB,328,41,-2.735452,-0.008365,-13.684293,-0.041847,18.584806,0.453287,56.09756,-11.470277,-0.358423,0.41463414,0.19512194
83,2024,Ahkello Witherspoon,Rams,CB,294,40,1.986448,0.006756,-7.258039,-0.024687,20.147917,0.503697,57.5,-5.243519,-0.163852,0.375,0.075
84,2024,Jaylon Johnson,Bears,CB,544,40,3.51313,0.006457,-14.524286,-0.026699,23.235128,0.580878,52.5,-10.824766,-0.338249,0.375,0.1
