Rank,Season,Player,Team,Pos.,Cov. Snaps,Tgts,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,EPA,EPA/Tgt,Positive%,PAR,WAR,Boom%,Bust%
161,2024,Xavier McKinney,Packers,S,619,27,31.806555,0.051971,11.479085,0.018756,5.144709,0.190544,59.25926,13.888036,0.433972,0.44444445,0.14814815
162,2024,Clark Phillips III,Falcons,CB,244,27,14.695385,0.060976,6.393568,0.026529,4.419482,0.163684,48.148148,8.049092,0.25151,0.33333334,0.22222222
163,2024,Will Harris,Saints,S,481,27,16.358309,0.034731,1.963356,0.004168,7.616012,0.282074,44.444443,3.944738,0.123263,0.2962963,0.22222222
164,2024,Jamien Sherwood,Jets,LB,505,26,15.961893,0.033463,0.631866,0.001324,4.782859,0.183956,46.153847,5.482955,0.171333,0.30769232,0.15384616
165,2024,Javon Bullard,Packers,S,448,26,8.288768,0.018626,-6.452001,-0.014498,10.432645,0.401255,57.692307,-4.357911,-0.136174,0.42307693,0.15384616
166,2024,Nick Bolton,Chiefs,LB,479,25,8.846798,0.019835,-6.22318,-0.013953,7.443896,0.297755,60,-1.759399,-0.054974,0.32,0.12
167,2024,Tyrann Mathieu,Saints,S,580,25,13.432659,0.023442,-3.942101,-0.006879,18.335682,0.733427,60,-1.469016,-0.045913,0.48,0.2
168,2024,Tyrel Dodson,2 teams,LB,423,25,14.959588,0.036846,2.306988,0.005682,-6.660379,-0.266415,48,6.492716,0.202887,0.24,0.2
169,2024,Nakobe Dean,Eagles,LB,444,25,12.549227,0.030022,-1.659026,-0.003968,-9.82698,-0.393079,36,2.64283,0.082585,0.2,0.28
170,2024,Christian Izien,Buccaneers,S,437,25,10.165354,0.023422,-3.58721,-0.008265,-3.750755,-0.15003,48,-1.79369,-0.056054,0.28,0.32
171,2024,Isaiah Oliver,Jets,CB,310,25,3.620217,0.011792,-5.973396,-0.019457,14.014357,0.560574,60,-3.865992,-0.120805,0.32,0.12
172,2024,Terrel Bernard,Bills,LB,386,25,10.029214,0.026887,-1.812718,-0.004859,8.041743,0.321669,44,1.906172,0.059565,0.32,0.16
173,2024,Joshua Williams,Chiefs,CB,266,25,9.555838,0.036196,0.840153,0.003182,8.633595,0.345343,44,2.628221,0.082126,0.28,0.12
174,2024,Isaiah Pola-Mao,Raiders,S,527,24,9.062289,0.017327,-7.909418,-0.015123,4.423023,0.184292,45.833332,-5.780389,-0.180625,0.29166666,0.20833333
175,2024,Jalen Thompson,Cardinals,S,519,24,15.515476,0.030303,-1.302537,-0.002544,9.571754,0.398823,66.666664,0.912521,0.028511,0.375,0.20833333
176,2024,Amani Oruwariye,Cowboys,CB,176,24,-0.157938,-0.000902,-5.83771,-0.033358,11.768582,0.490357,62.5,-4.727643,-0.147726,0.33333334,0.16666667
177,2024,Henry To'o To'o,Texans,LB,411,24,13.355998,0.034158,0.572743,0.001464,7.507675,0.312819,54.166668,4.46841,0.139633,0.41666666,0.125
178,2024,Kyle Dugger,Patriots,S,375,24,3.189498,0.00869,-8.867428,-0.024161,1.839636,0.076651,50,-7.372844,-0.230385,0.25,0.16666667
179,2024,Marshon Lattimore,2 teams,CB,304,24,12.625208,0.041667,2.904244,0.009584,-2.013163,-0.083881,29.166666,4.981288,0.155645,0.29166666,0.20833333
180,2024,Quay Walker,Packers,LB,384,24,8.965514,0.024698,-2.905563,-0.008004,7.877122,0.328213,66.666664,0.620015,0.019372,0.20833333,0.041666668
181,2024,Drue Tranquill,Chiefs,LB,357,24,11.352909,0.033688,-0.005512,-1.6e-05,-3.972935,-0.165538,45.833332,3.462392,0.108199,0.125,0.125
182,2024,Josh Hayes,Buccaneers,S,162,24,4.716335,0.029113,-0.396028,-0.002444,7.859603,0.327483,54.166668,0.283796,0.008874,0.20833333,0.20833333
