round,pick,team,player,pos,college
1,1,LV,Fernando Mendoza,QB,Indiana
1,2,NYJ,David Bailey,OLB,Texas Tech
1,3,ARI,Jeremiyah Love,RB,Notre Dame
1,4,TEN,Carnell Tate,WR,Ohio St.
1,5,NYG,Arvell Reese,LB,Ohio St.
1,6,KC,Mansoor Delane,CB,LSU
1,7,WAS,Sonny Styles,LB,Ohio St.
1,8,NO,Jordyn Tyson,WR,Arizona St.
1,9,CLE,Spencer Fano,OT,Utah
1,10,NYG,Francis Mauigoa,OT,Miami (FL)
1,11,DAL,Caleb Downs,S,Ohio St.
1,12,MIA,Kadyn Proctor,OT,Alabama
1,13,LAR,Ty Simpson,QB,Alabama
1,14,BAL,Olaivavega Ioane,OG,Penn St.
1,15,TB,Rueben Bain Jr.,DE,Miami (FL)
1,16,NYJ,Kenyon Sadiq,TE,Oregon
1,17,DET,Blake Miller,OT,Clemson
1,18,MIN,Caleb Banks,DT,Florida
1,19,CAR,Monroe Freeling,OT,Georgia
1,20,PHI,Makai Lemon,WR,USC
1,21,PIT,Max Iheanachor,OT,Arizona St.
1,22,LAC,Akheem Mesidor,DE,Miami (FL)
1,23,DAL,Malachi Lawrence,DE,Central Florida
1,24,CLE,KC Concepcion,WR,Texas A&M
1,25,CHI,Dillon Thieneman,S,Oregon
1,26,HOU,Keylan Rutledge,G,Georgia Tech
1,27,MIA,Chris Johnson,CB,San Diego St.
1,28,NE,Caleb Lomu,OT,Utah
1,29,KC,Peter Woods,DT,Clemson
1,30,NYJ,Omar Cooper Jr.,WR,Indiana
1,31,TEN,Keldric Faulk,DE,Auburn
1,32,SEA,Jadarian Price,RB,Notre Dame
2,33,SF,De'Zhaun Stribling,WR,Mississippi
2,34,ARI,Chase Bisontis,G,Texas A&M
2,35,BUF,T.J. Parker,DE,Clemson
2,36,HOU,Kayden McDonald,DT,Ohio St.
2,37,NYG,Colton Hood,CB,Tennessee
2,38,LV,Treydan Stukes,CB,Arizona
2,39,CLE,Denzel Boston,WR,Washington
2,40,KC,R Mason Thomas,DE,Oklahoma
2,41,CIN,Cashius Howell,DE,Texas A&M
2,42,NO,Christen Miller,DT,Georgia
2,43,MIA,Jacob Rodriguez,LB,Texas Tech
2,44,DET,Derrick Moore,DE,Michigan
2,45,BAL,Zion Young,DE,Missouri
2,46,TB,Josiah Trotter,LB,Missouri
2,47,PIT,Germie Bernard,WR,Alabama
2,48,ATL,Avieon Terrell,CB,Clemson
2,49,CAR,Lee Hunter,DT,Texas Tech
2,50,NYJ,D'Angelo Ponds,CB,Indiana
2,51,MIN,Jake Golday,LB,Cincinnati
2,52,GB,Brandon Cisse,CB,South Carolina
2,53,IND,CJ Allen,LB,Georgia
2,54,PHI,Eli Stowers,TE,Vanderbilt
2,55,NE,Gabe Jacas,DE,Illinois
2,56,JAX,Nate Boerkircher,TE,Texas A&M
2,57,CHI,Logan Jones,C,Iowa
2,58,CLE,Emmanuel McNeil-Warren,S,Toledo
2,59,HOU,Marlin Klein,TE,Michigan
2,60,TEN,Anthony Hill Jr.,LB,Texas
2,61,LAR,Max Klare,TE,Ohio St.
2,62,BUF,Davison Igbinosun,CB,Ohio St.
2,63,LAC,Jake Slaughter,C,Florida
2,64,SEA,Bud Clark,S,TCU
3,65,ARI,Carson Beck,QB,Miami (FL)
3,66,DEN,Tyler Onyedim,DT,Texas A&M
3,67,LV,Keyron Crawford,DE,Auburn
3,68,PHI,Markel Bell,OT,Miami (FL)
3,69,CHI,Sam Roush,TE,Stanford
3,70,SF,Romello Height,DE,Texas Tech
3,71,WAS,Antonio Williams,WR,Clemson
3,72,CIN,Tacario Davis,CB,Washington
3,73,NO,Oscar Delp,TE,Georgia
3,74,NYG,Malachi Fields,WR,Notre Dame
3,75,MIA,Caleb Douglas,WR,Texas Tech
3,76,PIT,Drew Allar,QB,Penn St.
3,77,GB,Chris McClellan,DT,Missouri
3,78,IND,A.J. Haulcy,S,LSU
3,79,ATL,Zachariah Branch,WR,Georgia
3,80,BAL,Ja'Kobi Lane,WR,USC
3,81,JAX,Albert Regis,DT,Texas A&M
3,82,MIN,Domonique Orange,DT,Iowa St.
3,83,CAR,Chris Brazzell II,WR,Tennessee
3,84,TB,Ted Hurst,WR,Georgia St.
3,85,PIT,Daylen Everette,CB,Georgia
3,86,CLE,Austin Barber,OT,Florida
3,87,MIA,Will Kacmarek,TE,Ohio St.
3,88,JAX,Emmanuel Pregnon,G,Oregon
3,89,CHI,Zavion Thomas,WR,LSU
3,90,SF,Kaelon Black,RB,Indiana
3,91,LV,Trey Zuhn III,OT,Texas A&M
3,92,DAL,Jaishawn Barham,DE,Michigan
3,93,LAR,Keagen Trost,OL,Missouri
3,94,MIA,Chris Bell,WR,Louisville
3,95,NE,Eli Raridon,TE,Notre Dame
3,96,PIT,Gennings Dunker,OT,Iowa
3,97,MIN,Caleb Tiernan,OT,Northwestern
3,98,MIN,Jakobe Thomas,S,Miami (FL)
3,99,SEA,Julian Neal,CB,Arkansas
3,100,JAX,Jalen Huskey,S,Maryland
4,101,LV,Jermod McCoy,CB,Tennessee
4,102,BUF,Jude Bowry,OT,Boston Col.
4,103,NYJ,Darrell Jackson Jr.,DT,Florida St.
4,104,ARI,Kaleb Proctor,DT,Southeastern Louisiana
4,105,LAC,Brenen Thompson,WR,Mississippi St.
4,106,HOU,Febechi Nwaiwu,OL,Oklahoma
4,107,SF,Gracen Halton,DT,Oklahoma
4,108,DEN,Jonah Coleman,RB,Washington
4,109,KC,Jadon Canady,CB,Oregon
4,110,NYJ,Cade Klubnik,QB,Clemson
4,111,DEN,Kage Casey,OT,Boise St.
4,112,DAL,Drew Shelton,OT,Penn St.
4,113,IND,Jalen Farmer,G,Kentucky
4,114,DAL,Devin Moore,CB,Florida
4,115,BAL,Elijah Sarratt,WR,Indiana
4,116,TB,Keionte Scott,CB,Miami (FL)
4,117,LAC,Travis Burke,OT,Memphis
4,118,DET,Jimmy Rolder,LB,Michigan
4,119,JAX,Wesley Williams,DE,Duke
4,120,GB,Dani Dennis-Sutton,DE,Penn St.
4,121,PIT,Kaden Wetjen,WR,Iowa
4,122,LV,Mike Washington Jr.,RB,Arkansas
4,123,HOU,Wade Woodaz,LB,Clemson
4,124,CHI,Malik Muhammad,CB,Texas
4,125,BUF,Skyler Bell,WR,Connecticut
4,126,BUF,Kaleb Elarms-Orr,LB,TCU
4,127,SF,Carver Willis,OL,Washington
4,128,CIN,Connor Lew,C,Auburn
4,129,CAR,Will Lee III,CB,Texas A&M
4,130,MIA,Trey Moore,LB,Texas
4,131,LAC,Genesis Smith,S,Arizona
4,132,NO,Jeremiah Wright,G,Auburn
4,133,BAL,Matthew Hibner,TE,SMU
4,134,ATL,Kendal Daniels,LB,Oklahoma
4,135,IND,Bryce Boettcher,LB,Oregon
4,136,NO,Bryce Lance,WR,North Dakota St.
4,137,DAL,LT Overton,DE,Alabama
4,138,MIA,Kyle Louis,LB,Pittsburgh
4,139,SF,Ephesians Prysock,CB,Washington
4,140,CIN,Colbie Young,WR,Georgia
5,141,HOU,Kamari Ramsey,S,USC
