"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Caleb Williams","Bears","117","41.22","0.332","27.15","0.219","23.63","43.5%","35.7","1.1","30.6%","20.2%"
"[object Object]","2025","Matthew Stafford","Rams","161","35.45","0.216","16.03","0.098","44.50","51.2%","27.3","0.8","32.9%","18.9%"
"[object Object]","2025","Bo Nix","Broncos","121","31.21","0.248","16.70","0.133","20.04","50.0%","25.4","0.8","32.5%","20.6%"
"[object Object]","2025","Joe Burrow","Bengals","75","22.44","0.295","13.58","0.179","22.22","53.9%","18.8","0.6","40.8%","21.1%"
"[object Object]","2025","Jared Goff","Lions","154","22.28","0.133","2.40","0.014","11.83","48.5%","13.9","0.4","32.3%","22.2%"
"[object Object]","2025","C.J. Stroud","Texans","115","22.08","0.180","7.55","0.061","37.90","48.8%","16.0","0.5","31.7%","17.1%"
"[object Object]","2025","Dak Prescott","Cowboys","183","20.11","0.103","-1.59","-0.008","49.09","51.8%","11.8","0.4","32.8%","19.0%"
"[object Object]","2025","Jordan Love","Packers","129","19.49","0.142","1.82","0.013","12.02","46.0%","11.3","0.3","34.3%","20.4%"
"[object Object]","2025","Lamar Jackson","Ravens","95","18.36","0.177","4.26","0.041","-0.82","43.3%","11.4","0.4","29.8%","29.8%"
"[object Object]","2025","Brock Purdy","49ers","66","14.78","0.214","6.36","0.092","25.37","58.0%","11.1","0.3","42.0%","17.4%"
"[object Object]","2025","Spencer Rattler","Saints","58","14.11","0.235","6.87","0.114","7.37","43.3%","11.0","0.3","21.7%","15.0%"
"[object Object]","2025","Patrick Mahomes","Chiefs","167","13.00","0.073","-7.35","-0.041","5.69","44.4%","4.9","0.2","25.3%","23.0%"
"[object Object]","2025","Sam Darnold","Seahawks","112","12.71","0.107","-2.62","-0.022","26.68","54.6%","5.6","0.2","40.3%","21.8%"
"[object Object]","2025","Joe Flacco","2 teams","139","12.02","0.081","-5.14","-0.035","-9.94","42.6%","5.0","0.2","28.4%","23.6%"
"[object Object]","2025","Jacoby Brissett","Cardinals","103","10.55","0.090","-3.33","-0.028","-17.39","41.0%","4.7","0.1","29.1%","31.6%"
"[object Object]","2025","Trevor Lawrence","Jaguars","132","10.06","0.069","-7.26","-0.050","9.73","44.1%","2.7","0.1","33.8%","24.1%"
"[object Object]","2025","Michael Penix Jr.","Falcons","86","8.67","0.096","-2.21","-0.025","-6.95","40.0%","4.0","0.1","28.9%","28.9%"
"[object Object]","2025","Kyler Murray","Cardinals","32","8.42","0.240","3.90","0.111","8.38","54.3%","6.3","0.2","37.1%","22.9%"
"[object Object]","2025","Jalen Hurts","Eagles","139","7.90","0.053","-11.39","-0.076","-12.53","43.0%","-1.1","-0.0","21.5%","22.8%"
"[object Object]","2025","Tua Tagovailoa","Dolphins","59","7.80","0.126","-0.64","-0.010","12.76","54.8%","3.6","0.1","37.1%","22.6%"
"[object Object]","2025","Justin Herbert","Chargers","179","7.72","0.039","-15.15","-0.076","-0.45","43.9%","-1.5","-0.0","24.7%","24.2%"
"[object Object]","2025","Tyler Huntley","Ravens","17","7.09","0.394","4.91","0.273","10.96","66.7%","6.2","0.2","50.0%","11.1%"
"[object Object]","2025","Mac Jones","49ers","68","6.59","0.090","-2.03","-0.028","16.13","54.8%","3.0","0.1","32.9%","15.1%"
"[object Object]","2025","Mason Rudolph","Steelers","15","6.47","0.431","4.70","0.313","2.14","46.7%","5.7","0.2","20.0%","13.3%"
"[object Object]","2025","Riley Leonard","Colts","15","6.06","0.404","4.25","0.283","4.02","40.0%","5.3","0.2","33.3%","26.7%"
"[object Object]","2025","Cooper Rush","Ravens","13","4.14","0.319","2.15","0.165","3.32","46.2%","3.0","0.1","38.5%","23.1%"
"[object Object]","2025","Tyrod Taylor","Jets","32","3.95","0.113","-0.50","-0.014","-7.23","40.0%","1.9","0.1","25.7%","34.3%"
"[object Object]","2025","Josh Allen","Bills","146","3.90","0.024","-16.18","-0.100","-6.66","44.7%","-5.1","-0.2","28.6%","23.6%"
"[object Object]","2025","Malik Willis","Packers","3","3.87","1.291","3.45","1.148","4.75","100.0%","3.7","0.1","33.3%","0.0%"
"[object Object]","2025","Andy Dalton","Panthers","15","3.66","0.215","1.59","0.094","8.76","58.8%","2.8","0.1","47.1%","23.5%"
"[object Object]","2025","Jayden Daniels","Commanders","54","3.54","0.060","-3.72","-0.063","-13.71","32.2%","0.3","0.0","22.0%","32.2%"
"[object Object]","2025","Tanner McKee","Eagles","13","3.44","0.265","1.86","0.143","-4.14","46.2%","2.8","0.1","15.4%","30.8%"
"[object Object]","2025","Joe Milton III","Cowboys","6","3.36","0.560","2.61","0.435","6.22","66.7%","3.0","0.1","33.3%","0.0%"
"[object Object]","2025","Philip Rivers","Colts","25","2.89","0.111","-0.55","-0.021","-8.45","34.6%","1.2","0.0","23.1%","30.8%"
"[object Object]","2025","Nick Mullens","Jaguars","1","2.03","2.031","1.90","1.901","3.82","100.0%","2.0","0.1","100.0%","0.0%"
"[object Object]","2025","Shedeur Sanders","Browns","43","1.99","0.039","-4.82","-0.095","0.90","37.3%","-1.3","-0.0","29.4%","27.5%"
"[object Object]","2025","Tyler Shough","Saints","58","1.86","0.029","-5.44","-0.085","5.53","50.0%","-1.0","-0.0","28.1%","21.9%"
"[object Object]","2025","Jaxson Dart","Giants","93","1.68","0.016","-10.70","-0.102","-22.77","39.0%","-3.5","-0.1","25.7%","24.8%"
"[object Object]","2025","Mitch Trubisky","Bills","9","1.42","0.157","0.43","0.048","4.49","66.7%","1.1","0.0","33.3%","22.2%"
"[object Object]","2025","Gardner Minshew","Chiefs","3","0.91","0.304","0.48","0.161","-0.18","33.3%","0.7","0.0","33.3%","0.0%"
"[object Object]","2025","Tyson Bagent","Bears","1","0.88","0.885","0.77","0.767","1.56","100.0%","0.8","0.0","100.0%","0.0%"
"[object Object]","2025","Cam Akers","Vikings","1","0.87","0.873","0.75","0.749","2.59","100.0%","0.8","0.0","100.0%","0.0%"
"[object Object]","2025","Josh Johnson","Commanders","6","0.38","0.064","-0.43","-0.071","-0.91","33.3%","-0.0","-0.0","33.3%","33.3%"
"[object Object]","2025","Joshua Dobbs","Patriots","3","0.30","0.099","-0.11","-0.037","-0.02","33.3%","0.1","0.0","33.3%","33.3%"
"[object Object]","2025","Aaron Rodgers","Steelers","136","0.19","0.001","-18.95","-0.129","-4.03","36.7%","-8.8","-0.3","24.5%","25.9%"
"[object Object]","2025","Brandon Allen","Titans","5","-0.06","-0.013","-0.78","-0.155","-0.54","40.0%","-0.4","-0.0","40.0%","40.0%"
"[object Object]","2025","Jameis Winston","Giants","24","-0.07","-0.003","-2.73","-0.105","-0.64","42.3%","-0.9","-0.0","34.6%","23.1%"
"[object Object]","2025","Kyle Allen","Lions","1","-0.11","-0.114","-0.22","-0.225","-0.17","0.0%","-0.2","-0.0","0.0%","0.0%"
"[object Object]","2025","Isaiah Williams","Jets","1","-0.43","-0.427","-0.45","-0.453","-1.10","0.0%","-0.4","-0.0","0.0%","100.0%"
"[object Object]","2025","Teddy Bridgewater","Buccaneers","3","-0.49","-0.122","-0.94","-0.234","1.75","50.0%","-0.7","-0.0","50.0%","25.0%"
"[object Object]","2025","Aidan O'Connell","Raiders","9","-0.62","-0.068","-1.73","-0.192","-3.93","22.2%","-1.1","-0.0","22.2%","33.3%"
"[object Object]","2025","Dillon Gabriel","Browns","60","-0.69","-0.010","-8.23","-0.125","-16.64","34.8%","-3.7","-0.1","21.2%","34.8%"
"[object Object]","2025","Zach Wilson","Dolphins","1","-0.77","-0.769","-0.91","-0.909","-1.72","0.0%","-0.8","-0.0","0.0%","100.0%"
"[object Object]","2025","Baker Mayfield","Buccaneers","152","-1.24","-0.008","-20.99","-0.127","-46.75","33.3%","-9.6","-0.3","21.8%","28.5%"
"[object Object]","2025","Shane Buechele","Chiefs","3","-1.76","-0.293","-2.49","-0.414","-4.71","0.0%","-2.1","-0.1","0.0%","33.3%"
"[object Object]","2025","Jake Browning","Bengals","27","-2.43","-0.081","-6.70","-0.223","-12.15","26.7%","-4.6","-0.1","16.7%","33.3%"
"[object Object]","2025","Brady Cook","Jets","22","-2.75","-0.110","-5.94","-0.238","-17.58","20.0%","-4.2","-0.1","20.0%","44.0%"
"[object Object]","2025","Kirk Cousins","Falcons","67","-3.18","-0.044","-12.10","-0.166","-2.33","38.4%","-7.1","-0.2","31.5%","27.4%"
"[object Object]","2025","Daniel Jones","Colts","91","-3.65","-0.038","-15.44","-0.161","-9.36","46.9%","-8.8","-0.3","27.1%","25.0%"
"[object Object]","2025","Chris Oladokun","Chiefs","17","-3.85","-0.183","-7.26","-0.346","-16.16","19.0%","-5.8","-0.2","4.8%","38.1%"
"[object Object]","2025","Marcus Mariota","Commanders","81","-4.01","-0.047","-14.66","-0.170","-14.22","41.9%","-8.8","-0.3","24.4%","26.7%"
"[object Object]","2025","Max Brosmer","Vikings","10","-4.03","-0.288","-5.96","-0.426","-8.79","21.4%","-5.0","-0.2","7.1%","21.4%"
"[object Object]","2025","J.J. McCarthy","Vikings","60","-4.09","-0.059","-13.87","-0.201","-13.32","43.5%","-9.1","-0.3","27.5%","27.5%"
"[object Object]","2025","Russell Wilson","Giants","26","-4.17","-0.144","-7.62","-0.263","-6.64","31.0%","-5.6","-0.2","17.2%","24.1%"
"[object Object]","2025","Drake Maye","Patriots","136","-4.33","-0.028","-22.83","-0.148","45.08","56.5%","-12.2","-0.4","37.0%","23.4%"
"[object Object]","2025","Kenny Pickett","Raiders","11","-4.51","-0.347","-6.59","-0.507","-14.56","23.1%","-5.7","-0.2","7.7%","46.2%"
"[object Object]","2025","Justin Fields","Jets","52","-4.94","-0.078","-12.84","-0.204","-13.85","33.3%","-8.5","-0.3","23.8%","27.0%"
"[object Object]","2025","Carson Wentz","Vikings","45","-5.69","-0.102","-12.40","-0.221","-13.88","41.1%","-8.5","-0.3","26.8%","23.2%"
"[object Object]","2025","Bryce Young","Panthers","121","-7.04","-0.054","-23.32","-0.179","-37.39","39.2%","-14.4","-0.4","22.3%","29.2%"
"[object Object]","2025","Quinn Ewers","Dolphins","10","-8.70","-0.725","-10.32","-0.860","-11.82","33.3%","-9.5","-0.3","0.0%","41.7%"
"[object Object]","2025","Davis Mills","Texans","53","-9.53","-0.170","-15.98","-0.285","-25.59","32.1%","-12.1","-0.4","12.5%","21.4%"
"[object Object]","2025","Trey Lance","Chargers","16","-10.37","-0.519","-12.68","-0.634","-17.06","20.0%","-11.3","-0.3","10.0%","45.0%"
"[object Object]","2025","Geno Smith","Raiders","123","-15.86","-0.110","-34.96","-0.243","-26.92","38.9%","-25.1","-0.8","28.5%","31.3%"
"[object Object]","2025","Cam Ward","Titans","127","-30.09","-0.202","-49.18","-0.330","-48.91","40.3%","-38.9","-1.2","24.2%","32.2%"
