"Rank","Season","Player","Team","Att","Points Earned","PE Per Play","Points Above Avg","PAA Per Play","EPA","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","RJ Harvey","Broncos","1","-0.65","-0.649","-0.67","-0.674","-0.57","0.0%","-0.6","-0.0","0.0%","0.0%"
"[object Object]","2025","Geno Smith","Raiders","254","-1.05","-0.004","-37.93","-0.134","-42.83","49.1%","-18.4","-0.6","25.4%","20.1%"
"[object Object]","2025","Andy Dalton","Panthers","17","-1.31","-0.060","-4.01","-0.182","-11.46","40.9%","-2.5","-0.1","13.6%","36.4%"
"[object Object]","2025","Riley Leonard","Colts","44","-1.78","-0.039","-7.27","-0.158","-12.15","34.8%","-4.1","-0.1","19.6%","23.9%"
"[object Object]","2025","Brandon Allen","Titans","17","-1.93","-0.107","-4.50","-0.250","-18.25","11.1%","-3.3","-0.1","5.6%","33.3%"
"[object Object]","2025","Jake Browning","Bengals","78","-2.45","-0.029","-13.98","-0.166","-38.75","39.3%","-8.2","-0.3","16.7%","27.4%"
"[object Object]","2025","Max Brosmer","Vikings","45","-2.49","-0.046","-10.34","-0.192","-21.58","35.2%","-6.6","-0.2","18.5%","37.0%"
"[object Object]","2025","Aidan O'Connell","Raiders","12","-2.82","-0.217","-4.43","-0.341","-2.18","30.8%","-3.5","-0.1","23.1%","23.1%"
"[object Object]","2025","Teddy Bridgewater","Buccaneers","7","-3.68","-0.461","-4.59","-0.573","-8.58","12.5%","-4.0","-0.1","0.0%","37.5%"
"[object Object]","2025","Cooper Kupp","Seahawks","1","-4.22","-4.223","-4.25","-4.246","-4.83","0.0%","-4.2","-0.1","0.0%","100.0%"
"[object Object]","2025","Mason Rudolph","Steelers","25","-4.52","-0.167","-7.79","-0.288","-5.13","44.4%","-5.9","-0.2","25.9%","22.2%"
"[object Object]","2025","Trey Lance","Chargers","29","-4.58","-0.148","-8.40","-0.271","-15.23","35.5%","-6.3","-0.2","19.4%","32.3%"
"[object Object]","2025","Clayton Tune","Packers","13","-6.53","-0.384","-9.20","-0.541","-15.36","23.5%","-8.0","-0.2","0.0%","35.3%"
"[object Object]","2025","Chris Oladokun","Chiefs","23","-6.54","-0.242","-10.76","-0.398","-16.38","33.3%","-8.9","-0.3","11.1%","25.9%"
"[object Object]","2025","Quinn Ewers","Dolphins","54","-8.67","-0.145","-16.80","-0.280","8.29","46.7%","-12.7","-0.4","31.7%","18.3%"
"[object Object]","2025","Brady Cook","Jets","105","-10.27","-0.086","-25.26","-0.211","-25.49","37.5%","-17.0","-0.5","15.0%","22.5%"
"[object Object]","2025","Kenny Pickett","Raiders","28","-12.08","-0.355","-17.91","-0.527","-24.20","32.4%","-15.6","-0.5","8.8%","32.4%"
"[object Object]","2025","Dillon Gabriel","Browns","93","-17.30","-0.166","-29.67","-0.285","-24.34","39.4%","-22.5","-0.7","20.2%","25.0%"
"[object Object]","2025","Shedeur Sanders","Browns","134","-27.39","-0.188","-47.01","-0.322","-86.78","32.9%","-37.0","-1.1","13.7%","31.5%"
