"Rank","Season","Player","Team","Pos.","Pass Snaps","Pass Rushes","Points Saved","PS Per Rush","Points Above Avg","Positive%","PAR","WAR"
"[object Object]","2025","Zaven Collins","Cardinals","LB","322","214","11.7","0.054","0.02","33.0%","7.6","0.2"
"[object Object]","2025","Tyree Wilson","Raiders","DE","287","283","11.6","0.041","0.01","48.0%","6.8","0.2"
"[object Object]","2025","Vita Vea","Buccaneers","DT","482","464","11.5","0.025","-0.01","47.0%","2.4","0.1"
"[object Object]","2025","Quinnen Williams","2 teams","DT","378","378","11.1","0.029","-0.01","50.0%","3.6","0.1"
"[object Object]","2025","Jer'Zhan Newton","Commanders","DT","215","212","11.1","0.052","0.02","51.0%","7.8","0.2"
"[object Object]","2025","Travis Jones","Ravens","DT","474","455","10.9","0.024","-0.01","45.0%","3.1","0.1"
"[object Object]","2025","Tyrel Dodson","Dolphins","LB","499","64","10.9","0.171","0.14","5.0%","9.6","0.3"
"[object Object]","2025","Leonard Williams","Seahawks","DE","514","500","10.7","0.021","-0.01","40.0%","1.1","0.0"
"[object Object]","2025","Jalon Walker","Falcons","LB","309","256","10.3","0.040","0.01","36.0%","5.2","0.2"
"[object Object]","2025","Trey Hendrickson","Bengals","DE","182","167","10.2","0.061","0.03","46.0%","7.5","0.2"
"[object Object]","2025","Joseph Ossai","Bengals","DE","385","350","10.1","0.029","-0.00","43.0%","4.9","0.2"
"[object Object]","2025","Harold Landry III","Patriots","DE","415","371","10.1","0.027","-0.01","41.0%","2.1","0.1"
"[object Object]","2025","Milton Williams","Patriots","DE","274","268","10.1","0.038","0.00","45.0%","4.2","0.1"
"[object Object]","2025","Keeanu Benton","Steelers","DT","420","417","10.1","0.024","-0.01","48.0%","3.3","0.1"
"[object Object]","2025","Charles Omenihu","Chiefs","DE","367","356","9.8","0.028","-0.01","43.0%","2.2","0.1"
"[object Object]","2025","Travon Walker","Jaguars","DE","350","323","9.8","0.030","-0.00","36.0%","3.9","0.1"
"[object Object]","2025","Mason Graham","Browns","DT","424","419","9.8","0.023","-0.01","45.0%","1.9","0.1"
"[object Object]","2025","Sheldon Rankins","Texans","DT","384","382","9.8","0.026","-0.01","41.0%","2.1","0.1"
