"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","Derek Stingley Jr.","Texans","CB","543","60","41.86","0.077","22.45","0.041","-2.07","-0.03","40.0%","26.6","0.8","25.0%","20.0%"
"[object Object]","2025","Pat Surtain II","Broncos","CB","527","62","38.47","0.073","20.96","0.040","-10.86","-0.18","43.5%","25.0","0.8","16.1%","22.6%"
"[object Object]","2025","Deommodore Lenoir","49ers","CB","619","47","38.23","0.062","17.31","0.028","-3.90","-0.08","51.1%","22.1","0.7","19.1%","17.0%"
"[object Object]","2025","Cooper DeJean","Eagles","CB","575","60","36.70","0.065","18.33","0.032","-2.06","-0.03","41.7%","23.2","0.7","26.7%","15.0%"
"[object Object]","2025","Ernest Jones IV","Seahawks","LB","504","22","36.21","0.077","20.39","0.043","-1.44","-0.07","45.5%","21.7","0.7","40.9%","13.6%"
"[object Object]","2025","Mike Jackson Sr.","Panthers","CB","557","79","35.39","0.064","16.22","0.029","-11.74","-0.15","46.8%","20.5","0.6","26.6%","25.3%"
"[object Object]","2025","Riley Moss","Broncos","CB","674","103","35.07","0.052","12.93","0.019","7.35","0.07","39.8%","18.0","0.6","25.2%","20.4%"
"[object Object]","2025","Jaylen Watson","Chiefs","CB","477","52","32.40","0.068","15.41","0.033","-5.87","-0.11","46.2%","19.1","0.6","19.2%","28.8%"
"[object Object]","2025","Kevin Byard III","Bears","S","586","29","32.15","0.055","12.43","0.021","2.35","0.08","48.3%","15.9","0.5","27.6%","13.8%"
"[object Object]","2025","Brandon Jones","Broncos","S","519","25","30.73","0.060","13.87","0.027","4.85","0.19","48.0%","16.6","0.5","20.0%","12.0%"
"[object Object]","2025","Devin Bush","Browns","LB","377","25","30.70","0.085","18.55","0.051","-0.14","-0.01","60.0%","19.8","0.6","16.0%","8.0%"
"[object Object]","2025","Alohi Gilman","2 teams","S","634","31","29.93","0.048","8.79","0.014","-4.85","-0.16","32.3%","11.3","0.4","25.8%","16.1%"
"[object Object]","2025","Cole Bishop","Bills","S","461","23","29.83","0.066","13.25","0.029","-3.70","-0.16","52.2%","15.7","0.5","26.1%","26.1%"
"[object Object]","2025","Jamel Dean","Buccaneers","CB","417","48","29.80","0.071","15.97","0.038","-24.27","-0.51","25.0%","19.2","0.6","18.8%","18.8%"
"[object Object]","2025","Antonio Johnson","Jaguars","S","417","30","29.77","0.072","15.88","0.039","-8.24","-0.27","50.0%","18.0","0.6","20.0%","16.7%"
"[object Object]","2025","Nahshon Wright","Bears","CB","580","74","29.55","0.051","9.96","0.017","-2.56","-0.03","47.3%","14.4","0.4","31.1%","21.6%"
"[object Object]","2025","Dee Alford","Falcons","CB","348","55","29.48","0.085","17.75","0.051","-2.59","-0.05","47.3%","20.4","0.6","23.6%","29.1%"
"[object Object]","2025","Jessie Bates III","Falcons","S","611","27","29.29","0.049","9.56","0.016","7.29","0.27","48.1%","12.8","0.4","25.9%","14.8%"
"[object Object]","2025","Cody Barton","Titans","LB","543","30","28.96","0.058","11.57","0.023","-19.00","-0.63","26.7%","13.0","0.4","13.3%","23.3%"
"[object Object]","2025","Jalen Pitre","Texans","S","417","35","28.31","0.069","13.48","0.033","-10.09","-0.29","45.7%","15.7","0.5","28.6%","31.4%"
