Rank,Season,Player,Team,Pos.,Snaps,Rush Snaps,Points Saved,PS Per Play,Points Above Avg,PAA Per Play,Positive%,PAR,WAR
1,2024,Zaire Franklin,Colts,LB,1112,500,18.362597,0.036725,3.369603,0.006739,39.8,4.668591,0.145881
2,2024,Budda Baker,Cardinals,S,1027,412,25.816902,0.062662,12.634347,0.030665,47.572815,12.81047,0.400308
3,2024,Robert Spillane,Raiders,LB,1033,415,22.052414,0.053138,9.026037,0.021749,42.409637,10.162873,0.317555
4,2024,Roquan Smith,Ravens,LB,933,307,17.3712,0.056583,7.554143,0.024606,38.762215,8.38816,0.262116
5,2024,Jamien Sherwood,Jets,LB,992,450,20.766142,0.046146,6.630093,0.014733,43.555557,7.795203,0.243579
6,2024,Zack Baun,Eagles,LB,891,329,23.10429,0.070225,12.065222,0.036672,40.729485,12.969862,0.405282
7,2024,Kaden Elliss,Falcons,LB,1050,414,12.534005,0.030275,-0.124091,-0.000299,43.47826,0.911994,0.028504
8,2024,Nick Cross,Colts,S,1112,499,26.499708,0.053105,11.536986,0.02312,39.87976,11.695301,0.365456
9,2024,Daiyan Henley,Chargers,LB,944,358,12.946016,0.036162,1.694475,0.004733,43.57542,2.647027,0.082713
10,2024,Jordyn Brooks,Dolphins,LB,987,379,17.394836,0.045896,4.846905,0.012788,43.53562,5.852192,0.182863
11,2024,Germaine Pratt,Bengals,LB,1035,432,11.617132,0.026891,-1.6932,-0.003919,45.601852,-0.588557,-0.018399
12,2024,E.J. Speed,Colts,LB,972,439,10.68795,0.024346,-2.397302,-0.00546,40.774487,-1.283198,-0.040101
13,2024,Eric Kendricks,Cowboys,LB,870,376,17.402506,0.046283,5.205946,0.013845,46.80851,6.2054,0.193909
14,2024,Ernest Jones IV,2 teams,LB,930,364,21.13894,0.058074,9.375584,0.025757,40.384617,10.363066,0.323817
15,2024,Kyzir White,Cardinals,LB,978,387,12.482991,0.032255,-0.034054,-8.7e-05,46.770027,0.98859,0.03089
16,2024,Demario Davis,Saints,LB,1041,419,12.788121,0.03052,0.543278,0.001296,46.77804,1.634349,0.051072
17,2024,Bobby Wagner,Commanders,LB,1017,450,22.591602,0.050203,8.061428,0.017914,49.77778,9.301503,0.290656
18,2024,Christian Rozeboom,Rams,LB,785,351,9.755819,0.027794,-1.288162,-0.003669,42.16524,-0.351392,-0.010979
19,2024,Fred Warner,49ers,LB,960,426,9.698786,0.022767,-3.930528,-0.009226,45.539906,-2.851573,-0.089106
20,2024,T.J. Edwards,Bears,LB,1015,461,8.296335,0.017996,-6.755951,-0.014654,46.637745,-5.612021,-0.175362
21,2024,Kevin Byard III,Bears,S,1016,461,27.202646,0.059007,12.150361,0.026356,46.637745,12.312327,0.384726
22,2024,Patrick Queen,Steelers,LB,1033,398,3.414332,0.008578,-9.436538,-0.023709,42.964825,-8.42834,-0.263362
23,2024,Nakobe Dean,Eagles,LB,816,308,19.810165,0.064318,9.457198,0.030705,40.584415,10.31621,0.322366
24,2024,Jack Campbell,Lions,LB,908,313,20.189213,0.064502,9.422896,0.030105,40.57508,10.316216,0.322352
25,2024,Lavonte David,Buccaneers,LB,1029,347,12.057915,0.034749,1.216009,0.003504,40.92219,2.116534,0.066136
26,2024,Xavier Woods,Panthers,S,1152,559,12.139635,0.021716,-3.814404,-0.006823,52.236137,-3.709957,-0.115934
27,2024,Dorian Williams,Bills,LB,619,275,18.24498,0.066345,9.257575,0.033663,40.727272,10.016689,0.312992
28,2024,Brandon Jones,Broncos,S,919,314,13.022143,0.041471,3.265815,0.0104,41.0828,3.358962,0.104956
29,2024,Quincy Williams,Jets,LB,1058,467,15.394925,0.032965,0.784099,0.001679,43.254818,1.977577,0.061802
30,2024,Devin Lloyd,Jaguars,LB,835,382,12.469922,0.032643,1.564589,0.004095,47.12042,2.525896,0.078929
31,2024,Blake Cashman,Vikings,LB,852,272,4.702936,0.01729,-3.653879,-0.013433,44.485294,-2.949046,-0.092157
32,2024,Quentin Lake,Rams,S,1017,424,21.856628,0.051548,8.476459,0.019991,44.57547,8.555225,0.267335
33,2024,Brian Branch,Lions,S,853,283,14.855859,0.052494,4.915594,0.017369,39.575974,4.988973,0.155894
34,2024,Tremaine Edmunds,Bears,LB,1016,461,2.019954,0.004381,-13.032332,-0.028269,46.637745,-11.900978,-0.371874
35,2024,Jahlani Tavai,Patriots,LB,881,443,14.447962,0.032613,0.703799,0.001588,45.598194,1.831,0.057211
36,2024,Julian Love,Seahawks,S,1016,388,28.595284,0.073699,16.441212,0.042374,44.072166,16.57627,0.517965
37,2024,DeShon Elliott,Steelers,S,773,298,23.948391,0.080363,13.928669,0.04674,41.610737,14.038451,0.438673
