"Rank","Season","Player","Team","Pos","Tgts","Points Earned","PE Per Route","Points Above Avg","PAA Per Route","EPA","EPA Per Tgt","Positive%","PAR","WAR","Boom%","Bust%"
"[object Object]","2025","JuJu Smith-Schuster","Chiefs","WR","16","4.46","0.035","1.22","0.009","-2.35","-0.15","43.8%","2.9","0.1","6.3%","18.8%"
"[object Object]","2025","Dalton Kincaid","Bills","TE","18","4.43","0.067","2.80","0.042","9.57","0.53","55.6%","3.7","0.1","33.3%","5.6%"
"[object Object]","2025","Kalif Raymond","Lions","WR","9","4.36","0.063","2.73","0.040","9.03","1.00","77.8%","3.6","0.1","55.6%","0.0%"
"[object Object]","2025","AJ Barner","Seahawks","TE","16","4.21","0.051","2.10","0.025","5.98","0.37","81.3%","3.2","0.1","43.8%","6.3%"
"[object Object]","2025","Keenan Allen","Chargers","WR","43","4.18","0.024","0.15","0.001","6.60","0.15","53.5%","2.4","0.1","30.2%","18.6%"
"[object Object]","2025","Van Jefferson","Titans","WR","16","4.05","0.053","2.10","0.027","0.72","0.04","43.8%","3.1","0.1","31.3%","37.5%"
"[object Object]","2025","Luther Burden III","Bears","WR","9","4.04","0.090","3.01","0.067","8.86","0.98","66.7%","3.6","0.1","44.4%","11.1%"
"[object Object]","2025","Breece Hall","Jets","RB","7","4.02","0.098","2.99","0.073","-0.45","-0.06","14.3%","3.5","0.1","14.3%","14.3%"
"[object Object]","2025","Jack Bech","Raiders","WR","12","3.88","0.063","2.02","0.033","4.85","0.40","58.3%","2.8","0.1","41.7%","25.0%"
"[object Object]","2025","Calvin Ridley","Titans","WR","8","3.85","0.075","2.53","0.050","-4.24","-0.53","50.0%","3.2","0.1","50.0%","37.5%"
"[object Object]","2025","Tyler Higbee","Rams","TE","13","3.80","0.066","2.39","0.041","1.19","0.09","53.8%","3.2","0.1","38.5%","23.1%"
"[object Object]","2025","Terry McLaurin","Commanders","WR","20","3.69","0.053","2.05","0.029","-10.10","-0.51","30.0%","3.0","0.1","15.0%","35.0%"
"[object Object]","2025","Christian Watson","Packers","WR","19","3.66","0.057","2.03","0.032","7.80","0.41","52.6%","2.9","0.1","42.1%","15.8%"
"[object Object]","2025","Tory Horton","Seahawks","WR","9","3.56","0.085","2.42","0.058","8.83","0.98","66.7%","3.0","0.1","44.4%","0.0%"
"[object Object]","2025","DeVonta Smith","Eagles","WR","41","3.55","0.024","-0.30","-0.002","10.22","0.25","43.9%","1.6","0.0","24.4%","12.2%"
"[object Object]","2025","Rome Odunze","Bears","WR","26","3.43","0.033","1.09","0.011","13.33","0.51","53.8%","2.4","0.1","34.6%","11.5%"
"[object Object]","2025","Christian Kirk","Texans","WR","21","3.40","0.038","1.33","0.015","-7.67","-0.37","23.8%","2.5","0.1","19.0%","28.6%"
"[object Object]","2025","Chris Godwin","Buccaneers","WR","13","3.40","0.040","1.40","0.016","2.92","0.22","46.2%","2.5","0.1","30.8%","15.4%"
"[object Object]","2025","Jordan Addison","Vikings","WR","15","3.36","0.034","0.86","0.009","5.67","0.38","46.7%","2.1","0.1","33.3%","0.0%"
"[object Object]","2025","Dallas Goedert","Eagles","TE","17","3.30","0.026","0.03","0.000","-0.04","-0.00","47.1%","1.8","0.1","17.6%","17.6%"
"[object Object]","2025","Hunter Renfrow","Panthers","WR","7","3.30","0.080","2.35","0.057","2.93","0.42","42.9%","2.9","0.1","28.6%","14.3%"
