Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsInEndzone,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,AveragesPerTargetDropsTotal,AlignmentBackfieldRoutesPercentage,ReceptionsHero
Nick Vannett,TEN,TE,27,No,Yes,No,19,2,No,Yes,2,1,0.1053,2,1,17,14,4,3,1,0.7895,0.0526,0.1579,2,1.5,141.7,0.8947,8.5,2.6946,8.5,7,2,1,3.3047,3.3047,0.0741,7.7,9.7,8.7,9.7,10.7,9.7,8.7,9.7,9.7,9.7,8.7,10.7,9.7,1,17,,,,,,,,,,,,,
Rome Odunze,CHI,WR,72,Yes,No,No,64,15,No,Yes,15,1,0.2344,13,0.8667,239,66,13,217,1,,0.3438,0.6562,13,14.4667,141,3.7344,15.9333,6.8832,18.3846,5.0769,1,11,30.2652,30.2652,0.2083,29.9,42.9,36.4,42.9,42.9,45.9,39.4,42.9,42.9,42.9,36.4,42.9,42.9,2,17,4,2,4,1,2,1,0.0769,1,0.0667,4,0.1333,,
Brenden Bates,CLV,TE,3,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,20,No,No,No,14,2,No,Yes,2,1,0.1429,2,1,6,12,3,-6,1,,0.2143,0.0714,1,-3,118.8,0.4286,3,-2.884,3,6,1.5,1,6.869,6.869,0.1,6.6,8.6,7.6,9.6,8.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,1,13,,,,,,,,1,0.5,,,0.7143,
Colby Parkinson,LA,TE,96,No,No,No,80,13,Yes,Yes,13,1,0.1625,13,1,122,62,18,69,1,0.7375,0.1875,0.075,10,5.3077,131.4,1.525,9.3846,2.4838,9.3846,4.7692,1.3846,7,19.5405,19.5405,0.1354,18.2,31.2,24.7,31.2,37.7,34.2,27.7,31.2,31.2,31.2,24.7,37.7,31.2,2,17,,1,,1,,,,,,1,,,
Tyjae Spears,TEN,RB,29,No,Yes,No,19,3,No,Yes,3,1,0.1579,3,1,39,46,20,-7,,0.0526,0.0526,0.1053,,-2.3333,118.8,2.0526,13,7.0935,13,15.3333,6.6667,2,6.085,6.085,0.1034,3.9,6.9,5.4,8.4,6.9,6.9,5.4,6.9,6.9,6.9,5.4,6.9,6.9,1,12,,,,,,3,1,,,,,0.7895,
Laviska Shenault,LAC,WR,5,No,Yes,Yes,4,,No,Yes,,,,,,,,,,,,0.75,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,
Josh Oliver,MIN,TE,44,No,No,No,36,4,Yes,Yes,4,1,0.1111,4,1,66,54,11,12,1,0.8889,0.0833,0.0278,,3,158.3,1.8333,16.5,10.3269,16.5,13.5,2.75,4,7.8771,7.8771,0.0909,12.6,16.6,14.6,16.6,18.6,16.6,14.6,16.6,16.6,16.6,14.6,18.6,16.6,1,15,,,,,,,,,,,,,
Nick Chubb,CLV,RB,16,No,No,No,12,1,No,Yes,1,1,0.0833,1,1,-4,1,-1,-5,,,0.0833,,,-5,79.2,-0.3333,-4,-9.8711,-4,1,-1,,1.5231,1.5231,0.0625,-0.4,0.6,0.1,1.1,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,,8,,,,,,,,,,,,0.9167,
Michael Carter,ARZ,RB,24,No,No,No,17,2,No,Yes,2,1,0.1176,2,1,3,8,2,-5,,,0.0588,,,-2.5,79.2,0.1765,1.5,-4.1945,1.5,4,1,,3.014,3.014,0.0833,0.3,2.3,1.3,3.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,1,3,,,,,,,,,,,,0.9412,
Bucky Irving,TB,RB,52,No,No,Yes,45,8,No,Yes,8,1,0.1778,8,1,92,125,60,-33,,,0.1111,0.0889,4,-4.125,114.6,2.0444,11.5,6.0799,11.5,15.625,7.5,4,11.1498,11.1498,0.1538,9.2,17.2,13.2,21.2,17.2,17.2,13.2,17.2,17.2,17.2,13.2,17.2,17.2,,17,,,,,,4,0.5,2,0.25,,,0.8,
Keaton Mitchell,BLT,RB,2,Yes,No,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,1,
D.J. Moore,CHI,WR,77,Yes,No,No,75,12,No,Yes,12,1,0.16,12,1,143,77,12,66,1,,0.3333,0.6667,11,5.5,144.1,1.9067,11.9167,5.4337,11.9167,6.4167,1,4,20.3385,20.3385,0.1558,20.3,32.3,26.3,32.3,32.3,35.3,29.3,32.3,32.3,32.3,26.3,32.3,32.3,3,17,2,,2,,,,,4,0.3333,2,,,
Zamir White,LV,RB,9,No,No,No,8,1,No,Yes,1,1,0.125,1,1,1,,,1,,,,,,1,79.2,0.125,1,-4.7294,1,,,,1.2942,1.2942,0.1111,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,8,,,,,,,,,,,,1,
Ameer Abdullah,LV,RB,61,No,Yes,No,46,10,No,Yes,10,1,0.2174,10,1,101,89,27,14,2,,,,6,1.4,148.3,2.1957,10.1,3.5924,10.1,8.9,2.7,5,19.9834,19.9834,0.1639,22.1,32.1,27.1,37.1,32.1,35.1,30.1,32.1,32.1,32.1,27.1,32.1,32.1,3,16,,1,,1,,2,0.2,,,,,1,
Devin Singletary,NYG,RB,24,Yes,Yes,No,11,1,No,Yes,1,1,0.0909,1,1,5,10,1,-5,,,0.1818,0.0909,1,-5,87.5,0.4545,5,-0.8711,5,10,1,,1.9192,1.9192,0.0417,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,15,,,,,,,,1,1,,,0.7273,
