Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsPerRoute,YardsAirTotal,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,TargetsInEndzone,AlignmentInlineRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsCatchableTotal,TargetsCatchablePercentage
Braelon Allen,NYJ,RB,1,Yes,Yes,Yes,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,1,No,Yes,Yes,1,Yes,No,,17,1,,,,,,,,,,,,,,,,,,,,
Adam Thielen,CAR,WR,5,No,Yes,No,5,Yes,No,,10,0.8,1,0.2,20,0.2,1,20,1,39.6,-10.8652,2.3452,2.3452,0.2,,,,,,,,
Jonnu Smith,MIA,TE,17,Yes,Yes,Yes,15,No,No,,17,0.3333,4,0.2667,27,0.2667,3,6.75,,39.6,-7.4288,10.2168,10.2168,0.2353,1,0.4,2,,,,,
Harrison Bryant,LV,TE,1,No,No,No,1,Yes,No,,13,,,,,,,,,,,,,,,1,,,,,,
Tylan Wallace,BLT,WR,2,No,No,Yes,2,No,No,,17,,,,,1,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,2,No,Yes,No,2,No,No,,6,1,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,4,No,Yes,No,2,Yes,No,,16,0.5,1,0.5,11,,1,11,,,-8.7402,1.572,1.572,0.25,,0.5,,,,,,
Josh Palmer,LAC,WR,11,No,No,No,11,No,No,,15,0.2727,2,0.1818,42,0.7273,2,21,1,,-11.5533,4.5884,4.5884,0.1818,1,,,,,,,
Antonio Gibson,NE,RB,7,No,No,No,6,No,No,1,17,,1,0.1667,,,,,,,-5.8271,1.3082,1.3082,0.1429,,,,,,,,
