Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,TargetsTotal,TargetsPerRoute,YardsAirTotal,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,AlignmentInlineRoutesPercentage,TargetsInEndzone,playerStatsInside20ReceivingTargetsTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Ryan Flournoy,DAL,WR,3,Yes,No,Yes,3,No,No,1,11,,,,,,,,,,,,,,,,,,,
D'Onta Foreman,CLV,RB,9,No,No,No,6,No,No,,11,0.8333,0.1667,,,,,,,,,,,,,,,,,
Deebo Samuel,SF,WR,12,No,No,Yes,12,No,No,0.75,15,,0.25,1,0.0833,24,1,24,1,39.6,-11.7529,2.0688,2.0688,0.0833,,,,,,
Devin Duvernay,JAX,WR,4,No,No,No,4,No,No,0.5,13,,0.5,,,,,,,,,,,,,,,,,
Mike Gesicki,CIN,TE,10,No,No,No,10,No,No,0.3,17,,0.7,1,0.1,10,1,10,,39.6,-7.7685,1.4891,1.4891,0.1,,,,,,
Hayden Hurst,LAC,TE,1,No,No,No,1,No,No,,9,,,1,1,2,1,2,,39.6,-6.3701,1.374,1.374,1,1,,,,,
Julius Chestnut,TEN,RB,3,No,No,Yes,3,No,No,,14,1,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,13,No,No,No,13,No,No,0.2308,17,,0.7692,5,0.3846,47,4,9.4,1,39.6,-7.2008,9.1763,9.1763,0.3846,,,,,,
Jeremy McNichols,WAS,RB,5,Yes,No,Yes,5,No,No,,17,0.6,0.4,1,0.2,1,,1,,39.6,-5.7294,1.3458,1.3458,0.2,,,,,,
Jerome Ford,CLV,RB,8,No,No,Yes,5,No,No,,14,0.6,,1,0.2,5,,5,,39.6,-7.233,1.5535,1.5535,0.125,0.4,,,,,
George Pickens,PIT,WR,16,No,No,No,16,No,No,0.5625,14,,0.4375,4,0.25,45,3,11.25,,39.6,-8.7571,8.8325,8.8325,0.25,,2,2,,,
Rico Dowdle,DAL,RB,10,Yes,No,Yes,4,No,No,,16,1,,1,0.25,-3,,-3,,39.6,-6.1191,1.5837,1.5837,0.1,,,,,,
Jermaine Burton,CIN,WR,2,No,No,No,2,No,No,0.5,14,,0.5,,,,,,,,,,,,,,,,,
Ricky Pearsall,SF,WR,6,No,Yes,No,6,No,No,0.1667,11,,0.8333,2,0.3333,23,2,11.5,,,-9.3072,3.0644,3.0644,0.3333,,,,,,
Pharaoh Brown,SEA,TE,3,No,Yes,No,2,No,No,,15,,,1,0.5,5,,5,,39.6,-6.48,3.6,3.6,0.3333,1,1,1,,,
Chris Olave,NO,WR,5,No,No,No,5,No,No,0.8,8,,0.2,2,0.4,22,2,11,,,-9.0141,5.2326,5.2326,0.4,,1,1,,,
Rashod Bateman,BLT,WR,14,No,No,No,14,No,No,0.8571,17,,0.1429,1,0.0714,8,1,8,,39.6,-7.5106,1.6118,1.6118,0.0714,,,,,,
Grant Calcaterra,PHI,TE,5,No,No,No,4,No,No,,17,,0.25,1,0.25,1,1,1,,39.6,-5.7754,1.4435,1.4435,0.2,0.75,,,,,
Josh Jacobs,GB,RB,16,No,No,No,8,No,No,,17,1,,1,0.125,,,,,39.6,-5.8271,1.2958,1.2958,0.0625,,,,,,
Cade Stover,HST,TE,8,No,No,Yes,7,No,No,0.4286,15,,0.1429,,,,,,,,,,,,0.4286,,,,,
Scott Miller,PIT,WR,3,Yes,No,No,3,No,No,0.6667,13,,0.3333,,,,,,,,,,,,,,,,,
Jaylen Waddle,MIA,WR,13,No,No,Yes,13,No,No,0.4615,15,,0.5385,5,0.3846,59,5,11.8,,39.6,-8.9347,8.8244,8.8244,0.3846,,,,,,
Tee Higgins,CIN,WR,11,No,No,No,11,No,No,0.8182,12,,0.1818,6,0.5455,66,6,11,,39.6,-8.4999,8.761,8.761,0.5455,,,,,,
Jaxon Smith-Njigba,SEA,WR,8,No,Yes,No,8,No,No,,17,,1,1,0.125,4,,4,,39.6,-6.0498,3.995,3.995,0.125,,,1,,,
Sam LaPorta,DET,TE,15,No,Yes,Yes,12,No,No,0.25,16,,0.3333,5,0.4167,22,2,4.4,,39.6,-6.4812,8.8567,8.8567,0.3333,0.4167,,2,1,0.2,
Parker Hesse,DET,TE,1,No,No,Yes,1,No,No,1,5,,,,,,,,,,,,,,,,,,,
Christian McCaffrey,SF,RB,2,Yes,No,Yes,2,No,No,,4,1,,,,,,,,,,,,,,,,,,
Khalil Shakir,BUF,WR,22,No,No,No,21,No,No,0.3333,15,,0.6667,5,0.2381,84,2,16.8,2,39.6,-10.7209,8.7769,8.7769,0.2273,,1,1,1,0.2,
Sterling Shepard,TB,WR,14,No,No,No,13,No,No,0.6923,14,,0.3077,3,0.2308,32,3,10.6667,,39.6,-8.4265,6.5939,6.5939,0.2143,,1,1,,,
Robert Woods,HST,WR,15,No,No,Yes,15,No,No,0.6,15,,0.4,4,0.2667,58,1,14.5,2,39.6,-9.042,8.3168,8.3168,0.2667,,1,1,,,
Chris Rodriguez Jr.,WAS,RB,2,Yes,No,Yes,1,No,No,,7,1,,,,,,,,,,,,,,,,,,
Olamide Zaccheaus,WAS,WR,14,Yes,No,Yes,14,No,No,0.5,17,,0.5,3,0.2143,25,3,8.3333,,39.6,-7.5166,6.213,6.213,0.2143,,,,,,
Alec Pierce,IND,WR,18,No,No,No,17,No,No,0.8235,16,,0.1765,2,0.1176,66,1,33,1,39.6,-13.3326,5.298,5.298,0.1111,,1,1,,,
Drake London,ATL,WR,16,No,No,No,15,No,No,0.6,17,,0.4,4,0.2667,54,3,13.5,,,-9.3146,8.1995,8.1995,0.25,,1,1,,,
Jalen Tolbert,DAL,WR,15,Yes,No,Yes,15,No,No,0.6,17,,0.4,,,,,,,,,,,,,,,,,
Bo Melton,GB,WR,5,No,No,No,5,No,No,0.8,17,,0.2,,,,,,,,,,,,,,,,,
Bub Means,NO,WR,1,No,No,No,1,No,No,1,7,,,,,,,,,,,,,,,,,,,
Irvin Charles,NYJ,WR,1,Yes,No,No,1,No,No,1,10,,,1,1,12,,12,,39.6,-9.0461,3.1286,3.1286,1,,1,1,,,
Mike Boone,CAR,RB,1,No,No,No,1,No,No,,5,1,,,,,,,,,,,,,,,,,,
Will Mallory,IND,TE,7,No,No,Yes,6,No,No,0.1667,10,,0.8333,1,0.1667,11,,11,,39.6,-8.7402,1.5269,1.5269,0.1429,,,,,,
CeeDee Lamb,DAL,WR,10,Yes,No,No,10,No,No,0.5,16,,0.5,1,0.1,1,1,1,,39.6,-5.1211,1.4873,1.4873,0.1,,,,,,
Noah Fant,SEA,TE,9,No,Yes,No,8,No,No,0.125,14,0.125,0.5,1,0.125,1,1,1,,39.6,-5.7754,4.7038,4.7038,0.1111,0.25,1,1,,,
Jordan Akins,CLV,TE,14,No,No,No,12,No,No,,17,,0.5833,4,0.3333,47,3,11.75,,39.6,-8.6171,6.9758,6.9758,0.2857,0.4167,,1,,,
Nick Vannett,TEN,TE,3,No,No,Yes,2,No,No,0.5,17,,,,,,,,,,,,,,0.5,,,,,
Elijah Cooks,JAX,WR,1,Yes,Yes,Yes,1,No,No,1,2,,,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,4,No,No,No,4,No,No,,16,1,,,,,,,,,,,,,,,,,,
Treylon Burks,TEN,WR,3,Yes,Yes,No,3,Yes,No,1,5,,,,,,,,,,,,,,,,,,,
Ja'Lynn Polk,NE,WR,10,No,No,No,9,No,No,1,15,,,1,0.1111,14,,14,,39.6,-9.8134,3.339,3.339,0.1,,,,,,
Jared Wiley,KC,TE,1,No,No,No,1,No,No,,7,,,,,,,,,,,,,,1,,,,,
