Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsContested,TargetsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsInEndzone
David Montgomery,DET,RB,4,Yes,No,No,4,2,No,Yes,2,1,0.5,2,1,19,20,1,-1,,,-0.5,106.3,4.75,9.5,3.677,9.5,10,0.5,1,2.8349,2.8349,0.5,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,14,1,,,,,,,,,,,,,,,,
Tyler Boyd,TEN,WR,12,No,Yes,No,12,3,Yes,Yes,3,1,0.25,1,0.3333,4,8,1,18,,0.1667,6,42.4,0.3333,1.3333,-5.677,4,8,1,,4.4084,4.4084,0.25,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,16,,2,2,,0.8333,1,0.3333,,,,,,,,,,
Jordan Mims,NO,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,
Jalen Brooks,DAL,WR,8,No,No,Yes,7,1,Yes,Yes,1,1,0.1429,,,,,,14,,0.8571,14,39.6,,,-9.8134,,,,,1.5662,1.5662,0.125,,,,,,,,,,,,,,14,,1,,,0.1429,,,,,,,,,,1,1,
KaVontae Turpin,DAL,WR,8,No,No,Yes,8,,Yes,Yes,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.875,,,,,,,,,,,,
Jamison Crowder,WAS,WR,1,No,No,Yes,1,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,1,,,,,,,,,,,,
Jalen Nailor,MIN,WR,13,No,Yes,No,13,2,No,Yes,2,1,0.1538,1,0.5,11,6,4,10,,0.7692,5,66.7,0.8462,5.5,-0.8628,11,6,4,1,2.8204,2.8204,0.1538,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,17,,2,,,0.2308,,,,,,,,,,1,0.5,
John Metchie,HST,WR,11,No,No,Yes,11,4,No,Yes,4,1,0.3636,2,0.5,7,,,36,,0.3636,9,56.3,0.6364,1.75,-5.5095,3.5,,,,7.8625,7.8625,0.3636,0.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,13,,1,1,,0.6364,,,1,2,,,,,1,1,0.25,
Marquise Brown,KC,WR,2,No,Yes,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,0.5,,,,,,,,,,,,
Ronnie Rivers,LA,RB,1,Yes,Yes,No,1,1,No,Yes,1,1,1,1,1,9,15,2,-6,,,-6,104.2,9,9,3.9107,9,15,2,,2.1167,2.1167,1,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,6,1,,,,,,,,,,1,1,,,,,
Amari Cooper,BUF,WR,15,No,Yes,No,15,3,No,Yes,3,1,0.2,2,0.6667,9,2,,40,,0.9333,13.3333,70.1,0.6,3,-4.9891,4.5,1,,1,5.8947,5.8947,0.2,0.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,14,,3,,,0.0667,,,1,,,,,,,1,0.3333,
Darius Slayton,NYG,WR,16,No,No,No,14,3,Yes,Yes,3,1,0.2143,,,,,,61,,0.9286,20.3333,39.6,,,-10.626,,,,,4.7418,4.7418,0.1875,,,,,,,,,,,,,,16,,3,,,0.0714,,,1,,,,,,,3,1,
Jerry Jeudy,CLV,WR,27,No,Yes,Yes,25,2,No,Yes,2,1,0.08,2,1,16,-1,,17,,0.52,8.5,100,0.64,8,0.5178,8,-0.5,,1,2.8093,2.8093,0.0741,1.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,17,,2,,,0.48,,,,,,,,,,,,
Dare Ogunbowale,HST,RB,8,No,No,Yes,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.75,,,,0.25,,,,,,,,,,,,
Nico Collins,HST,WR,15,No,No,Yes,14,6,No,Yes,6,1,0.4286,5,0.8333,149,24,8,140,,0.7143,23.3333,158.3,10.6429,24.8333,14.4202,29.8,4.8,1.6,4,11.0627,11.0627,0.4,20.9,25.9,23.4,25.9,25.9,28.9,26.4,25.9,25.9,25.9,23.4,25.9,25.9,12,0.0714,5,1,1,0.2143,1,0.1667,2,,2,,,1,,1,0.1667,
Jake Ferguson,DAL,TE,14,No,No,Yes,11,3,Yes,Yes,3,1,0.2727,3,1,13,15,9,-2,0.6364,0.0909,-0.6667,84.7,1.1818,4.3333,-0.6973,4.3333,5,3,,4.4792,4.4792,0.2143,0.3,3.3,1.8,3.3,4.8,3.3,0.8,2.3,2.3,2.3,0.8,4.8,2.3,14,,3,,,0.2727,,,,,1,2,0.6667,,,,,
Davante Adams,NYJ,WR,18,No,No,Yes,16,5,No,Yes,5,1,0.3125,4,0.8,49,32,31,21,,0.5625,4.2,107.5,3.0625,9.8,3.3705,12.25,8,7.75,2,7.3464,7.3464,0.2778,4.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,8.9,6.9,8.9,8.9,14,,5,,,0.4375,1,0.2,,,1,4,1,,,,,
J.K. Dobbins,LAC,RB,8,Yes,No,Yes,5,2,Yes,Yes,2,1,0.4,,,,,,6,,0.2,3,39.6,,,-7.2303,,,,,3.0774,3.0774,0.25,,,,,,,,,,,,,,13,0.6,1,,,0.2,1,0.5,,,,,,,,2,1,
Emari Demercado,ARZ,RB,4,No,No,No,3,,Yes,Yes,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.6667,,,,,,,,,,,,,,,,
Josh Whyle,TEN,TE,5,No,No,Yes,4,2,No,Yes,2,1,0.5,2,1,19,18,13,1,0.5,0.25,0.5,106.3,4.75,9.5,3.5341,9.5,9,6.5,1,2.8063,2.8063,0.4,1.9,3.9,2.9,3.9,4.9,3.9,2.9,3.9,3.9,3.9,2.9,4.9,3.9,17,,,,,0.25,,,,,,1,0.5,,,,,
Travis Etienne,JAX,RB,10,No,No,No,8,3,No,Yes,3,1,0.375,3,1,26,33,13,-7,,,-2.3333,102.8,3.25,8.6667,2.7214,8.6667,11,4.3333,2,4.2701,4.2701,0.3,2.6,5.6,4.1,7.1,5.6,5.6,4.1,5.6,5.6,5.6,4.1,5.6,5.6,15,1,1,,,,,,,,,1,0.3333,,,,,
Jordan Whittington,LA,WR,6,Yes,Yes,No,5,3,No,Yes,3,1,0.6,3,1,36,5,4,31,,1,10.3333,116.7,7.2,12,3.595,12,1.6667,1.3333,2,4.6778,4.6778,0.5,3.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,15,,2,1,,,,,,,,,,1,,,,
Samaje Perine,KC,RB,9,No,No,No,7,1,No,Yes,1,1,0.1429,,,15,,,-2,,0.1429,-2,79.2,2.1429,15,2.322,,,,,1.935,1.935,0.1111,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,17,0.7143,1,,,0.1429,,,,,,,,,,1,1,
Saquon Barkley,PHI,RB,7,No,No,No,5,1,No,No,1,1,0.2,1,1,1,6,2,-5,,,-5,79.2,0.2,1,-4.8711,1,6,2,,1.3848,1.3848,0.1429,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,16,0.8,1,,,0.2,1,1,,,,,,,,,,
Evan Engram,JAX,TE,6,Yes,Yes,No,6,2,No,Yes,2,1,0.3333,1,0.5,1,4,1,7,0.1667,0.3333,3.5,56.3,0.1667,0.5,-6.3168,1,4,1,,3.0348,3.0348,0.3333,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,9,,2,,,0.5,1,0.5,,,,,,,,1,0.5,
Jamari Thrash,CLV,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,0.5,,,,,,,,,,,,
KhaDarel Hodge,ATL,WR,1,No,No,No,1,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
Will Dissly,LAC,TE,9,Yes,No,Yes,9,1,Yes,Yes,1,1,0.1111,,,,,,6,0.4444,0.1111,6,39.6,,,-7.093,,,,,1.2988,1.2988,0.1111,,,,,,,,,,,,,,15,,,,,0.4444,,,,,,,,,,1,1,
Rasheen Ali,BLT,RB,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,
Miles Sanders,CAR,RB,4,No,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,-1,3,2,-4,,,-4,79.2,-0.3333,-1,-6.5699,-1,3,2,,1.3131,1.3131,0.25,-0.1,0.9,0.4,1.4,0.9,0.9,0.4,0.9,0.9,0.9,0.4,0.9,0.9,11,1,1,,,,,,,,,,,,,,,
Charlie Jones,CIN,WR,2,No,No,Yes,2,1,Yes,Yes,1,1,0.5,1,1,5,,,5,,,5,87.5,2.5,5,-1.3628,5,,,,1.6126,1.6126,0.5,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,8,,1,,,1,,,,,,,,,,,,
Marquez Valdes-Scantling,NO,WR,7,No,No,No,6,,No,Yes,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,0.3333,,,,,,,,,,,,
Adonai Mitchell,IND,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.5,,,,,,,,,,,,
Connor Heyward,PIT,TE,4,No,Yes,No,2,1,No,Yes,1,1,0.5,,,,,,29,0.5,,29,39.6,,,-11.2203,,,,,1.0026,1.0026,0.25,,,,,,,,,,,,,,16,0.5,1,,,,,,1,,,,,,,,,
Nick Westbrook-Ikhine,TEN,WR,11,No,No,Yes,9,1,No,Yes,1,1,0.1111,1,1,11,,,11,,0.8889,11,112.5,1.2222,11,2.6848,11,,,1,1.7198,1.7198,0.0909,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,17,,1,,,0.1111,,,,,,,,,,,,
Brevyn Spann-Ford,DAL,TE,9,No,No,Yes,8,2,Yes,Yes,2,1,0.25,,,,,,21,0.625,0.125,10.5,39.6,,,-8.8661,,,,,2.7576,2.7576,0.2222,,,,,,,,,,,,,,17,,1,1,,0.25,,,,1,,,,,,,,
Parris Campbell,PHI,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,,,,,,,,
Jake Bobo,SEA,WR,4,Yes,Yes,No,3,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
Ben Sims,GB,TE,3,No,Yes,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,
DeAndre Carter,CHI,WR,2,Yes,Yes,No,2,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,1,,,,,,,,,,,,
Robbie Chosen,MIA,WR,1,No,No,No,1,1,No,Yes,1,1,1,1,1,5,1,1,4,,,4,87.5,5,5,-1.0498,5,1,1,,1.5114,1.5114,1,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,2,,1,,,1,,,,,,,,,,,,
Kayshon Boutte,NE,WR,19,No,No,No,14,3,No,Yes,3,1,0.2143,3,1,29,5,2,24,,0.8571,8,106.9,2.0714,9.6667,1.945,9.6667,1.6667,0.6667,2,4.8445,4.8445,0.1579,2.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,5.9,4.4,5.9,5.9,15,,2,,,0.1429,,,,,,,,,,,,
Hunter Long,LA,TE,3,Yes,Yes,No,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
Jonathan Mingo,DAL,WR,8,No,No,Yes,8,,Yes,Yes,,,,,,,,,,,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.375,,,,,,,,,,,,
Cooper Kupp,LA,WR,16,No,No,No,15,5,Yes,Yes,5,1,0.3333,4,0.8,41,12,4,33,,0.3333,6.6,100.8,2.7333,8.2,0.9112,10.25,3,1,1,7.1438,7.1438,0.3125,4.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,12,,3,1,,0.6667,,,,,1,,,,,,,
Tommy Tremble,CAR,TE,10,No,No,No,9,2,Yes,Yes,2,1,0.2222,1,0.5,12,6,5,10,0.4444,,5,68.8,1.3333,6,-0.5799,12,6,5,1,2.9954,2.9954,0.2,1.2,2.2,1.7,2.2,2.7,2.2,1.7,2.2,2.2,2.2,1.7,2.7,2.2,12,,1,1,,0.5556,,,,,,,,,,,,
Ja'Marr Chase,CIN,WR,16,No,No,No,16,5,Yes,Yes,5,1,0.3125,2,0.4,20,11,3,52,,0.5,10.4,52.1,1.25,4,-3.5336,10,5.5,1.5,1,7.8739,7.8739,0.3125,2,4,3,4,4,4,3,4,4,4,3,4,4,17,,5,2,,0.5,,,1,1,,1,0.5,,,1,0.2,
D'Andre Swift,CHI,RB,18,No,Yes,No,13,2,No,Yes,2,1,0.1538,2,1,19,21,4,-2,,0.2308,-1,106.3,1.4615,9.5,3.3097,9.5,10.5,2,,2.9857,2.9857,0.1111,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,17,0.7692,1,,,,1,0.5,,,,,,,,,,
Adam Trautman,DEN,TE,8,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,19,,,24,0.6667,0.1667,24,158.3,3.1667,19,3.558,19,,,1,2.4773,2.4773,0.125,7.9,8.9,8.4,8.9,9.4,8.9,8.4,8.9,8.9,8.9,8.4,9.4,8.9,17,,,,1,0.1667,,,1,1,1,,,,1,,,1
Anthony Firkser,KC,TE,1,No,Yes,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,
Justice Hill,BLT,RB,9,No,No,No,8,1,No,Yes,1,1,0.125,1,1,12,16,2,-4,,,-4,116.7,1.5,12,6.4301,12,16,2,1,1.5014,1.5014,0.1111,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,16,1,1,,,,1,1,,,,,,,,,,
Tyler Conklin,NYJ,TE,20,No,No,Yes,17,1,No,Yes,1,1,0.0588,1,1,8,8,2,,0.4706,0.0588,,100,0.4706,8,2.711,8,8,2,,1.4339,1.4339,0.05,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,16,,,,,0.4706,,,,,,,,,,,,
Sincere McCormick,LV,RB,2,No,No,No,1,1,No,No,1,1,1,1,1,3,4,,-1,,,-1,79.2,3,3,-2.819,3,4,,,1.3435,1.3435,0.5,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,4,1,1,,,,,,,1,,,,,,,,
K.J. Osborn,WAS,WR,10,No,No,Yes,10,3,Yes,Yes,3,1,0.3,1,0.3333,3,-1,,15,,1,5,42.4,0.3,1,-5.4539,3,-1,,,4.1051,4.1051,0.3,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,9,,3,1,,,,,,,,,,,,2,0.6667,
James Conner,ARZ,RB,19,No,No,No,13,1,Yes,Yes,1,1,0.0769,1,1,4,3,1,1,,0.3077,1,83.3,0.3077,4,-1.7294,4,3,1,,1.4841,1.4841,0.0526,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,16,0.5385,,,,0.1538,,,,,,,,,,,,
Chris Brooks,GB,RB,3,No,Yes,No,1,1,No,Yes,1,1,1,1,1,1,,,1,,,1,79.2,1,1,-4.7294,1,,,,3.2815,3.2815,0.3333,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,13,1,,,,,,,,,,,,,,,,
Christian Watson,GB,WR,12,No,Yes,No,11,5,No,Yes,5,1,0.4545,4,0.8,168,56,10,116,,0.8182,23.2,118.8,15.2727,33.6,22.6341,42,14,2.5,4,9.5006,9.5006,0.4167,16.8,20.8,18.8,20.8,20.8,23.8,21.8,20.8,20.8,20.8,18.8,20.8,20.8,15,,3,1,,0.1818,,,3,,1,1,0.25,1,,1,0.2,
Tom Kennedy,DET,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,,,,,,,,,,,
Greg Dortch,ARZ,WR,16,Yes,No,No,16,3,No,Yes,3,1,0.1875,3,1,16,11,1,5,,0.5,1.6667,88.9,1,5.3333,-0.2743,5.3333,3.6667,0.3333,,4.0848,4.0848,0.1875,1.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,17,0.0625,2,,,0.4375,,,,1,,,,,,,,
Cam Akers,MIN,RB,10,No,Yes,No,9,1,No,Yes,1,1,0.1111,1,1,8,5,2,3,,,3,139.6,0.8889,8,1.4906,8,5,2,1,2.0711,2.0711,0.1,6.8,7.8,7.3,8.3,7.8,7.8,7.3,7.8,7.8,7.8,7.3,7.8,7.8,16,0.8889,1,,1,0.1111,,,,1,,,,,,,,
JaMycal Hasty,NE,RB,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,
Tip Reiman,ARZ,TE,8,Yes,No,No,7,,No,Yes,,,,,,,,,,0.7143,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.1429,,,,,,,,,,,,
Javonte Williams,DEN,RB,15,No,No,No,10,3,No,Yes,3,1,0.3,3,1,13,11,3,2,,0.1,0.6667,84.7,1.3,4.3333,-2.1031,4.3333,3.6667,1,1,4.7771,4.7771,0.2,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,17,0.9,2,,,,1,0.3333,,,,1,0.3333,,,,,
Courtland Sutton,DEN,WR,19,No,No,No,17,3,No,Yes,3,1,0.1765,2,0.6667,29,,,84,,0.8235,28,137.5,1.7059,9.6667,-2.5221,14.5,,,2,8.7861,8.7861,0.1579,8.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,10.9,9.9,10.9,10.9,17,,2,1,1,0.1765,,,2,1,1,,,1,2,1,0.3333,1
Darnell Washington,PIT,TE,7,No,No,No,4,2,Yes,Yes,2,1,0.5,1,0.5,5,,,16,0.75,0.25,8,95.8,1.25,2.5,-5.2205,5,,,1,4.9,4.9,0.2857,6.5,7.5,7,7.5,8,7.5,7,7.5,7.5,7.5,7,8,7.5,17,,2,,1,,,,,1,,,,,1,,,1
Zach Ertz,WAS,TE,21,No,No,Yes,19,9,Yes,Yes,9,1,0.4737,8,0.8889,61,21,5,52,0.4211,0.1053,5.7778,131.9,3.2105,6.7778,0.0623,7.625,2.625,0.625,4,17.5598,17.5598,0.4286,12.1,20.1,16.1,20.1,24.1,20.1,16.1,20.1,20.1,20.1,16.1,24.1,20.1,17,,9,3,1,0.4737,1,0.1111,,1,3,,,2,1,,,1
Audric Estime,DEN,RB,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,,
Charlie Kolar,BLT,TE,3,No,Yes,Yes,1,1,No,Yes,1,1,1,1,1,6,3,,3,1,,3,91.7,6,6,-0.3218,6,3,,,1.3604,1.3604,0.3333,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,13,,,,,,,,,,,,,,,,,
Davis Allen,LA,TE,6,Yes,Yes,No,6,,No,Yes,,,,,,,,,,0.5,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,0.3333,,,,,,,,,,,,
Jonathan Taylor,IND,RB,15,No,No,No,11,,No,Yes,,,,,,,,,,,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.7273,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,14,No,No,No,13,2,No,Yes,2,1,0.1538,1,0.5,2,5,2,-5,,0.3846,-2.5,56.3,0.1538,1,-4.22,2,5,2,,3.5124,3.5124,0.1429,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,16,,1,,,0.6154,1,0.5,,1,,,,,,1,0.5,
River Cracraft,MIA,WR,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,1,,,,,,,,,,,,
Grant DuBose,MIA,WR,4,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,0.5,,,,,,,,,,,,
Tim Jones,JAX,WR,2,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1,,,,,,,,,,,,
Tyler Goodson,IND,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,1,,,,,,,,,,,,,,,,
Jordan Mason,SF,RB,14,No,No,Yes,12,2,No,Yes,2,1,0.1667,2,1,29,19,15,10,,0.0833,5,118.8,2.4167,14.5,7.267,14.5,9.5,7.5,2,2.8196,2.8196,0.1429,2.9,4.9,3.9,5.9,4.9,4.9,3.9,4.9,4.9,4.9,3.9,4.9,4.9,12,0.75,1,1,,0.1667,,,,,,,,1,,,,
Tre Tucker,LV,WR,19,Yes,No,Yes,17,,Yes,Yes,,,,,,,,,,,0.8235,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,0.1765,,,,,,,,,,,,
Michael Pittman,IND,WR,19,No,No,No,19,4,No,Yes,4,1,0.2105,1,0.25,4,1,1,71,,0.5789,17.75,,0.2105,1,-9.0116,4,1,1,,8.1935,8.1935,0.2105,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,16,,3,4,,0.4211,,,1,1,,,,1,,,,
Malik Washington,MIA,WR,6,No,No,Yes,6,1,No,Yes,1,1,0.1667,1,1,14,18,4,-4,0.1667,0.1667,-4,118.8,2.3333,14,9.5149,14,18,4,1,1.4882,1.4882,0.1667,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,14,,1,,,0.6667,1,1,,,,,,,,,,
Simi Fehoko,LAC,WR,3,No,No,No,3,,Yes,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,13,No,No,Yes,12,2,No,Yes,2,1,0.1667,2,1,30,,-1,30,,0.5833,15,118.8,2.5,15,4.8763,15,,-0.5,2,3.0074,3.0074,0.1538,3,5,4,5,5,5,4,5,5,5,4,5,5,16,0.0833,,,,0.3333,,,,,2,,,,,,,
Stone Smartt,LAC,TE,2,Yes,No,Yes,2,1,Yes,Yes,1,1,0.5,,,,,,18,1,,18,39.6,,,-12.9732,,,,,1.3794,1.3794,0.5,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,11,No,Yes,No,9,3,No,Yes,3,1,0.3333,,,,,,22,0.8889,,7.3333,39.6,,,-7.5039,,,,,4.4634,4.4634,0.2727,,,,,,,,,,,,,,10,,3,1,,0.1111,,,,1,,,,,,2,0.6667,
Ezekiel Elliott,DAL,RB,3,No,No,No,3,,No,No,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.6667,,,,,,,,,,,,,,,,
Tim Patrick,DET,WR,6,No,Yes,No,6,1,No,Yes,1,1,0.1667,,,,,,17,,0.6667,17,39.6,,,-11.6653,,,,,1.8349,1.8349,0.1667,,,,,,,,,,,,,,16,,1,1,,0.3333,,,,,,,,,,,,
Brian Thomas,JAX,WR,14,No,No,No,14,6,No,Yes,6,1,0.4286,3,0.5,27,21,2,36,,0.7857,6,62.5,1.9286,4.5,-2.6268,9,7,0.6667,2,9.9712,9.9712,0.4286,2.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,5.7,4.2,5.7,5.7,17,,5,,,0.2143,2,0.3333,,,1,,,,,3,0.5,
DeAndre Hopkins,KC,WR,12,No,Yes,No,10,2,No,Yes,2,1,0.2,2,1,36,16,3,20,,0.9,10,118.8,3.6,18,9.6137,18,8,1.5,2,2.9138,2.9138,0.1667,3.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,5.6,4.6,5.6,5.6,16,,2,1,,0.1,,,,,,,,1,,,,
Josh Reynolds,JAX,WR,8,No,No,No,8,3,No,Yes,3,1,0.375,2,0.6667,12,1,,9,,0.75,3,74.3,1.5,4,-2.2703,6,0.5,,1,4.4672,4.4672,0.375,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,9,,3,1,,0.25,,,,1,,,,1,,1,0.3333,
Noah Gray,KC,TE,14,No,No,No,11,2,No,Yes,2,1,0.1818,1,0.5,13,-1,,14,0.4545,,7,70.8,1.1818,6.5,-1.2854,13,-1,,1,4.7896,4.7896,0.1429,1.3,2.3,1.8,2.3,2.8,2.3,1.8,2.3,2.3,2.3,1.8,2.8,2.3,17,0.0909,1,,,0.4545,,,,,,,,,,1,0.5,
