Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetsContestedTotal,TouchdownsTotal,AlignmentSlotRoutesPercentage,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,ReceptionsHero,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsContested,TargetsInEndzone,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsInEndzone
Brandin Cooks,DAL,WR,14,No,No,Yes,12,5,Yes,Yes,5,1,0.4167,3,0.6,13,8,1,33,,0.6667,6.6,64.6,1.0833,2.6,-4.3956,4.3333,2.6667,0.3333,2,10.8137,10.8137,0.3571,1.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,10,,4,2,,0.3333,,,1,2,,,,,2,,,
Ryan Miller,TB,WR,5,No,No,No,5,3,No,Yes,3,1,0.6,,,,,,62,,0.6,20.6667,,,,-9.9051,,,,,7.0784,7.0784,0.6,,,,,,,,,,,,,,11,,3,2,,0.4,,,2,,,,,,,,,
Lucas Krull,DEN,TE,9,No,No,No,6,1,No,Yes,1,1,0.1667,1,1,10,,,10,0.1667,0.1667,10,108.3,1.6667,10,2.2315,10,,,1,1.5287,1.5287,0.1111,1,2,1.5,2,2.5,2,1.5,2,2,2,1.5,2.5,2,13,,1,,,0.6667,,,,,,,,,,,,
Tyler Johnson,LA,WR,12,Yes,Yes,No,11,1,No,Yes,1,1,0.0909,,,,,,16,,0.6364,16,,,,-10.0952,,,,,3.4525,3.4525,0.0833,,,,,,,,,,,,,,15,,1,,,0.3636,,,,1,,,,,1,,,
Chig Okonkwo,TEN,TE,11,No,No,Yes,8,,No,Yes,,,,,,,,,,0.375,0.125,,,,,,,,,,1.5355,1.5355,,,,,,,,,,,,,,,17,,,,,0.5,,,,,,,,,,,,
Gerald Everett,CHI,TE,6,No,Yes,No,3,2,No,Yes,2,1,0.6667,,,,,,8,0.3333,,4,39.6,,,-6.4009,,,,,2.8705,2.8705,0.3333,,,,,,,,,,,,,,17,,2,,,0.6667,,,,,,,,,,1,0.5,
Austin Trammell,JAX,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Ray Davis,BUF,RB,6,No,No,No,6,2,No,Yes,2,1,0.3333,2,1,19,12,4,7,0.1667,,3.5,145.8,3.1667,9.5,2.6862,9.5,6,2,2,5.0398,5.0398,0.3333,7.9,9.9,8.9,10.9,9.9,9.9,8.9,9.9,9.9,9.9,8.9,9.9,9.9,17,0.6667,1,,1,0.1667,,,,1,,,,,1,,,1
Tony Pollard,TEN,RB,9,No,No,Yes,5,3,No,Yes,3,1,0.6,,,,,,-10,0.2,,-3.3333,39.6,,,-5.6758,,,,,5.9551,5.9551,0.3333,,,,,,,,,,,,,,16,0.8,2,1,,,2,0.6667,,1,,,,,,2,0.6667,
Romeo Doubs,GB,WR,18,No,Yes,No,16,4,No,Yes,4,1,0.25,4,1,64,6,2,67,,0.9375,16.75,158.3,4,16,6.0516,16,1.5,0.5,2,7.2977,7.2977,0.2222,12.4,16.4,14.4,16.4,16.4,16.4,14.4,16.4,16.4,16.4,14.4,16.4,16.4,13,,4,,1,0.0625,,,1,,2,,,,1,,,1
JuJu Smith-Schuster,KC,WR,12,No,No,No,10,,No,Yes,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,0.4,,,,,,,,,,,,
Ladd McConkey,LAC,WR,11,Yes,No,Yes,10,2,Yes,Yes,2,1,0.2,2,1,13,4,,9,,0.1,4.5,93.8,1.3,6.5,0.3005,6.5,2,,1,4.8227,4.8227,0.1818,1.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,16,,2,,,0.9,,,,1,,,,,,,,
CeeDee Lamb,DAL,WR,23,No,No,No,21,7,No,No,7,1,0.3333,4,0.5714,41,33,17,39,,0.5238,5.5714,74.1,1.9524,5.8571,-0.2274,10.25,8.25,4.25,2,11.6336,11.6336,0.3043,4.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,8.1,6.1,8.1,8.1,16,,6,1,,0.4762,2,0.2857,1,,,2,0.5,,,2,0.2857,
Noah Fant,SEA,TE,12,Yes,Yes,No,11,3,No,Yes,3,1,0.2727,3,1,20,4,-1,16,0.2727,0.0909,5.3333,94.4,1.8182,6.6667,-0.1741,6.6667,1.3333,-0.3333,,4.2709,4.2709,0.25,2,5,3.5,5,6.5,5,3.5,5,5,5,3.5,6.5,5,14,0.0909,1,,,0.5455,,,,,,,,,,,,
Nick Vannett,TEN,TE,2,No,No,Yes,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,
Jordan Akins,CLV,TE,14,No,Yes,Yes,12,3,No,Yes,3,1,0.25,1,0.3333,19,8,3,26,0.1667,0.25,8.6667,56.3,1.5833,6.3333,-1.3296,19,8,3,1,5.0253,5.0253,0.2143,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,17,,3,2,,0.5833,,,,1,,,,,,,,
Peyton Hendershot,KC,TE,2,No,No,No,2,,No,Yes,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,0.5,,,,,,,,,,,,
Treylon Burks,TEN,WR,3,Yes,Yes,Yes,2,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
James Cook,BUF,RB,5,No,No,No,5,1,No,Yes,1,1,0.2,,,,,,25,,,25,39.6,,,-5.0667,,,,,2.9333,2.9333,0.2,,,,,,,,,,,,,,16,1,1,,,,,,1,,,,,,,1,1,
Ja'Lynn Polk,NE,WR,13,No,No,No,10,3,No,Yes,3,1,0.3,1,0.3333,13,1,,26,,0.9,8.6667,47.9,1.3,4.3333,-3.2704,13,1,,1,3.9223,3.9223,0.2308,1.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,15,,3,1,,0.1,,,,,,,,,,1,0.3333,
Isaiah Likely,BLT,TE,11,No,Yes,Yes,10,4,No,Yes,4,1,0.4,3,0.75,22,22,9,10,0.3,0.1,2.5,87.5,2.2,5.5,-0.8716,7.3333,7.3333,3,2,5.8961,5.8961,0.3636,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,16,,3,,,0.6,1,0.25,,1,,,,,,1,0.25,
George Kittle,SF,TE,18,Yes,No,No,16,1,No,Yes,1,1,0.0625,1,1,3,-1,-1,4,0.4375,0.125,4,79.2,0.1875,3,-3.0667,3,-1,-1,,3.995,3.995,0.0556,0.3,1.3,0.8,1.3,1.8,1.3,0.8,1.3,1.3,1.3,0.8,1.8,1.3,15,,1,,,0.4375,,,,1,,,,,,,,
Keenan Allen,CHI,WR,21,No,Yes,No,20,9,No,Yes,9,1,0.45,6,0.6667,45,18,7,43,,0.35,4.7778,78.5,2.25,5,-1.7531,7.5,3,1.1667,2,17.5907,17.5907,0.4286,4.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,10.5,7.5,10.5,10.5,15,,7,1,,0.65,2,0.2222,,3,1,1,0.1667,1,1,2,0.2222,
Dalton Schultz,HST,TE,25,No,No,Yes,19,4,No,Yes,4,1,0.2105,2,0.5,7,1,1,28,0.6842,0.1053,7,56.3,0.3684,1.75,-5.8976,3.5,0.5,0.5,,6.8042,6.8042,0.16,0.7,2.7,1.7,2.7,3.7,2.7,1.7,2.7,2.7,2.7,1.7,3.7,2.7,17,,3,,,0.2105,,,,1,,,,,,2,0.5,
