Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Scott Miller,PIT,WR,1,Yes,Yes,Yes,1,1,No,No,1,18,,,1,18,39.6,-10.8991,1.7341,1.7341,1,13,1,,,,,,,
Jaylen Waddle,MIA,WR,6,No,No,No,6,,No,No,,,,,,,,,,,,15,1,,,,,,,
Tee Higgins,CIN,WR,6,No,Yes,No,6,3,No,No,0.5,52,,0.1667,2,17.3333,39.6,-8.7143,8.7616,8.7616,0.5,12,0.8333,,1,1,1,,,
Rashod Bateman,BLT,WR,8,No,No,Yes,8,2,No,No,0.25,50,,,1,25,39.6,-10.9746,3.503,3.503,0.25,17,1,,1,,,,,
Grant Calcaterra,PHI,TE,7,No,No,No,5,1,No,No,0.2,6,,0.6,1,6,39.6,-7.093,1.2349,1.2349,0.1429,17,0.4,,,,,,,
Rico Dowdle,DAL,RB,8,No,No,No,6,2,No,No,0.3333,1,,,1,0.5,39.6,-6.4014,2.8291,2.8291,0.25,16,0.1667,0.8333,,1,,1,0.5,
Ricky Pearsall,SF,WR,3,No,No,No,3,1,No,No,0.3333,10,,0.3333,1,10,39.6,-7.5,1.6556,1.6556,0.3333,11,0.6667,,,,,,,
Pharaoh Brown,SEA,TE,3,No,No,No,2,1,No,No,0.5,5,0.5,0.5,,5,39.6,-6.48,1.5947,1.5947,0.3333,15,,,,,,,,
Chris Olave,NO,WR,3,No,Yes,No,3,1,No,No,0.3333,18,,,,18,39.6,-10.8991,2.1117,2.1117,0.3333,8,1,,,,,,,
Jeremy McNichols,WAS,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,17,,1,,,,,,
Jerome Ford,CLV,RB,8,No,No,No,5,,No,No,,,,0.2,,,,,,,,14,,0.8,,,,,,
George Pickens,PIT,WR,6,No,Yes,No,6,3,No,No,0.5,98,,0.1667,3,32.6667,39.6,-12.088,8.3416,8.3416,0.5,14,0.8333,,3,,1,,,1
Jermaine Burton,CIN,WR,1,Yes,No,Yes,1,,No,No,,,,,,,,,,,,14,1,,,,,,,
Wan'Dale Robinson,NYG,WR,17,No,No,No,17,5,No,No,0.2941,66,,0.8824,4,13.2,39.6,-9.2812,10.688,10.688,0.2941,17,0.1176,,1,1,1,,,
Zach Davidson,BUF,TE,1,No,No,Yes,1,,No,No,,,,1,,,,,,,,3,,,,,,,,
Ben Skowronek,PIT,WR,1,No,Yes,No,1,,No,No,,,,1,,,,,,,,9,,,,,,,,
Hayden Hurst,LAC,TE,3,No,No,No,3,1,No,No,0.3333,-3,0.3333,,1,-3,39.6,-5.8652,1.638,1.638,0.3333,9,0.6667,,,,,1,1,
Ryan Flournoy,DAL,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,11,1,,,,,,,
Deebo Samuel,SF,WR,5,No,No,No,5,,No,No,,,,0.4,,,,,,,,15,0.6,,,,,,,
Mike Gesicki,CIN,TE,6,No,Yes,No,6,4,No,No,0.6667,60,0.3333,0.5,1,15,39.6,-10.9647,9.9412,9.9412,0.6667,17,0.1667,,,2,2,,,
Rhamondre Stevenson,NE,RB,8,No,No,No,5,1,No,No,0.2,5,,0.4,,5,39.6,-7.233,1.4385,1.4385,0.125,15,0.2,0.4,,,,,,
Nikko Remigio,KC,WR,1,No,No,No,1,,No,No,,,,1,,,,,,,,5,,,,,,,,
Brenton Strange,JAX,TE,4,No,No,No,3,,No,No,,,0.3333,0.3333,,,,,,,,17,0.3333,,,,,,,
Tyreek Hill,MIA,WR,5,No,No,No,4,1,No,No,0.25,18,,0.25,1,18,39.6,-10.8991,1.7129,1.7129,0.2,17,0.75,,,,,,,
Demarcus Robinson,LA,WR,4,No,No,No,3,,No,No,,,,0.6667,,,,,,,,17,0.3333,,,,,,,
Travis Kelce,KC,TE,8,Yes,Yes,Yes,8,1,No,No,0.125,3,0.25,0.5,1,3,39.6,-6.3218,1.2697,1.2697,0.125,16,0.25,,,,,,,
Cole Kmet,CHI,TE,14,No,No,No,11,1,No,No,0.0909,16,0.1818,0.7273,,16,39.6,-10.191,1.8521,1.8521,0.0714,17,0.0909,,,,,,,
Zack Moss,CIN,RB,3,No,No,No,2,,No,No,,,0.5,,,,,,,,,8,,0.5,,,,,,
Kimani Vidal,LAC,RB,3,No,No,No,2,,No,No,,,,,,,,,,,,10,,1,,,,,,
Mason Tipton,NO,WR,2,No,No,No,2,,No,No,,,,1,,,,,,,,11,,,,,,,,
Mike Williams,PIT,WR,6,No,Yes,No,6,,No,No,,,,,,,,,,,,18,1,,,,,,,
Kylen Granson,IND,TE,6,No,No,No,5,1,No,No,0.2,10,0.2,0.8,1,10,39.6,-7.7685,1.9095,1.9095,0.1667,17,,,,1,,,,
Terrace Marshall,LV,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,7,1,,,,,,,
A.J. Brown,PHI,WR,6,No,No,No,6,3,No,No,0.5,33,,0.3333,3,11,39.6,-8.7811,4.8293,4.8293,0.5,13,0.6667,,,,,,,
Luke McCaffrey,WAS,WR,4,No,No,No,4,,No,No,,,,1,,,,,,,,17,,,,,,,,
Brock Wright,DET,TE,2,No,No,No,2,,No,No,,,0.5,,,,,,,,,17,0.5,,,,,,,
Jamaal Williams,NO,RB,1,Yes,No,Yes,1,,No,No,,,,1,,,,,,,,14,,,,,,,,
Brandin Cooks,DAL,WR,7,No,No,No,6,1,No,No,0.1667,13,,0.6667,1,13,39.6,-8.9145,1.9512,1.9512,0.1429,10,0.3333,,,,,,,
Ryan Miller,TB,WR,1,Yes,No,Yes,1,,No,No,,,,1,,,,,,,,11,,,,,,,,
Jalin Hyatt,NYG,WR,5,No,No,No,5,1,No,No,0.2,5,,0.2,1,5,39.6,-6.3628,1.4573,1.4573,0.2,16,0.8,,,,,,,
David Njoku,CLV,TE,6,No,No,Yes,6,,No,No,,,0.6667,0.3333,,,,,1.3069,1.3069,,11,,,,,,,,
Brock Bowers,LV,TE,12,No,No,No,12,1,No,No,0.0833,7,0.0833,0.5,1,7,39.6,-7.3078,1.8233,1.8233,0.0833,17,0.4167,,,,,,,
Isaac Guerendo,SF,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,16,,1,,,,,,
Johnny Mundt,MIN,TE,5,No,No,No,5,,No,No,,,0.6,0.2,,,,,,,,17,0.2,,,,,,,
Xavier Legette,CAR,WR,8,Yes,No,No,7,,No,No,,,,0.2857,,,,,,,,16,0.7143,,,,,,,
Justin Jefferson,MIN,WR,11,No,No,No,11,6,No,No,0.5455,98,,0.2727,4,16.3333,,-9.862,21.6256,21.6256,0.5455,17,0.7273,,1,2,2,,,
Rashid Shaheed,NO,WR,3,No,No,No,3,,No,No,,,,,,,,,,,,6,1,,,,,,,
Greg Dulcich,NYG,TE,5,No,No,No,5,1,No,No,0.2,9,0.2,0.6,1,9,39.6,-7.2596,3.6455,3.6455,0.2,9,0.2,,,1,,,,
Tony Pollard,TEN,RB,7,No,No,No,3,,No,No,,,,,,,,,,,,16,0.6667,0.3333,,,,,,
Romeo Doubs,GB,WR,6,No,No,No,6,2,No,No,0.3333,24,,0.1667,2,12,39.6,-8.3446,3.2484,3.2484,0.3333,13,0.8333,,1,,,,,
JuJu Smith-Schuster,KC,WR,3,No,No,No,3,,No,No,,,,0.3333,,,,,,,,14,0.6667,,,,,,,
Ladd McConkey,LAC,WR,12,No,No,No,12,3,No,No,0.25,16,,0.75,2,5.3333,39.6,-6.6493,4.5019,4.5019,0.25,16,0.25,,,,,,,
Alex Bachman,LV,WR,1,No,No,No,1,,No,No,,,,1,,,,,,,,5,,,,,,,,
Chig Okonkwo,TEN,TE,7,No,No,No,7,2,No,No,0.2857,16,0.1429,0.1429,2,8,39.6,-8.1434,4.2074,4.2074,0.2857,17,0.7143,,,1,1,,,
Gerald Everett,CHI,TE,2,No,No,No,2,,No,No,,,0.5,,,,,,,,,17,0.5,,,,,,,
Lucas Krull,DEN,TE,2,No,No,No,2,,No,No,,,0.5,0.5,,,,,,,,13,,,,,,,,
Isaiah Likely,BLT,TE,4,No,No,Yes,4,,No,No,,,0.75,,,,,,,,,16,0.25,,,,,,,
Dalton Schultz,HST,TE,9,No,No,No,8,1,No,No,0.125,3,0.625,0.375,,3,39.6,-6.3218,1.8451,1.8451,0.1111,17,,,,1,,,,
George Kittle,SF,TE,6,No,No,No,5,,No,No,,,,0.8,,,,,,,,15,0.2,,,,,,,
Keenan Allen,CHI,WR,13,No,No,No,11,3,No,No,0.2727,35,,0.6364,3,11.6667,39.6,-8.4101,4.8225,4.8225,0.2308,15,0.3636,,1,,,,,
James Cook,BUF,RB,8,No,No,No,8,2,No,No,0.25,-3,,0.125,1,-1.5,39.6,-5.7994,2.7304,2.7304,0.25,16,,0.875,,,,1,0.5,
Treylon Burks,TEN,WR,1,No,No,No,1,,No,No,,,,,,,,,1.6118,1.6118,,5,1,,,,,,,
Ja'Lynn Polk,NE,WR,6,No,No,No,6,,No,No,,,,0.3333,,,,,,,,15,0.6667,,,,,,,
Jordan Akins,CLV,TE,3,No,No,Yes,3,,No,No,,,0.3333,0.6667,,,,,,,,17,,,,,,,,
Nick Vannett,TEN,TE,2,No,No,No,1,,No,No,,,1,,,,,,,,,17,,,,,,,,
Peyton Hendershot,KC,TE,1,No,No,No,1,,No,No,,,,,,,,,,,,7,1,,,,,,,
CeeDee Lamb,DAL,WR,14,No,No,No,14,5,No,No,0.3571,71,,0.5,4,14.2,39.6,-8.7204,16.4838,16.4838,0.3571,16,0.5,,1,1,2,,,
Noah Fant,SEA,TE,4,No,No,No,4,1,No,No,0.25,2,,1,,2,39.6,-6.3701,1.3829,1.3829,0.25,14,,,,,,,,
Colby Parkinson,LA,TE,2,No,No,No,2,1,No,No,0.5,3,1,,1,3,39.6,-6.3218,1.3701,1.3701,0.5,17,,,,,,,,
Brenden Bates,CLV,TE,1,No,No,Yes,1,,No,No,,,,,,,,,,,,6,1,,,,,,,
Rome Odunze,CHI,WR,14,No,No,No,13,4,No,No,0.3077,51,,0.5385,3,12.75,39.6,-8.8435,5.9663,5.9663,0.2857,17,0.4615,,1,,,,,
D.J. Moore,CHI,WR,16,No,No,No,16,7,No,No,0.4375,95,,0.125,2,13.5714,39.6,-9.2772,11.436,11.436,0.4375,17,0.875,,1,1,,,,
Josh Oliver,MIN,TE,6,No,No,No,5,1,No,No,0.2,7,1,,1,7,39.6,-7.3078,1.8233,1.8233,0.1667,15,,,,,,,,
Nick Chubb,CLV,RB,2,No,Yes,Yes,2,1,No,No,0.5,2,,,1,2,39.6,-6.3947,1.3043,1.3043,0.5,8,,1,,,,,,
Michael Carter,ARZ,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,3,,1,,,,,,
Tyjae Spears,TEN,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,12,,1,,,,,,
Devin Singletary,NYG,RB,6,No,No,No,4,,No,No,,,,,,,,,,,,15,,1,,,,,,
Isaiah Hodgins,NYG,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,3,1,,,,,,,
Zamir White,LV,RB,1,No,Yes,Yes,1,,No,No,,,,,,,,,,,,8,,1,,,,,,
Ameer Abdullah,LV,RB,4,No,No,No,3,,No,No,,,,,,,,,,,,16,,1,,,,,,
Trey Sermon,IND,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,17,,1,,,,,,
Josh Downs,IND,WR,2,No,No,No,1,,No,No,,,,1,,,,,,,,14,,,,,,,,
Devaughn Vele,DEN,WR,5,No,No,No,5,3,No,No,0.6,29,,0.6,2,9.6667,39.6,-7.7879,4.9871,4.9871,0.6,13,0.4,,,,,,,
Khalil Herbert,CIN,RB,1,No,Yes,No,1,,No,No,,,,,,,,,,,,13,,1,,,,,,
Tyler Allgeier,ATL,RB,2,Yes,No,No,2,,No,No,,,,,,,,,,,,17,,1,,,,,,
Foster Moreau,NO,TE,4,Yes,No,Yes,3,1,No,No,0.3333,10,0.3333,0.6667,1,10,39.6,-7.7685,1.9095,1.9095,0.25,17,,,,1,,,,
Stephen Sullivan,CAR,TE,1,No,No,Yes,1,1,No,No,1,16,,,1,16,39.6,-10.191,1.9169,1.9169,1,1,1,,,,,,,
Juwan Johnson,NO,TE,5,Yes,No,Yes,5,,No,No,,,0.6,0.2,,,,,,,,17,0.2,,,,,,,
David Montgomery,DET,RB,1,No,No,Yes,1,,No,No,,,,,,,,,,,,14,,1,,,,,,
Mack Hollins,BUF,WR,8,No,No,No,8,3,No,No,0.375,71,,0.375,1,23.6667,39.6,-11.4048,6.1341,6.1341,0.375,17,0.625,,1,,,,,
Tyler Boyd,TEN,WR,7,No,No,No,6,,No,No,,,,0.8333,,,,,,,,16,0.1667,,,,,,,
Andrew Ogletree,IND,TE,2,No,No,No,2,1,No,No,0.5,13,1,,1,13,39.6,-9.9649,1.4737,1.4737,0.5,17,,,,,,,,
Jaylen Warren,PIT,RB,1,No,Yes,No,1,,No,No,,,,,,,,,,,,15,,1,,,,,,
Kendrick Bourne,NE,WR,7,No,No,No,7,1,No,No,0.1429,9,,,1,9,39.6,-7.4539,1.5326,1.5326,0.1429,12,1,,,,,,,
Jauan Jennings,SF,WR,6,No,No,No,6,2,No,No,0.3333,38,,0.5,2,19,39.6,-11.4523,4.0541,4.0541,0.3333,15,0.5,,1,,1,,,
Ashton Dulin,IND,WR,6,No,No,No,6,1,No,No,0.1667,13,,1,1,13,39.6,-8.9145,1.7237,1.7237,0.1667,15,,,,,,,,
Quintin Morris,BUF,TE,1,No,No,No,1,,No,No,,,,1,,,,,,,,16,,,,,,,,
Ja'Tavion Sanders,CAR,TE,8,Yes,No,No,6,3,No,No,0.5,36,0.5,0.3333,1,12,39.6,-8.8162,4.6405,4.6405,0.375,16,0.1667,,,1,,,,
Jalen Nailor,MIN,WR,5,No,No,No,5,2,No,No,0.4,13,,0.6,2,6.5,39.6,-7.0068,2.8528,2.8528,0.4,17,0.4,,,,,,,
John Metchie,HST,WR,7,No,No,No,7,1,No,No,0.1429,13,,1,,13,39.6,-8.9145,1.5649,1.5649,0.1429,13,,,,,,,,
Marquise Brown,KC,WR,3,Yes,Yes,Yes,3,3,No,No,1,25,,0.6667,3,8.3333,39.6,-7.5083,5.0923,5.0923,1,2,0.3333,,1,1,,,,
KaVontae Turpin,DAL,WR,4,No,No,No,4,,No,No,,,,0.75,,,,,,,,17,0.25,,,,,,,
Jamison Crowder,WAS,WR,1,No,No,No,1,1,No,No,1,15,,1,1,15,39.6,-10.4097,2.1553,2.1553,1,6,,,,,,,,
Kevin Austin,NO,WR,2,Yes,No,Yes,2,,No,No,,,,,,,,,,,,8,1,,,,,,,
Jalen Brooks,DAL,WR,6,No,No,No,6,3,No,No,0.5,27,,0.1667,2,9,39.6,-7.4881,6.1667,6.1667,0.5,14,0.8333,,,1,1,,,
Kenneth Gainwell,PHI,RB,2,No,No,No,2,1,No,No,0.5,4,,,1,4,39.6,-6.6619,1.4587,1.4587,0.5,17,1,,,,,,,
Jordan Whittington,LA,WR,3,No,No,No,3,1,No,No,0.3333,3,,,1,3,39.6,-5.4499,1.3793,1.3793,0.3333,15,0.6667,0.3333,,,,,,
Travis Etienne,JAX,RB,3,No,No,No,2,1,No,No,0.5,-4,,,1,-4,39.6,-5.5699,1.5186,1.5186,0.3333,15,0.5,0.5,,,,1,1,
Samaje Perine,KC,RB,5,No,No,No,5,,No,No,,,,,,,,,,,,17,,1,,,,,,
J.K. Dobbins,LAC,RB,4,No,No,No,4,,No,No,,,,,,,,,,,,13,,1,,,,,,
Dare Ogunbowale,HST,RB,5,No,No,No,3,,No,No,,,,,,,,,,,,17,,1,,,,,,
Nico Collins,HST,WR,5,No,No,No,5,4,No,No,0.8,58,,0.4,2,14.5,,-9.2874,11.6504,11.6504,0.8,12,0.6,,1,1,1,,,
Jerry Jeudy,CLV,WR,12,No,No,Yes,12,5,No,No,0.4167,32,,0.3333,5,6.4,39.6,-6.8078,7.6574,7.6574,0.4167,17,0.6667,,,,,,,
Jake Ferguson,DAL,TE,11,No,No,No,9,1,No,No,0.1111,4,0.2222,0.5556,1,4,39.6,-6.0667,1.3589,1.3589,0.0909,14,0.2222,,,,,,,
Davante Adams,NYJ,WR,14,No,No,No,14,5,No,No,0.3571,52,,0.5714,4,10.4,,-8.1175,10.8457,10.8457,0.3571,14,0.4286,,,2,1,,,
Amari Cooper,BUF,WR,5,No,No,No,5,3,No,No,0.6,22,,0.2,2,7.3333,39.6,-7.3483,4.474,4.474,0.6,14,0.8,,,,,,,
Darius Slayton,NYG,WR,13,No,No,No,12,3,No,No,0.25,44,,0.0833,2,14.6667,,-9.5522,5.5476,5.5476,0.2308,16,0.9167,,2,,,,,
Adonai Mitchell,IND,WR,2,No,No,No,2,1,No,No,0.5,33,,,1,33,39.6,-12.4675,7.206,7.206,0.5,17,1,,1,,,,,
Nick Westbrook-Ikhine,TEN,WR,6,No,No,No,6,3,No,No,0.5,44,,0.5,3,14.6667,39.6,-9.2216,4.6885,4.6885,0.5,17,0.5,,1,,,,,
Jake Bobo,SEA,WR,2,No,No,No,2,,No,No,,,,,,,,,,,,17,1,,,,,,,
Brevyn Spann-Ford,DAL,TE,2,No,No,No,1,,No,No,,,,1,,,,,,,,17,,,,,,,,
Parris Campbell,PHI,WR,1,No,No,No,1,,No,No,,,,1,,,,,,,,5,,,,,,,,
Marquez Valdes-Scantling,NO,WR,4,Yes,No,Yes,4,,No,No,,,,0.25,,,,,,,,14,0.75,,,,,,,
Will Dissly,LAC,TE,5,No,No,No,5,,No,No,,,0.4,0.4,,,,,,,,15,0.2,,,,,,,
KhaDarel Hodge,ATL,WR,1,Yes,No,No,1,,No,No,,,,1,,,,,,,,16,,,,,,,,
Miles Sanders,CAR,RB,3,Yes,No,No,2,1,No,No,0.5,-10,,0.5,1,-10,,-4.5287,1.6536,1.6536,0.3333,11,,0.5,,,,1,1,
Saquon Barkley,PHI,RB,6,No,No,No,6,1,No,No,0.1667,35,,,,35,39.6,-38,2.1944,2.1944,0.1667,16,,1,1,,,,,
Evan Engram,JAX,TE,3,No,No,No,3,2,No,No,0.6667,22,0.3333,0.6667,2,11,39.6,-9.0804,2.8691,2.8691,0.6667,9,,,,,,,,
Jamari Thrash,CLV,WR,2,No,No,Yes,2,,No,No,,,,1,,,,,,,,9,,,,,,,,
Adam Trautman,DEN,TE,4,No,No,No,2,,No,No,,,,0.5,,,,,,,,17,0.5,,,,,,,
Ja'Marr Chase,CIN,WR,11,No,Yes,No,11,2,No,No,0.1818,27,,0.2727,1,13.5,39.6,-9.7279,3.1863,3.1863,0.1818,17,0.7273,,,,,,,
D'Andre Swift,CHI,RB,11,No,No,No,7,1,No,No,0.1429,,,,1,,39.6,-5.8271,1.4832,1.4832,0.0909,17,,1,,,,1,1,
Jonathan Mingo,DAL,WR,10,No,No,No,9,6,No,No,0.6667,89,,,4,14.8333,39.6,-9.4225,10.1389,10.1389,0.6,17,1,,1,,,,,
Cooper Kupp,LA,WR,1,No,No,Yes,1,,No,No,,,,,,,,,,,,12,1,,,,,,,
Tommy Tremble,CAR,TE,6,Yes,No,No,5,,No,No,,,0.2,0.6,,,,,,,,12,0.2,,,,,,,
Kayshon Boutte,NE,WR,6,No,No,No,6,2,No,No,0.3333,14,0.1667,,2,7,39.6,-7.0645,5.047,5.047,0.3333,15,0.8333,,,1,1,,,
Hunter Long,LA,TE,2,No,No,No,1,,No,No,,,1,,,,,,,,,17,,,,,,,,
Ben Sims,GB,TE,2,No,No,No,1,,No,No,,,1,,,,,,,,,16,,,,,,,,
DeAndre Carter,CHI,WR,3,No,No,No,3,,No,No,,,,0.3333,,,,,,,,13,0.6667,,,,,,,
Robbie Chosen,MIA,WR,1,No,No,No,1,1,No,No,1,11,,,1,11,39.6,-8.3152,1.8409,1.8409,1,2,1,,,1,1,,,
Blake Watson,DEN,RB,1,Yes,No,No,1,,Yes,No,,,,,,,,,,,,2,,1,,,,,,
Chris Brooks,GB,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,13,,1,,,,,,
Dallin Holker,NO,TE,1,Yes,No,Yes,1,,No,No,,,,,,,,,,,,12,1,,,,,,,
Christian Watson,GB,WR,6,No,No,No,5,2,No,No,0.4,55,,0.2,2,27.5,39.6,-10.0918,5.5457,5.5457,0.3333,15,0.8,,2,1,1,,,
James Conner,ARZ,RB,5,No,No,Yes,4,,No,No,,,,0.5,,,,,,,,16,,0.5,,,,,,
Justice Hill,BLT,RB,6,No,No,No,5,2,No,No,0.4,3,0.2,,,1.5,39.6,-6.2405,2.7577,2.7577,0.3333,16,,0.8,,,,,,
Anthony Firkser,KC,TE,1,No,No,Yes,1,,No,No,,,,1,,,,,,,,6,,,,,,,,
K.J. Osborn,WAS,WR,2,Yes,No,No,2,1,No,No,0.5,3,,0.5,1,3,39.6,-5.4499,1.2924,1.2924,0.5,9,0.5,,,,,,,
Tyler Conklin,NYJ,TE,12,No,No,No,11,1,No,No,0.0909,5,0.0909,0.8182,1,5,39.6,-6.48,1.4109,1.4109,0.0833,16,0.0909,,,,,,,
Tyler Goodson,IND,RB,4,No,No,No,4,,No,No,,,,,,,,,,,,16,,1,,,,,,
Jordan Mason,SF,RB,4,No,No,No,4,1,No,No,0.25,18,,0.25,,18,39.6,-9.2121,1.6833,1.6833,0.25,12,0.5,0.25,,,,,,
Feleipe Franks,CAR,TE,1,Yes,No,No,1,1,No,No,1,18,,1,1,18,39.6,-12.9732,2.0196,2.0196,1,15,,,,,,,,
Tre Tucker,LV,WR,12,No,No,No,12,1,No,No,0.0833,28,,0.25,,28,39.6,-11.0769,2.8343,2.8343,0.0833,17,0.75,,1,,,,,
Grant DuBose,MIA,WR,1,No,No,No,1,,No,No,,,,1,,,,,,,,3,,,,,,,,
Tim Jones,JAX,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,16,1,,,,,,,
Michael Pittman,IND,WR,7,No,No,No,7,3,No,No,0.4286,19,,0.1429,2,6.3333,39.6,-7.383,4.3469,4.3469,0.4286,16,0.8571,,,1,,1,0.3333,
Malik Washington,MIA,WR,2,No,No,No,2,1,No,No,0.5,2,,1,1,2,39.6,-5.3344,1.5261,1.5261,0.5,14,,,,,,,,
Jonathan Taylor,IND,RB,2,No,No,No,1,,No,No,,,,,,,,,,,,14,,1,,,,,,
Troy Franklin,DEN,WR,3,No,No,No,3,1,No,No,0.3333,40,,0.3333,1,40,39.6,-15,2.7778,2.7778,0.3333,16,0.6667,,1,,,,,
Javon Baker,NE,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,10,1,,,,,,,
DJ Chark,LAC,WR,2,No,No,No,2,,No,No,,,,1,,,,,,,,7,,,,,,,,
Charlie Kolar,BLT,TE,1,No,No,Yes,1,,No,No,,,,1,,,,,,,,13,,,,,,,,
Darnell Washington,PIT,TE,4,No,Yes,No,2,,No,No,,,0.5,0.5,,,,,,,,17,,,,,,,,
Zach Ertz,WAS,TE,7,No,No,No,6,2,No,No,0.3333,9,0.1667,0.5,,4.5,39.6,-6.2734,2.8792,2.8792,0.2857,17,0.3333,,,,,,,
Davis Allen,LA,TE,1,No,No,No,1,1,No,No,1,-5,1,,1,-5,39.6,-4.3733,1.3703,1.3703,1,14,,,,,,1,1,
Javonte Williams,DEN,RB,5,No,No,No,2,1,No,No,0.5,2,,,,2,39.6,-6.3947,1.256,1.256,0.2,17,,1,,,,,,
Cam Akers,MIN,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,16,,1,,,,,,
JaMycal Hasty,NE,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,13,,1,,,,,,
Greg Dortch,ARZ,WR,4,No,No,No,4,,No,No,,,,0.5,,,,,,,,17,0.5,,,,,,,
Courtland Sutton,DEN,WR,9,No,No,No,9,2,No,No,0.2222,28,,0.3333,2,14,,-9.6621,6.4002,6.4002,0.2222,17,0.6667,,,2,2,,,
Zay Flowers,BLT,WR,8,No,No,Yes,8,4,No,No,0.5,37,,0.625,3,9.25,39.6,-7.9106,8.0492,8.0492,0.5,17,0.375,,,1,1,,,1
Michael Wilson,ARZ,WR,6,No,No,Yes,6,1,No,No,0.1667,10,,0.5,1,10,39.6,-7.5,2.9972,2.9972,0.1667,16,0.5,,,,,,,
River Cracraft,MIA,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,8,1,,,,,,,
Dalton Kincaid,BUF,TE,6,No,No,No,6,2,No,No,0.3333,9,0.3333,0.6667,,4.5,39.6,-8.1506,3.3497,3.3497,0.3333,13,,,,,,,,
