Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TargetedReadDesignTotal,TargetedReadDesignPercentage,TargetsContestedTotal
Malik Heath,GB,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,10,1,,,,,,,
Luke Schoonmaker,DAL,TE,4,No,No,No,3,,No,No,,,,1,,,,,,,,17,,,,,,,,
Nate Adkins,DEN,TE,4,No,No,No,1,,No,No,,,1,,,,,,,,,17,,,,,,,,
Chris Conley,SF,WR,1,No,No,No,1,1,No,No,1,40,,,1,40,39.6,-15,3.2385,3.2385,1,15,1,,1,,,,,
Travis Homer,CHI,RB,2,Yes,Yes,Yes,1,,No,No,,,,,,,,,,,,9,,1,,,,,,
Aaron Jones,MIN,RB,9,No,No,No,8,,No,No,,,,,,,,,,,,17,,1,,,,,,
Christian Kirk,JAX,WR,5,No,No,No,4,,No,No,,,,1,,,,,,,,8,,,,,,,,
Puka Nacua,LA,WR,2,No,No,Yes,2,2,No,No,1,9,,,1,4.5,39.6,-6.2063,2.7934,2.7934,1,11,1,,,,,,,
Joe Mixon,HST,RB,4,No,No,No,3,1,No,No,0.3333,-2,,,,-2,39.6,-6.198,1.5159,1.5159,0.25,14,,1,,1,,,,
Kristian Wilkerson,LV,WR,1,No,No,No,1,,No,No,,,,,,,,,,,,2,1,,,,,,,
Trenton Irwin,CIN,WR,1,Yes,No,No,1,,No,No,,,,,,,,,,,,7,1,,,,,,,
Jameson Williams,DET,WR,7,No,No,No,7,3,No,No,0.4286,41,,,2,13.6667,39.6,-9.3519,5.5172,5.5172,0.4286,15,1,,,,,,,
Jalen McMillan,TB,WR,5,Yes,No,Yes,5,2,No,No,0.4,32,,0.2,1,16,39.6,-10.0952,3.2604,3.2604,0.4,13,0.8,,,,,,,
D'Ernest Johnson,JAX,RB,2,No,No,No,2,,No,No,,,,,,,,,,,,13,,1,,,,,,
Theo Johnson,NYG,TE,7,No,Yes,No,5,3,No,No,0.6,30,0.2,0.4,2,10,39.6,-8.5006,4.8587,4.8587,0.4286,12,0.4,,,,,,,
Jahan Dotson,PHI,WR,6,No,No,No,6,1,No,No,0.1667,,,0.5,,,39.6,-6.0386,1.5356,1.5356,0.1667,17,0.5,,,1,,,,
DeVonta Smith,PHI,WR,6,No,No,No,6,,No,No,,,,0.5,,,,,,,,13,0.5,,,,,,,
Ray-Ray McCloud,ATL,WR,4,Yes,No,No,4,,No,No,,,,0.5,,,,,1.3755,1.3755,,17,0.5,,,,,,,
Eric Saubert,SF,TE,2,No,No,No,2,,No,No,,,0.5,0.5,,,,,,,,17,,,,,,,,
Brian Robinson,WAS,RB,5,No,No,No,3,,No,No,,,,,,,,,,,,14,,1,,,,,,
Alvin Kamara,NO,RB,4,No,No,No,3,2,No,No,0.6667,6,,,,3,39.6,-6.5094,2.9215,2.9215,0.5,14,,1,,,,,,
Gus Edwards,LAC,RB,1,Yes,No,No,1,,Yes,No,,,,,,,,,,,,11,,1,,,,,,
Taysom Hill,NO,TE,1,No,No,No,1,,No,No,,,1,,,,,,,,,8,,,,,,,,
Demario Douglas,NE,WR,6,No,No,No,6,3,No,No,0.5,38,,0.8333,3,12.6667,,-8.8573,6.0774,6.0774,0.5,17,0.1667,,1,,,,,
Tank Dell,HST,WR,7,No,No,Yes,7,1,No,No,0.1429,14,,,1,14,39.6,-9.8134,1.4347,1.4347,0.1429,14,1,,,,,,,1
Alexander Mattison,LV,RB,9,No,No,No,8,3,No,No,0.375,24,,,,8,,-8.1364,4.646,4.646,0.3333,14,,1,,,,,,
Cade Otton,TB,TE,6,Yes,Yes,Yes,6,2,No,No,0.3333,11,0.5,0.1667,1,5.5,39.6,-6.7865,2.7365,2.7365,0.3333,14,0.3333,,,,,,,
Malik Nabers,NYG,WR,17,No,No,No,17,3,No,No,0.1765,30,,0.2353,3,10,39.6,-8.2051,7.8917,7.8917,0.1765,15,0.7647,,,,,,,
Breece Hall,NYJ,RB,14,No,No,No,12,,No,No,,,,,,,,,,,,16,0.1667,0.8333,,,,,,
Jha'Quan Jackson,TEN,WR,2,No,Yes,No,2,,No,No,,,,0.5,,,,,,,,12,0.5,,,,,,,
Dameon Pierce,HST,RB,1,No,No,No,1,,No,No,,,,1,,,,,,,,11,,,,,,,,
Jacob Kibodi,CLV,RB,1,No,No,Yes,1,1,No,No,1,3,,,,3,,-6.5094,1.3305,1.3305,1,1,,1,,1,,,,
Rakim Jarrett,TB,WR,1,Yes,No,Yes,1,,No,No,,,,,,,,,,,,10,1,,,,,,,
Julian Hill,MIA,TE,2,No,No,No,2,1,No,No,0.5,11,0.5,0.5,,11,39.6,-8.7402,1.4027,1.4027,0.5,16,,,,,,,,
Erick All,CIN,TE,1,No,Yes,Yes,1,,No,No,,,,1,,,,,,,,9,,,,,,,,
Braxton Berrios,MIA,WR,1,No,Yes,No,1,,No,No,,,,1,,,,,,,,6,,,,,,,,
Kendre Miller,NO,RB,1,No,No,No,1,1,No,No,1,2,,1,,2,39.6,-6.3947,1.3006,1.3006,1,6,,,,,,,,
Diontae Johnson,HST,WR,4,No,No,No,4,2,No,No,0.5,16,,0.25,2,8,39.6,-7.339,7.6604,7.6604,0.5,12,0.75,,,2,1,,,
DK Metcalf,SEA,WR,6,No,No,No,6,2,No,No,0.3333,43,,0.1667,2,21.5,39.6,-12.3383,3.4915,3.4915,0.3333,15,0.8333,,1,,,,,
Mark Andrews,BLT,TE,6,No,No,Yes,5,,No,No,,,0.4,0.4,,,,,,,,17,0.2,,,,,,,
Parker Washington,JAX,WR,3,No,No,No,3,,No,No,,,,0.6667,,,,,,,,17,0.3333,,,,,,,
