Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,DeepTargetTargetsTotal,playerStatsFirstDownsReceiving,ReceptionsHero,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal
Bucky Irving,TB,RB,23,No,Yes,Yes,19,2,No,Yes,2,1,0.1053,2,1,7,8,2,-1,0.8421,0.0526,0.1053,-0.5,81.3,0.3684,3.5,-2.5397,3.5,4,1,2.9731,2.9731,0.087,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,1,17,,,,,,,,,,,,,,,,
Keaton Mitchell,BLT,RB,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
D.J. Moore,CHI,WR,37,Yes,No,No,33,9,No,Yes,9,1,0.2727,9,1,93,37,19,60,,0.2727,0.7273,6.6667,146.8,2.8182,10.3333,2.8846,10.3333,4.1111,2.1111,19.294,19.294,0.2432,14.3,23.3,18.8,23.3,23.3,23.3,17.8,22.3,22.3,22.3,17.8,23.3,22.3,1,17,2,1,2,1,1,2,0.2222,9,3,0.3333,1,5,,,,
Tyjae Spears,TEN,RB,14,No,Yes,No,10,4,No,Yes,4,1,0.4,4,1,16,21,5,-5,0.9,0.1,,-1.25,83.3,1.6,4,-1.8618,4,5.25,1.25,5.339,5.339,0.2857,1.6,5.6,3.6,7.6,5.6,5.6,3.6,5.6,5.6,5.6,3.6,5.6,5.6,,12,,,,,,,,2,1,0.25,,1,,,,
Laviska Shenault,LAC,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,
Josh Oliver,MIN,TE,19,No,No,Yes,14,4,Yes,Yes,4,1,0.2857,4,1,60,5,,55,,0.1429,,13.75,118.8,4.2857,15,6.569,15,1.25,,6.5612,6.5612,0.2105,6,10,8,10,12,10,8,10,10,10,8,12,10,,15,,,,,,,,3,,,1,2,1,0.8571,,
Nick Chubb,CLV,RB,7,No,No,Yes,5,1,No,Yes,1,1,0.2,,,,,,2,1,,,2,39.6,,,-6.3947,,,,1.5028,1.5028,0.1429,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,4,No,No,No,3,1,Yes,Yes,1,1,0.3333,1,1,9,8,4,1,1,,,1,104.2,3,9,3.2706,9,8,4,2.0605,2.0605,0.25,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,3,,,,,,1,1,,,,,,,,,
Isaiah Davis,NYJ,RB,2,Yes,No,Yes,2,1,No,Yes,1,1,0.5,1,1,8,13,2,-5,1,,,-5,100,4,8,2.1289,8,13,2,1.6724,1.6724,0.5,0.8,1.8,1.3,2.3,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,,13,,,,,,,,1,1,1,,,,,,
Colby Parkinson,LA,TE,26,No,No,Yes,19,4,Yes,Yes,4,1,0.2105,2,0.5,32,25,14,11,,0.2105,0.0526,2.75,77.1,1.6842,8,1.0661,16,12.5,7,7.2317,7.2317,0.1538,3.2,5.2,4.2,5.2,6.2,5.2,4.2,5.2,5.2,5.2,4.2,6.2,5.2,,17,1,,,,,1,0.5,3,1,0.25,,1,,0.7368,1,0.25
Rome Odunze,CHI,WR,35,Yes,No,No,30,9,No,Yes,9,1,0.3,7,0.7778,73,23,7,83,,0.4667,0.5333,9.2222,97.9,2.4333,8.1111,0.088,10.4286,3.2857,1,19.4029,19.4029,0.2571,13.3,20.3,16.8,20.3,20.3,20.3,16.8,20.3,20.3,20.3,16.8,20.3,20.3,2,17,4,2,2,1,1,,,7,1,0.1111,1,5,1,,,
Khalil Herbert,CIN,RB,9,No,No,No,4,1,No,Yes,1,1,0.25,1,1,4,2,2,2,1,,,2,83.3,1,4,-2.3947,4,2,2,1.16,1.16,0.1111,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,13,,,,,,,,,,,,,,,,
Devaughn Vele,DEN,WR,16,No,No,Yes,15,6,No,Yes,6,1,0.4,6,1,99,25,5,74,,0.6667,0.3333,12.3333,118.8,6.6,16.5,7.8762,16.5,4.1667,0.8333,10.5323,10.5323,0.375,9.9,15.9,12.9,15.9,15.9,15.9,12.9,15.9,15.9,15.9,12.9,15.9,15.9,,13,2,,2,,,,,4,,,3,4,1,,,
Trey Sermon,IND,RB,17,No,Yes,No,11,2,Yes,Yes,2,1,0.1818,2,1,11,9,3,2,0.9091,,0.0909,1,89.6,1,5.5,-0.6109,5.5,4.5,1.5,3.1671,3.1671,0.1176,1.1,3.1,2.1,4.1,3.1,3.1,2.1,3.1,3.1,3.1,2.1,3.1,3.1,1,17,,,,,,,,,,,,1,,,,
Josh Downs,IND,WR,32,No,Yes,No,30,11,Yes,Yes,11,1,0.3667,8,0.7273,107,26,11,125,,0.9,0.1,11.3636,133.5,3.5667,9.7273,1.0585,13.375,3.25,1.375,21.9087,21.9087,0.3438,16.7,24.7,20.7,24.7,24.7,27.7,23.7,24.7,24.7,24.7,20.7,24.7,24.7,1,14,2,1,,1,1,1,0.125,9,1,0.0909,3,5,1,,1,0.0909
Foster Moreau,NO,TE,25,No,Yes,Yes,16,4,No,Yes,4,1,0.25,4,1,28,2,1,37,,0.375,0.125,9.25,135.4,1.75,7,-1.2211,7,0.5,0.25,10.3163,10.3163,0.16,14.8,18.8,16.8,18.8,20.8,18.8,16.8,18.8,18.8,18.8,16.8,20.8,18.8,2,17,,2,,2,2,,,2,,,1,3,1,0.5,,
