Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DeepTargetTargetsTotal,AlignmentInlineRoutesPercentage,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage,ReceptionsContested
CeeDee Lamb,DAL,WR,22,No,Yes,No,22,10,No,2,Yes,10,1,1,0.4545,7,0.7,71,8,5,78,1,1,1,1,0.1429,0.6818,0.3182,9,7.8,123.3,3.2273,7.1,-0.32,0.1,10.1429,1.1429,0.7143,4,17.0761,17.0761,0.4545,13.1,20.1,16.6,20.1,20.1,20.1,16.6,20.1,20.1,20.1,16.6,20.1,20.1,1,16,,,,,,,
Isaiah Davis,NYJ,RB,3,No,No,No,3,3,No,,Yes,3,1,1,1,2,0.6667,12,13,6,19,,,1,,,,,,6.3333,74.3,4,4,-3.4471,0.3333,6,6.5,3,1,6.7854,6.7854,1,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,13,1,1,,,,,
Colby Parkinson,LA,TE,18,Yes,No,No,15,4,Yes,,Yes,4,1,,0.2667,4,1,31,7,2,24,,,,,,0.3333,,1,6,99,2.0667,7.75,0.7565,,7.75,1.75,0.5,2,5.5039,5.5039,0.2222,3.1,7.1,5.1,7.1,9.1,7.1,5.1,7.1,7.1,7.1,5.1,9.1,7.1,,17,,,0.6667,,,,
Brenden Bates,CLV,TE,1,No,No,No,1,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,
Rome Odunze,CHI,WR,19,Yes,No,No,18,3,No,,Yes,3,1,,0.1667,3,1,53,20,18,33,,,,1,0.3333,0.2778,0.6667,1,11,118.8,2.9444,17.6667,9.1043,,17.6667,6.6667,6,3,4.6971,4.6971,0.1579,5.3,8.3,6.8,8.3,8.3,8.3,6.8,8.3,8.3,8.3,6.8,8.3,8.3,,17,0.0556,,,1,,,
Bucky Irving,TB,RB,13,Yes,Yes,No,13,4,No,,Yes,4,1,,0.3077,3,0.75,36,44,13,-8,,,1,2,0.6667,0.1538,,1,-2,102.1,2.7692,9,3.3614,0.25,12,14.6667,4.3333,1,5.2718,5.2718,0.3077,3.6,6.6,5.1,8.1,6.6,6.6,5.1,6.6,6.6,6.6,5.1,6.6,6.6,,17,0.7692,,0.0769,,1,0.25,
D.J. Moore,CHI,WR,18,Yes,No,No,18,5,No,,Yes,5,1,,0.2778,5,1,68,43,24,25,,,,1,0.2,0.4444,0.5556,5,5,118.8,3.7778,13.6,6.823,,13.6,8.6,4.8,2,7.536,7.536,0.2778,6.8,11.8,9.3,11.8,11.8,11.8,9.3,11.8,11.8,11.8,9.3,11.8,11.8,,17,,,,,1,0.2,
Tyjae Spears,TEN,RB,8,No,No,No,7,2,No,,Yes,2,1,,0.2857,2,1,7,4,2,3,,,,,,,,,1.5,81.3,1,3.5,-2.562,,3.5,2,1,,2.807,2.807,0.25,0.7,2.7,1.7,3.7,2.7,2.7,1.7,2.7,2.7,2.7,1.7,2.7,2.7,,12,1,,,,,,
Josh Oliver,MIN,TE,8,Yes,Yes,No,5,2,No,,Yes,2,1,,0.4,2,1,9,2,,7,,,,,,,,1,3.5,85.4,1.8,4.5,-1.925,,4.5,1,,,4.5204,4.5204,0.25,0.9,2.9,1.9,2.9,3.9,2.9,1.9,2.9,2.9,2.9,1.9,3.9,2.9,,15,,,1,1,,,
Nick Chubb,CLV,RB,3,No,No,Yes,3,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,
Michael Carter,ARZ,RB,1,No,No,No,1,1,No,,Yes,1,1,,1,1,1,3,7,4,-4,,,,,,,,,-4,79.2,3,3,-2.5699,,3,7,4,,1.4882,1.4882,1,0.3,1.3,0.8,1.8,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,3,1,,,,,,
Devin Singletary,NYG,RB,8,Yes,Yes,No,4,2,Yes,,Yes,2,1,,0.5,2,1,4,6,2,-2,,,,,,,,,-1,79.2,1,2,-3.8756,,2,3,1,1,2.7671,2.7671,0.25,0.4,2.4,1.4,3.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,,15,1,,,,,,
Isaiah Hodgins,NYG,WR,2,No,No,No,1,,No,,Yes,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
Zamir White,LV,RB,3,No,No,No,1,1,No,,Yes,1,1,,1,,,,,,-6,,,1,,,,,,-6,39.6,,,-5.0893,1,,,,,1.4211,1.4211,0.3333,,,,,,,,,,,,,,,8,1,,,,,,
