Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,playerStatsFirstDownsPassing,TouchdownsTotal,PressuredTotal,PressuredPercentage,OffTargetThrowAttemptsPercentage,AverageTimeToPressure,DropsYardsLost,DropsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal,IncompletionsBatted,AttemptsInEndzoneTotal,HeroThrowPercentage
Kenny Pickett,LV,QB,3,3,3,1,3,1,1,0.0676,3,-2,-0.6667,-4.5,-0.6667,-11,No,No,0.5821,-0.194,No,0.3333,1,1,1.7,-3.6667,79.2,No,No,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,6,,,,,,,,,,,,,,,
Teddy Bridgewater,TB,QB,4,4,4,1,4,1,1,0.0608,4,12,3,2.1667,3,-14,No,No,0.5002,-0.125,No,0.25,1,1,1.3,-3.5,79.2,No,Yes,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.6,0.6,4,,,,,,,,,,,,,,,
Nick Mullens,JAX,QB,2,2,2,1,2,1,1,0.0643,2,11,5.5,1.3636,5.5,-4,No,No,0.3536,-0.1768,No,,1,0.5,1.6,-2,89.6,No,Yes,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.55,0.55,5,1,,,,,,,,,,,,,,
Zach Wilson,MIA,QB,3,3,3,1,3,1,1,0.0597,3,10,3.3333,2.2,3.3333,-12,No,No,0.4097,-0.1366,No,,1,1,1.3667,-4,80.6,No,No,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,4,1,,,,,,,,,,,,,,
Justin Fields,NYJ,QB,16,16,16,0.875,14,0.875,0.875,-0.0629,16,117,7.3125,1.5214,8.5625,-69,No,No,3.2428,-0.0777,No,0.25,1,0.8125,1.75,-4.3125,118,No,Yes,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,8.68,9.85,9.85,9,4,1,2,0.125,0.125,1.5,,,,,,,,,
Dillon Gabriel,CLV,QB,19,19,19,0.8421,16,0.8421,0.8421,-0.0901,19,100,5.2632,1.48,5.2632,-62,No,No,4.7737,-0.146,No,0.0526,1,0.7368,2.0316,-3.2632,88.6,No,No,4,4,4,4,4,4,4,4,4,4,4,5,5,10,5,,2,0.1053,0.1579,2.15,,,,,,,,,
Brock Purdy,SF,QB,26,26,26,1,24,0.9231,1,0.0667,26,171,6.5769,1.462,8.1154,-92,Yes,No,6.822,-0.147,Yes,0.1538,1,0.8846,2.0962,-3.5385,119.7,No,Yes,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,14.84,16.55,16.55,9,10,2,3,0.1154,,2.5,-13,0.0769,,,,,,,
Tua Tagovailoa,MIA,QB,51,50,50,0.94,45,0.9,0.94,0.0097,50,265,5.3,1.5057,5.7,-148,Yes,No,8.909,-0.1382,No,0.08,1,0.84,1.608,-2.96,95.4,No,Yes,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,17.25,17.25,14,10,1,2,0.04,0.06,1.45,-5,0.04,,,,,,,
Gardner Minshew,KC,QB,2,2,2,1,2,1,1,0.0635,2,,,,,-7,Yes,No,0.3364,-0.1682,No,,1,1,1.55,-3.5,79.2,No,Yes,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,63,62,62,0.9677,55,0.8871,0.9516,0.0197,62,362,5.8387,1.5608,6.1613,-228,No,No,11.9794,-0.1448,No,0.1129,1,0.8871,1.6952,-3.6774,96.4,No,Yes,20.48,21.48,20.98,21.48,21.48,24.48,23.98,21.48,21.48,21.48,20.98,25.1,25.1,17,18,1,3,0.0484,0.0323,2.4,-14,0.0645,,,,,,,
Jared Goff,DET,QB,59,59,59,0.9322,53,0.8983,0.9322,0.013,59,422,7.1525,1.4692,8.8475,-143,No,No,10.7417,-0.1821,No,0.0847,1,0.8305,1.6305,-2.4237,124.7,No,No,36.88,36.88,36.88,36.88,36.88,39.88,39.88,36.88,36.88,36.88,36.88,41.1,41.1,17,19,5,,,0.0678,,-11,0.0339,1,0.0169,,,,,
Cam Ward,TEN,QB,69,69,69,0.942,62,0.8986,0.942,0.0078,69,347,5.029,1.536,5.3188,-201,Yes,No,10.871,-0.1431,No,0.3478,1,0.7681,1.4884,-2.913,92.5,No,Yes,17.88,17.88,17.88,17.88,17.88,20.88,20.88,17.88,17.88,17.88,17.88,21.35,21.35,17,14,1,1,0.0145,0.058,2.6,-9,0.0435,,,0.0145,,,,
Kyler Murray,ARZ,QB,24,24,24,0.9583,22,0.9167,0.9583,0.0406,24,106,4.4167,1.6792,5.25,-58,No,No,4.8815,-0.2034,No,0.125,1,0.9167,1.7542,-2.4167,99,No,Yes,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,9.3,9.3,5,3,1,,,0.0417,,-3,0.0417,,,,,,,
Tanner McKee,PHI,QB,3,3,3,1,3,1,1,0.0631,3,23,7.6667,1.6522,7.6667,-15,No,No,0.4441,-0.148,Yes,,1,0.6667,1.4333,-5,98.6,No,Yes,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.15,1.15,4,2,,,,,,,,,,,,,,
Jake Browning,CIN,QB,18,18,18,1,18,1,1,0.0695,18,96,5.3333,1.4479,5.3333,-43,No,No,2.8201,-0.1567,No,0.2222,1,0.8889,1.4833,-2.3889,88.9,No,No,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,3.84,4.8,4.8,5,4,,,,,,,,,,,,,,
Josh Johnson,WAS,QB,7,7,7,1,7,1,1,0.0646,7,83,11.8571,1.253,11.8571,-21,No,No,1.6516,-0.2359,No,0.1429,1,1,1.9429,-3,116.1,No,Yes,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,3.32,4.15,4.15,5,3,,,,,,,,,,,,,,
Joe Flacco,CIN,QB,29,29,29,1,26,0.8966,0.9655,0.0343,29,133,4.5862,1.6316,4.5862,-94,No,No,5.1962,-0.1792,No,0.2759,1,0.8276,1.6138,-3.2414,85.8,No,No,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,5.32,6.65,6.65,13,3,,,,,,-5,0.069,,,,,,,
Daniel Jones,IND,QB,22,22,22,0.9091,20,0.9091,0.9091,-0.0305,22,196,8.9091,1.4592,9.8182,-97,No,No,5.0454,-0.1839,No,0.1818,1,0.8182,1.9045,-4.4091,118.9,No,No,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,11.84,13.8,13.8,13,10,1,1,0.0455,0.0909,2,,,,,,,,,
Jacoby Brissett,ARZ,QB,34,34,34,0.9706,32,0.9412,0.9706,0.0445,34,183,5.3824,1.4208,5.3824,-81,Yes,No,7.2705,-0.0962,No,0.0882,1,0.8529,1.8147,-2.3824,89.1,No,Yes,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,7.32,9.15,9.15,14,9,,4,0.1176,0.0294,2.05,-5,0.0294,,,,,,,
C.J. Stroud,HST,QB,23,23,23,0.9565,22,0.9565,0.9565,0.0188,23,97,4.2174,1.7629,4.2174,-78,No,No,4.5494,0.0196,Yes,0.1304,1,0.7391,1.7217,-3.3913,84.2,No,Yes,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,3.88,4.85,4.85,14,4,,5,0.2174,0.0435,1.62,,,,,,,,,
Jaxson Dart,NYG,QB,40,40,40,1,40,1,1,0.0683,40,240,6,1.45,7.5,-108,No,No,8.3485,-0.1337,No,0.275,1,0.75,1.785,-2.7,116.7,No,Yes,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,21.6,24,24,14,9,3,3,0.075,,2.4667,,,,,,,,,
Brady Cook,NYJ,QB,19,19,19,0.8421,16,0.8421,0.8421,-0.0969,19,74,3.8947,1.9459,3.8947,-85,No,No,2.4794,-0.0252,Yes,0.1053,1,0.6316,1.3316,-4.4737,82.9,No,Yes,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,3.7,3.7,5,4,,2,0.1053,0.1579,1.45,,,,,,,,,
Bryce Young,CAR,QB,38,38,38,0.9474,34,0.8947,0.9474,0.0129,38,229,6.0263,1.5895,6.5526,-147,No,No,8.2192,-0.0584,Yes,0.1316,1,0.8684,1.8289,-3.8684,100.5,No,Yes,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16,15.45,15.45,16,9,1,6,0.1579,0.0263,2.35,-7,0.0526,,,,,,,
Jordan Love,GB,QB,37,37,37,0.973,34,0.9189,0.973,0.037,37,207,5.5946,1.5266,6.6757,-120,No,No,6.1966,-0.0323,No,0.3514,1,0.8108,1.5459,-3.2432,108,No,Yes,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,16.28,18.35,18.35,15,9,2,5,0.1351,0.027,1.54,-7,0.0541,,,,,,,
Mitchell Trubisky,BUF,QB,1,1,1,1,,,1,0.0587,1,,,,,-3,No,No,0.1078,-0.1078,No,,1,1,1.2,-3,39.6,No,No,,,,,,,,,,,,,,4,,,,,,,-3,1,,,,,,,
Mason Rudolph,PIT,QB,7,7,7,1,7,1,1,0.0686,7,58,8.2857,1.431,8.2857,-25,No,No,1.0133,-0.1448,No,0.2857,1,0.8571,1.4143,-3.5714,101.2,No,No,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.9,2.9,5,2,,,,,,,,,,,,,,
Aaron Rodgers,PIT,QB,75,75,75,0.9867,72,0.96,0.9867,0.0566,75,385,5.1333,1.5273,5.4,-212,No,No,10.362,-0.0982,No,0.3467,1,0.8667,1.376,-2.8267,92.5,No,Yes,19.4,19.4,19.4,19.4,19.4,22.4,22.4,19.4,19.4,19.4,19.4,23.25,23.25,16,15,1,3,0.04,0.0133,2.4333,-5,0.0267,,,,,,,
Baker Mayfield,TB,QB,63,63,63,0.9841,62,0.9841,0.9841,0.049,63,392,6.2222,1.5765,7.1746,-229,Yes,No,10.1724,-0.1456,Yes,0.1429,1,0.8413,1.5111,-3.6349,108.5,No,Yes,27.68,27.68,27.68,27.68,27.68,30.68,30.68,27.68,27.68,27.68,27.68,31.6,31.6,17,17,3,1,0.0159,0.0159,2.4,,,,,,,,,
Quinn Ewers,MIA,QB,14,14,14,1,13,0.9286,1,0.0755,14,74,5.2857,1.5405,5.2857,-42,No,Yes,3.5274,-0.1091,No,,1,0.7143,2.0357,-3,88.7,No,Yes,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,2.96,3.7,3.7,4,3,,2,0.1429,,2.4,-2,0.0714,,,,,,,
Joe Milton,DAL,QB,3,3,3,1,3,1,1,0.0693,3,16,5.3333,1.75,5.3333,-12,Yes,No,0.8064,-0.2688,No,,1,0.6667,2.1333,-4,88.9,No,Yes,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.8,0.8,4,1,,,,,,,,,,,,,,
Dak Prescott,DAL,QB,30,30,30,1,28,0.9333,0.9667,0.0409,30,128,4.2667,1.6094,4.9333,-85,Yes,No,6.1493,-0.1383,No,0.2333,1,0.8667,1.7633,-2.8333,95.6,No,Yes,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,9.12,10.4,10.4,17,4,1,2,0.0667,,2.1,-2,0.0333,,,,,,,
Spencer Rattler,NO,QB,17,17,17,0.9412,15,0.8824,0.9375,0.006,17,73,4.2941,1.5342,4.2941,-45,No,No,2.2639,-0.0743,No,0.3529,1,0.8235,1.3471,-2.8824,84.6,No,No,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,2.92,3.65,3.65,9,2,,1,0.0588,,2,,,,,,,,,
Carson Wentz,MIN,QB,18,18,18,1,17,0.9444,1,0.0616,18,66,3.6667,2.0152,3.6667,-70,Yes,No,3.0272,-0.1126,No,0.2222,1,0.8333,1.55,-3.8889,81.9,No,Yes,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,2.64,3.3,3.3,5,2,,1,0.0556,,2.2,-3,0.0556,,,,,,,
Marcus Mariota,WAS,QB,26,26,26,0.9231,23,0.8846,0.9231,-0.0128,26,115,4.4231,1.8,3.4615,-106,No,No,4.489,-0.1727,Yes,0.1154,1,0.7692,1.5731,-4.0769,81.9,No,Yes,7.6,7.6,7.6,7.6,7.6,7.6,7.6,6.6,6.6,6.6,6.6,8.75,7.75,11,4,1,,,0.0769,,-4,0.0385,,,0.0385,1,,,
Shane Buechele,KC,QB,1,1,1,1,1,1,1,0.0587,1,10,10,1.3,10,-3,Yes,No,0.0906,-0.0906,No,1,1,1,1.1,-3,108.3,No,Yes,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,1,1,,,,,,,,,,,,,,
Tyler Huntley,BLT,QB,6,6,6,1,6,1,1,0.0675,6,18,3,2.3333,3,-24,No,No,1.0091,-0.1682,No,,1,1,1.55,-4,79.2,No,Yes,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.9,0.9,5,,,,,,,,,,,,,,,
Justin Herbert,LAC,QB,39,39,39,1,36,0.9231,1,0.0656,39,197,5.0513,1.6447,5.0513,-141,No,No,5.1185,-0.08,No,0.2821,1,0.7949,1.3359,-3.6154,87.7,No,Yes,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,7.88,9.85,9.85,16,8,,2,0.0513,,1.4,-14,0.0769,,,,,,,
Drake Maye,NE,QB,28,28,28,1,27,0.9643,1,0.0681,28,159,5.6786,1.6667,6.3929,-108,Yes,No,6.2054,-0.1145,Yes,0.1071,1,0.9286,1.8571,-3.8571,102.2,No,Yes,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,10.36,11.95,11.95,17,6,1,3,0.1071,,2.6,-2,0.0357,,,,,,,
Geno Smith,LV,QB,43,43,43,1,40,0.9302,0.9767,0.0415,43,201,4.6744,1.7761,5.6047,-168,Yes,No,7.2057,-0.1676,No,0.1628,1,0.9302,1.5465,-3.907,101.6,No,Yes,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,16.04,18.05,18.05,15,8,2,,,,,-7,0.0465,,,,,,,
Aidan O'Connell,LV,QB,2,2,2,0.5,1,0.5,0.5,-0.4385,2,-2,-1,-0.5,-1,-5,No,No,0.1294,-0.0647,No,,1,0.5,0.95,-2.5,56.3,No,Yes,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,1,,,,,0.5,,,,,,,,,,
Matthew Stafford,LA,QB,44,44,44,0.9318,39,0.8864,0.9318,0.0056,44,327,7.4318,1.2661,7.3182,-100,No,No,8.4692,-0.1698,No,0.0682,1,0.7955,1.6909,-2.2727,103.3,No,Yes,20.08,20.08,20.08,20.08,20.08,23.08,23.08,19.08,19.08,19.08,19.08,23.35,22.35,17,13,2,1,0.0227,0.0227,2.1,-5,0.0455,,,0.0227,1,,,
J.J. McCarthy,MIN,QB,29,29,29,0.8621,24,0.8276,0.8621,-0.0544,29,186,6.4138,1.2688,6.4138,-68,No,No,6.628,-0.0906,No,0.1034,1,0.7586,1.9,-2.3448,93.4,No,Yes,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,9.3,9.3,10,8,,4,0.1379,0.1379,2,-5,0.0345,,,,,,,
Patrick Mahomes,KC,QB,73,73,73,0.9589,67,0.9178,0.9589,0.0215,73,405,5.5479,1.5235,6.3699,-231,Yes,No,9.3184,-0.114,No,0.3836,1,0.8493,1.3151,-3.1644,103.5,No,Yes,28.2,28.2,28.2,28.2,28.2,31.2,31.2,28.2,28.2,28.2,28.2,32.25,32.25,14,18,3,1,0.0137,0.0411,1.2,-10,0.0411,,,,,,,
Tyson Bagent,CHI,QB,1,1,1,1,1,1,1,0.0628,1,20,20,1.25,20,-5,No,No,0.5391,0.4609,No,,1,1,3.7,-5,118.8,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,3,1,,1,1,,3.6,,,,,,,,,
Trey Lance,LAC,QB,5,5,5,1,5,1,1,0.0761,5,19,3.8,1.3684,3.8,-7,No,No,1.0393,-0.2079,No,0.2,1,1,1.78,-1.4,82.5,No,Yes,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,4,1,,,,,,,,,,,,,,
