Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,RunPassOptionPercentage,playerStatsFirstDownsPassing,AttemptsInEndzoneTotal,TouchdownsTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TowThrowPercentage,InterceptionsTotal
Kenny Pickett,LV,QB,10,10,10,1,9,0.9,1,0.1804,10,4,0.1,41,4.1,0.4146,4.1,28,No,No,4,0.4,3.286,0.0714,No,0.6,0.2,1,2.48,2.2,2.8,83.8,No,Yes,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,1.64,2.05,2.05,6,,,,,,,,,
Teddy Bridgewater,TB,QB,6,6,6,1,5,0.8333,0.8333,-0.0369,6,,,25,4.1667,1.4,4.1667,,No,No,,,0.9746,-0.1624,No,1,,1,1.5167,,,84,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1.25,1.25,4,0.1667,1,,,,,,,
Nick Mullens,JAX,QB,1,1,1,1,1,1,1,0.0643,1,,,8,8,1.25,8,-2,No,No,,,0.0561,-0.0561,No,1,,1,0.9,,-2,100,No,Yes,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,5,,1,,,,,,,
Zach Wilson,MIA,QB,2,2,2,1,2,1,1,0.187,2,,,20,10,0.75,10,5,No,No,,,0.2501,-0.125,No,1,,1,1.3,,2.5,108.3,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,4,,2,,,,,,,
Justin Fields,NYJ,QB,75,75,75,1,67,0.8933,0.9333,0.1491,75,65,0.04,670,8.9333,0.5388,9.4667,401,No,Yes,17,0.2267,27.7327,-0.1431,No,0.56,0.12,1,2.7187,2.5059,5.3467,112.8,No,Yes,34.8,34.8,34.8,34.8,34.8,37.8,37.8,34.8,34.8,34.8,34.8,41.5,41.5,9,0.04,28,1,2,4,0.0533,0.04,,
Dillon Gabriel,CLV,QB,52,52,52,1,47,0.9038,0.9423,0.0835,52,10,0.0385,291,5.5962,0.8076,5.9808,76,No,No,11,0.2115,16.8526,-0.1125,No,0.5962,0.2115,1,2.4538,2.7818,1.4615,96.4,No,No,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,15.64,18.55,18.55,10,0.0192,11,,1,,,,0.0192,
Brock Purdy,SF,QB,78,78,78,1,71,0.9103,0.9487,0.1519,78,7,0.0385,627,8.0385,0.5662,10.0897,345,Yes,No,20,0.2564,30.9197,-0.14,Yes,0.5897,0.1667,1,2.8731,2.995,4.4231,134.3,No,Yes,57.08,57.08,57.08,57.08,57.08,60.08,60.08,57.08,57.08,57.08,57.08,63.35,63.35,9,0.0128,40,6,8,3,0.0385,0.0385,,
Tua Tagovailoa,MIA,QB,120,119,119,1,110,0.9244,0.9748,0.1523,119,11,0.0504,1012,8.5042,0.6897,9.3445,371,No,Yes,28,0.2353,33.5455,-0.0466,No,0.7143,0.1176,1,2.2092,2.2679,3.1176,116.1,No,Yes,60.48,60.48,60.48,60.48,60.48,63.48,63.48,60.48,60.48,60.48,60.48,70.6,70.6,14,0.0504,55,3,5,4,0.0336,0.0168,,
Gardner Minshew,KC,QB,5,5,5,1,5,1,1,0.1533,5,,,31,6.2,0.7097,6.2,9,Yes,No,,,1.0737,-0.2147,No,1,,1,1.82,,1.8,92.5,No,Yes,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.55,1.55,4,0.2,2,,,,,,,
Caleb Williams,CHI,QB,154,153,153,1,140,0.915,0.9608,0.1371,153,30,0.0458,1359,8.8824,0.7152,9.5359,464,No,No,19,0.1242,47.5779,-0.1868,No,0.7059,0.1046,1,2.3778,2.5737,3.0327,114.6,No,Yes,76.36,77.36,76.86,77.36,77.36,80.36,79.86,77.36,77.36,77.36,76.86,90.95,90.95,17,0.0458,68,3,5,3,0.0196,0.0065,,
Jared Goff,DET,QB,198,198,198,1,189,0.9545,0.9747,0.1538,198,12,0.0202,1717,8.6717,0.6564,9.6818,637,Yes,No,35,0.1768,59.2254,-0.1224,No,0.6919,0.101,1,2.3091,2.52,3.2172,119.6,No,Yes,108.68,108.68,108.68,108.68,108.68,111.68,111.68,108.68,108.68,108.68,108.68,125.85,125.85,17,0.0202,85,1,10,3,0.0152,0.0051,,
