Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TouchdownsTotal,RunPassOptionPercentage,TargetedReadCheckdownPercentage,playerStatsFirstDownsPassing,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,InterceptionsTotal,TowThrowPercentage,HeroThrowPercentage
Patrick Mahomes,KC,QB,9,9,9,1,7,0.7778,1,0.2402,9,-1,0.2222,84,9.3333,0.3929,4.3333,50,No,Yes,6,0.6667,3.6957,0.256,No,0.3333,2.9556,2.4667,5.5556,66,No,Yes,2.36,2.36,2.36,2.36,2.36,2.36,2.36,1.36,1.36,1.36,1.36,3.2,2.2,14,,,,0.1111,6,,,1,,
J.J. McCarthy,MIN,QB,11,11,11,1,6,0.5455,0.9091,0.1875,11,25,0.3636,63,5.7273,0.2063,1.6364,89,No,Yes,3,0.2727,3.7388,-0.0672,No,0.9091,2.5455,2.4,8.0909,33.5,No,Yes,1.52,1.52,1.52,1.52,1.52,1.52,1.52,0.52,0.52,0.52,0.52,2.15,1.15,10,,,,,3,1,0.0909,1,0.0909,0.0909
Marcus Mariota,WAS,QB,6,6,6,1,5,0.8333,1,0.1846,6,5,0.1667,26,4.3333,0.3077,4.3333,23,Yes,No,1,0.1667,1.3885,-0.0648,No,0.8333,1.9167,1.8,3.8333,84.7,No,Yes,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.3,1.3,11,,,0.1667,,1,,,,,
Aidan O'Connell,LV,QB,2,2,2,1,2,1,1,0.2679,2,,,21,10.5,0.1905,10.5,17,No,No,,,0.4916,-0.2458,No,1,2,,8.5,110.4,No,Yes,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,1.05,1.05,1,,,,,1,,,,,
Tyler Huntley,BLT,QB,4,4,4,1,3,0.75,1,0.2703,4,2,0.25,32,8,,8,34,No,No,1,0.25,1.3455,-0.0864,No,1,2.525,2.6,8.5,97.9,No,No,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,5,,,,,,,,,,
Baker Mayfield,TB,QB,20,20,20,1,17,0.85,0.95,0.2336,20,31,0.1,176,8.8,0.2443,8.8,170,Yes,No,6,0.3,7.883,-0.0941,Yes,0.7,2.86,2.4,8.5,103.3,No,Yes,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,7.04,8.8,8.8,17,,,0.1,,10,1,0.05,,,0.05
Dak Prescott,DAL,QB,20,20,20,1,18,0.9,1,0.1875,20,10,0.1,127,6.35,0.5197,6.35,71,No,No,6,0.3,7.9865,-0.0993,No,0.35,2.89,2.6667,3.55,93.1,No,Yes,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,5.08,6.35,6.35,17,1,,,0.3,9,,,,,0.05
Spencer Rattler,NO,QB,17,17,17,1,13,0.7647,0.8824,0.1199,17,16,0.1176,113,6.6471,0.2212,6.6471,111,No,No,6,0.3529,6.5073,-0.0298,No,0.6471,2.7941,2.8167,6.5294,93.5,No,No,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,4.52,5.65,5.65,9,,,,0.0588,4,1,0.0588,,,
Aaron Rodgers,PIT,QB,19,19,19,1,15,0.7895,0.8947,0.0831,19,5,0.1053,98,5.1579,0.3673,2.7895,83,No,No,7,0.3684,7.551,-0.029,No,0.5789,2.8789,2.6429,4.3684,66.2,No,No,2.92,2.92,2.92,2.92,2.92,2.92,2.92,1.92,1.92,1.92,1.92,3.9,2.9,16,1,,,0.0526,3,,,1,,
Carson Wentz,MIN,QB,5,5,5,1,4,0.8,1,0.2733,5,-3,0.2,51,10.2,0.1961,10.2,38,No,No,,,1.4187,-0.2838,No,1,2.22,,7.6,109.2,No,No,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.04,2.55,2.55,5,,,0.2,,3,1,0.2,,,
