Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,DropsYardsLost,DropsPercentage,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,InterceptionsTotal,TowThrowPercentage
Kenny Pickett,LV,QB,15,15,15,1,1,13,0.8667,0.9333,0.1526,15,-1,0.0667,99,6.6,0.404,7.9333,103,1,Yes,No,2,0.1333,4.722,-0.1815,No,0.0667,2,0.1333,0.1333,0.8,0.0667,1,2.4,2.95,6.8667,116.4,Yes,Yes,5,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,7.96,8.95,8.95,6,,
Teddy Bridgewater,TB,QB,2,2,2,1,,2,1,1,0.2683,2,,,33,16.5,0.4545,16.5,18,,No,No,,,0.6641,-0.3321,No,,,,,1,,1,2.5,,9,118.8,No,Yes,1,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.65,1.65,4,,
Nick Mullens,JAX,QB,1,1,1,1,,1,1,1,0.2154,1,,,8,8,0.25,8,6,,No,No,,,0.2286,-0.2286,No,,,,,1,,1,1.9,,6,100,Yes,Yes,1,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.4,0.4,5,,
Zach Wilson,MIA,QB,1,1,1,1,,1,1,1,0.0628,1,,,-1,-1,-4,-1,-5,,No,No,,,0.1595,-0.1595,No,,,,,1,,1,1.5,,-5,79.2,No,No,,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.05,-0.05,4,,
Justin Fields,NYJ,QB,37,36,36,1,2,35,0.9722,0.9722,0.2025,36,,,360,10,0.3917,12.2222,230,4,No,No,10,0.2778,12.6093,-0.0725,No,0.0278,2,0.0556,0.0556,0.8056,0.0833,1,2.6056,2.33,6.3889,145.4,Yes,Yes,20,30.4,30.4,30.4,30.4,30.4,33.4,33.4,30.4,30.4,30.4,30.4,34,34,9,,
Dillon Gabriel,CLV,QB,40,40,40,1,4,33,0.825,0.925,0.1592,40,50,0.1,322,8.05,0.382,10.05,277,4,No,No,10,0.25,13.0232,-0.0756,No,,2,0.05,0.05,0.775,0.1,1,2.4625,2.3,6.925,133.5,No,No,19,28.88,28.88,28.88,28.88,28.88,31.88,31.88,28.88,28.88,28.88,28.88,32.1,32.1,10,,
Brock Purdy,SF,QB,87,87,87,1,5,86,0.9885,0.9885,0.2593,87,,,1083,12.4483,0.3555,14.7471,719,10,No,Yes,22,0.2529,33.1664,-0.1283,No,0.023,11,0.1264,0.069,0.7241,0.069,1,2.7851,2.5091,8.2644,156.8,No,Yes,65,83.32,83.32,83.32,83.32,83.32,86.32,86.32,83.32,83.32,83.32,83.32,94.15,94.15,9,,
Tua Tagovailoa,MIA,QB,102,102,102,1,9,95,0.9314,0.9804,0.2148,102,54,0.049,1051,10.3039,0.5052,11.7745,663,12,No,Yes,22,0.2157,31.9199,-0.0973,No,0.0686,7,0.0686,0.0686,0.6863,0.098,1,2.3892,2.3273,6.5,140.6,No,Yes,56,88.04,88.04,88.04,88.04,88.04,91.04,91.04,86.04,86.04,86.04,86.04,98.55,96.55,14,2,
Caleb Williams,CHI,QB,147,146,146,1,13,127,0.8699,0.9384,0.2389,146,122,0.0685,1857,12.7192,0.363,14.6027,1496,16,No,No,33,0.226,58.4325,-0.1742,No,,23,0.1575,0.1233,0.6918,0.0822,1,2.8952,2.6788,10.2466,152.4,No,Yes,83,143.48,144.48,143.98,144.48,144.48,147.48,146.98,143.48,143.48,143.48,142.98,163.05,162.05,17,1,0.0137
Jared Goff,DET,QB,157,156,156,1,6,140,0.8974,0.9679,0.2388,156,125,0.0705,2079,13.3269,0.4844,15.5064,1335,17,Yes,Yes,28,0.1795,48.0911,-0.1288,Yes,0.0128,15,0.0962,0.109,0.8654,0.0128,1,2.3622,2.45,8.5577,155.1,No,Yes,100,151.16,151.16,151.16,151.16,151.16,154.16,154.16,151.16,151.16,151.16,151.16,171.95,171.95,17,,
Cam Ward,TEN,QB,134,134,134,1,5,119,0.8881,0.9478,0.2074,134,91,0.0597,1401,10.4552,0.4497,11.7985,973,9,No,No,34,0.2537,53.7925,-0.1477,No,0.0224,17,0.1269,0.097,0.6119,0.1791,1,2.9022,2.6029,7.2612,132.6,No,Yes,66,92.04,92.04,92.04,92.04,92.04,95.04,95.04,92.04,92.04,92.04,92.04,106.05,106.05,17,,
Kyler Murray,ARZ,QB,24,24,24,1,,22,0.9167,0.9583,0.2172,24,5,0.0417,312,13,0.3686,11.9583,207,1,No,No,6,0.25,7.0722,-0.0447,No,,2,0.0833,0.0833,0.75,0.0417,1,2.2833,2.1333,8.625,115.3,No,Yes,15,15.48,15.48,15.48,15.48,15.48,18.48,18.48,14.48,14.48,14.48,14.48,18.6,17.6,5,1,
Tanner McKee,PHI,QB,15,15,15,1,,15,1,1,0.2912,15,,,171,11.4,0.2047,12.7333,136,1,No,No,1,0.0667,4.653,-0.2435,No,,1,0.0667,,0.7333,0.1333,1,2.3733,2.9,9.0667,136.4,No,Yes,10,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,10.84,12.55,12.55,4,,
Jake Browning,CIN,QB,30,30,30,1,2,28,0.9333,0.9333,0.1772,30,,,333,11.1,0.3844,14.4333,219,5,No,Yes,14,0.4667,12.3765,0.0541,No,,5,0.1667,0.1,0.6667,0.1667,1,2.9667,2.5,7.3,152.5,No,Yes,12,33.32,33.32,33.32,33.32,33.32,36.32,36.32,33.32,33.32,33.32,33.32,36.65,36.65,5,,
Josh Johnson,WAS,QB,11,11,11,1,1,11,1,1,0.2342,11,,,106,9.6364,0.4623,11.4545,66,1,Yes,No,1,0.0909,3.5835,-0.2349,No,,,,,0.6364,0.1818,1,2.4636,2.5,6,137.1,No,Yes,6,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,8.24,9.3,9.3,5,,
Joe Flacco,CIN,QB,118,118,118,1,8,103,0.8729,0.9407,0.2154,118,151,0.0678,1266,10.7288,0.4368,12.2542,986,9,No,No,29,0.2458,39.2336,-0.0867,No,0.0254,16,0.1356,0.1017,0.7203,0.1441,1,2.5025,2.5966,8.3559,136.8,No,No,68,86.64,86.64,86.64,86.64,86.64,89.64,89.64,86.64,86.64,86.64,86.64,99.3,99.3,13,,0.0085
Daniel Jones,IND,QB,122,122,122,1,6,115,0.9426,0.9508,0.213,122,5,0.0082,1557,12.7623,0.4066,14.7295,1012,12,No,No,37,0.3033,39.6821,-0.022,Yes,0.0492,11,0.0902,0.0902,0.8525,0.0738,1,2.4607,2.4108,8.2951,151.5,No,Yes,75,110.28,110.28,110.28,110.28,110.28,113.28,113.28,110.28,110.28,110.28,110.28,125.85,125.85,13,,
Jacoby Brissett,ARZ,QB,118,118,118,1,9,106,0.8983,0.9407,0.1947,118,54,0.0424,1300,11.0169,0.4146,13.5593,922,15,No,No,23,0.1949,39.7512,-0.142,No,,12,0.1017,0.0763,0.661,0.1271,1,2.528,2.3783,7.8136,152.2,No,Yes,59,112,112,112,112,112,115,115,112,112,112,112,125,125,14,,
C.J. Stroud,HST,QB,123,123,123,1,6,119,0.9675,0.9675,0.2354,123,,,1783,14.4959,0.4661,16.7724,997,14,No,No,24,0.1951,39.8762,-0.1291,No,0.0244,13,0.1057,0.0976,0.7967,0.065,1,2.4545,2.2042,8.1057,156.7,No,Yes,75,127.32,127.32,127.32,127.32,127.32,130.32,130.32,127.32,127.32,127.32,127.32,145.15,145.15,14,,
Jaxson Dart,NYG,QB,91,91,91,1,10,75,0.8242,0.8681,0.148,91,69,0.044,971,10.6703,0.4459,11.9341,853,8,No,No,23,0.2527,30.8376,-0.0861,Yes,0.044,13,0.1429,0.1538,0.6813,0.1429,1,2.5396,2.6174,9.3736,135.9,No,Yes,43,69.84,69.84,69.84,69.84,69.84,72.84,72.84,68.84,68.84,68.84,68.84,79.55,78.55,14,1,
Brady Cook,NYJ,QB,28,28,28,1,1,24,0.8571,0.9643,0.1482,28,-8,0.1071,208,7.4286,0.6058,8.1429,94,1,Yes,No,2,0.0714,10.0564,-0.2877,No,,2,0.0714,0.0357,0.7143,0.1429,1,2.6571,2.4,3.3571,109.5,No,Yes,11,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,14.4,14.4,5,,
Jordan Love,GB,QB,104,104,104,1,6,97,0.9327,0.9615,0.2384,104,19,0.0288,1391,13.375,0.3932,15.875,975,13,No,Yes,22,0.2115,34.3434,-0.1187,No,0.0481,16,0.1538,0.1442,0.75,0.0962,1,2.4894,2.5136,9.375,158.3,No,Yes,63,107.64,107.64,107.64,107.64,107.64,110.64,110.64,107.64,107.64,107.64,107.64,121.55,121.55,15,,
