Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,AttemptsInEndzoneTotal,TargetedReadCheckdownPercentage,YardsAdjustedNetPercentage,InterceptionsTotal,RunPassOptionPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc
Justin Fields,NYJ,QB,9,9,9,-0.7383,9,65,No,No,5,0.5556,3.6094,0.1545,No,1,1,0.1111,0.1111,0.6667,2.9,2.48,7.2222,39.6,No,No,9,,,,,,,,,,,,,,,,,,
Dillon Gabriel,CLV,QB,10,10,10,-0.7055,10,93,No,No,4,0.4,4.2692,-0.0269,No,1,1,0.1,0.1,0.8,3.05,2.3,9.3,39.6,No,No,10,1,0.1,,,,,,,,,,,,,,,,
Brock Purdy,SF,QB,7,7,7,-0.7663,7,41,No,No,4,0.5714,3.5146,0.0693,No,1,,,,0.4286,3.4857,2.925,5.8571,39.6,No,No,9,,0.4286,,,,,,,,,,,,,,,,
Tua Tagovailoa,MIA,QB,9,9,9,-0.7318,9,73,No,No,1,0.1111,2.9367,-0.2152,No,1,1,0.1111,,0.6667,2.4667,2.5,8.1111,39.6,No,No,14,,0.1111,,,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,27,27,27,-0.6498,27,328,No,No,11,0.4074,13.6056,-0.0965,No,1,4,0.1481,0.037,0.4815,3.4963,2.8091,12.1481,39.6,No,No,17,3,0.0741,,,,,,,,,,,,,,,,
Jared Goff,DET,QB,21,21,21,-0.7222,21,182,No,No,5,0.2381,7.0766,-0.0989,No,1,1,0.0476,,0.7143,2.5286,2.48,8.6667,39.6,No,No,17,1,,,,,,,,,,,,,,,,,
Cam Ward,TEN,QB,26,26,26,-0.6823,26,272,No,No,8,0.3077,9.8063,-0.0695,No,1,2,0.0769,0.1154,0.6538,2.7615,2.5125,10.4615,23.6,No,No,17,,0.1154,-1.7308,1,0.0385,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2
Kyler Murray,ARZ,QB,5,5,5,-0.7297,5,41,Yes,Yes,2,0.4,2.2812,-0.0563,No,1,,,,0.6,3.22,2.2,8.2,39.6,No,No,5,1,,,,,,,,,,,,,,,,,
Tanner McKee,PHI,QB,2,2,2,-0.477,2,54,No,Yes,1,0.5,0.9401,0.0299,No,1,1,0.5,,0.5,3.3,2.3,27,39.6,No,No,4,,,,,,,,,,,,,,,,,,
Jake Browning,CIN,QB,3,3,3,-0.4123,3,74,No,No,,,1.0307,-0.3436,No,1,3,1,,1,2.5667,,24.6667,39.6,No,No,5,,,,,,,,,,,,,,,,,,
Josh Johnson,WAS,QB,3,3,3,-0.639,3,38,No,No,,,0.9099,-0.3033,No,1,1,0.3333,,1,2.3333,,12.6667,39.6,No,No,5,2,,,,,,,,,,,,,,,,,
Joe Flacco,CIN,QB,20,20,20,-0.6851,20,199,No,No,10,0.5,9.1595,0.042,No,1,3,0.15,0.1,0.65,3.23,2.96,9.95,39.6,No,No,13,1,0.1,,,,,,,,,,,,,,,,
