Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,CompletionsOverExpected,OpportunitiesTotal,YardsAirTotal,PlayActionLabel,PressuredLabel,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,TargetedReadFirstPercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsGamesPlayed,PressuredTotal,PressuredPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,AverageTimeToPressure,AttemptsInEndzoneTotal,YardsAdjustedNetPercentage,InterceptionsTotal,TowThrowPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetedReadCheckdownPercentage,RunPassOptionPercentage
Jameis Winston,NYG,QB,1,1,1,-0.819,1,5,No,No,0.3665,-0.3665,No,1,1,2.7,5,39.6,No,No,3,,,,,,,,,,,,,,,,,,,,,,,,
Michael Penix,ATL,QB,3,3,3,-0.6266,3,41,No,No,1.4102,-0.1367,No,1,1,3.3,13.6667,39.6,No,No,9,1,0.3333,1,0.3333,3,,,,,,,,,,,,,,,,,,,
Tyrod Taylor,NYJ,QB,1,1,1,-0.3015,1,40,No,No,0.4011,0.5989,No,1,1,2.9,40,39.6,No,No,6,1,1,1,1,2.3,,,,,,,,,,,,,,,,,,,
Josh Allen,BUF,QB,10,10,10,-0.6531,10,131,No,No,3.3032,-0.0303,No,1,0.9,2.49,13.1,,No,No,17,3,0.3,3,0.3,2.1667,1,-4.5,1,0.2,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-2,-1,-2,,
Max Brosmer,MIN,QB,2,2,2,-0.5183,2,38,No,No,0.5951,0.2025,No,1,0.5,2.3,19,39.6,No,No,7,1,0.5,1,0.5,2.4,,,,,,,,,,,,,,,,,,,
Shedeur Sanders,CLV,QB,4,4,4,-0.7368,4,28,Yes,No,1.4834,0.1291,No,1,0.5,2.725,7,39.6,No,No,8,2,0.5,,,2.5,,,,0.5,,,,,,,,,,,,,,,
Davis Mills,HST,QB,4,4,4,-0.6179,4,56,No,No,1.311,-0.0777,No,1,0.75,2.475,14,39.6,No,No,6,1,0.25,1,0.25,2.8,1,,,,,,,,,,,,,,,,,,
Malik Willis,GB,QB,1,1,1,-0.6453,1,12,No,No,0.3493,-0.3493,No,1,,2.6,12,39.6,No,No,4,,,,,,1,,,,,,,,,,,,,,,,,,
Riley Leonard,IND,QB,1,1,1,-0.827,1,3,No,No,0.2975,0.7025,No,1,1,2.3,3,39.6,No,No,5,1,1,,,1.9,,,,,,,,,,,,,,,,,,,
Jalen Hurts,PHI,QB,8,8,8,-0.6591,8,96,No,No,2.3114,-0.1639,No,1,1,2.25,12,39.6,No,No,16,1,0.125,2,0.25,1.3,,,,,,,,,,,,,,,,,,,
