"Rank","Season","Player","Team","Pos.","Cov. Snaps","Tgts","Points Saved","PS Per Play","Points Above Avg","PAA Per Play","EPA","EPA/Tgt","Positive%","Boom%","Bust%"
"[object Object]","2024","Kaleb Patterson","Illinois","CB","316","39","24.94","0.080","12.64","0.040","0.86","0.022","38.5%","25.6%","20.5%"
"[object Object]","2024","D'Mon Brinson","UCONN","CB","487","46","24.93","0.052","7.17","0.015","-5.11","-0.111","41.3%","26.1%","28.3%"
"[object Object]","2024","Jalen Catalon","UNLV","S","509","42","24.75","0.049","5.90","0.012","7.60","0.181","54.8%","31.0%","28.6%"
"[object Object]","2024","Malik Muhammad","Texas","CB","498","55","24.57","0.050","3.33","0.007","-3.62","-0.066","41.8%","29.1%","21.8%"
"[object Object]","2024","Zeke Berry","Michigan","CB","376","47","24.54","0.065","8.83","0.023","4.85","0.103","42.6%","29.8%","27.7%"
"[object Object]","2024","Marcus Harris","California","CB","469","60","24.52","0.052","7.04","0.015","13.34","0.222","48.3%","36.7%","23.3%"
"[object Object]","2024","Denzel Burke","Ohio State","CB","385","44","24.26","0.064","7.43","0.020","5.08","0.115","45.5%","31.8%","20.5%"
"[object Object]","2024","Brian Nelson II","North Texas","CB","298","47","24.21","0.081","14.06","0.047","-3.30","-0.070","42.6%","23.4%","21.3%"
"[object Object]","2024","Jordan Clark","Notre Dame","S","375","39","23.85","0.064","8.18","0.022","-9.91","-0.254","33.3%","17.9%","25.6%"
"[object Object]","2024","Tank Pearson","Ohio","CB","426","60","23.84","0.056","6.11","0.014","7.90","0.132","45.0%","30.0%","21.7%"
"[object Object]","2024","Corey Thornton","Louisville","CB","409","52","23.80","0.059","8.47","0.021","-5.64","-0.109","34.6%","19.2%","23.1%"
"[object Object]","2024","Clarence Lewis","Syracuse","CB","403","47","23.78","0.059","6.71","0.017","-4.46","-0.095","38.3%","21.3%","25.5%"
"[object Object]","2024","Davion Ross","Memphis","CB","472","62","23.75","0.051","5.07","0.011","9.03","0.146","40.3%","30.6%","21.0%"
