targets,grades_pass_block,grades_offense,yards_after_contact,explosive,grades_pass_route,draft_season,elu_rush_mtf,breakaway_attempts,designed_yards,team_name,yprr,breakaway_percent,fumbles,first_downs,elusive_rating,jersey_number,breakaway_yards,player_game_count,eligible_season,total_touches,scramble_yards,yco_attempt,yards,grades_run_block,receptions,zone_attempts,scrambles,grades_run,penalties,attempts,elu_yco,elu_recv_mtf,team,declined_penalties,ypa,drops,position,grades_hands_fumble,longest,routes,player,franchise_id,rec_yards,gap_attempts,run_plays,avoided_tackles,grades_offense_penalty,player_id,touchdowns,grades_pass
44,41.9,80.4,1050,45,59.2,2022,64,17,1784,BUF,1.08,25.7,7,76,56.4,04,459,19,2022,385,0,3.02,1784,54.2,37,172,0,81.8,1,348,1050,8,BUF,0,5.1,3,HB,35.2,64,297,James Cook,4,320,175,391,64,60.1,83666,12,
135,41.9,77.2,926,28,91.7,2017,50,11,1285,SF,1.81,16.7,2,72,45.2,23,214,19,2017,450,0,2.75,1285,51.9,113,232,0,66.3,0,337,926,24,SF,0,3.8,5,HB,83.5,41,567,Christian McCaffrey,28,1029,90,372,50,91.4,11763,10,60
54,58.6,78.1,1136,36,52.9,2020,67,16,1585,IND,0.92,33.1,2,84,72.4,28,524,17,2020,369,0,3.52,1585,53.4,46,131,0,83.5,1,323,1136,9,IND,0,4.9,4,HB,80.6,83,412,Jonathan Taylor,14,378,187,363,67,68.2,57488,18,
19,65.9,80.4,1103,36,59.1,2016,43,21,1595,BLT,0.97,37.9,4,79,53.6,22,605,17,2016,322,0,3.59,1595,56.4,15,193,0,79.4,1,307,1103,5,BLT,0,5.2,1,HB,56.9,59,154,Derrick Henry,3,150,111,348,43,85.6,10679,16,48.9
52,44.4,67.9,812,29,46.8,2018,56,14,1246,PHI,0.85,29.9,1,54,51.4,26,373,17,2018,346,0,2.65,1246,31.6,40,188,0,76,2,306,812,11,PHI,1,4.1,4,HB,88.2,65,351,Saquon Barkley,24,298,104,360,56,91.1,45791,7,
53,64.7,85.2,926,29,64.4,2022,51,12,1435,LA,0.87,17.2,2,81,48.4,23,247,20,2022,347,0,3.06,1435,57.9,44,141,0,87.1,1,303,926,4,LA,1,4.7,2,HB,79.9,34,402,Kyren Williams,26,351,156,338,51,88.1,97118,12,
99,30.4,86.6,1133,36,88.1,2023,86,16,1478,ATL,1.88,31.9,4,63,120.8,07,472,17,2023,366,0,3.95,1478,41.9,79,217,0,83.4,1,287,1133,26,ATL,0,5.1,3,HB,49.4,93,437,Bijan Robinson,2,820,62,317,86,90.7,123126,7,
45,36,91.4,875,42,71.4,2022,77,22,1340,SEA,1.64,36.3,1,63,83.5,09,487,20,2022,326,0,3.06,1340,54.5,40,176,0,91.5,1,286,875,12,SEA,0,4.7,3,HB,87.5,55,236,Kenneth Walker III,29,386,101,320,77,57.6,97199,9,
52,68,74.2,831,28,62.1,2021,47,10,1174,JAX,1.17,27.9,1,51,59.4,01,327,18,2021,311,0,3.08,1174,64.3,41,133,0,74.5,0,270,831,13,JAX,0,4.3,4,HB,76.5,71,291,Travis Etienne Jr.,15,341,121,328,47,89.5,57185,7,
68,34.1,70.4,815,24,66.7,2025,61,5,975,LV,0.96,17.7,2,44,80.2,02,173,17,2025,321,0,3.06,975,53.6,55,168,0,73.1,2,266,815,23,LV,1,3.7,4,HB,66.8,64,359,Ashton Jeanty,23,346,88,304,61,63.9,157196,5,
47,52.6,83,747,32,64.9,2020,45,12,1216,CHI,0.98,18.9,2,66,49.7,04,230,18,2020,290,1,2.93,1217,66.5,36,168,1,87,3,255,747,4,CHI,1,4.8,3,HB,74.3,25,344,D'Andre Swift,6,337,80,282,45,39.3,57212,10,
45,43.9,85.8,758,24,89.5,2019,48,10,984,GB,1.22,20.9,2,58,57.9,08,206,16,2019,290,0,3,984,46.4,37,142,0,82.6,1,253,758,8,GB,0,3.9,0,HB,63.6,40,233,Josh Jacobs,12,285,107,287,48,58,45953,13,
46,66.5,75.3,896,26,45.7,2021,54,13,1201,DAL,0.4,25.6,2,67,75.6,33,308,16,2021,287,0,3.56,1201,56.9,35,140,0,81.7,1,252,896,7,DAL,0,4.8,1,HB,73.9,66,343,Javonte Williams,9,137,109,278,54,64.5,77803,11,
40,45.8,83.5,732,26,75.2,2022,40,17,1065,NYJ,1.37,36.8,2,57,48.6,20,392,16,2022,279,0,3.01,1065,68.2,36,164,0,83.7,1,243,732,5,NYJ,0,4.4,1,HB,73.3,59,256,Breece Hall,22,350,73,291,40,59.6,97636,4,55.1
92,50.5,85.6,716,27,90.3,2023,62,14,1223,DET,1.67,40.6,2,56,80.1,00,497,17,2023,320,0,2.95,1223,68.2,77,137,0,81.1,1,243,716,25,DET,0,5,4,HB,75.8,78,368,Jahmyr Gibbs,11,616,100,275,62,64.7,122474,13,
39,58,67,776,27,51.8,2019,39,10,1082,TEN,0.68,22.9,4,48,51.3,20,248,17,2019,275,0,3.21,1082,75.9,33,127,0,70.5,2,242,776,5,TEN,1,4.5,3,HB,51.2,65,304,Tony Pollard,31,206,113,264,39,31,27126,5,
